deal_id,place,state_level,spending_tier_name,fiscal_year_label,fy_start,fy_end,fy_calendar,budget_version,supplementary_basis,admin_head_code,admin_head,spending_entity_code,spending_entity,programme_code,programme,sub_programme_code,sub_programme,econ_class,admin_head_basis,programme_basis,programme_level,line_name,purpose,primary_subject,scope_confidence,scope_basis,finance_origin,funding_source,is_transfer,transfer_to,currency,amount_scale,proposed,appropriated,revised,released,actual,audited,baseline_stage,current_stage,exec_vs_voted,exec_vs_revised,source_tier,doc_type,doc_locator,source_slug,extracted,origin_record,notes
ago-2024-pr-61441-implentacao-do-sistema-electronico-de-tramitacao,AGO,national,,2024,2024-01-01,2024-12-31,gregorian,original,,not printed,Presidência Da República,,Presidência Da República,6.14.41,"Programa De Apoio À Produção, Diversificação Das Exportações E Substituição Das Importações (Prodesi)",,Implentação Do Sistema Electrónico De Tramitação Do Investimento Privado,,printed,printed,programme,Implentação Do Sistema Electrónico De Tramitação Do Investimento Privado,Builds an electronic case-handling system for private investment applications.,dpi.govtech,whole,The line names an electronic processing system; its whole purpose is the system.,domestic-state,unstated,false,,AOA,"full kwanzas as printed (Kz, decimal comma, point thousands separator); the Dotação Orçamental Por Órgão tables carry no scale factor",,232938530,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Lei n.º 15/23 (OGE 2024), DR I Série n.º 247 de 29-12-2023, Dotação Orçamental Por Órgão, Presidência Da República, Despesas Por Programa, programa 6.14.41, p. 8704 (PDF p. 110)",2024-01-01-lei-15-23-oge-2024-enacted-companion,2026-09-25,,"Programme 6.14.41 in this organ: 268,760,010 + 280,008,421 + 232,938,530 = 781,706,961, the printed programme total; with Acções Correntes and programmes 1.1.1, 2.2.10 and 3.3.14 the organ foots to its printed total 36,794,454,627. Funding source unstated: the volume prints revenue by source only in aggregate (Resumo da Receita por Fonte de Recurso: external financing 24.97% of the total) and no source per organ, programme or project; domestic-state by the gate's default, flagged. OSINT's archived copy (budget-archive/AGO/2024), md5 00beba26c1f5d8d32052d87b1729244d, 94,545,243 bytes, matches artefact-md5-index for this record; the publisher's host refused the fetch. Stage appropriated: the gazetted law, in force 1 January 2024. No line-level outturn is held: the IV-trimestre 2024 execution report lists its per-UO and per-project annexes and does not print them."
ago-2024-pr-3314-sistema-integrado-de-gestao-da-oferta-formativa,AGO,national,,2024,2024-01-01,2024-12-31,gregorian,original,,not printed,Presidência Da República,,Presidência Da República,3.3.14,Programa De Formação De Quadros,,Sistema Integrado De Gestão Da Oferta Formativa (Sigof 4.0),,printed,printed,programme,Sistema Integrado De Gestão Da Oferta Formativa (Sigof 4.0),Develops the integrated management information system for the national training offer (SIGOF 4.0).,dpi.mis,whole,"Named information system, versioned; the line funds the system.",domestic-state,unstated,false,,AOA,"full kwanzas as printed (Kz, decimal comma, point thousands separator); the Dotação Orçamental Por Órgão tables carry no scale factor",,81279500,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Lei n.º 15/23 (OGE 2024), DR I Série n.º 247 de 29-12-2023, Dotação Orçamental Por Órgão, Presidência Da República, Despesas Por Programa, programa 3.3.14, p. 8705 (PDF p. 111)",2024-01-01-lei-15-23-oge-2024-enacted-companion,2026-09-25,,"Programme 3.3.14 in this organ: 170,000,000 + 104,228,976 + 81,279,500 = 355,508,476 as printed; the organ foots to 36,794,454,627. Funding source unstated: the volume prints revenue by source only in aggregate (Resumo da Receita por Fonte de Recurso: external financing 24.97% of the total) and no source per organ, programme or project; domestic-state by the gate's default, flagged. OSINT's archived copy (budget-archive/AGO/2024), md5 00beba26c1f5d8d32052d87b1729244d, 94,545,243 bytes, matches artefact-md5-index for this record; the publisher's host refused the fetch. Stage appropriated: the gazetted law, in force 1 January 2024. No line-level outturn is held: the IV-trimestre 2024 execution report lists its per-UO and per-project annexes and does not print them."
ago-2024-tdc-111-instalacao-do-sistema-de-gestao-da-progressao-da,AGO,national,,2024,2024-01-01,2024-12-31,gregorian,original,,not printed,Tribunal De Contas,,Tribunal De Contas,1.1.1,Programa De Capacitação E Modernização Da Administração Pública,,Instalação Do Sistema De Gestão Da Progressão Da Carreira,,printed,printed,programme,Instalação Do Sistema De Gestão Da Progressão Da Carreira,Installs a career-progression management system for the audit court's staff.,dpi.govtech,whole,The line installs a named management system; nothing else is in it.,domestic-state,unstated,false,,AOA,"full kwanzas as printed (Kz, decimal comma, point thousands separator); the Dotação Orçamental Por Órgão tables carry no scale factor",,647854152,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Lei n.º 15/23 (OGE 2024), DR I Série n.º 247 de 29-12-2023, Dotação Orçamental Por Órgão, Tribunal De Contas, Despesas Por Programa, programa 1.1.1, p. 8709 (PDF p. 115)",2024-01-01-lei-15-23-oge-2024-enacted-companion,2026-09-25,,"Programme 1.1.1 in this organ: 1,213,315,066 + 565,460,911 + 647,854,152 = 2,426,630,129 as printed; with Acções Correntes (3,107,884,501), 1.1.2 (523,319,721) and 1.1.5 (11,812,432,588) the organ foots to 17,870,266,939. Funding source unstated: the volume prints revenue by source only in aggregate (Resumo da Receita por Fonte de Recurso: external financing 24.97% of the total) and no source per organ, programme or project; domestic-state by the gate's default, flagged. OSINT's archived copy (budget-archive/AGO/2024), md5 00beba26c1f5d8d32052d87b1729244d, 94,545,243 bytes, matches artefact-md5-index for this record; the publisher's host refused the fetch. Stage appropriated: the gazetted law, in force 1 January 2024. No line-level outturn is held: the IV-trimestre 2024 execution report lists its per-UO and per-project annexes and does not print them."
ago-2024-mdn-71544-centro-de-dados-e-plataforma-de-software-luanda,AGO,national,,2024,2024-01-01,2024-12-31,gregorian,original,,not printed,Ministério Da Defesa Nacional E Veteranos Da Pátria,,Ministério Da Defesa Nacional E Veteranos Da Pátria,7.15.44,Programa De Redimensionamento E Reequipamento Da Defesa Nacional,,Centro De Dados E Plataforma De Software Luanda,,printed,printed,programme,Centro De Dados E Plataforma De Software Luanda,Builds a data centre and software platform for the defence ministry in Luanda.,infra.store,whole,Title names a data centre and a software platform.,domestic-state,unstated,false,,AOA,"full kwanzas as printed (Kz, decimal comma, point thousands separator); the Dotação Orçamental Por Órgão tables carry no scale factor",,1223819108,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Lei n.º 15/23 (OGE 2024), DR I Série n.º 247 de 29-12-2023, Dotação Orçamental Por Órgão, Ministério Da Defesa Nacional E Veteranos Da Pátria, Despesas Por Programa, programa 7.15.44, p. 8720 (PDF p. 126)",2024-01-01-lei-15-23-oge-2024-enacted-companion,2026-09-25,,"Programme 7.15.44 in this organ: all 57 lines read off the rendered pages sum to 112,807,252,542, the printed programme total, to the kwanza. Funding source unstated: the volume prints revenue by source only in aggregate (Resumo da Receita por Fonte de Recurso: external financing 24.97% of the total) and no source per organ, programme or project; domestic-state by the gate's default, flagged. OSINT's archived copy (budget-archive/AGO/2024), md5 00beba26c1f5d8d32052d87b1729244d, 94,545,243 bytes, matches artefact-md5-index for this record; the publisher's host refused the fetch. Stage appropriated: the gazetted law, in force 1 January 2024. No line-level outturn is held: the IV-trimestre 2024 execution report lists its per-UO and per-project annexes and does not print them."
ago-2024-mdn-71544-modernizacao-do-sistema-nacional-de-recenseament,AGO,national,,2024,2024-01-01,2024-12-31,gregorian,original,,not printed,Ministério Da Defesa Nacional E Veteranos Da Pátria,,Ministério Da Defesa Nacional E Veteranos Da Pátria,7.15.44,Programa De Redimensionamento E Reequipamento Da Defesa Nacional,,Modernização Do Sistema Nacional De Recenseamento E Controlo,,printed,printed,programme,Modernização Do Sistema Nacional De Recenseamento E Controlo,Modernises the national military census and control register.,dpi.registry,partial,Modernisation of a national registration system; the digital share of the modernisation is not stated.,domestic-state,unstated,false,,AOA,"full kwanzas as printed (Kz, decimal comma, point thousands separator); the Dotação Orçamental Por Órgão tables carry no scale factor",,259994000,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Lei n.º 15/23 (OGE 2024), DR I Série n.º 247 de 29-12-2023, Dotação Orçamental Por Órgão, Ministério Da Defesa Nacional E Veteranos Da Pátria, Despesas Por Programa, programa 7.15.44, p. 8721 (PDF p. 127)",2024-01-01-lei-15-23-oge-2024-enacted-companion,2026-09-25,,"Programme 7.15.44 in this organ: all 57 lines read off the rendered pages sum to 112,807,252,542, the printed programme total, to the kwanza. Funding source unstated: the volume prints revenue by source only in aggregate (Resumo da Receita por Fonte de Recurso: external financing 24.97% of the total) and no source per organ, programme or project; domestic-state by the gate's default, flagged. OSINT's archived copy (budget-archive/AGO/2024), md5 00beba26c1f5d8d32052d87b1729244d, 94,545,243 bytes, matches artefact-md5-index for this record; the publisher's host refused the fetch. Stage appropriated: the gazetted law, in force 1 January 2024. No line-level outturn is held: the IV-trimestre 2024 execution report lists its per-UO and per-project annexes and does not print them."
ago-2024-minint-71548-implementacao-dos-sistemas-de-controlo-das-front,AGO,national,,2024,2024-01-01,2024-12-31,gregorian,original,,not printed,Ministério Do Interior,,Ministério Do Interior,7.15.48,Programa De Melhoria Da Segurança Pública E Gestão Fronteiriça,,Implementação Dos Sistemas De Controlo Das Fronteiras,,printed,printed,programme,Implementação Dos Sistemas De Controlo Das Fronteiras,Implements border-control systems.,dpi.id,partial,Border-control systems; the line does not say how much is information systems rather than physical control.,domestic-state,unstated,false,,AOA,"full kwanzas as printed (Kz, decimal comma, point thousands separator); the Dotação Orçamental Por Órgão tables carry no scale factor",,4472697372,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Lei n.º 15/23 (OGE 2024), DR I Série n.º 247 de 29-12-2023, Dotação Orçamental Por Órgão, Ministério Do Interior, Despesas Por Programa, programa 7.15.48, p. 8727 (PDF p. 133)",2024-01-01-lei-15-23-oge-2024-enacted-companion,2026-09-25,,"Programme 7.15.48 in this organ: all 78 lines read off the rendered pages (pp. 8726-8728) sum to 154,447,237,526, the printed programme total, to the kwanza. Funding source unstated: the volume prints revenue by source only in aggregate (Resumo da Receita por Fonte de Recurso: external financing 24.97% of the total) and no source per organ, programme or project; domestic-state by the gate's default, flagged. OSINT's archived copy (budget-archive/AGO/2024), md5 00beba26c1f5d8d32052d87b1729244d, 94,545,243 bytes, matches artefact-md5-index for this record; the publisher's host refused the fetch. Stage appropriated: the gazetted law, in force 1 January 2024. No line-level outturn is held: the IV-trimestre 2024 execution report lists its per-UO and per-project annexes and does not print them."
ago-2024-minint-71548-modernizacao-das-telecomunicacoes-e-tecnologias,AGO,national,,2024,2024-01-01,2024-12-31,gregorian,original,,not printed,Ministério Do Interior,,Ministério Do Interior,7.15.48,Programa De Melhoria Da Segurança Pública E Gestão Fronteiriça,,Modernização Das Telecomunicações E Tecnologias De Informação Dos Serviços Do Minint,,printed,printed,programme,Modernização Das Telecomunicações E Tecnologias De Informação Dos Serviços Do Minint,Modernises the interior ministry services' telecommunications and information technology.,dpi.govtech,partial,"The ministry's own telecoms and IT modernisation; systems and equipment sit in one line (budget-extract.md, own IT unit rule).",domestic-state,unstated,false,,AOA,"full kwanzas as printed (Kz, decimal comma, point thousands separator); the Dotação Orçamental Por Órgão tables carry no scale factor",,3625647302,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Lei n.º 15/23 (OGE 2024), DR I Série n.º 247 de 29-12-2023, Dotação Orçamental Por Órgão, Ministério Do Interior, Despesas Por Programa, programa 7.15.48, p. 8727 (PDF p. 133)",2024-01-01-lei-15-23-oge-2024-enacted-companion,2026-09-25,,"Programme 7.15.48 in this organ: all 78 lines read off the rendered pages (pp. 8726-8728) sum to 154,447,237,526, the printed programme total, to the kwanza. The OCR sidecar reads this figure with an 8 for the leading 3; the rendered page and the foot give 3,625,647,302. Funding source unstated: the volume prints revenue by source only in aggregate (Resumo da Receita por Fonte de Recurso: external financing 24.97% of the total) and no source per organ, programme or project; domestic-state by the gate's default, flagged. OSINT's archived copy (budget-archive/AGO/2024), md5 00beba26c1f5d8d32052d87b1729244d, 94,545,243 bytes, matches artefact-md5-index for this record; the publisher's host refused the fetch. Stage appropriated: the gazetted law, in force 1 January 2024. No line-level outturn is held: the IV-trimestre 2024 execution report lists its per-UO and per-project annexes and does not print them."
ago-2024-minfin-61442-projecto-de-transformacao-digital-sigt-siiat-da,AGO,national,,2024,2024-01-01,2024-12-31,gregorian,original,,not printed,Ministério Das Finanças,,Ministério Das Finanças,6.14.42,Programa De Reforma E Sustentabilidade Das Finanças Públicas,,Projecto De Transformação Digital Sigt/Siiat Da Agt,,printed,printed,programme,Projecto De Transformação Digital Sigt/Siiat Da Agt,Digital transformation of the tax administration's core systems (SIGT and SIIAT) at the AGT.,dpi.govtech,whole,Project title names digital transformation of two named tax information systems.,domestic-state,unstated,false,,AOA,"full kwanzas as printed (Kz, decimal comma, point thousands separator); the Dotação Orçamental Por Órgão tables carry no scale factor",,18199983713,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Lei n.º 15/23 (OGE 2024), DR I Série n.º 247 de 29-12-2023, Dotação Orçamental Por Órgão, Ministério Das Finanças, Despesas Por Programa, programa 6.14.42, p. 8739 (PDF p. 145)",2024-01-01-lei-15-23-oge-2024-enacted-companion,2026-09-25,,"Programme 6.14.42 in this organ: 139,497,817 + 46,001,325 + 18,199,983,713 = 18,385,482,855 as printed; with the planning ministry's 3,994,124,672 it makes the national figure 22,379,607,527. The PIP listing repeats the project under Estrutura Central. Funding source unstated: the volume prints revenue by source only in aggregate (Resumo da Receita por Fonte de Recurso: external financing 24.97% of the total) and no source per organ, programme or project; domestic-state by the gate's default, flagged. OSINT's archived copy (budget-archive/AGO/2024), md5 00beba26c1f5d8d32052d87b1729244d, 94,545,243 bytes, matches artefact-md5-index for this record; the publisher's host refused the fetch. Stage appropriated: the gazetted law, in force 1 January 2024. No line-level outturn is held: the IV-trimestre 2024 execution report lists its per-UO and per-project annexes and does not print them."
ago-2024-mat-114-implementacao-do-sistema-de-monitorizacao-e-repo,AGO,national,,2024,2024-01-01,2024-12-31,gregorian,original,,not printed,Ministério Da Administração Do Território,,Ministério Da Administração Do Território,1.1.4,Programa De Reforma E Modernização Da Administração Da Justiça,,Implementação Do Sistema De Monitorização E Reporte Nos Municípios.,,printed,printed,programme,Implementação Do Sistema De Monitorização E Reporte Nos Municípios.,Implements a monitoring and reporting system in the municipalities.,digital.localgov,partial,A named system for municipal reporting; the line does not say it is wholly an information system.,domestic-state,unstated,false,,AOA,"full kwanzas as printed (Kz, decimal comma, point thousands separator); the Dotação Orçamental Por Órgão tables carry no scale factor",,1152566888,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Lei n.º 15/23 (OGE 2024), DR I Série n.º 247 de 29-12-2023, Dotação Orçamental Por Órgão, Ministério Da Administração Do Território, Despesas Por Programa, programa 1.1.4, p. 8749 (PDF p. 155)",2024-01-01-lei-15-23-oge-2024-enacted-companion,2026-09-25,,"Programme 1.1.4 in this organ: 10,484,911,912 + 1,152,566,888 = 11,637,478,800 as printed. Funding source unstated: the volume prints revenue by source only in aggregate (Resumo da Receita por Fonte de Recurso: external financing 24.97% of the total) and no source per organ, programme or project; domestic-state by the gate's default, flagged. OSINT's archived copy (budget-archive/AGO/2024), md5 00beba26c1f5d8d32052d87b1729244d, 94,545,243 bytes, matches artefact-md5-index for this record; the publisher's host refused the fetch. Stage appropriated: the gazetted law, in force 1 January 2024. No line-level outturn is held: the IV-trimestre 2024 execution report lists its per-UO and per-project annexes and does not print them."
ago-2024-minjusdh-114-fornecimento-de-bens-instalacao-e-suporte-tecnic,AGO,national,,2024,2024-01-01,2024-12-31,gregorian,original,,not printed,Ministério Da Justiça E Dos Direitos Humanos,,Ministério Da Justiça E Dos Direitos Humanos,1.1.4,Programa De Reforma E Modernização Da Administração Da Justiça,,"Fornecimento De Bens, Instalação E Suporte Técnico Do Bi, Rc Notariado",,printed,printed,programme,"Fornecimento De Bens, Instalação E Suporte Técnico Do Bi, Rc Notariado","Supplies, installs and supports the identity card, civil registry and notary services.",dpi.id,partial,Technical support of the ID and registry services mixed with supply of goods.,domestic-state,unstated,false,,AOA,"full kwanzas as printed (Kz, decimal comma, point thousands separator); the Dotação Orçamental Por Órgão tables carry no scale factor",,124524524,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Lei n.º 15/23 (OGE 2024), DR I Série n.º 247 de 29-12-2023, Dotação Orçamental Por Órgão, Ministério Da Justiça E Dos Direitos Humanos, Despesas Por Programa, programa 1.1.4, p. 8756 (PDF p. 162)",2024-01-01-lei-15-23-oge-2024-enacted-companion,2026-09-25,,"Programme 1.1.4 in this organ: 15,474,933,469 + 782,825,011 + 210,838,598 + 124,524,524 + 8,397,404,268 + 255,095,215 = 25,245,621,085 as printed. Funding source unstated: the volume prints revenue by source only in aggregate (Resumo da Receita por Fonte de Recurso: external financing 24.97% of the total) and no source per organ, programme or project; domestic-state by the gate's default, flagged. OSINT's archived copy (budget-archive/AGO/2024), md5 00beba26c1f5d8d32052d87b1729244d, 94,545,243 bytes, matches artefact-md5-index for this record; the publisher's host refused the fetch. Stage appropriated: the gazetted law, in force 1 January 2024. No line-level outturn is held: the IV-trimestre 2024 execution report lists its per-UO and per-project annexes and does not print them."
