deal_id,place,state_level,spending_tier_name,fiscal_year_label,fy_start,fy_end,fy_calendar,budget_version,supplementary_basis,admin_head_code,admin_head,spending_entity_code,spending_entity,programme_code,programme,sub_programme_code,sub_programme,econ_class,admin_head_basis,programme_basis,programme_level,line_name,purpose,primary_subject,scope_confidence,scope_basis,finance_origin,funding_source,is_transfer,transfer_to,currency,amount_scale,proposed,appropriated,revised,released,actual,audited,baseline_stage,current_stage,exec_vs_voted,exec_vs_revised,source_tier,doc_type,doc_locator,source_slug,extracted,origin_record,notes
bfa-2024-01-002-0020118,BFA,national,,Exercice 2024,2024-01-01,2024-12-31,gregorian,original,,01,01 - Présidence du Faso,4002000311,CAPES,002,Renforcement des capacités d'analyse et de transparence de l'action publique,00201,Analyse prospective et renforcement des capacités d'analyse des politiques économiques et sociales,,printed,printed,activity,Héberger et mettre à jour le site web du CAPES,Runs and updates a website.,dpi.govtech,whole,"The activity's own text names a digital system, software, platform, database, digitisation, cybersecurity or connectivity task.",domestic-state,domestic-revenue,false,,XOF,"milliers de F CFA as printed (en milliers de F CFA); stored normalised to units (x1,000)",,3242000,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Loi de finances 2024, volume intégral, section 01, *Prévisions des dépenses par programmes, actions, par chapitres et par activités*, PDF p. 154, programme 002, action 00201, chapitre 4002000311 CAPES, activité 0020118, column CP 2024",2023-12-15-bfa-lf-2024-volume-integral-companion,2026-09-25,,"CP 3,242 thousand (AE 0). Cross-foot: every action's unbracketed activities sum to its figure in the volume's *Prévision des dépenses par actions* table, and actions to programmes to the section total; bracketed amounts are personnel carried in the salary chapter and are not counted. Recurrent line: the volume prints no external financing outside investment, so the origin is domestic. No revised stage: chapter not printed legibly in the LFR. Publisher's copy md5 65b2d0b7d7c4b3d5e2f9e4d65a47d5a1 matches lookups/artefact-md5-index.csv."
bfa-2024-01-002-0020306,BFA,national,,Exercice 2024,2024-01-01,2024-12-31,gregorian,revised,restated-total,01,01 - Présidence du Faso,1014000311,CNA,002,Renforcement des capacités d'analyse et de transparence de l'action publique,00203,Archives nationales,,printed,printed,activity,Gérer le site WEB du centre national des archives,Runs and updates a website.,dpi.govtech,whole,"The activity's own text names a digital system, software, platform, database, digitisation, cybersecurity or connectivity task.",domestic-state,domestic-revenue,false,,XOF,"milliers de F CFA as printed (en milliers de F CFA); stored normalised to units (x1,000)",,5251000,5251000,,,,appropriated,revised,,,budget-document,appropriation-act,"Loi de finances 2024, volume intégral, section 01, *Prévisions des dépenses par programmes, actions, par chapitres et par activités*, PDF p. 155, programme 002, action 00203, chapitre 1014000311 CNA, activité 0020306, column CP 2024; LFR 2024 volume, section 01, *Présentation des dépenses par action, par chapitre et par activités*, column Prévisions révisées CP",2023-12-15-bfa-lf-2024-volume-integral-companion,2026-09-25,,"CP 5,251 thousand (AE 0). Cross-foot: every action's unbracketed activities sum to its figure in the volume's *Prévision des dépenses par actions* table, and actions to programmes to the section total; bracketed amounts are personnel carried in the salary chapter and are not counted. Recurrent line: the volume prints no external financing outside investment, so the origin is domestic. Revised from the LFR 2024: the activity is not listed and its chapter's initial and revised figures, less the listed activities, equal the volume's unlisted activities, so it is unchanged. Publisher's copy md5 65b2d0b7d7c4b3d5e2f9e4d65a47d5a1 matches lookups/artefact-md5-index.csv."
bfa-2024-02-004-0040123,BFA,national,,Exercice 2024,2024-01-01,2024-12-31,gregorian,original,,02,02 - Secrétariat Général du Gouvernement et du Conseil des Ministres,1800100311,Projet de réhabilitation et d'équipement du SGGCM,004,Organisation du travail gouvernemental,00401,Coordination de la préparation des dossiers du Conseil des Ministres,,printed,printed,activity,Assurer l'Opérationnalisation du logiciel des missions à l'étranger,Brings the software for missions abroad into service.,dpi.govtech,whole,"The activity's own text names a digital system, software, platform, database, digitisation, cybersecurity or connectivity task.",domestic-state,domestic-revenue,false,,XOF,"milliers de F CFA as printed (en milliers de F CFA); stored normalised to units (x1,000)",,15000000,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Loi de finances 2024, volume intégral, section 02, *Prévisions des dépenses par programmes, actions, par chapitres et par activités*, PDF p. 166, programme 004, action 00401, chapitre 1800100311 Projet de réhabilitation et d'équipement du SGGCM, activité 0040123, column CP 2024",2023-12-15-bfa-lf-2024-volume-integral-companion,2026-09-25,,"CP 15,000 thousand (AE 15,000). Cross-foot: every action's unbracketed activities sum to its figure in the volume's *Prévision des dépenses par actions* table, and actions to programmes to the section total; bracketed amounts are personnel carried in the salary chapter and are not counted. Investment line in a section whose capital is entirely Etat Seul (320,000 thousand), so the origin is domestic. No revised stage: the LFR moves money inside the chapter without listing this activity (chapter initial 14,900,000 FCFA). Publisher's copy md5 65b2d0b7d7c4b3d5e2f9e4d65a47d5a1 matches lookups/artefact-md5-index.csv."
bfa-2024-02-004-0040206,BFA,national,,Exercice 2024,2024-01-01,2024-12-31,gregorian,original,,02,02 - Secrétariat Général du Gouvernement et du Conseil des Ministres,1013000311,DTIC,004,Organisation du travail gouvernemental,00402,Diffusion de la règle de droit,,printed,printed,activity,Gerer la banque de données www.legiburkina.bf,Keeps the LegiBurkina online legal database current.,dpi.govtech,whole,"A line of the ministry's IT unit (DTIC) that names a system, software, platform, digitisation or security task, which the IT-unit rule records whole.",domestic-state,domestic-revenue,false,,XOF,"milliers de F CFA as printed (en milliers de F CFA); stored normalised to units (x1,000)",,1500000,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Loi de finances 2024, volume intégral, section 02, *Prévisions des dépenses par programmes, actions, par chapitres et par activités*, PDF p. 167, programme 004, action 00402, chapitre 1013000311 DTIC, activité 0040206, column CP 2024",2023-12-15-bfa-lf-2024-volume-integral-companion,2026-09-25,,"CP 1,500 thousand (AE 0). Cross-foot: every action's unbracketed activities sum to its figure in the volume's *Prévision des dépenses par actions* table, and actions to programmes to the section total; bracketed amounts are personnel carried in the salary chapter and are not counted. Recurrent line: the volume prints no external financing outside investment, so the origin is domestic. No revised stage: the LFR moves money inside the chapter without listing this activity (chapter initial 35,675,100 FCFA). Publisher's copy md5 65b2d0b7d7c4b3d5e2f9e4d65a47d5a1 matches lookups/artefact-md5-index.csv."
bfa-2024-02-004-0040207,BFA,national,,Exercice 2024,2024-01-01,2024-12-31,gregorian,original,,02,02 - Secrétariat Général du Gouvernement et du Conseil des Ministres,1013000311,DTIC,004,Organisation du travail gouvernemental,00402,Diffusion de la règle de droit,,printed,printed,activity,Gerer le site web du SGG-CM www.sggcm.gov.bf,Runs and updates a website.,dpi.govtech,whole,"A line of the ministry's IT unit (DTIC) that names a system, software, platform, digitisation or security task, which the IT-unit rule records whole.",domestic-state,domestic-revenue,false,,XOF,"milliers de F CFA as printed (en milliers de F CFA); stored normalised to units (x1,000)",,2000000,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Loi de finances 2024, volume intégral, section 02, *Prévisions des dépenses par programmes, actions, par chapitres et par activités*, PDF p. 167, programme 004, action 00402, chapitre 1013000311 DTIC, activité 0040207, column CP 2024",2023-12-15-bfa-lf-2024-volume-integral-companion,2026-09-25,,"CP 2,000 thousand (AE 0). Cross-foot: every action's unbracketed activities sum to its figure in the volume's *Prévision des dépenses par actions* table, and actions to programmes to the section total; bracketed amounts are personnel carried in the salary chapter and are not counted. Recurrent line: the volume prints no external financing outside investment, so the origin is domestic. No revised stage: the LFR moves money inside the chapter without listing this activity (chapter initial 35,675,100 FCFA). Publisher's copy md5 65b2d0b7d7c4b3d5e2f9e4d65a47d5a1 matches lookups/artefact-md5-index.csv."
bfa-2024-02-004-0040214,BFA,national,,Exercice 2024,2024-01-01,2024-12-31,gregorian,original,,02,02 - Secrétariat Général du Gouvernement et du Conseil des Ministres,1013000311,DTIC,004,Organisation du travail gouvernemental,00402,Diffusion de la règle de droit,,printed,printed,activity,Prendre en charge les ressources humaines,Staff pay of DTIC.,dpi.govtech,partial,"A line of the ministry's own IT unit (DTIC); it pays for systems work and desktop support together and the volume does not separate them, so it is held partial under the IT-unit rule.",domestic-state,domestic-revenue,false,,XOF,"milliers de F CFA as printed (en milliers de F CFA); stored normalised to units (x1,000)",,210000,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Loi de finances 2024, volume intégral, section 02, *Prévisions des dépenses par programmes, actions, par chapitres et par activités*, PDF p. 167, programme 004, action 00402, chapitre 1013000311 DTIC, activité 0040214, column CP 2024",2023-12-15-bfa-lf-2024-volume-integral-companion,2026-09-25,,"CP 210 thousand (AE 0). Cross-foot: every action's unbracketed activities sum to its figure in the volume's *Prévision des dépenses par actions* table, and actions to programmes to the section total; bracketed amounts are personnel carried in the salary chapter and are not counted. Recurrent line: the volume prints no external financing outside investment, so the origin is domestic. No revised stage: the LFR moves money inside the chapter without listing this activity (chapter initial 35,675,100 FCFA). Publisher's copy md5 65b2d0b7d7c4b3d5e2f9e4d65a47d5a1 matches lookups/artefact-md5-index.csv."
bfa-2024-02-004-0040312,BFA,national,,Exercice 2024,2024-01-01,2024-12-31,gregorian,original,,02,02 - Secrétariat Général du Gouvernement et du Conseil des Ministres,1013000311,DTIC,004,Organisation du travail gouvernemental,00403,Pilotage et soutien des services du Secrétariat Général du gouvernement et du Conseil des Ministres,,printed,printed,activity,Etudier et développer des applications informatiques,Develops or updates the ministry's software applications.,dpi.govtech,whole,"A line of the ministry's IT unit (DTIC) that names a system, software, platform, digitisation or security task, which the IT-unit rule records whole.",domestic-state,domestic-revenue,false,,XOF,"milliers de F CFA as printed (en milliers de F CFA); stored normalised to units (x1,000)",,11000000,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Loi de finances 2024, volume intégral, section 02, *Prévisions des dépenses par programmes, actions, par chapitres et par activités*, PDF p. 172, programme 004, action 00403, chapitre 1013000311 DTIC, activité 0040312, column CP 2024",2023-12-15-bfa-lf-2024-volume-integral-companion,2026-09-25,,"CP 11,000 thousand (AE 0). Cross-foot: every action's unbracketed activities sum to its figure in the volume's *Prévision des dépenses par actions* table, and actions to programmes to the section total; bracketed amounts are personnel carried in the salary chapter and are not counted. Recurrent line: the volume prints no external financing outside investment, so the origin is domestic. No revised stage: chapter not printed legibly in the LFR. Publisher's copy md5 65b2d0b7d7c4b3d5e2f9e4d65a47d5a1 matches lookups/artefact-md5-index.csv."
bfa-2024-02-004-0040335,BFA,national,,Exercice 2024,2024-01-01,2024-12-31,gregorian,original,,02,02 - Secrétariat Général du Gouvernement et du Conseil des Ministres,1013000311,DTIC,004,Organisation du travail gouvernemental,00403,Pilotage et soutien des services du Secrétariat Général du gouvernement et du Conseil des Ministres,,printed,printed,activity,Prendre en charge les ressources humaines,Staff pay of DTIC.,dpi.govtech,partial,"A line of the ministry's own IT unit (DTIC); it pays for systems work and desktop support together and the volume does not separate them, so it is held partial under the IT-unit rule.",domestic-state,domestic-revenue,false,,XOF,"milliers de F CFA as printed (en milliers de F CFA); stored normalised to units (x1,000)",,210000,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Loi de finances 2024, volume intégral, section 02, *Prévisions des dépenses par programmes, actions, par chapitres et par activités*, PDF p. 172, programme 004, action 00403, chapitre 1013000311 DTIC, activité 0040335, column CP 2024",2023-12-15-bfa-lf-2024-volume-integral-companion,2026-09-25,,"CP 210 thousand (AE 0). Cross-foot: every action's unbracketed activities sum to its figure in the volume's *Prévision des dépenses par actions* table, and actions to programmes to the section total; bracketed amounts are personnel carried in the salary chapter and are not counted. Recurrent line: the volume prints no external financing outside investment, so the origin is domestic. No revised stage: chapter not printed legibly in the LFR. Publisher's copy md5 65b2d0b7d7c4b3d5e2f9e4d65a47d5a1 matches lookups/artefact-md5-index.csv."
bfa-2024-02-004-0040371,BFA,national,,Exercice 2024,2024-01-01,2024-12-31,gregorian,original,,02,02 - Secrétariat Général du Gouvernement et du Conseil des Ministres,1013000311,DTIC,004,Organisation du travail gouvernemental,00403,Pilotage et soutien des services du Secrétariat Général du gouvernement et du Conseil des Ministres,,printed,printed,activity,Assurer le déploiement du e-conseil et former les acteurs,"Deploys, updates and trains users of the E-conseil cabinet-business application.",dpi.govtech,whole,"A line of the ministry's IT unit (DTIC) that names a system, software, platform, digitisation or security task, which the IT-unit rule records whole.",domestic-state,domestic-revenue,false,,XOF,"milliers de F CFA as printed (en milliers de F CFA); stored normalised to units (x1,000)",,17000000,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Loi de finances 2024, volume intégral, section 02, *Prévisions des dépenses par programmes, actions, par chapitres et par activités*, PDF p. 172, programme 004, action 00403, chapitre 1013000311 DTIC, activité 0040371, column CP 2024",2023-12-15-bfa-lf-2024-volume-integral-companion,2026-09-25,,"CP 17,000 thousand (AE 0). Cross-foot: every action's unbracketed activities sum to its figure in the volume's *Prévision des dépenses par actions* table, and actions to programmes to the section total; bracketed amounts are personnel carried in the salary chapter and are not counted. Recurrent line: the volume prints no external financing outside investment, so the origin is domestic. No revised stage: chapter not printed legibly in the LFR. Publisher's copy md5 65b2d0b7d7c4b3d5e2f9e4d65a47d5a1 matches lookups/artefact-md5-index.csv."
bfa-2024-03-005-0050219,BFA,national,,Exercice 2024,2024-01-01,2024-12-31,gregorian,revised,restated-total,03,03 - Primature,1011000311,DAD,005,Soutien à l'action de la Primature,00502,"Gestion de la communication,de la documentation et de l'archivage",,printed,printed,activity,Numérisation des archives de la Primature,Digitises records and archives.,dpi.govtech,whole,"The activity's own text names a digital system, software, platform, database, digitisation, cybersecurity or connectivity task.",domestic-state,domestic-revenue,false,,XOF,"milliers de F CFA as printed (en milliers de F CFA); stored normalised to units (x1,000)",,10000000,10000000,,,,appropriated,revised,,,budget-document,appropriation-act,"Loi de finances 2024, volume intégral, section 03, *Prévisions des dépenses par programmes, actions, par chapitres et par activités*, PDF p. 182, programme 005, action 00502, chapitre 1011000311 DAD, activité 0050219, column CP 2024; LFR 2024 volume, section 03, *Présentation des dépenses par action, par chapitre et par activités*, column Prévisions révisées CP",2023-12-15-bfa-lf-2024-volume-integral-companion,2026-09-25,,"CP 10,000 thousand (AE 0). Cross-foot: every action's unbracketed activities sum to its figure in the volume's *Prévision des dépenses par actions* table, and actions to programmes to the section total; bracketed amounts are personnel carried in the salary chapter and are not counted. Recurrent line: the volume prints no external financing outside investment, so the origin is domestic. Revised from the LFR 2024: the activity is not listed and its chapter's initial and revised figures, less the listed activities, equal the volume's unlisted activities, so it is unchanged. Publisher's copy md5 65b2d0b7d7c4b3d5e2f9e4d65a47d5a1 matches lookups/artefact-md5-index.csv."
