deal_id,place,state_level,spending_tier_name,fiscal_year_label,fy_start,fy_end,fy_calendar,budget_version,supplementary_basis,admin_head_code,admin_head,spending_entity_code,spending_entity,programme_code,programme,sub_programme_code,sub_programme,econ_class,line_name,purpose,primary_subject,scope_confidence,scope_basis,finance_origin,funding_source,is_transfer,transfer_to,currency,amount_scale,proposed,appropriated,revised,released,actual,audited,baseline_stage,current_stage,exec_vs_voted,exec_vs_revised,source_tier,doc_type,doc_locator,source_slug,extracted,origin_record,notes
civ-2025-322-78010200285,CIV,national,,2025,2025-01-01,2025-12-31,,original,,,,,Ministère des Finances et du Budget (section 322),,,,,,Prendre en charge la fourniture de licences Microsoft et services de s…,"« Prendre en charge la fourniture de licences Microsoft et services de support associés, dans le cadre du projet e-GOUV » — activité 78010200285, as printed in the finance law.",dpi.govtech,whole,Named project line whose stated purpose is a digital system; identified by the cross-vote scan over the full estimates volume (BUDGET-EXTRACT.md §4a).,domestic-state,domestic-revenue,false,,XOF,"FCFA full units, no multiplier",,2946505499,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"*Détail du Budget Général Hors Dette et Hors Comptes Spéciaux*, section 322, activité 78010200285",,2026-07-26,2024-12-18-civ-2025-322-78010200285,"A single named-vendor licence line, more than doubling across three years** (+115,7%). One of the few places in this corpus where a budget document names the supplier, and the clearest statement of platform dependency the Ivorian budget makes. · Origin established, not inferred.** This is a recurrent line, so it does not appear in the loi de règlement's investment annexe (ANNEXE-X) at all; recurrent expenditure is met from the general budget. It is not in the annexe's `PROJETS COFINANCES` block, which is where externally-financed lines appear with their `Don` / `Emprunt` sub-rows."
civ-2025-322-78011201795,CIV,national,,2025,2025-01-01,2025-12-31,,original,,,,,Ministère des Finances et du Budget (section 322),,,,,,Dématérialiser les Marchés Publics (DEMAT/DGMP),"« Dématérialiser les Marchés Publics (DEMAT/DGMP) » — activité 78011201795, as printed in the finance law.",dpi.govtech,whole,Named project line whose stated purpose is a digital system; identified by the cross-vote scan over the full estimates volume (BUDGET-EXTRACT.md §4a).,domestic-state,domestic-revenue,false,,XOF,"FCFA full units, no multiplier",,427858636,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"*Détail du Budget Général Hors Dette et Hors Comptes Spéciaux*, section 322, activité 78011201795",,2026-07-26,2024-12-18-civ-2025-322-78011201795,"Origin established, not inferred.** The estimates volume prints no source-of-financing column, but the loi de règlement's ANNEXE-X separates `PROJETS COFINANCES` — each carrying `1 Trésor` / `2 Don` / `3 Emprunt` sub-rows — from the ordinary per-section listing, which is Trésor-financed by construction. **This line appears in the ordinary listing, not the cofinancé block**, so it is domestically financed."
civ-2025-322-78011201821,CIV,national,,2025,2025-01-01,2025-12-31,,original,,,,,Ministère des Finances et du Budget (section 322),,,,,,Acquérir des serveurs dans le cadre du projet de refonte du système d'…,"« Acquérir des serveurs dans le cadre du projet de refonte du système d'information des Douanes » — activité 78011201821, as printed in the finance law.",dpi.govtech,whole,Named project line whose stated purpose is a digital system; identified by the cross-vote scan over the full estimates volume (BUDGET-EXTRACT.md §4a).,domestic-state,domestic-revenue,false,,XOF,"FCFA full units, no multiplier",,241148996,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"*Détail du Budget Général Hors Dette et Hors Comptes Spéciaux*, section 322, activité 78011201821",,2026-07-26,2024-12-18-civ-2025-322-78011201821,"Identical in all three years. · Origin established, not inferred.** The estimates volume prints no source-of-financing column, but the loi de règlement's ANNEXE-X separates `PROJETS COFINANCES` — each carrying `1 Trésor` / `2 Don` / `3 Emprunt` sub-rows — from the ordinary per-section listing, which is Trésor-financed by construction. **This line appears in the ordinary listing, not the cofinancé block**, so it is domestically financed."
civ-2025-322-78011201876,CIV,national,,2025,2025-01-01,2025-12-31,,original,,,,,Ministère des Finances et du Budget (section 322),,,,,,Appui à l'informatisation de la Direction Générale du Budget et des Fi…,"« Appui à l'informatisation de la Direction Générale du Budget et des Finances (DGBF) » — activité 78011201876, as printed in the finance law.",dpi.govtech,whole,Named project line whose stated purpose is a digital system; identified by the cross-vote scan over the full estimates volume (BUDGET-EXTRACT.md §4a).,domestic-state,domestic-revenue,false,,XOF,"FCFA full units, no multiplier",,850000000,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"*Détail du Budget Général Hors Dette et Hors Comptes Spéciaux*, section 322, activité 78011201876",,2026-07-26,2024-12-18-civ-2025-322-78011201876,"Identical in all three years. · Origin established, not inferred.** The estimates volume prints no source-of-financing column, but the loi de règlement's ANNEXE-X separates `PROJETS COFINANCES` — each carrying `1 Trésor` / `2 Don` / `3 Emprunt` sub-rows — from the ordinary per-section listing, which is Trésor-financed by construction. **This line appears in the ordinary listing, not the cofinancé block**, so it is domestically financed."
civ-2025-322-78011201936,CIV,national,,2025,2025-01-01,2025-12-31,,original,,,,,Ministère des Finances et du Budget (section 322),,,,,,Réaliser les transferts pour le compte de la Convention d'Assistance T…,"« Réaliser les transferts pour le compte de la Convention d'Assistance Technique MEF/SNDI » — activité 78011201936, as printed in the finance law.",dpi.govtech,whole,Named project line whose stated purpose is a digital system; identified by the cross-vote scan over the full estimates volume (BUDGET-EXTRACT.md §4a).,domestic-state,domestic-revenue,false,,XOF,"FCFA full units, no multiplier",,734035758,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"*Détail du Budget Général Hors Dette et Hors Comptes Spéciaux*, section 322, activité 78011201936",,2026-07-26,2024-12-18-civ-2025-322-78011201936,"Identical in all three years. SNDI is the state-owned systems company through which the Ivorian administration buys much of its software; the FY2024 cross-vote scan found SNDI technical-assistance conventions in at least three ministries. Its own budget is not held, so this transfer counts normally. · Origin established, not inferred.** This is a recurrent line, so it does not appear in the loi de règlement's investment annexe (ANNEXE-X) at all; recurrent expenditure is met from the general budget. It is not in the annexe's `PROJETS COFINANCES` block, which is where externally-financed lines appear with their `Don` / `Emprunt` sub-rows."
civ-2025-322-78011202017,CIV,national,,2025,2025-01-01,2025-12-31,,original,,,,,Ministère des Finances et du Budget (section 322),,,,,,Projet de refonte du système d'information budgétaire,"« Projet de refonte du système d'information budgétaire » — activité 78011202017, as printed in the finance law.",dpi.govtech,whole,Named project line whose stated purpose is a digital system; identified by the cross-vote scan over the full estimates volume (BUDGET-EXTRACT.md §4a).,domestic-state,domestic-revenue,false,,XOF,"FCFA full units, no multiplier",,762430774,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"*Détail du Budget Général Hors Dette et Hors Comptes Spéciaux*, section 322, activité 78011202017",,2026-07-26,2024-12-18-civ-2025-322-78011202017,"Identical in all three years. · Origin established, not inferred.** The estimates volume prints no source-of-financing column, but the loi de règlement's ANNEXE-X separates `PROJETS COFINANCES` — each carrying `1 Trésor` / `2 Don` / `3 Emprunt` sub-rows — from the ordinary per-section listing, which is Trésor-financed by construction. **This line appears in the ordinary listing, not the cofinancé block**, so it is domestically financed."
civ-2025-322-78011202283,CIV,national,,2025,2025-01-01,2025-12-31,,original,,,,,Ministère des Finances et du Budget (section 322),,,,,,Sécurisation et sauvegarde du système d'information budgétaire/DSIB,"« Sécurisation et sauvegarde du système d'information budgétaire/DSIB » — activité 78011202283, as printed in the finance law.",infra.cybersec,whole,Named project line whose stated purpose is a digital system; identified by the cross-vote scan over the full estimates volume (BUDGET-EXTRACT.md §4a).,domestic-state,domestic-revenue,false,,XOF,"FCFA full units, no multiplier",,791881066,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"*Détail du Budget Général Hors Dette et Hors Comptes Spéciaux*, section 322, activité 78011202283",,2026-07-26,2024-12-18-civ-2025-322-78011202283,"Origin established, not inferred.** The estimates volume prints no source-of-financing column, but the loi de règlement's ANNEXE-X separates `PROJETS COFINANCES` — each carrying `1 Trésor` / `2 Don` / `3 Emprunt` sub-rows — from the ordinary per-section listing, which is Trésor-financed by construction. **This line appears in the ordinary listing, not the cofinancé block**, so it is domestically financed."
civ-2025-322-78011202308,CIV,national,,2025,2025-01-01,2025-12-31,,original,,,,,Ministère des Finances et du Budget (section 322),,,,,,Numériser les archives de la Solde,"« Numériser les archives de la Solde » — activité 78011202308, as printed in the finance law.",dpi.govtech,whole,Named project line whose stated purpose is a digital system; identified by the cross-vote scan over the full estimates volume (BUDGET-EXTRACT.md §4a).,domestic-state,domestic-revenue,false,,XOF,"FCFA full units, no multiplier",,129981572,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"*Détail du Budget Général Hors Dette et Hors Comptes Spéciaux*, section 322, activité 78011202308",,2026-07-26,2024-12-18-civ-2025-322-78011202308,"Origin established, not inferred.** The estimates volume prints no source-of-financing column, but the loi de règlement's ANNEXE-X separates `PROJETS COFINANCES` — each carrying `1 Trésor` / `2 Don` / `3 Emprunt` sub-rows — from the ordinary per-section listing, which is Trésor-financed by construction. **This line appears in the ordinary listing, not the cofinancé block**, so it is domestically financed."
civ-2025-322-78011202400,CIV,national,,2025,2025-01-01,2025-12-31,,original,,,,,Ministère des Finances et du Budget (section 322),,,,,,Moderniser et Sécuriser le Système d'Information du Trésor Public,"« Moderniser et Sécuriser le Système d'Information du Trésor Public » — activité 78011202400, as printed in the finance law.",dpi.govtech,whole,Named project line whose stated purpose is a digital system; identified by the cross-vote scan over the full estimates volume (BUDGET-EXTRACT.md §4a).,domestic-state,domestic-revenue,false,,XOF,"FCFA full units, no multiplier",,3267947001,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"*Détail du Budget Général Hors Dette et Hors Comptes Spéciaux*, section 322, activité 78011202400",,2026-07-26,2024-12-18-civ-2025-322-78011202400,"Origin established, not inferred.** The estimates volume prints no source-of-financing column, but the loi de règlement's ANNEXE-X separates `PROJETS COFINANCES` — each carrying `1 Trésor` / `2 Don` / `3 Emprunt` sub-rows — from the ordinary per-section listing, which is Trésor-financed by construction. **This line appears in the ordinary listing, not the cofinancé block**, so it is domestically financed."
civ-2025-323-78016001644,CIV,national,,2025,2025-01-01,2025-12-31,,original,,,,,Ministère de l'Intérieur et de la Sécurité (section 323),,,,,,Identifier les populations/ONECI,"« Identifier les populations/ONECI » — activité 78016001644, as printed in the finance law.",dpi.id,whole,Named project line whose stated purpose is a digital system; identified by the cross-vote scan over the full estimates volume (BUDGET-EXTRACT.md §4a).,domestic-state,domestic-revenue,false,,XOF,"FCFA full units, no multiplier",,8791576615,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"*Détail du Budget Général Hors Dette et Hors Comptes Spéciaux*, section 323, activité 78016001644",,2026-07-26,2024-12-18-civ-2025-323-78016001644,"The largest single digital line in the Ivorian budget outside the digital ministry**, and larger than the whole of MTND's Administration Générale programme in every year. Up 75,8% in FY2025 and held flat into FY2026. · Origin established, not inferred.** This is a recurrent line, so it does not appear in the loi de règlement's investment annexe (ANNEXE-X) at all; recurrent expenditure is met from the general budget. It is not in the annexe's `PROJETS COFINANCES` block, which is where externally-financed lines appear with their `Don` / `Emprunt` sub-rows."
