fy,fiscal_year_label,basis,line_name,code,primary_subject,scope_confidence,funding_source,currency,amount_scale,proposed,appropriated,revised,doc_locator,source_slug,extracted,notes
2024,Exercice 2024,line,Don BAD / Projet Appui au recensement général de la population et bases de données sociales,2401320322000000724815000000,data.statistics,whole,external-grant,CDF,"franc congolais (FC), full units as printed; the detail tables carry no scale header",,9751250288,,"Loi de finances n°23/056 du 10 décembre 2023 (exercice 2024), Vol. 2, Détails des dépenses par section et rubrique budgétaire, PDF p. 459 (printed p. 172 of 620), section 32, group 'Investissements sur Ressources Extérieures', chapitre 32200, imputation 2401320322000000724815000000, project 203407",2023-12-10-cod-lf-2024-vol2-developpement-titre-credits-companion,2026-09-25,"Printed under the external-resources investment group, with funding digit 5 in the imputation key; printed as an African Development Bank grant (Don BAD). The publisher's copy fetched for this sitting has md5 bcb91070e46f5b4cae37b3505376b09f, the same as OSINT's artefact index for this companion."
2024,Exercice 2024,line,"Don BAD/ Projet d'Appui ADN, Elaboration PDILB et Etudes des faisabilités CAB-RDC",2401320322000000724815000000,infra.connect,whole,external-grant,CDF,"franc congolais (FC), full units as printed; the detail tables carry no scale header",,1809030541,,"Loi de finances n°23/056 du 10 décembre 2023 (exercice 2024), Vol. 2, Détails des dépenses par section et rubrique budgétaire, PDF p. 459 (printed p. 172 of 620), section 32, group 'Investissements sur Ressources Extérieures', chapitre 32200, imputation 2401320322000000724815000000, project 233026",2023-12-10-cod-lf-2024-vol2-developpement-titre-credits-companion,2026-09-25,"Printed under the external-resources investment group, with funding digit 5 in the imputation key; printed as an African Development Bank grant (Don BAD). The publisher's copy fetched for this sitting has md5 bcb91070e46f5b4cae37b3505376b09f, the same as OSINT's artefact index for this companion."
2024,Exercice 2024,line,Banque mondiale / Projet CAB5 cinquième phase télécommunication haut débit,2404110522000000724815000000,infra.connect,whole,external,CDF,"franc congolais (FC), full units as printed; the detail tables carry no scale header",,95512273724,,"Loi de finances n°23/056 du 10 décembre 2023 (exercice 2024), Vol. 2, Détails des dépenses par section et rubrique budgétaire, PDF p. 733 (printed p. 446 of 620), section 52, group 'Investissements sur Ressources Extérieures', chapitre 52200, imputation 2404110522000000724815000000, project 193016",2023-12-10-cod-lf-2024-vol2-developpement-titre-credits-companion,2026-09-25,"Printed under the external-resources investment group, with funding digit 5 in the imputation key; the World Bank is named but not the instrument. The publisher's copy fetched for this sitting has md5 bcb91070e46f5b4cae37b3505376b09f, the same as OSINT's artefact index for this companion."
2025,Exercice 2025,line,Don BAD / Projet Appui au recensement général de la population et bases de données sociales,2501320322000000724815000000,data.statistics,whole,external-grant,CDF,"franc congolais (FC), full units as printed; the detail tables carry no scale header",,,9751250288,"Loi de finances rectificative n°25/044 du 28 juin 2025 (exercice 2025), Vol. 2, Détails des dépenses par section et rubrique budgétaire, PDF p. 446 (printed p. 169 of 604), section 32, group 'Investissements sur Ressources Extérieures', chapitre 32200, imputation 2501320322000000724815000000, project 203407",2025-06-28-cod-lfr-2025-n25-044-vol2-depenses-companion,2026-09-25,"Baseline is the revised stage: the only enacted FY2025 detail published is the rectificative law of 28 June 2025, which restates every line in full; the original 2025 law's detail is not published, so no appropriated figure is held. Printed under the external-resources investment group, with funding digit 5 in the imputation key; printed as an African Development Bank grant (Don BAD). The publisher's copy fetched for this sitting has md5 ef76e7ae43cad8357d36c1c22442fa7f, the same as OSINT's artefact index for this companion."
2025,Exercice 2025,line,"Don BAD/ Projet d'Appui ADN, Elaboration PDILB et Etudes des faisabilités CAB-RDC",2501320322000000724815000000,infra.connect,whole,external-grant,CDF,"franc congolais (FC), full units as printed; the detail tables carry no scale header",,,1809030541,"Loi de finances rectificative n°25/044 du 28 juin 2025 (exercice 2025), Vol. 2, Détails des dépenses par section et rubrique budgétaire, PDF p. 446 (printed p. 169 of 604), section 32, group 'Investissements sur Ressources Extérieures', chapitre 32200, imputation 2501320322000000724815000000, project 233026",2025-06-28-cod-lfr-2025-n25-044-vol2-depenses-companion,2026-09-25,"Baseline is the revised stage: the only enacted FY2025 detail published is the rectificative law of 28 June 2025, which restates every line in full; the original 2025 law's detail is not published, so no appropriated figure is held. Printed under the external-resources investment group, with funding digit 5 in the imputation key; printed as an African Development Bank grant (Don BAD). The publisher's copy fetched for this sitting has md5 ef76e7ae43cad8357d36c1c22442fa7f, the same as OSINT's artefact index for this companion."
2026,Exercice 2026,line,Projet d'appui à la mobilisation informatisée des Ressources / PAMIR / AFD,2601120302000352724125000000,dpi.govtech,whole,external,CDF,"franc congolais (FC), full units as printed; the detail tables carry no scale header",,8348527007,,"Loi de finances n°25/060 du 29 décembre 2025 (exercice 2026), Vol. 2, Détails des dépenses par section et rubrique budgétaire, PDF p. 470 (printed p. 146 of 623), section 30, group 'Investissements sur Ressources Extérieures', chapitre 30200, imputation 2601120302000352724125000000, project 261039",2025-12-29-cod-lf-2026-n25-060-vol2-depenses-companion,2026-09-25,"Printed under the external-resources investment group, with funding digit 5 in the imputation key; AFD is named after the title but not the instrument. The publisher's copy fetched for this sitting has md5 850d75489b93992717dd23f85fcd8250, the same as OSINT's artefact index for this companion."
2026,Exercice 2026,line,Modernisation et informatisation des Systèmes de communication du Ministère des Finances / CHINE,2601120302000352724125000000,dpi.govtech,whole,external,CDF,"franc congolais (FC), full units as printed; the detail tables carry no scale header",,43283636006,,"Loi de finances n°25/060 du 29 décembre 2025 (exercice 2026), Vol. 2, Détails des dépenses par section et rubrique budgétaire, PDF p. 470 (printed p. 146 of 623), section 30, group 'Investissements sur Ressources Extérieures', chapitre 30200, imputation 2601120302000352724125000000, project 261040",2025-12-29-cod-lf-2026-n25-060-vol2-depenses-companion,2026-09-25,"Printed under the external-resources investment group, with funding digit 5 in the imputation key; China is named after the title but not the instrument. The publisher's copy fetched for this sitting has md5 850d75489b93992717dd23f85fcd8250, the same as OSINT's artefact index for this companion."
2026,Exercice 2026,line,Don BAD / Projet Appui au recensement général de la population et bases de données sociales,2601320322000432724815000000,data.statistics,whole,external-grant,CDF,"franc congolais (FC), full units as printed; the detail tables carry no scale header",,4076172328,,"Loi de finances n°25/060 du 29 décembre 2025 (exercice 2026), Vol. 2, Détails des dépenses par section et rubrique budgétaire, PDF p. 494 (printed p. 170 of 623), section 32, group 'Investissements sur Ressources Extérieures', chapitre 32200, imputation 2601320322000432724815000000, project 203407",2025-12-29-cod-lf-2026-n25-060-vol2-depenses-companion,2026-09-25,"Printed under the external-resources investment group, with funding digit 5 in the imputation key; printed as an African Development Bank grant (Don BAD). The publisher's copy fetched for this sitting has md5 850d75489b93992717dd23f85fcd8250, the same as OSINT's artefact index for this companion."
2026,Exercice 2026,line,"Don BAD/ Projet d'Appui ADN, Elaboration PDILB et Etudes des faisabilités CAB-RDC",2601320322000432724815000000,infra.connect,whole,external-grant,CDF,"franc congolais (FC), full units as printed; the detail tables carry no scale header",,769382193,,"Loi de finances n°25/060 du 29 décembre 2025 (exercice 2026), Vol. 2, Détails des dépenses par section et rubrique budgétaire, PDF p. 494 (printed p. 170 of 623), section 32, group 'Investissements sur Ressources Extérieures', chapitre 32200, imputation 2601320322000432724815000000, project 233026",2025-12-29-cod-lf-2026-n25-060-vol2-depenses-companion,2026-09-25,"Printed under the external-resources investment group, with funding digit 5 in the imputation key; printed as an African Development Bank grant (Don BAD). The publisher's copy fetched for this sitting has md5 850d75489b93992717dd23f85fcd8250, the same as OSINT's artefact index for this companion."
2026,Exercice 2026,line,Projet d'appui à la transformation numérique en RDC / AFD,2604600712001902724125000000,dpi.govtech,whole,external,CDF,"franc congolais (FC), full units as printed; the detail tables carry no scale header",,145015000000,,"Loi de finances n°25/060 du 29 décembre 2025 (exercice 2026), Vol. 2, Détails des dépenses par section et rubrique budgétaire, PDF p. 879 (printed p. 555 of 623), section 71, group 'Investissements sur Ressources Extérieures', chapitre 71200, imputation 2604600712001902724125000000, project 261003",2025-12-29-cod-lf-2026-n25-060-vol2-depenses-companion,2026-09-25,"Printed under the external-resources investment group, with funding digit 5 in the imputation key; AFD is named after the title but not the instrument. The publisher's copy fetched for this sitting has md5 850d75489b93992717dd23f85fcd8250, the same as OSINT's artefact index for this companion."
