deal_id,place,state_level,spending_tier_name,fiscal_year_label,fy_start,fy_end,fy_calendar,budget_version,supplementary_basis,admin_head_code,admin_head,spending_entity_code,spending_entity,programme_code,programme,sub_programme_code,sub_programme,econ_class,admin_head_basis,programme_basis,programme_level,line_name,purpose,primary_subject,scope_confidence,scope_basis,finance_origin,funding_source,is_transfer,transfer_to,currency,amount_scale,proposed,appropriated,revised,released,actual,audited,baseline_stage,current_stage,exec_vs_voted,exec_vs_revised,source_tier,doc_type,doc_locator,source_slug,extracted,origin_record,notes
cpv-2025-cv-plataforma-digital-e-inovacao,CPV,national,,2025,2025-01-01,2025-12-31,gregorian,original,,,"Pilar Economia (classificação por programa, Mapa VII)",,Ministério da Economia Digital (vote 01.03.02) principally; the programme is cross-vote,,CABO VERDE PLATAFORMA DIGITAL E DA INOVAÇÃO,,,,printed,printed,programme,CABO VERDE PLATAFORMA DIGITAL E DA INOVAÇÃO,CABO VERDE PLATAFORMA DIGITAL E DA INOVAÇÃO - programme of the *Economia* pillar. The volume prints the programme title and its financing split and no narrative.,dpi.govtech,whole,Explicit programme title - the state's own digital platform and innovation programme. Single-purpose by title; the whole domestic share is digital.,domestic-state,domestic-revenue,false,,CVE,"escudos (units). The FY2025 mapas print commas as the thousands separator where FY2024 printed full stops and the Conta Provisória prints spaces - parse per table. Proved by cross-footing Tesouro 595,668,565 + OFN 2,000,000 + Donativo 37,000,000 + Empréstimo 216,835,642 = Total 851,504,207, and by the mapa's grand total 97,911,339,875.",,597668565,797668565,,593300771,,appropriated,actual,99.3,74.4,budget-document,appropriation-act,"Lei n.º 45/X/2024, BO I Serie n.º 125 Suplemento de 30-12-2024, `Mapa VII` (BO p.98); outturn at `Mapas_Contas_4o_Trim_2025_Site.xlsx`, sheet `Mapa VII_ Despesas por Programa`, row 16",2024-12-30-cpv-lei-45-x-2024-orcamento-do-estado-2025-source,2026-08-04,2024-12-30-cpv-2025-cv-plataforma-digital-e-inovacao,"`Mapa VII - Despesa por Programa e Tipo de Financiamento` is the only table in the Cabo Verdean budget that states a digital line's **purpose** and its **financing origin** together. Columns: `Tesouro | OFN (Outras Fontes Nacionais) | FCP AAL (Fundo de Contravalor / Ajuda Alimentar) | Donativo | Empréstimos | Total`. **`Tesouro + OFN` is the domestic-state share and is what this record carries**; `Donativo` and `Empréstimos` are external and are excluded by the origin gate. · Why the programme axis and not the ministry vote.** `Mapa III` publishes the vote only as ministry x programme *type* (Investimento / Finalístico / Gestão e Apoio Administrativo). `Mapa VII` is the finest published grain at which a line's stated purpose is digital, and the only one that prints the origin split. Recording both axes would double-count the same escudos, so the organic figures are carried here as context. · Cabo Verde passed no rectificative budget for 2025, and that is the country's normal mechanism, not an omission.** The revised stage here is the `Orçamento Reprogramado` column of the fourth-quarter provisional account, which is the accumulated result of twelve monthly `Alterações Orçamentais` virement files. State-wide the ORP exceeds the appropriation by 11.5% (97,911,339,793 -> 109,150,760,055) with no statute behind it. The FY2026 volume confirms this rather than superseding it: its comparator column for 2025 is labelled `OE` and `Estimativa`, and its 168-page narrative contains no occurrence of `retificativ`, `rectificativ` or `revisto`. · The two axes tell opposite stories and both are true.** On the organic axis the digital ministry looks like a failure: `01.03.02 GOV - Ministério Da Economia Digital` **OI CVE 369,781,930** (Investimento **0** + Finalístico 342,498,843 + Apoio 27,283,087) -> **ORP 1,472,731,889** (661,584,487 + 783,864,315 + 27,283,087) -> **EXE 558,272,390** (8,446,342 + 524,832,801 + 24,993,247) = **37.9% of ORP**, against a state-wide 79.1%, with **investment executed at 1.3%**. On the programme axis the state's own digital money was spent almost in full - 99.3% of what was voted. **The gap is the external money**: what did not move in FY2025 was the CVE 1.37bn of loan finance reprogrammed into the digital ministry, not the escudos the Assembly voted. Both figures are recorded here and neither should be quoted without the other. · The digital vote was cut 73.4% and its capital line appropriated at a printed zero** - CVE 1,390,965,632 in FY2024 to CVE 369,781,930 in FY2025, against a total state expenditure that rose 13.9% from 85,948,752,206 to 97,911,339,875. **The programme's domestic share went the other way**, from CVE 568,184,541 to CVE 597,668,565, +5.2%. The vote fell; the state's own digital spending did not. · Then the capital was re-created in-year and still not spent.** FY2024: CVE 553,090,000 of investment appropriated, a printed literal zero executed. FY2025: zero appropriated, **CVE 661,584,487 created by virement** - almost exactly the previous year's unspent capital - and CVE 8,446,342 executed, 1.3%. The reprogrammed totals for the two years are near-identical (1,483,485,681 and 1,472,731,889). The money is re-created annually and annually not spent. · The organic code for the state-modernisation ministry moved from `01.03.10` (FY2024) to `01.03.11` (FY2025).** Codes are the cross-year join key in this dataset and this one is not stable; a series built on the code alone would break here. · `amount_usd` left blank.** No named fiscal-year-average CVE/USD rate is held; the escudo is pegged to the euro (110.265 CVE/EUR), so a dollar figure would be a two-step conversion the wiki cannot date to a named source."
cpv-2025-fusi,CPV,levy-fund,Fundo de Serviço Universal e Desenvolvimento da Sociedade de Informação,2025,2025-01-01,2025-12-31,gregorian,original,,,"Receitas consignadas e respectivas contrapartidas em despesas (anexo do OE, LEO art. 36 h))",,Fundo de Serviço Universal e Desenvolvimento da Sociedade de Informação (FUSI),10,Fundo de Serviço Universal e Desenvolvimento da Sociedade de Informação (FUSI),,,,printed,printed,programme,Fundo de Serviço Universal e Desenvolvimento da Sociedade de Informação (FUSI),`Fundo de Serviço Universal e Desenvolvimento da Sociedade de Informação (FUSI)` - the counterpart expenditure of the operator contribution and the radio-spectrum fee. The table prints the fund's name and its amount and nothing else.,infra.connect,whole,"Single-mandate fund - universal service and information-society development, financed by operator contributions and the radio-spectrum fee. Its whole appropriation is digital by mandate.",domestic-state,own-source,true,,CVE,"escudos (units), space thousands separator",,122073633,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Lei n.º 45/X/2024, receitas consignadas table, item 10 `Contribuição das Operadoras de Comunicações e Taxa de Espetro Radioelétrico` -> `Fundo de Serviço Universal e Desenvolvimento da Sociedade de Informação (FUSI)` 122,073,633",2024-12-30-cpv-lei-45-x-2024-orcamento-do-estado-2025-source,2026-08-04,2024-12-30-cpv-2025-fusi,"`is_transfer: true`, and why.** The table does not name the vote that carries this counterpart expenditure, and FUSI appears in no `Mapa III`, `Mapa V` or `Mapa VI` row. It nests inside some ministry vote - most plausibly the *Cabo Verde Plataforma Digital e da Inovação* programme, which this pass also records. Flagging it as a transfer keeps it out of the compiled headline total while preserving the figure. · CVE 122,073,633, unchanged to the escudo across FY2024, FY2025 and FY2026.** Cabo Verde's universal-service fund is carried forward at a fixed figure rather than re-estimated against actual operator contributions and spectrum receipts. · The FY2025 enacted law prints this table; the FY2024 one did not**, which is why the FY2024 sibling record is `proposed` and this one is `appropriated`. · `amount_usd` left blank.** No named fiscal-year-average CVE/USD rate is held; the escudo is pegged to the euro (110.265 CVE/EUR), so a dollar figure would be a two-step conversion the wiki cannot date to a named source."
cpv-2025-modernizacao-estado-administracao-publica,CPV,national,,2025,2025-01-01,2025-12-31,gregorian,original,,,"Pilar Soberania (classificação por programa, Mapa VII)",,Ministério da Modernização do Estado e da Administracao Publica (vote 01.03.11) principally; the programme is cross-vote,,MODERNIZAÇÃO DO ESTADO E DA ADMINISTRAÇÃO PÚBLICA,,,,printed,printed,programme,MODERNIZAÇÃO DO ESTADO E DA ADMINISTRAÇÃO PÚBLICA,MODERNIZAÇÃO DO ESTADO E DA ADMINISTRAÇÃO PÚBLICA - programme of the *Soberania* pillar. The volume prints the programme title and its financing split and no narrative.,dpi.govtech,partial,"Programme title - state and public-administration modernisation, carrying the Casa do Cidadão one-stop-shop and e-government projects alongside civil-service pay and reform that are not digital. **partial**, and more emphatically so than in FY2024: the perimeter grew ninefold between the two years, so most of this figure is not digital and the digital share is not separable.",domestic-state,domestic-revenue,false,,CVE,"escudos (units), commas as thousands separator in the enacted mapas. The Soberania pillar's Tesouro column cross-foots exactly across its six programmes to 19,082,321,374.",,5434369323,5675075865,,5504660634,,appropriated,actual,101.3,97.0,budget-document,appropriation-act,"Lei n.º 45/X/2024, `Mapa VII` (BO p.98); outturn at `Mapas_Contas_4o_Trim_2025_Site.xlsx`, sheet `Mapa VII_ Despesas por Programa`, row 40",2024-12-30-cpv-lei-45-x-2024-orcamento-do-estado-2025-source,2026-08-04,2024-12-30-cpv-2025-modernizacao-estado-administracao-publica,"`Mapa VII - Despesa por Programa e Tipo de Financiamento` is the only table in the Cabo Verdean budget that states a digital line's **purpose** and its **financing origin** together. Columns: `Tesouro | OFN (Outras Fontes Nacionais) | FCP AAL (Fundo de Contravalor / Ajuda Alimentar) | Donativo | Empréstimos | Total`. **`Tesouro + OFN` is the domestic-state share and is what this record carries**; `Donativo` and `Empréstimos` are external and are excluded by the origin gate. · Why the programme axis and not the ministry vote.** `Mapa III` publishes the vote only as ministry x programme *type* (Investimento / Finalístico / Gestão e Apoio Administrativo). `Mapa VII` is the finest published grain at which a line's stated purpose is digital, and the only one that prints the origin split. Recording both axes would double-count the same escudos, so the organic figures are carried here as context. · THE PROGRAMME PERIMETER CHANGED NINEFOLD BETWEEN FY2024 AND FY2025 AND THE TWO YEARS ARE NOT COMPARABLE.** FY2024 `Mapa VII` gives this programme CVE 609,582,068; FY2025 gives CVE 5,434,369,323. The FY2025 Soberania pillar's Tesouro column cross-foots exactly (1,945,833,907 + 98,987,103 + 2,458,200,046 + 2,336,332,334 + 5,434,369,323 + 6,808,598,661 = 19,082,321,374), so this is a real reclassification and not a misread. **Do not read a 791% increase in state-modernisation spending off these two records.** The organic vote moved the other way over the same period, CVE 368,989,734 to CVE 269,785,474 (-26.9%). · The organic axis, for context.** `01.03.11 GOV - Ministério Da Modernização Do Estado E Da Administracao Publica`: **OI CVE 269,785,474** -> **ORP 325,287,576** (Investimento 55,502,102 + Finalístico 81,984,759 + Apoio 187,800,715) -> **EXE 196,110,402** (11,785,895 + 33,646,324 + 150,678,183) = **60.3% of ORP**. **Its investment line was also appropriated at a printed zero for FY2025**, then re-created at CVE 55,502,102 by virement. · The Casa do Cidadão earmarked lines nest inside this programme and are not recorded separately.** FY2025 `Taxa de Serviços Casa Cidadão` CVE 59,437,242, distributed as `Espaço Cidadão - Comunidade Integrada` 6,250,000, `Qualidade Prestação de Serviço` 32,300,000, `Implementação Balcão Único` 881,496 and `Implementação Novas Infraestruturas Tecnológicas` 20,005,746 (cross-foots exactly). The FY2024 equivalent was CVE 74,817,675 - a 21% cut. · `amount_usd` left blank.** No named fiscal-year-average CVE/USD rate is held; the escudo is pegged to the euro (110.265 CVE/EUR), so a dollar figure would be a two-step conversion the wiki cannot date to a named source."
cpv-2025-nosi-protocolos,CPV,soe,"NOSi, E.P.E.",2025,2025-01-01,2025-12-31,gregorian,original,,,"NOSi, E.P.E. - Plano de Atividades e Orçamento 2025",,"NOSi, E.P.E. (Núcleo Operacional da Sociedade de Informação)",,Protocolos,,,,printed,printed,programme,Protocolos,`Protocolos` - the line in NOSi's forecast service revenue covering inter-institutional protocols with state bodies. The plan prints the line title and the figure and no description.,dpi.govtech,whole,Single-mandate body - NOSi is the state's digital agency and does nothing else; the `Protocolos` line is money state bodies pay it under inter-institutional protocols.,domestic-state,domestic-revenue,true,,CVE,"milhares de escudos (mCVE)** - the table header reads `Previsão 2025 (mCVE)`. 333,345 mCVE = CVE 333,345,000. Still the only Cabo Verdean artefact in the country-year printed in thousands.",,333345000,,,,,appropriated,appropriated,,,budget-document,board-budget,"NOSi, E.P.E., `Plano de Atividades e Orçamento 2025`, section 5.1 `Previsão de Prestação de Serviços`, p.17, line `Protocolos`",2024-12-31-nosi-relatorio-de-gestao-e-contas-2024,2026-08-04,2025-01-01-cpv-2025-nosi-protocolos,"`is_transfer: true`.** The same escudos sit in the buying ministries' votes, which this pass records on the programme axis. · NOSi's money is now four times the whole digital vote, up from 73% a year earlier.** Forecast total revenue rose 46% (1,016,802 -> 1,486,249 mCVE) in the same year the `Ministério da Economia Digital` vote fell 73.4% (CVE 1,390,965,632 -> 369,781,930). **The state's digital money has migrated out of the appropriation and into a state enterprise's trading account.** Components (mCVE): Housing 27,432; IaaS 67,326; PaaS 9,431; SaaS 17,085; Comunicação 13,250; Acessórios 3,112; Bundled 68,620; **Protocolos 333,345 (unchanged)**; Outros 16,788; Consultoria/Formação/Estágio 23,226; Certificados Digitais 1,082; **Projetos 671,089 (+213%)**; **Projetos Financiados 234,465 (-13%)**. · `Projetos Financiados` CVE 234,465,000 is donor money and is excluded** by the origin gate; the plan names no financier, so no `non-state` record is built from it. · No outturn for FY2025.** *(Corrected 2026-08-04, superseding the note carried here that the `Relatório e Contas` series runs 2016–2023 and stops.)* The series runs **2016–2024** — the 2024 accounts are posted and are now held as 2024-12-31-nosi-relatorio-de-gestao-e-contas-2024. **No 2025 volume is posted (as of 2026-08-04)**, so this FY2025 forecast still cannot be tested against outturn. For calibration, the FY2024 `Protocolos` outturn came in at **CVE 455,964,000 against CVE 333,345,000 board-budgeted — 136.8% of plan**. · `amount_usd` left blank.** No named fiscal-year-average CVE/USD rate is held; the escudo is pegged to the euro (110.265 CVE/EUR), so a dollar figure would be a two-step conversion the wiki cannot date to a named source."
cpv-2025-sistema-informacao-desenvolvimento-sustentavel,CPV,national,,2025,2025-01-01,2025-12-31,gregorian,original,,,"Pilar Economia (classificação por programa, Mapa VII)",,Instituto Nacional de Estatística and the national statistical system; the programme is cross-vote,,PROGRAMA SISTEMA DE INFORMAÇÃO PARA O DESENVOLVIMENTO SUSTENTÁVEL,,,,printed,printed,programme,PROGRAMA SISTEMA DE INFORMAÇÃO PARA O DESENVOLVIMENTO SUSTENTÁVEL,PROGRAMA SISTEMA DE INFORMAÇÃO PARA O DESENVOLVIMENTO SUSTENTÁVEL - programme of the *Economia* pillar. The volume prints the programme title and its financing split and no narrative.,data.statistics,partial,"Programme title - the national statistical and monitoring information system. **partial**: official-statistics production is data infrastructure, but the volume never says what share is systems as opposed to survey fieldwork and the share is never computed.",domestic-state,domestic-revenue,false,,CVE,"escudos (units). Cross-foots Tesouro 302,771,454 + Empréstimo 88,764,328 = Total 391,535,782 at appropriation.",,302771454,302771454,,268893217,,appropriated,actual,88.8,88.8,budget-document,appropriation-act,"Lei n.º 45/X/2024, `Mapa VII` (BO p.98); outturn at `Mapas_Contas_4o_Trim_2025_Site.xlsx`, sheet `Mapa VII_ Despesas por Programa`, row 26",2024-12-30-cpv-lei-45-x-2024-orcamento-do-estado-2025-source,2026-08-04,2024-12-30-cpv-2025-sistema-informacao-desenvolvimento-sustentavel,"`Mapa VII - Despesa por Programa e Tipo de Financiamento` is the only table in the Cabo Verdean budget that states a digital line's **purpose** and its **financing origin** together. Columns: `Tesouro | OFN (Outras Fontes Nacionais) | FCP AAL (Fundo de Contravalor / Ajuda Alimentar) | Donativo | Empréstimos | Total`. **`Tesouro + OFN` is the domestic-state share and is what this record carries**; `Donativo` and `Empréstimos` are external and are excluded by the origin gate. · The domestic appropriation rose 19.6% on FY2024** (CVE 253,112,171 -> 302,771,454) while the external side collapsed from an ORP of CVE 4.62bn to CVE 395m. The statistical system's whole-programme execution rose from 9.8% to 77.2% mostly because the unspendable loan finance left the programme, not because more was spent. · `amount_usd` left blank.** No named fiscal-year-average CVE/USD rate is held; the escudo is pegged to the euro (110.265 CVE/EUR), so a dollar figure would be a two-step conversion the wiki cannot date to a named source."
cpv-2025-sniac-cni,CPV,national,,2025,2025-01-01,2025-12-31,gregorian,original,,,"Receitas consignadas e respectivas contrapartidas em despesas (anexo do OE, LEO art. 36 h))",,Ministério da Justiça - Sistema Nacional de Identificação e Autenticação Civil (SNIAC),9,Sistema Nacional de Identificação Civil - SNIAC,9.2,Cartão Nacional de Identificação - CNI,,printed,printed,programme,Sistema Nacional de Identificação Civil - SNIAC — Cartão Nacional de Identificação - CNI,"`Cartão Nacional de Identificação - CNI` - sub-line 9.2 of `Sistema Nacional de Identificação Civil - SNIAC`, the counterpart expenditure of the civil identity-document fee. The table prints the line title and its amount and nothing else.",dpi.id,whole,Named counterpart expenditure of an earmarked fee: the identity-document issue-and-replacement fee funds the civil identity system. Digital public infrastructure by stated purpose.,domestic-state,own-source,false,,CVE,"escudos (units), space thousands separator. The block cross-foots: 141,524,912 + 109,383,546 + 22,500,000 + 33,108,344 = 306,516,802.",,109383546,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Lei n.º 45/X/2024, receitas consignadas e respectivas contrapartidas em despesas, item 9 `Taxa pela emissao e substituicao dos documentos de identificacao civil` -> `Sistema Nacional de Identificação Civil - SNIAC` 306,516,802, sub-line 9.2; the same table appears in the tabled `Anexo Informativo do OE 2025`",2024-12-30-cpv-lei-45-x-2024-orcamento-do-estado-2025-source,2026-08-04,2024-12-30-cpv-2025-sniac-cni,"Unlike FY2024, the FY2025 enacted law prints this table**, so the stage is `appropriated` rather than `proposed`. The FY2024 Boletim Oficial omitted it and carried the figures only in the tabled `Anexo Informativo`. Same country, same annex, two different treatments in consecutive years - check the enacted volume every year rather than inheriting last year's answer. · The SNIAC block is identical to the escudo in FY2024, FY2025 and FY2026** - 306,516,802 in total and 141,524,912 / 109,383,546 / 22,500,000 / 33,108,344 in its four sub-lines. **A three-year unchanged earmarked ceiling is itself a finding**: this is a fee-financed spending authorisation that is rolled forward, not re-estimated. · No double count with the programme-axis records.** The SNIAC lines sit in the Ministério da Justiça perimeter, inside the *Justiça e Paz Social* programme, which this pass does not record. · No outturn.** The provisional account's `Mapa VII` reports by pillar programme, not by earmarked line, so the executed value of the SNIAC lines is not established for FY2025. · `amount_usd` left blank.** No named fiscal-year-average CVE/USD rate is held; the escudo is pegged to the euro (110.265 CVE/EUR), so a dollar figure would be a two-step conversion the wiki cannot date to a named source."
cpv-2025-sniac-funcionamento,CPV,national,,2025,2025-01-01,2025-12-31,gregorian,original,,,"Receitas consignadas e respectivas contrapartidas em despesas (anexo do OE, LEO art. 36 h))",,Ministério da Justiça - Sistema Nacional de Identificação e Autenticação Civil (SNIAC),9,Sistema Nacional de Identificação Civil - SNIAC,9.4,Funcionamento do SNIAC,,printed,printed,programme,Sistema Nacional de Identificação Civil - SNIAC — Funcionamento do SNIAC,"`Funcionamento do SNIAC` - sub-line 9.4 of `Sistema Nacional de Identificação Civil - SNIAC`, the counterpart expenditure of the civil identity-document fee. The table prints the line title and its amount and nothing else.",dpi.id,whole,Named counterpart expenditure of an earmarked fee: the identity-document issue-and-replacement fee funds the civil identity system. Digital public infrastructure by stated purpose.,domestic-state,own-source,false,,CVE,"escudos (units), space thousands separator. The block cross-foots: 141,524,912 + 109,383,546 + 22,500,000 + 33,108,344 = 306,516,802.",,33108344,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Lei n.º 45/X/2024, receitas consignadas e respectivas contrapartidas em despesas, item 9 `Taxa pela emissao e substituicao dos documentos de identificacao civil` -> `Sistema Nacional de Identificação Civil - SNIAC` 306,516,802, sub-line 9.4; the same table appears in the tabled `Anexo Informativo do OE 2025`",2024-12-30-cpv-lei-45-x-2024-orcamento-do-estado-2025-source,2026-08-04,2024-12-30-cpv-2025-sniac-funcionamento,"Unlike FY2024, the FY2025 enacted law prints this table**, so the stage is `appropriated` rather than `proposed`. The FY2024 Boletim Oficial omitted it and carried the figures only in the tabled `Anexo Informativo`. Same country, same annex, two different treatments in consecutive years - check the enacted volume every year rather than inheriting last year's answer. · The SNIAC block is identical to the escudo in FY2024, FY2025 and FY2026** - 306,516,802 in total and 141,524,912 / 109,383,546 / 22,500,000 / 33,108,344 in its four sub-lines. **A three-year unchanged earmarked ceiling is itself a finding**: this is a fee-financed spending authorisation that is rolled forward, not re-estimated. · No double count with the programme-axis records.** The SNIAC lines sit in the Ministério da Justiça perimeter, inside the *Justiça e Paz Social* programme, which this pass does not record. · No outturn.** The provisional account's `Mapa VII` reports by pillar programme, not by earmarked line, so the executed value of the SNIAC lines is not established for FY2025. · `amount_usd` left blank.** No named fiscal-year-average CVE/USD rate is held; the escudo is pegged to the euro (110.265 CVE/EUR), so a dollar figure would be a two-step conversion the wiki cannot date to a named source."
cpv-2025-sniac-pec,CPV,national,,2025,2025-01-01,2025-12-31,gregorian,original,,,"Receitas consignadas e respectivas contrapartidas em despesas (anexo do OE, LEO art. 36 h))",,Ministério da Justiça - Sistema Nacional de Identificação e Autenticação Civil (SNIAC),9,Sistema Nacional de Identificação Civil - SNIAC,9.1,Passaporte Eletrónico - PEC,,printed,printed,programme,Sistema Nacional de Identificação Civil - SNIAC — Passaporte Eletrónico - PEC,"`Passaporte Eletrónico - PEC` - sub-line 9.1 of `Sistema Nacional de Identificação Civil - SNIAC`, the counterpart expenditure of the civil identity-document fee. The table prints the line title and its amount and nothing else.",dpi.id,whole,Named counterpart expenditure of an earmarked fee: the identity-document issue-and-replacement fee funds the civil identity system. Digital public infrastructure by stated purpose.,domestic-state,own-source,false,,CVE,"escudos (units), space thousands separator. The block cross-foots: 141,524,912 + 109,383,546 + 22,500,000 + 33,108,344 = 306,516,802.",,141524912,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Lei n.º 45/X/2024, receitas consignadas e respectivas contrapartidas em despesas, item 9 `Taxa pela emissao e substituicao dos documentos de identificacao civil` -> `Sistema Nacional de Identificação Civil - SNIAC` 306,516,802, sub-line 9.1; the same table appears in the tabled `Anexo Informativo do OE 2025`",2024-12-30-cpv-lei-45-x-2024-orcamento-do-estado-2025-source,2026-08-04,2024-12-30-cpv-2025-sniac-pec,"Unlike FY2024, the FY2025 enacted law prints this table**, so the stage is `appropriated` rather than `proposed`. The FY2024 Boletim Oficial omitted it and carried the figures only in the tabled `Anexo Informativo`. Same country, same annex, two different treatments in consecutive years - check the enacted volume every year rather than inheriting last year's answer. · The SNIAC block is identical to the escudo in FY2024, FY2025 and FY2026** - 306,516,802 in total and 141,524,912 / 109,383,546 / 22,500,000 / 33,108,344 in its four sub-lines. **A three-year unchanged earmarked ceiling is itself a finding**: this is a fee-financed spending authorisation that is rolled forward, not re-estimated. · No double count with the programme-axis records.** The SNIAC lines sit in the Ministério da Justiça perimeter, inside the *Justiça e Paz Social* programme, which this pass does not record. · No outturn.** The provisional account's `Mapa VII` reports by pillar programme, not by earmarked line, so the executed value of the SNIAC lines is not established for FY2025. · `amount_usd` left blank.** No named fiscal-year-average CVE/USD rate is held; the escudo is pegged to the euro (110.265 CVE/EUR), so a dollar figure would be a two-step conversion the wiki cannot date to a named source."
cpv-2025-sniac-tre,CPV,national,,2025,2025-01-01,2025-12-31,gregorian,original,,,"Receitas consignadas e respectivas contrapartidas em despesas (anexo do OE, LEO art. 36 h))",,Ministério da Justiça - Sistema Nacional de Identificação e Autenticação Civil (SNIAC),9,Sistema Nacional de Identificação Civil - SNIAC,9.3,Título de Residência de Estrangeiros - TRE,,printed,printed,programme,Sistema Nacional de Identificação Civil - SNIAC — Título de Residência de Estrangeiros - TRE,"`Título de Residência de Estrangeiros - TRE` - sub-line 9.3 of `Sistema Nacional de Identificação Civil - SNIAC`, the counterpart expenditure of the civil identity-document fee. The table prints the line title and its amount and nothing else.",dpi.id,whole,Named counterpart expenditure of an earmarked fee: the identity-document issue-and-replacement fee funds the civil identity system. Digital public infrastructure by stated purpose.,domestic-state,own-source,false,,CVE,"escudos (units), space thousands separator. The block cross-foots: 141,524,912 + 109,383,546 + 22,500,000 + 33,108,344 = 306,516,802.",,22500000,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Lei n.º 45/X/2024, receitas consignadas e respectivas contrapartidas em despesas, item 9 `Taxa pela emissao e substituicao dos documentos de identificacao civil` -> `Sistema Nacional de Identificação Civil - SNIAC` 306,516,802, sub-line 9.3; the same table appears in the tabled `Anexo Informativo do OE 2025`",2024-12-30-cpv-lei-45-x-2024-orcamento-do-estado-2025-source,2026-08-04,2024-12-30-cpv-2025-sniac-tre,"Unlike FY2024, the FY2025 enacted law prints this table**, so the stage is `appropriated` rather than `proposed`. The FY2024 Boletim Oficial omitted it and carried the figures only in the tabled `Anexo Informativo`. Same country, same annex, two different treatments in consecutive years - check the enacted volume every year rather than inheriting last year's answer. · The SNIAC block is identical to the escudo in FY2024, FY2025 and FY2026** - 306,516,802 in total and 141,524,912 / 109,383,546 / 22,500,000 / 33,108,344 in its four sub-lines. **A three-year unchanged earmarked ceiling is itself a finding**: this is a fee-financed spending authorisation that is rolled forward, not re-estimated. · No double count with the programme-axis records.** The SNIAC lines sit in the Ministério da Justiça perimeter, inside the *Justiça e Paz Social* programme, which this pass does not record. · No outturn.** The provisional account's `Mapa VII` reports by pillar programme, not by earmarked line, so the executed value of the SNIAC lines is not established for FY2025. · `amount_usd` left blank.** No named fiscal-year-average CVE/USD rate is held; the escudo is pegged to the euro (110.265 CVE/EUR), so a dollar figure would be a two-step conversion the wiki cannot date to a named source."
cpv-2025-cnpd,CPV,regulator,Comissão Nacional de Protecção de Dados,2025,2025-01-01,2025-12-31,gregorian,original,,01.01.02,"OSOB - Assembleia Nacional, Orçamento Privativo",,Comissão Nacional de Protecção de Dados (CNPD),,OUTRAS DESP. CORRENTES - ORGÃOS EXTERNOS,,,Outras despesas correntes,printed,printed,programme,OUTRAS DESP. CORRENTES - ORGÃOS EXTERNOS,"`CNPD (Comissão Nacional de Protecção de Dados)` - a line under `OUTRAS DESP. CORRENTES-ORGÃOS EXTERNOS` in the Assembly's Orçamento Privativo. The resolution prints the body's name, its dotacao and its own revenue and nothing else.",gov.protect,whole,Single-mandate body - the driver's envelope carve-out. The CNPD's entire statutory mandate is personal-data protection.,domestic-state,domestic-revenue,false,,CVE,"escudos (units), '.' thousands separator, no scale header",,36313115,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Resolução n.º 160/X/2024 (Orçamento Privativo da Assembleia Nacional), published with Lei n.º 45/X/2024 at BO I Serie n.º 125 Suplemento, heading `OUTRAS DESP. CORRENTES-ORGÃOS EXTERNOS`: `CNPD (Comissão Nacional de Protecção de Dados) 36.313.115`, `Dotação inscrita no Orçamento do Estado 36.313.115`, `Receita Próprias 0`",2024-12-30-cpv-lei-45-x-2024-orcamento-do-estado-2025-source,2026-08-04,2024-12-30-cpv-2025-cnpd,"Cabo Verde's data-protection authority got a 3.0% uplift in the same year its digital ministry lost 73% of its vote** - CVE 35,255,451 in FY2024 to CVE 36,313,115 in FY2025. The other *orgaos externos* moved with it: `Provedor de Justiça` 41,067,598, `ARC` 89,826,404, `CNE` 36,833,106, each up about 3%. · Still appropriated through the legislature, not the executive**, and still invisible to any scan of the ministerial `Mapa III`. In a state with a parliamentary *orcamento privativo*, read that annex - the independent authorities are in it. · Still no own-source revenue at all** - `Receita Próprias 0`. · No outturn is published for this line, as at 2026-08-04.** The provisional account reports the Assembly as one organic row and does not break out the *orgaos externos*. **The CNPD's FY2025 execution is not established.** · The authority published no `Plano de Atividades` for 2025** - the series at `cnpd.cv/plano-de-atividades/` runs 2017-2024 and stops - **and no `Relatório de Atividades` for any year since 2016.** Every link under `/relatorio-de-atividades/` for 2017-2023 points at a file named `CNPD-Plano-de-Atividades-{year}.pdf`. · `amount_usd` left blank.** No named fiscal-year-average CVE/USD rate is held; the escudo is pegged to the euro (110.265 CVE/EUR), so a dollar figure would be a two-step conversion the wiki cannot date to a named source."
