deal_id,place,state_level,spending_tier_name,fiscal_year_label,fy_start,fy_end,fy_calendar,budget_version,supplementary_basis,admin_head_code,admin_head,spending_entity_code,spending_entity,programme_code,programme,sub_programme_code,sub_programme,econ_class,admin_head_basis,programme_basis,programme_level,line_name,purpose,primary_subject,scope_confidence,scope_basis,finance_origin,funding_source,is_transfer,transfer_to,currency,amount_scale,proposed,appropriated,revised,released,actual,audited,baseline_stage,current_stage,exec_vs_voted,exec_vs_revised,source_tier,doc_type,doc_locator,source_slug,extracted,origin_record,notes
dza-2025-identite-titres-documents-securises,DZA,national,,2025,2025-01-01,2025-12-31,gregorian,original,,25-14,"Ministère de l'intérieur, des collectivités locales et de l'aménagement du territoire",,"Ministère de l'intérieur, des collectivités locales et de l'aménagement du territoire",,Libertés publiques et circulation des personnes et des biens,,"Identité, titres et documents sécurisés",,printed,printed,programme,"Libertés publiques et circulation des personnes et des biens — Identité, titres et documents sécurisés","Issues Algeria's national identity cards, passports and other secure titles, held in the interior ministry's vote.",dpi.id,whole,"Sub-programme named for identity, titles and secure documents: the production and issuance of the biometric identity card, passport and related secure credentials, which is the state's identity system itself.",domestic-state,domestic-revenue,false,,DZD,full dinars (DA) as printed; every table is headed En DA,,12362000000,,,,,appropriated,appropriated,,,budget-document,executive-instrument,"Journal officiel n° 02 du 9 janvier 2025, décret exécutif n° 25-14 du 9 janvier 2025, tableau annexe, p. 27, programme `Libertés publiques et circulation des personnes et des biens`, sous-programme `Identité, titres et documents sécurisés`, colonne Total, crédits de paiement",2025-01-09-dza-jo-2025-002-repartition-credits-2025-companion,2026-09-24,,"AE 11 062 000 000 DA, CP 12 362 000 000 DA; CP is carried as appropriated and AE is never summed with it. CP by titre: T2 11 062 000 000, T3 1 300 000 000. Cross-foot: the titres sum to the line total in both AE and CP; the 4 sub-programmes sum to the programme row (CP 12 642 655 000); the programmes sum to the decree's printed total (AE 1 365 834 086 000, CP 1 389 139 586 000), which equals article 1 of the decree and the ministry's line in état B of loi n° 24-08 du 24 novembre 2024. Algeria prints no ministry or programme codes; admin_head_code is the répartition decree's number, which changes each year, so lines join across years by name."
dza-2025-numerisation-service-public,DZA,national,,2025,2025-01-01,2025-12-31,gregorian,original,,25-14,"Ministère de l'intérieur, des collectivités locales et de l'aménagement du territoire",,"Ministère de l'intérieur, des collectivités locales et de l'aménagement du territoire",,Libertés publiques et circulation des personnes et des biens,,Numérisation du service public,,printed,printed,programme,Libertés publiques et circulation des personnes et des biens — Numérisation du service public,Digitalises public services run through the interior ministry and local administrations.,dpi.govtech,whole,Sub-programme named for the digitalisation of public service; its whole stated purpose is a digital activity.,domestic-state,domestic-revenue,false,,DZD,full dinars (DA) as printed; every table is headed En DA,,103900000,,,,,appropriated,appropriated,,,budget-document,executive-instrument,"Journal officiel n° 02 du 9 janvier 2025, décret exécutif n° 25-14 du 9 janvier 2025, tableau annexe, p. 27, programme `Libertés publiques et circulation des personnes et des biens`, sous-programme `Numérisation du service public`, colonne Total, crédits de paiement",2025-01-09-dza-jo-2025-002-repartition-credits-2025-companion,2026-09-24,,"AE 103 900 000 DA, CP 103 900 000 DA; CP is carried as appropriated and AE is never summed with it. CP by titre: T2 103 900 000. Cross-foot: the titres sum to the line total in both AE and CP; the 4 sub-programmes sum to the programme row (CP 12 642 655 000); the programmes sum to the decree's printed total (AE 1 365 834 086 000, CP 1 389 139 586 000), which equals article 1 of the decree and the ministry's line in état B of loi n° 24-08 du 24 novembre 2024. Algeria prints no ministry or programme codes; admin_head_code is the répartition decree's number, which changes each year, so lines join across years by name."
dza-2025-reseaux-des-transmissions,DZA,national,,2025,2025-01-01,2025-12-31,gregorian,original,,25-14,"Ministère de l'intérieur, des collectivités locales et de l'aménagement du territoire",,"Ministère de l'intérieur, des collectivités locales et de l'aménagement du territoire",,Transmissions nationales,,Réseaux des transmissions,,printed,printed,programme,Transmissions nationales — Réseaux des transmissions,Builds and runs the state's own secure telecommunications networks operated by the national transmissions service.,infra.connect,partial,"Sub-programme named for the networks of the national transmissions service, the state's secure government communications network; it carries data and radio networks together and the document prints no split, so the digital part is not separable.",domestic-state,domestic-revenue,false,,DZD,full dinars (DA) as printed; every table is headed En DA,,5050500000,,,,,appropriated,appropriated,,,budget-document,executive-instrument,"Journal officiel n° 02 du 9 janvier 2025, décret exécutif n° 25-14 du 9 janvier 2025, tableau annexe, p. 28, programme `Transmissions nationales`, sous-programme `Réseaux des transmissions`, colonne Total, crédits de paiement",2025-01-09-dza-jo-2025-002-repartition-credits-2025-companion,2026-09-24,,"AE 4 514 000 000 DA, CP 5 050 500 000 DA; CP is carried as appropriated and AE is never summed with it. CP by titre: T1 250 000 000, T2 2 654 000 000, T3 2 146 500 000. Cross-foot: the titres sum to the line total in both AE and CP; the 2 sub-programmes sum to the programme row (CP 13 271 500 000); the programmes sum to the decree's printed total (AE 1 365 834 086 000, CP 1 389 139 586 000), which equals article 1 of the decree and the ministry's line in état B of loi n° 24-08 du 24 novembre 2024. Algeria prints no ministry or programme codes; admin_head_code is the répartition decree's number, which changes each year, so lines join across years by name."
dza-2025-modernisation-systemes-information-paiement,DZA,national,,2025,2025-01-01,2025-12-31,gregorian,original,,25-16,Ministère des finances,,Ministère des finances,,Trésor et gestion comptable,,Modernisation des systèmes d'information et instruments de paiement,,printed,printed,programme,Trésor et gestion comptable — Modernisation des systèmes d'information et instruments de paiement,Modernises the Treasury's information systems and the state's payment instruments.,dpi.govtech,whole,Sub-programme named for the modernisation of information systems and payment instruments in the Treasury programme; public financial management information systems and electronic payment instruments are digital activities throughout.,domestic-state,domestic-revenue,false,,DZD,full dinars (DA) as printed; every table is headed En DA,,480000000,,,,,appropriated,appropriated,,,budget-document,executive-instrument,"Journal officiel n° 02 du 9 janvier 2025, décret exécutif n° 25-16 du 9 janvier 2025, tableau annexe, p. 32, programme `Trésor et gestion comptable`, sous-programme `Modernisation des systèmes d'information et instruments de paiement`, colonne Total, crédits de paiement",2025-01-09-dza-jo-2025-002-repartition-credits-2025-companion,2026-09-24,,"AE 330 000 000 DA, CP 480 000 000 DA; CP is carried as appropriated and AE is never summed with it. CP by titre: T2 100 000 000, T3 380 000 000. Cross-foot: the titres sum to the line total in both AE and CP; the 4 sub-programmes sum to the programme row (CP 1 068 204 238 000); the programmes sum to the decree's printed total (AE 3 635 807 842 000, CP 3 633 448 042 000), which equals article 1 of the decree and the ministry's line in état B of loi n° 24-08 du 24 novembre 2024. Algeria prints no ministry or programme codes; admin_head_code is the répartition decree's number, which changes each year, so lines join across years by name."
dza-2025-services-financiers-postaux,DZA,national,,2025,2025-01-01,2025-12-31,gregorian,original,,25-25,Ministère de la poste et des télécommunications,,Ministère de la poste et des télécommunications,,Développement des services postaux,,Développement des services financiers postaux,,printed,printed,programme,Développement des services postaux — Développement des services financiers postaux,"The posts ministry's own appropriation for developing postal financial services, the account and card rails Algérie Poste runs.",dpi.pay,partial,"Sub-programme named for postal financial services; Algérie Poste's accounts and cards are the mass retail payment rail, but the line covers postal financial services as a whole and prints no digital split.",domestic-state,domestic-revenue,false,,DZD,full dinars (DA) as printed; every table is headed En DA,,1640000,,,,,appropriated,appropriated,,,budget-document,executive-instrument,"Journal officiel n° 02 du 9 janvier 2025, décret exécutif n° 25-25 du 9 janvier 2025, tableau annexe, p. 51, programme `Développement des services postaux`, sous-programme `Développement des services financiers postaux`, colonne Total, crédits de paiement",2025-01-09-dza-jo-2025-002-repartition-credits-2025-companion,2026-09-24,,"AE 1 640 000 DA, CP 1 640 000 DA; CP is carried as appropriated and AE is never summed with it. CP by titre: T2 1 640 000. Cross-foot: the titres sum to the line total in both AE and CP; the 2 sub-programmes sum to the programme row (CP 8 506 500 000); the programmes sum to the decree's printed total (AE 12 997 635 000, CP 15 690 265 000), which equals article 1 of the decree and the ministry's line in état B of loi n° 24-08 du 24 novembre 2024. Algeria prints no ministry or programme codes; admin_head_code is the répartition decree's number, which changes each year, so lines join across years by name."
dza-2025-infrastructures-tic,DZA,national,,2025,2025-01-01,2025-12-31,gregorian,original,,25-25,Ministère de la poste et des télécommunications,,Ministère de la poste et des télécommunications,,Développement des télécommunications,,Développement et la sécurisation des infrastructures des technologies de l'information et de la communication (TIC),,printed,printed,programme,Développement des télécommunications — Développement et la sécurisation des infrastructures des technologies de l'information et de la communication (TIC),Develops and secures national ICT infrastructure.,infra.connect,whole,Sub-programme named for the development and security of ICT infrastructure in the telecommunications programme; single-purpose by its name.,domestic-state,domestic-revenue,false,,DZD,full dinars (DA) as printed; every table is headed En DA,,1074880000,,,,,appropriated,appropriated,,,budget-document,executive-instrument,"Journal officiel n° 02 du 9 janvier 2025, décret exécutif n° 25-25 du 9 janvier 2025, tableau annexe, p. 51, programme `Développement des télécommunications`, sous-programme `Développement et la sécurisation des infrastructures des technologies de l'information et de la communication (TIC)`, colonne Total, crédits de paiement",2025-01-09-dza-jo-2025-002-repartition-credits-2025-companion,2026-09-24,,"AE 37 250 000 DA, CP 1 074 880 000 DA; CP is carried as appropriated and AE is never summed with it. CP by titre: T2 7 250 000, T3 1 067 630 000. Cross-foot: the titres sum to the line total in both AE and CP; the 2 sub-programmes sum to the programme row (CP 1 076 330 000); the programmes sum to the decree's printed total (AE 12 997 635 000, CP 15 690 265 000), which equals article 1 of the decree and the ministry's line in état B of loi n° 24-08 du 24 novembre 2024. Algeria prints no ministry or programme codes; admin_head_code is the répartition decree's number, which changes each year, so lines join across years by name."
dza-2025-radiocommunication-equipements-sensibles,DZA,national,,2025,2025-01-01,2025-12-31,gregorian,original,,25-25,Ministère de la poste et des télécommunications,,Ministère de la poste et des télécommunications,,Développement des télécommunications,,Développement des activités liées à la radiocommunication et des équipements sensibles des télécommunications,,printed,printed,programme,Développement des télécommunications — Développement des activités liées à la radiocommunication et des équipements sensibles des télécommunications,Oversees radiocommunication activity and sensitive telecommunications equipment.,infra.connect,whole,Sub-programme of the telecommunications programme named for radiocommunication and sensitive telecommunications equipment; telecommunications infrastructure regulation throughout.,domestic-state,domestic-revenue,false,,DZD,full dinars (DA) as printed; every table is headed En DA,,1450000,,,,,appropriated,appropriated,,,budget-document,executive-instrument,"Journal officiel n° 02 du 9 janvier 2025, décret exécutif n° 25-25 du 9 janvier 2025, tableau annexe, p. 51, programme `Développement des télécommunications`, sous-programme `Développement des activités liées à la radiocommunication et des équipements sensibles des télécommunications`, colonne Total, crédits de paiement",2025-01-09-dza-jo-2025-002-repartition-credits-2025-companion,2026-09-24,,"AE 1 450 000 DA, CP 1 450 000 DA; CP is carried as appropriated and AE is never summed with it. CP by titre: T2 1 450 000. Cross-foot: the titres sum to the line total in both AE and CP; the 2 sub-programmes sum to the programme row (CP 1 076 330 000); the programmes sum to the decree's printed total (AE 12 997 635 000, CP 15 690 265 000), which equals article 1 of the decree and the ministry's line in état B of loi n° 24-08 du 24 novembre 2024. Algeria prints no ministry or programme codes; admin_head_code is the répartition decree's number, which changes each year, so lines join across years by name."
dza-2025-contenu-national-services-en-ligne,DZA,national,,2025,2025-01-01,2025-12-31,gregorian,original,,25-25,Ministère de la poste et des télécommunications,,Ministère de la poste et des télécommunications,,Edification de la société algérienne de l'information,,"Développement et promotion du contenu national, des services en ligne et généralisation des usages",,printed,printed,programme,"Edification de la société algérienne de l'information — Développement et promotion du contenu national, des services en ligne et généralisation des usages",Promotes national digital content and online services and spreads their use.,include.access,whole,"Sub-programme of the information-society programme named for national content, online services and the generalisation of their use; its whole stated purpose is digital.",domestic-state,domestic-revenue,false,,DZD,full dinars (DA) as printed; every table is headed En DA,,2500000,,,,,appropriated,appropriated,,,budget-document,executive-instrument,"Journal officiel n° 02 du 9 janvier 2025, décret exécutif n° 25-25 du 9 janvier 2025, tableau annexe, p. 51, programme `Edification de la société algérienne de l'information`, sous-programme `Développement et promotion du contenu national, des services en ligne et généralisation des usages`, colonne Total, crédits de paiement",2025-01-09-dza-jo-2025-002-repartition-credits-2025-companion,2026-09-24,,"AE 2 500 000 DA, CP 2 500 000 DA; CP is carried as appropriated and AE is never summed with it. CP by titre: T2 2 500 000. Cross-foot: the titres sum to the line total in both AE and CP; the 2 sub-programmes sum to the programme row (CP 205 000 000); the programmes sum to the decree's printed total (AE 12 997 635 000, CP 15 690 265 000), which equals article 1 of the decree and the ministry's line in état B of loi n° 24-08 du 24 novembre 2024. Algeria prints no ministry or programme codes; admin_head_code is the répartition decree's number, which changes each year, so lines join across years by name."
dza-2025-environnement-de-confiance,DZA,national,,2025,2025-01-01,2025-12-31,gregorian,original,,25-25,Ministère de la poste et des télécommunications,,Ministère de la poste et des télécommunications,,Edification de la société algérienne de l'information,,Mise en place et la promotion d'un environnement de confiance pour l'utilisation des nouvelles technologies,,printed,printed,programme,Edification de la société algérienne de l'information — Mise en place et la promotion d'un environnement de confiance pour l'utilisation des nouvelles technologies,Builds a trust environment for the use of new technologies: electronic certification and the security of digital use.,infra.cybersec,whole,"Sub-programme of the information-society programme named for a trust environment for new technologies, which is the electronic-trust and security side of digital use.",domestic-state,domestic-revenue,false,,DZD,full dinars (DA) as printed; every table is headed En DA,,202500000,,,,,appropriated,appropriated,,,budget-document,executive-instrument,"Journal officiel n° 02 du 9 janvier 2025, décret exécutif n° 25-25 du 9 janvier 2025, tableau annexe, p. 51, programme `Edification de la société algérienne de l'information`, sous-programme `Mise en place et la promotion d'un environnement de confiance pour l'utilisation des nouvelles technologies`, colonne Total, crédits de paiement",2025-01-09-dza-jo-2025-002-repartition-credits-2025-companion,2026-09-24,,"AE 2 500 000 DA, CP 202 500 000 DA; CP is carried as appropriated and AE is never summed with it. CP by titre: T2 2 500 000, T3 200 000 000. Cross-foot: the titres sum to the line total in both AE and CP; the 2 sub-programmes sum to the programme row (CP 205 000 000); the programmes sum to the decree's printed total (AE 12 997 635 000, CP 15 690 265 000), which equals article 1 of the decree and the ministry's line in état B of loi n° 24-08 du 24 novembre 2024. Algeria prints no ministry or programme codes; admin_head_code is the répartition decree's number, which changes each year, so lines join across years by name."
dza-2025-economie-connaissance-start-up,DZA,national,,2025,2025-01-01,2025-12-31,gregorian,original,,25-41,"Ministère de l'économie de la connaissance, des start-up et des micro-entreprises",,"Ministère de l'économie de la connaissance, des start-up et des micro-entreprises",,"Promotion de l'économie de la connaissance, des start-up et de l'entrepreneuriat",,Promotion de l'économie de la connaissance et des start-up,,printed,printed,programme,"Promotion de l'économie de la connaissance, des start-up et de l'entrepreneuriat — Promotion de l'économie de la connaissance et des start-up","Supports the knowledge economy and labelled start-ups, mostly through a transfer.",tech.innovate,partial,"Sub-programme named for the knowledge economy and start-ups; Algeria's start-up support is weighted to digital firms but is not limited to them, and the document prints no split.",domestic-state,domestic-revenue,false,,DZD,full dinars (DA) as printed; every table is headed En DA,,281650000,,,,,appropriated,appropriated,,,budget-document,executive-instrument,"Journal officiel n° 02 du 9 janvier 2025, décret exécutif n° 25-41 du 9 janvier 2025, tableau annexe, p. 86, programme `Promotion de l'économie de la connaissance, des start-up et de l'entrepreneuriat`, sous-programme `Promotion de l'économie de la connaissance et des start-up`, colonne Total, crédits de paiement",2025-01-09-dza-jo-2025-002-repartition-credits-2025-companion,2026-09-24,,"AE 281 650 000 DA, CP 281 650 000 DA; CP is carried as appropriated and AE is never summed with it. CP by titre: T2 6 650 000, T4 275 000 000. Cross-foot: the titres sum to the line total in both AE and CP; the 2 sub-programmes sum to the programme row (CP 19 284 650 000); the programmes sum to the decree's printed total (AE 19 647 828 000, CP 19 647 828 000), which equals article 1 of the decree and the ministry's line in état B of loi n° 24-08 du 24 novembre 2024. Algeria prints no ministry or programme codes; admin_head_code is the répartition decree's number, which changes each year, so lines join across years by name."
