deal_id,place,state_level,spending_tier_name,fiscal_year_label,fy_start,fy_end,fy_calendar,budget_version,supplementary_basis,admin_head_code,admin_head,spending_entity_code,spending_entity,programme_code,programme,sub_programme_code,sub_programme,econ_class,admin_head_basis,programme_basis,programme_level,line_name,purpose,primary_subject,scope_confidence,scope_basis,finance_origin,funding_source,is_transfer,transfer_to,currency,amount_scale,proposed,appropriated,revised,released,actual,audited,baseline_stage,current_stage,exec_vs_voted,exec_vs_revised,source_tier,doc_type,doc_locator,source_slug,extracted,origin_record,notes
gnq-2025-02-64182,GNQ,national,,Ejercicio 2025,2025-01-01,2025-12-31,gregorian,original,,02,Sección 02 PRESIDENCIA DEL GOBIERNO,,Centro Nacional para la Informatización Admón. Púb - CNIAPGE,64182,Centro Nacional para la Informatización Admón. Púb - CNIAPGE,,,64182 transferencia corriente,printed,printed,account,Centro Nacional para la Informatización Admón. Púb - CNIAPGE,"Current transfer to CNIAPGE, the national centre for computerising the public administration.",dpi.govtech,whole,CNIAPGE's whole mandate is computerising the public administration: a single-mandate digital body.,domestic-state,unstated,false,,XAF,"miles de francos CFA as printed (Artículo 22º header ""En miles de francos CFA""); stored in francs",,1260000000,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Ley 9/2025 PGE 2026, Artículo 22º Distribución de Transferencias y Subvenciones Corrientes, PDF p. 43, Sección 02, cuenta 64182, columna LEY 2025",2025-12-09-guinea-ecuatorial-ley-presupuestos-generales-estado-2026,2026-09-25,,"Read from the LEY 2025 column that the PGE 2026 law prints beside its own figures; the 2025 law itself is not held. The comparator is the enacted 2025 figure, so the stage is appropriated. Equals account 64182 in Anexo II, column Ley 2025 (1,260 millones). The receiving body has no budget of its own in this folder, so the line counts normally. Funding source unstated: the current-spending annexes print no financing split, and only the investment programme carries one; domestic by inference."
gnq-2025-16-64181,GNQ,national,,Ejercicio 2025,2025-01-01,2025-12-31,gregorian,original,,16,Sección 16 Mº SEGURIDAD NACIONAL,,Centro Nacional de Emisión de Documentos Oficiales,64181,Centro Nacional de Emisión de Documentos Oficiales,,,64181 transferencia corriente,printed,printed,account,Centro Nacional de Emisión de Documentos Oficiales,"Current transfer to CNEDOGE, the centre that issues identity cards and passports.",dpi.id,partial,"Identity-document issuance: the register and systems are in the frame, and the document production and counters in the same transfer are not separated.",domestic-state,unstated,false,,XAF,"miles de francos CFA as printed (Artículo 22º header ""En miles de francos CFA""); stored in francs",,1680000000,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Ley 9/2025 PGE 2026, Artículo 22º Distribución de Transferencias y Subvenciones Corrientes, PDF p. 43, Sección 16, cuenta 64181, columna LEY 2025",2025-12-09-guinea-ecuatorial-ley-presupuestos-generales-estado-2026,2026-09-25,,"Read from the LEY 2025 column that the PGE 2026 law prints beside its own figures; the 2025 law itself is not held. The comparator is the enacted 2025 figure, so the stage is appropriated. Equals account 64181 in Anexo II, column Ley 2025 (1,680 millones). The receiving body has no budget of its own in this folder, so the line counts normally. Funding source unstated: the current-spending annexes print no financing split, and only the investment programme carries one; domestic by inference."
gnq-2025-20-64196,GNQ,national,,Ejercicio 2025,2025-01-01,2025-12-31,gregorian,original,,20,"Sección 20 Mº HACIENDA, PLANIFICACIÓN Y DESARROLLO ECONÓMICO",,Unidad de Gestión de SYDONIA,64196,Unidad de Gestión de SYDONIA,,,64196 transferencia corriente,printed,printed,account,Unidad de Gestión de SYDONIA,"Current transfer to the unit that runs SYDONIA (ASYCUDA), the customs information system.",dpi.mis,whole,A unit whose name and remit is one named information system.,domestic-state,unstated,false,,XAF,"miles de francos CFA as printed (Artículo 22º header ""En miles de francos CFA""); stored in francs",,840000000,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Ley 9/2025 PGE 2026, Artículo 22º Distribución de Transferencias y Subvenciones Corrientes, PDF p. 44, Sección 20, cuenta 64196, columna LEY 2025",2025-12-09-guinea-ecuatorial-ley-presupuestos-generales-estado-2026,2026-09-25,,"Read from the LEY 2025 column that the PGE 2026 law prints beside its own figures; the 2025 law itself is not held. The comparator is the enacted 2025 figure, so the stage is appropriated. Equals account 64196 in Anexo II, column Ley 2025 (840 millones). The receiving body has no budget of its own in this folder, so the line counts normally. Funding source unstated: the current-spending annexes print no financing split, and only the investment programme carries one; domestic by inference."
gnq-2025-21-64197,GNQ,national,,Ejercicio 2025,2025-01-01,2025-12-31,gregorian,original,,21,"Sección 21 Mº COMERCIO, PROMOCIÓN DE EMPRESAS E INDUSTRIAS",,Transferencia Ventanilla Única Empresarial,64197,Transferencia Ventanilla Única Empresarial,,,64197 transferencia corriente,printed,printed,account,Transferencia Ventanilla Única Empresarial,"Current transfer to the Ventanilla Única Empresarial, the one-stop shop that registers companies.",dpi.registry,partial,The one-stop shop keeps the company register; its counter services sit in the same transfer.,domestic-state,unstated,false,,XAF,"miles de francos CFA as printed (Artículo 22º header ""En miles de francos CFA""); stored in francs",,1008000000,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Ley 9/2025 PGE 2026, Artículo 22º Distribución de Transferencias y Subvenciones Corrientes, PDF p. 44, Sección 21, cuenta 64197, columna LEY 2025",2025-12-09-guinea-ecuatorial-ley-presupuestos-generales-estado-2026,2026-09-25,,"Read from the LEY 2025 column that the PGE 2026 law prints beside its own figures; the 2025 law itself is not held. The comparator is the enacted 2025 figure, so the stage is appropriated. Equals account 64197 in Anexo II, column Ley 2025 (1,008 millones). The receiving body has no budget of its own in this folder, so the line counts normally. Funding source unstated: the current-spending annexes print no financing split, and only the investment programme carries one; domestic by inference."
gnq-2025-51-64114,GNQ,national,,Ejercicio 2025,2025-01-01,2025-12-31,gregorian,original,,51,"Sección 51 Mº TRANSPORTES, TELECOMUNICACIONES Y SITEMAS DE IA",,Escuela de Telecomunicaciones DJIBLOHO,64114,Escuela de Telecomunicaciones DJIBLOHO,,,64114 transferencia corriente,printed,printed,account,Escuela de Telecomunicaciones DJIBLOHO,Current transfer to the DJIBLOHO telecommunications school.,capacity.training,whole,A school whose whole mandate is telecommunications and ICT training.,domestic-state,unstated,false,,XAF,"miles de francos CFA as printed (Artículo 22º header ""En miles de francos CFA""); stored in francs",,1140000000,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Ley 9/2025 PGE 2026, Artículo 22º Distribución de Transferencias y Subvenciones Corrientes, PDF p. 46, Sección 51, cuenta 64114, columna LEY 2025",2025-12-09-guinea-ecuatorial-ley-presupuestos-generales-estado-2026,2026-09-25,,"Read from the LEY 2025 column that the PGE 2026 law prints beside its own figures; the 2025 law itself is not held. The comparator is the enacted 2025 figure, so the stage is appropriated. Equals account 64114 in Anexo II, column Ley 2025 (1,140 millones). The receiving body has no budget of its own in this folder, so the line counts normally. Funding source unstated: the current-spending annexes print no financing split, and only the investment programme carries one; domestic by inference."
gnq-2025-20-64184-funcionamiento,GNQ,national,,Ejercicio 2025,2025-01-01,2025-12-31,gregorian,original,,20,"Sección 20 Mº HACIENDA, PLANIFICACIÓN Y DESARROLLO ECONÓMICO",,Instituto Nacional de Estadísticas de Guinea Ecuatorial - INEGE,64184,Instituto Nacional de Estadísticas de Guinea Ecuatorial - INEGE,,Gastos de Funcionamiento de INEGE,64184 transferencia corriente,printed,printed,account,Gastos de Funcionamiento de INEGE,"Running costs of INEGE, the national statistics institute.",data.statistics,whole,"INEGE is the national statistics office, a single-mandate data body held whole.",domestic-state,unstated,false,,XAF,"miles de francos CFA as printed (Artículo 22º header ""En miles de francos CFA""); stored in francs",,2050000000,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Ley 9/2025 PGE 2026, Artículo 22º, PDF p. 44, Sección 20, cuenta 64184, línea Gastos de Funcionamiento de INEGE, columna LEY 2025",2025-12-09-guinea-ecuatorial-ley-presupuestos-generales-estado-2026,2026-09-25,,"Read from the LEY 2025 column that the PGE 2026 law prints beside its own figures; the 2025 law itself is not held. The comparator is the enacted 2025 figure, so the stage is appropriated. The four INEGE lines sum to 2.500.000 miles, the account 64184 LEY 2025 figure, which equals Anexo II (2.500 millones). Held under the 2026 section, Hacienda, Planificación y Desarrollo Económico, which absorbed the planning ministry. The receiving body has no budget of its own in this folder, so the line counts normally. Funding source unstated: the current-spending annexes print no financing split, and only the investment programme carries one; domestic by inference."
gnq-2025-20-64184-antiguedad,GNQ,national,,Ejercicio 2025,2025-01-01,2025-12-31,gregorian,original,,20,"Sección 20 Mº HACIENDA, PLANIFICACIÓN Y DESARROLLO ECONÓMICO",,Instituto Nacional de Estadísticas de Guinea Ecuatorial - INEGE,64184,Instituto Nacional de Estadísticas de Guinea Ecuatorial - INEGE,,Pago de Antigüedad Personal,64184 transferencia corriente,printed,printed,account,Pago de Antigüedad Personal,Seniority pay for INEGE's staff.,data.statistics,whole,"INEGE is the national statistics office, a single-mandate data body held whole.",domestic-state,unstated,false,,XAF,"miles de francos CFA as printed (Artículo 22º header ""En miles de francos CFA""); stored in francs",,160000000,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Ley 9/2025 PGE 2026, Artículo 22º, PDF p. 44, Sección 20, cuenta 64184, línea Pago de Antigüedad Personal, columna LEY 2025",2025-12-09-guinea-ecuatorial-ley-presupuestos-generales-estado-2026,2026-09-25,,"Read from the LEY 2025 column that the PGE 2026 law prints beside its own figures; the 2025 law itself is not held. The comparator is the enacted 2025 figure, so the stage is appropriated. The four INEGE lines sum to 2.500.000 miles, the account 64184 LEY 2025 figure, which equals Anexo II (2.500 millones). Held under the 2026 section, Hacienda, Planificación y Desarrollo Económico, which absorbed the planning ministry. The receiving body has no budget of its own in this folder, so the line counts normally. Funding source unstated: the current-spending annexes print no financing split, and only the investment programme carries one; domestic by inference."
gnq-2025-20-64184-produccion,GNQ,national,,Ejercicio 2025,2025-01-01,2025-12-31,gregorian,original,,20,"Sección 20 Mº HACIENDA, PLANIFICACIÓN Y DESARROLLO ECONÓMICO",,Instituto Nacional de Estadísticas de Guinea Ecuatorial - INEGE,64184,Instituto Nacional de Estadísticas de Guinea Ecuatorial - INEGE,,Gastos de Producción de Estadísticas,64184 transferencia corriente,printed,printed,account,Gastos de Producción de Estadísticas,INEGE's statistics production costs.,data.statistics,whole,"INEGE is the national statistics office, a single-mandate data body held whole.",domestic-state,unstated,false,,XAF,"miles de francos CFA as printed (Artículo 22º header ""En miles de francos CFA""); stored in francs",,250000000,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Ley 9/2025 PGE 2026, Artículo 22º, PDF p. 44, Sección 20, cuenta 64184, línea Gastos de Producción de Estadísticas, columna LEY 2025",2025-12-09-guinea-ecuatorial-ley-presupuestos-generales-estado-2026,2026-09-25,,"Read from the LEY 2025 column that the PGE 2026 law prints beside its own figures; the 2025 law itself is not held. The comparator is the enacted 2025 figure, so the stage is appropriated. The four INEGE lines sum to 2.500.000 miles, the account 64184 LEY 2025 figure, which equals Anexo II (2.500 millones). Held under the 2026 section, Hacienda, Planificación y Desarrollo Económico, which absorbed the planning ministry. The receiving body has no budget of its own in this folder, so the line counts normally. Funding source unstated: the current-spending annexes print no financing split, and only the investment programme carries one; domestic by inference."
gnq-2025-20-64184-sen,GNQ,national,,Ejercicio 2025,2025-01-01,2025-12-31,gregorian,original,,20,"Sección 20 Mº HACIENDA, PLANIFICACIÓN Y DESARROLLO ECONÓMICO",,Instituto Nacional de Estadísticas de Guinea Ecuatorial - INEGE,64184,Instituto Nacional de Estadísticas de Guinea Ecuatorial - INEGE,,Gastos de Funcionamiento del Sistema Estadístico Nacional (CNE y CPE),64184 transferencia corriente,printed,printed,account,Gastos de Funcionamiento del Sistema Estadístico Nacional (CNE y CPE),Running costs of the national statistical system bodies (the national statistics council and programme committee).,data.statistics,whole,"INEGE is the national statistics office, a single-mandate data body held whole.",domestic-state,unstated,false,,XAF,"miles de francos CFA as printed (Artículo 22º header ""En miles de francos CFA""); stored in francs",,40000000,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Ley 9/2025 PGE 2026, Artículo 22º, PDF p. 44, Sección 20, cuenta 64184, línea Gastos de Funcionamiento del Sistema Estadístico Nacional (CNE y CPE), columna LEY 2025",2025-12-09-guinea-ecuatorial-ley-presupuestos-generales-estado-2026,2026-09-25,,"Read from the LEY 2025 column that the PGE 2026 law prints beside its own figures; the 2025 law itself is not held. The comparator is the enacted 2025 figure, so the stage is appropriated. The four INEGE lines sum to 2.500.000 miles, the account 64184 LEY 2025 figure, which equals Anexo II (2.500 millones). Held under the 2026 section, Hacienda, Planificación y Desarrollo Económico, which absorbed the planning ministry. The receiving body has no budget of its own in this folder, so the line counts normally. Funding source unstated: the current-spending annexes print no financing split, and only the investment programme carries one; domestic by inference."
gnq-2025-27-64915,GNQ,national,,Ejercicio 2025,2025-01-01,2025-12-31,gregorian,original,,27,Sección 27 Mº TURISMO E INFRAESTRUCTURAS TURISTICAS,,Transferencia Visado Turístico On-line,64915,Transferencia Visado Turístico On-line,,,64915 transferencia corriente,printed,printed,account,Transferencia Visado Turístico On-line,Current transfer for the online tourist visa.,dpi.govtech,whole,Account label names the online visa.,domestic-state,unstated,false,,XAF,"millones de francos CFA as printed (Anexo II header ""En millones de francos CFA""); stored in francs",,240000000,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Ley 9/2025 PGE 2026, Anexo II Detalle de Gastos, PDF p. 67, cuenta 64915, columna Ley 2025",2025-12-09-guinea-ecuatorial-ley-presupuestos-generales-estado-2026,2026-09-25,,"Read from the LEY 2025 column that the PGE 2026 law prints beside its own figures; the 2025 law itself is not held. The comparator is the enacted 2025 figure, so the stage is appropriated. The article list does not name it; the account is the one line in Anexo II, and it is the same line the 2026 section carries. The receiving body has no budget of its own in this folder, so the line counts normally. Funding source unstated: the current-spending annexes print no financing split, and only the investment programme carries one; domestic by inference."
