deal_id,place,state_level,spending_tier_name,fiscal_year_label,fy_start,fy_end,fy_calendar,budget_version,supplementary_basis,admin_head_code,admin_head,spending_entity_code,spending_entity,programme_code,programme,sub_programme_code,sub_programme,econ_class,admin_head_basis,programme_basis,programme_level,line_name,purpose,primary_subject,scope_confidence,scope_basis,finance_origin,funding_source,is_transfer,transfer_to,currency,amount_scale,proposed,appropriated,revised,released,actual,audited,baseline_stage,current_stage,exec_vs_voted,exec_vs_revised,source_tier,doc_type,doc_locator,source_slug,extracted,origin_record,notes
ken-2025-1024-0605010,KEN,national,,2025/2026,2025-07-01,2026-06-30,gregorian,supplementary-1,restated-total,1024,Vote 1024 State Department for Immigration and Citizen Services,1024,State Department for Immigration and Citizen Services,0605000,Migration & Citizen Services,0605010,Population Registration Services,,printed,printed,programme,Population Registration Services,Keeps the master population database that ties the state's civil and identity registers together.,dpi.id,whole,"Part E's only output for this sub-programme is roll-out of the master population database, an identity register.",domestic-state,domestic-revenue,false,,KES,full Kenya shillings as printed; the Part F tables are headed KShs. with no scale factor,,27221918,30853178,,,,appropriated,revised,,,budget-document,budget-estimates,"PBB 2025/2026, Vote 1024 Part F, row '0605010 Population Registration Services', column Estimates 2025/2026 (PDF p. 121); Supplementary Estimates I PBB 2025/26, Vote 1024 Part F, column Supplementary Estimates (PDF p. 104)",2025-06-01-ken-pbb-fy2025-26-companion,2026-09-25,,"Appropriated: the June 2025 book; Supplementary Estimates I (April 2026) prints the same figure as its Approved Estimates, which makes it the enacted figure. Cross-foot: in Part F the vote's sub-programmes sum to their programmes and the programmes to the printed vote total in every column, read by page geometry. Revised: Supplementary Estimates I (April 2026), Supplementary Estimates column, a restated total; the 2026/27 book prints the same figure as its 2025/2026 baseline. Funding: a recurrent line with no printed financing split, taken as Exchequer money."
ken-2025-1024-0605020,KEN,national,,2025/2026,2025-07-01,2026-06-30,gregorian,supplementary-1,restated-total,1024,Vote 1024 State Department for Immigration and Citizen Services,1024,State Department for Immigration and Citizen Services,0605000,Migration & Citizen Services,0605020,Immigration Services,,printed,printed,programme,Immigration Services,"Issues passports and runs the e-passport system, visas, permits and foreign nationals' cards, border control points and the digitisation of immigration records.",dpi.id,partial,"Part E lists e-passport systems, record digitisation and electronic travel authorisation beside border posts, vehicles and permit processing; no split is printed.",domestic-state,domestic-revenue,false,,KES,full Kenya shillings as printed; the Part F tables are headed KShs. with no scale factor,,8810313115,9599836116,,,,appropriated,revised,,,budget-document,budget-estimates,"PBB 2025/2026, Vote 1024 Part F, row '0605020 Immigration Services', column Estimates 2025/2026 (PDF p. 121); Supplementary Estimates I PBB 2025/26, Vote 1024 Part F, column Supplementary Estimates (PDF p. 104)",2025-06-01-ken-pbb-fy2025-26-companion,2026-09-25,,"Appropriated: the June 2025 book; Supplementary Estimates I (April 2026) prints the same figure as its Approved Estimates, which makes it the enacted figure. Cross-foot: in Part F the vote's sub-programmes sum to their programmes and the programmes to the printed vote total in every column, read by page geometry. Revised: Supplementary Estimates I (April 2026), Supplementary Estimates column, a restated total; the 2026/27 book prints the same figure as its 2025/2026 baseline. Funding: Exchequer money plus 2,824.5m of fee income collected as appropriations-in-aid on its passport, border, records and electronic travel authorisation projects (development estimates Vol. I, Section I); the book prints no split."
ken-2025-1024-0605050,KEN,national,,2025/2026,2025-07-01,2026-06-30,gregorian,supplementary-1,restated-total,1024,Vote 1024 State Department for Immigration and Citizen Services,1024,State Department for Immigration and Citizen Services,0605000,Migration & Citizen Services,0605050,e-Citizen Services,,printed,printed,programme,e-Citizen Services,"Runs e-Citizen, the government's online services and payments platform, and onboards agencies' services to it.",dpi.govtech,whole,Sub-programme named for the platform; Part E's outputs are agencies connected and services onboarded to it.,domestic-state,own-source,false,,KES,full Kenya shillings as printed; the Part F tables are headed KShs. with no scale factor,,3897457065,5585867517,,,,appropriated,revised,,,budget-document,budget-estimates,"PBB 2025/2026, Vote 1024 Part F, row '0605050 e-Citizen Services', column Estimates 2025/2026 (PDF p. 121); Supplementary Estimates I PBB 2025/26, Vote 1024 Part F, column Supplementary Estimates (PDF p. 104)",2025-06-01-ken-pbb-fy2025-26-companion,2026-09-25,,"Appropriated: the June 2025 book; Supplementary Estimates I (April 2026) prints the same figure as its Approved Estimates, which makes it the enacted figure. Cross-foot: in Part F the vote's sub-programmes sum to their programmes and the programmes to the printed vote total in every column, read by page geometry. Revised: Supplementary Estimates I (April 2026), Supplementary Estimates column, a restated total; the 2026/27 book prints the same figure as its 2025/2026 baseline. Funding: 3,527.5m of the line, its whole development part, is fee income collected as appropriations-in-aid (development estimates Vol. I, Section I, project 1024103300), so the line is mainly own-source; Supplementary I added 1,670m to the project, 970m of it fee income. Keeps the migrated row ken-2025-vote1024-ecitizen (3,897,457,065)."
ken-2025-1024-0626010,KEN,national,,2025/2026,2025-07-01,2026-06-30,gregorian,supplementary-1,restated-total,1024,Vote 1024 State Department for Immigration and Citizen Services,1024,State Department for Immigration and Citizen Services,0626000,Population Management Services,0626010,National Registration Bureau,,printed,printed,programme,National Registration Bureau,"Registers citizens and issues national identity cards, including materials for the third-generation digital ID and the registries that issue it.",dpi.id,whole,The national identity registration body's line; Part E outputs are ID roll-out and registries.,domestic-state,domestic-revenue,false,,KES,full Kenya shillings as printed; the Part F tables are headed KShs. with no scale factor,,5768586159,8668760147,,,,appropriated,revised,,,budget-document,budget-estimates,"PBB 2025/2026, Vote 1024 Part F, row '0626010 National Registration Bureau', column Estimates 2025/2026 (PDF p. 121); Supplementary Estimates I PBB 2025/26, Vote 1024 Part F, column Supplementary Estimates (PDF p. 104)",2025-06-01-ken-pbb-fy2025-26-companion,2026-09-25,,"Appropriated: the June 2025 book; Supplementary Estimates I (April 2026) prints the same figure as its Approved Estimates, which makes it the enacted figure. Cross-foot: in Part F the vote's sub-programmes sum to their programmes and the programmes to the printed vote total in every column, read by page geometry. Revised: Supplementary Estimates I (April 2026), Supplementary Estimates column, a restated total; the 2026/27 book prints the same figure as its 2025/2026 baseline. Funding: Exchequer money plus 1,845m of fee income collected as appropriations-in-aid (ID materials and registries); Supplementary I added 2,342m to ID materials, financed by fees. Regrained from the migrated rows ken-2025-vote1024-population-management and ken-2025-vote1024-identity-lines-revised-supp-i (8,668,760,147, now this line's revised stage)."
ken-2025-1024-0626020,KEN,national,,2025/2026,2025-07-01,2026-06-30,gregorian,supplementary-1,restated-total,1024,Vote 1024 State Department for Immigration and Citizen Services,1024,State Department for Immigration and Citizen Services,0626000,Population Management Services,0626020,Civil Registration Services,,printed,printed,programme,Civil Registration Services,"Registers births and deaths, digitises civil registration records and runs the unique personal identifier project for children.",dpi.registry,whole,"The civil register's line: Part E outputs are records digitised, civil registration offices, unique personal identifiers and birth certificates.",domestic-state,domestic-revenue,false,,KES,full Kenya shillings as printed; the Part F tables are headed KShs. with no scale factor,,1867631201,1925316757,,,,appropriated,revised,,,budget-document,budget-estimates,"PBB 2025/2026, Vote 1024 Part F, row '0626020 Civil Registration Services', column Estimates 2025/2026 (PDF p. 121); Supplementary Estimates I PBB 2025/26, Vote 1024 Part F, column Supplementary Estimates (PDF p. 104); Development Estimates 2025/26 Vol. I, Vote D1024, Section III, project 1024103601 (PDF p. 108)",2025-06-01-ken-pbb-fy2025-26-companion,2026-09-25,,"Appropriated: the June 2025 book; Supplementary Estimates I (April 2026) prints the same figure as its Approved Estimates, which makes it the enacted figure. Cross-foot: in Part F the vote's sub-programmes sum to their programmes and the programmes to the printed vote total in every column, read by page geometry. Revised: Supplementary Estimates I (April 2026), Supplementary Estimates column, a restated total; the 2026/27 book prints the same figure as its 2025/2026 baseline. Domestic figure: the sub-programme less the 16,200,000 external grant revenue the development estimates (Vol. I, Vote D1024, Section III) print on the Improvement of Civil Registration System project, which Part E places here; the grant is in external.csv. Supplementary I's development volume prints no change to that project, so the revised figure is 1,941,516,757 less the same grant. It also carries 363m of fee income collected as appropriations-in-aid. Regrained from the migrated row ken-2025-vote1024-population-management."
ken-2025-1024-0626030,KEN,national,,2025/2026,2025-07-01,2026-06-30,gregorian,supplementary-1,restated-total,1024,Vote 1024 State Department for Immigration and Citizen Services,1024,State Department for Immigration and Citizen Services,0626000,Population Management Services,0626030,Integrated Personal Registration Services,,printed,printed,programme,Integrated Personal Registration Services,"Operates and upgrades the Integrated Population Registration System, the identity verification service that links government agencies, and the national master population system.",dpi.id,whole,"Named system: Part E outputs are the IPRS upgrade, agencies connected to it and the master population system.",domestic-state,domestic-revenue,false,,KES,full Kenya shillings as printed; the Part F tables are headed KShs. with no scale factor,,433143568,463715357,,,,appropriated,revised,,,budget-document,budget-estimates,"PBB 2025/2026, Vote 1024 Part F, row '0626030 Integrated Personal Registration Services', column Estimates 2025/2026 (PDF p. 121); Supplementary Estimates I PBB 2025/26, Vote 1024 Part F, column Supplementary Estimates (PDF p. 104)",2025-06-01-ken-pbb-fy2025-26-companion,2026-09-25,,"Appropriated: the June 2025 book; Supplementary Estimates I (April 2026) prints the same figure as its Approved Estimates, which makes it the enacted figure. Cross-foot: in Part F the vote's sub-programmes sum to their programmes and the programmes to the printed vote total in every column, read by page geometry. Revised: Supplementary Estimates I (April 2026), Supplementary Estimates column, a restated total; the 2026/27 book prints the same figure as its 2025/2026 baseline. Funding: Exchequer money plus 210m of fee income collected as appropriations-in-aid on the IPRS upgrade. Regrained from the migrated row ken-2025-vote1024-population-management."
ken-2025-1032-0712060,KEN,national,,2025/2026,2025-07-01,2026-06-30,gregorian,supplementary-1,restated-total,1032,Vote 1032 State Department for Devolution,1032,State Department for Devolution,0712000,Devolution Services,0712060,Information Communication and Technology Services,,printed,printed,programme,Information Communication and Technology Services,"The state department's own ICT function, chiefly upgrading its ICT infrastructure.",dpi.govtech,partial,The department's own IT unit printed as a sub-programme of its own; no split between systems and equipment is printed (IT-unit rule).,domestic-state,domestic-revenue,false,,KES,full Kenya shillings as printed; the Part F tables are headed KShs. with no scale factor,,2824637,2824637,,,,appropriated,revised,,,budget-document,budget-estimates,"PBB 2025/2026, Vote 1032 Part F, row '0712060 Information Communication and Technology Services', column Estimates 2025/2026 (PDF p. 164); Supplementary Estimates I PBB 2025/26, Vote 1032 Part F, column Supplementary Estimates (PDF p. 135)",2025-06-01-ken-pbb-fy2025-26-companion,2026-09-25,,"Appropriated: the June 2025 book; Supplementary Estimates I (April 2026) prints the same figure as its Approved Estimates, which makes it the enacted figure. Cross-foot: in Part F the vote's sub-programmes sum to their programmes and the programmes to the printed vote total in every column, read by page geometry. Revised: Supplementary Estimates I (April 2026), Supplementary Estimates column, a restated total; the 2026/27 book prints the same figure as its 2025/2026 baseline. Funding: a recurrent line with no printed financing split, taken as Exchequer money."
ken-2025-1041-0806010,KEN,national,,2025/2026,2025-07-01,2026-06-30,gregorian,supplementary-1,restated-total,1041,Vote 1041 Ministry of Defence,1041,Ministry of Defence,0806000,Defence Industrialization,0806010,National Space Management,,printed,printed,programme,National Space Management,Funds the Kenya Space Agency and its operationalisation.,data.satellite,partial,"Part E names the Kenya Space Agency; its space programme includes satellite data but also space policy and science, and no split is printed.",domestic-state,domestic-revenue,false,,KES,full Kenya shillings as printed; the Part F tables are headed KShs. with no scale factor,,350000000,350000000,,,,appropriated,revised,,,budget-document,budget-estimates,"PBB 2025/2026, Vote 1041 Part F, row '0806010 National Space Management', column Estimates 2025/2026 (PDF p. 200); Supplementary Estimates I PBB 2025/26, Vote 1041 Part F, column Supplementary Estimates (PDF p. 162)",2025-06-01-ken-pbb-fy2025-26-companion,2026-09-25,,"Appropriated: the June 2025 book; Supplementary Estimates I (April 2026) prints the same figure as its Approved Estimates, which makes it the enacted figure. Cross-foot: in Part F the vote's sub-programmes sum to their programmes and the programmes to the printed vote total in every column, read by page geometry. Revised: Supplementary Estimates I (April 2026), Supplementary Estimates column, a restated total; the 2026/27 book prints the same figure as its 2025/2026 baseline. Funding: a recurrent line with no printed financing split, taken as Exchequer money. The line moved from programme 0805000 to 0806000 Defence Industrialization this year."
ken-2025-1071-0717040,KEN,national,,2025/2026,2025-07-01,2026-06-30,gregorian,supplementary-1,restated-total,1071,Vote 1071 The National Treasury,1071,The National Treasury,0717000,General Administration Planning and Support Services,0717040,ICT Services,,printed,printed,programme,ICT Services,"The National Treasury's ICT function, which also carries the disaster-recovery equipment of the Government Data Centre.",infra.store,partial,Part E lists the Government Data Centre disaster-recovery project and an in-house system under the Treasury's own IT unit; the unit's equipment is not separated (IT-unit rule).,domestic-state,domestic-revenue,false,,KES,full Kenya shillings as printed; the Part F tables are headed KShs. with no scale factor,,950709319,1650709319,,,,appropriated,revised,,,budget-document,budget-estimates,"PBB 2025/2026, Vote 1071 Part F, row '0717040 ICT Services', column Estimates 2025/2026 (PDF p. 313); Supplementary Estimates I PBB 2025/26, Vote 1071 Part F, column Supplementary Estimates (PDF p. 252)",2025-06-01-ken-pbb-fy2025-26-companion,2026-09-25,,"Appropriated: the June 2025 book; Supplementary Estimates I (April 2026) prints the same figure as its Approved Estimates, which makes it the enacted figure. Cross-foot: in Part F the vote's sub-programmes sum to their programmes and the programmes to the printed vote total in every column, read by page geometry. Revised: Supplementary Estimates I (April 2026), Supplementary Estimates column, a restated total; the 2026/27 book prints the same figure as its 2025/2026 baseline. Funding: the development estimates print no external money on its projects (Government Data Centre disaster-recovery equipment, 900m). Supplementary II (June 2026, held but not catalogued) prints no change to it."
ken-2025-1072-0707020,KEN,national,,2025/2026,2025-07-01,2026-06-30,gregorian,supplementary-1,restated-total,1072,Vote 1072 State Department for Economic Planning,1072,State Department for Economic Planning,0707000,National Statistical Information Services,0707020,Surveys,,printed,printed,programme,Surveys,"Funds the Kenya National Bureau of Statistics: official statistics, the household master sample, price indices and national accounts, and surveys.",data.statistics,whole,"National statistics office, held whole under the statistics-office rule; Part E's delivery units for this sub-programme are all KNBS units and projects.",domestic-state,domestic-revenue,false,,KES,full Kenya shillings as printed; the Part F tables are headed KShs. with no scale factor,,1308210000,3943758247,,,,appropriated,revised,,,budget-document,budget-estimates,"PBB 2025/2026, Vote 1072 Part F, row '0707020 Surveys', column Estimates 2025/2026 (PDF p. 335); Supplementary Estimates I PBB 2025/26, Vote 1072 Part F, column Supplementary Estimates (PDF p. 270); Development Estimates 2025/26 Vol. I, Vote D1072, Section III (PDF pp. 621-623); Supplementary Development Estimates I 2025/26 Vol. I, Vote D1072, Section II (PDF pp. 276-277)",2025-06-01-ken-pbb-fy2025-26-companion,2026-09-25,,"Appropriated: the June 2025 book; Supplementary Estimates I (April 2026) prints the same figure as its Approved Estimates, which makes it the enacted figure. Revised: Supplementary Estimates I (April 2026), Supplementary Estimates column, a restated total; the 2026/27 book prints the same figure as its 2025/2026 baseline. Domestic figure: the sub-programme less the external money the development estimates (Vol. I, Vote D1072, Section III) print on KNBS projects Part E places here: Data Collection and Data Base Development 66,820,000 and Making Every Woman and Girl Count 22,700,000 (grant revenue) and Institutional Support to KNBS 60,000,000 (grant, direct payment), 149,520,000. Revised: Supplementary I raised the line to 4,043,278,247, almost all of it 2,635,548,247 added to the East African Regional Statistics Programme for Results, which the volume finances from the Exchequer with no external column; it also cut the KNBS grant to 10,000,000, so the external total becomes 99,520,000. Those project changes add up to the sub-programme's printed change of 2,585,548,247. Part F cross-foot checked by hand for this vote: the sub-programme equals its programme and the vote summary splits it recurrent 1,058,210,000 and development 399,520,000."
