deal_id,place,state_level,spending_tier_name,fiscal_year_label,fy_start,fy_end,fy_calendar,budget_version,supplementary_basis,admin_head_code,admin_head,spending_entity_code,spending_entity,programme_code,programme,sub_programme_code,sub_programme,econ_class,admin_head_basis,programme_basis,programme_level,line_name,purpose,primary_subject,scope_confidence,scope_basis,finance_origin,funding_source,is_transfer,transfer_to,currency,amount_scale,proposed,appropriated,revised,released,actual,audited,baseline_stage,current_stage,exec_vs_voted,exec_vs_revised,source_tier,doc_type,doc_locator,source_slug,extracted,origin_record,notes
lbr-2026-144-14401-221621,LBR,national,,FY2026,2026-01-01,2026-12-31,gregorian,original,,144,144 - General Government Expenditure,144,General Government Expenditure,14401,Expenditure Management,,,221621 IFMIS License fees,printed,printed,programme,IFMIS License fees,"Licence fees for the Integrated Financial Management Information System, now paid from the general government expenditure vote.",dpi.mis,whole,Object line named for the licence of a named government financial management system.,domestic-state,domestic-revenue,false,,USD,full US dollars as printed; the book states US$ and prints no scale factor,,165850,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"National Budget FY2026 (approved book; Act approved 22 December 2025), chapter 144, Section 2 table by department and object of expenditure, department 14401 Expenditure Management, object 221621, column FY 2026 Budget (PDF p. 124, printed p. 81)",2026-02-08-lbr-national-budget-fy2026-companion,2026-09-24,,"The book opens with the FY2026 budget Act (House enrolled bill 25), approved on 22 December 2025; its figures are the enacted appropriation. Cross-foot: the four goods-and-services objects of department 14401 sum to the printed class 6,720,850. The licence moved here from the finance ministry's CAG department, where FY2026 prints nil; the same department prints an unbudgeted FY2025 estimated outturn of 402,400 on 222151 IFMIS and IT System Upgrading. No FY2026 stage beyond appropriation is held; the enacted supplementary is not held and in-year reports are not outturns. The chapter tables are headed GoL and the book prints no donor line inside any chapter, so the line is Government of Liberia money, recorded as domestic revenue; the book does not split revenue from borrowing. The publisher's file (bb27a693...) matches OSINT's artefact md5."
lbr-2026-130-13003-263465,LBR,national,,FY2026,2026-01-01,2026-12-31,gregorian,original,,130,130 - Ministry of Finance and Development Planning,130,Ministry of Finance and Development Planning,13003,Budget and Development Plannin,,,263465 IFMIS Budget Module,printed,printed,programme,IFMIS Budget Module,Funds the budget-preparation module of the government's financial management information system.,dpi.mis,whole,Object line named for a module of a named financial management system.,domestic-state,domestic-revenue,false,,USD,full US dollars as printed; the book states US$ and prints no scale factor,,100000,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"National Budget FY2026 (approved book; Act approved 22 December 2025), chapter 130, Section 2 table by department and object of expenditure, department 13003 Budget and Development Plannin[g], object 263465, column FY 2026 Budget (PDF p. 108, printed p. 65)",2026-02-08-lbr-national-budget-fy2026-companion,2026-09-24,,"The book opens with the FY2026 budget Act (House enrolled bill 25), approved on 22 December 2025; its figures are the enacted appropriation. Cross-foot: the ten grants objects of department 13003 sum to the printed class 636,425 and its six classes to 1,474,825. The department name is printed truncated. No FY2026 stage beyond appropriation is held; the enacted supplementary is not held and in-year reports are not outturns. The chapter tables are headed GoL and the book prints no donor line inside any chapter, so the line is Government of Liberia money, recorded as domestic revenue; the book does not split revenue from borrowing. The publisher's file (bb27a693...) matches OSINT's artefact md5."
lbr-2026-130-13005-263651,LBR,national,,FY2026,2026-01-01,2026-12-31,gregorian,original,,130,130 - Ministry of Finance and Development Planning,130,Ministry of Finance and Development Planning,13005,Department of Comptroller & Accountant General (CAG),,,263651 Transfer to IFMIS,printed,printed,programme,Transfer to IFMIS,Operating transfer to the unit that runs the government's Integrated Financial Management Information System.,dpi.mis,whole,Object line named as a transfer to a named financial management information system.,domestic-state,domestic-revenue,false,,USD,full US dollars as printed; the book states US$ and prints no scale factor,,405600,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"National Budget FY2026 (approved book; Act approved 22 December 2025), chapter 130, Section 2 table by department and object of expenditure, department 13005 Department of Comptroller & Accountant General (CAG), object 263651, column FY 2026 Budget (PDF p. 110, printed p. 67)",2026-02-08-lbr-national-budget-fy2026-companion,2026-09-24,,"The book opens with the FY2026 budget Act (House enrolled bill 25), approved on 22 December 2025; its figures are the enacted appropriation. Cross-foot: the four grants objects sum to the printed class 605,600 and the department's four classes to 2,248,671. No FY2026 stage beyond appropriation is held; the enacted supplementary is not held and in-year reports are not outturns. Receiving unit holds no budget line of its own, so the transfer counts here. The chapter tables are headed GoL and the book prints no donor line inside any chapter, so the line is Government of Liberia money, recorded as domestic revenue; the book does not split revenue from borrowing. The publisher's file (bb27a693...) matches OSINT's artefact md5."
lbr-2026-140-083000,LBR,national,,FY2026,2026-01-01,2026-12-31,gregorian,original,,140,140 - Liberia Revenue Authority(LRA),140,Liberia Revenue Authority,083000,Digitizing Revenue Transaction Systems Across Government (DRTS),,,,printed,printed,project,Digitizing Revenue Transaction Systems Across Government (DRTS),Public investment project to move government revenue transactions onto digital collection systems across ministries and agencies.,dpi.pay,whole,PSIP project title: digitising revenue transaction systems across government.,domestic-state,domestic-revenue,false,,USD,full US dollars as printed; the book states US$ and prints no scale factor,,500000,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"National Budget FY2026 (approved book; Act approved 22 December 2025), chapter 140, Summary of PSIP (Non-financial Assets) by Funding Source, Government of Liberia Funded Projects, project 083000, column FY2026 Budget (PDF p. 111, printed p. 68)",2026-02-08-lbr-national-budget-fy2026-companion,2026-09-24,,"The book opens with the FY2026 budget Act (House enrolled bill 25), approved on 22 December 2025; its figures are the enacted appropriation. Cross-foot: the LRA's four PSIP projects sum to the printed total 4,635,690. No FY2026 stage beyond appropriation is held; the enacted supplementary is not held and in-year reports are not outturns. The chapter tables are headed GoL and the book prints no donor line inside any chapter, so the line is Government of Liberia money, recorded as domestic revenue; the book does not split revenue from borrowing. The publisher's file (bb27a693...) matches OSINT's artefact md5."
lbr-2026-142-14201,LBR,national,,FY2026,2026-01-01,2026-12-31,gregorian,original,,142,142 - National Identification Registry,142,National Identification Registry,14201,Administration and Management,,,,printed,printed,programme,National Identification Registry,The whole appropriation of the registry that builds and runs the National Biometric Identification System and issues national ID cards.,dpi.id,whole,"A single-mandate body: its statutory mandate is the national biometric identification system; the book prints one department for it, equal to the whole entity.",domestic-state,domestic-revenue,false,,USD,full US dollars as printed; the book states US$ and prints no scale factor,,1998528,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"National Budget FY2026 (approved book; Act approved 22 December 2025), chapter 142, Section 2 table by department and economic classification, department 14201 Administration and Management, column FY 2026 Budget (PDF p. 142, printed p. 99)",2026-02-08-lbr-national-budget-fy2026-companion,2026-09-24,,"The book opens with the FY2026 budget Act (House enrolled bill 25), approved on 22 December 2025; its figures are the enacted appropriation. Cross-foot: salaries 715,842 + goods and services 282,686 + PSIP 1,000,000 = 1,998,528, which is the chapter total. The PSIP is project 096110, the National Identification Card Registry Program, the registry's first funded investment since FY2024. The mid-year review (Appendix 3, PDF p. 58) prints no reallocation, a year-to-date allotment of 917,796 and disbursement of 504,058, which are in-year and not an outturn. The chapter tables are headed GoL and the book prints no donor line inside any chapter, so the line is Government of Liberia money, recorded as domestic revenue; the book does not split revenue from borrowing. The publisher's file (bb27a693...) matches OSINT's artefact md5."
lbr-2026-108-10803,LBR,national,,FY2026,2026-01-01,2026-12-31,gregorian,original,,108,108 - General Services Agency,108,General Services Agency,10803,Management Information Systems,,,,printed,printed,programme,Management Information Systems,Running costs of the General Services Agency's management information systems department.,dpi.mis,whole,Department name: management information systems.,domestic-state,domestic-revenue,false,,USD,full US dollars as printed; the book states US$ and prints no scale factor,,8926,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"National Budget FY2026 (approved book; Act approved 22 December 2025), chapter 108, Section 2 table by department and object of expenditure, department 10803 Management Information Systems, column FY 2026 Budget (PDF p. 73, printed p. 30)",2026-02-08-lbr-national-budget-fy2026-companion,2026-09-24,,"The book opens with the FY2026 budget Act (House enrolled bill 25), approved on 22 December 2025; its figures are the enacted appropriation. Cross-foot: vehicle fuel 5,976 + ICT repairs 2,950 = 8,926. No FY2026 stage beyond appropriation is held; the enacted supplementary is not held and in-year reports are not outturns. The chapter tables are headed GoL and the book prints no donor line inside any chapter, so the line is Government of Liberia money, recorded as domestic revenue; the book does not split revenue from borrowing. The publisher's file (bb27a693...) matches OSINT's artefact md5."
lbr-2026-310-31005,LBR,national,,FY2026,2026-01-01,2026-12-31,gregorian,original,,310,310 - Ministry of Health,310,Ministry of Health,31005,Health and Vital Statistics,,,,printed,printed,programme,Health and Vital Statistics,The health ministry department for health statistics and the registration of births and deaths.,dpi.registry,partial,"Department name joins health statistics with vital registration; the ministry reports birth registrations recorded in DHIS2, but the line is salaries only and is not separated.",domestic-state,domestic-revenue,false,,USD,full US dollars as printed; the book states US$ and prints no scale factor,,1889880,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"National Budget FY2026 (approved book; Act approved 22 December 2025), chapter 310, Section 2 table by department and object of expenditure, department 31005 Health and Vital Statistics, column FY 2026 Budget (PDF p. 256, printed p. 213)",2026-02-08-lbr-national-budget-fy2026-companion,2026-09-24,,"The book opens with the FY2026 budget Act (House enrolled bill 25), approved on 22 December 2025; its figures are the enacted appropriation. Cross-foot: one object, basic salary 1,889,880, equals the department total. No FY2026 stage beyond appropriation is held; the enacted supplementary is not held and in-year reports are not outturns. The chapter tables are headed GoL and the book prints no donor line inside any chapter, so the line is Government of Liberia money, recorded as domestic revenue; the book does not split revenue from borrowing. The publisher's file (bb27a693...) matches OSINT's artefact md5."
lbr-2026-301-30118-255250,LBR,national,,FY2026,2026-01-01,2026-12-31,gregorian,original,,301,301 - Ministry of Education,301,Ministry of Education,30118,"Planning, Research & Development",,,255250 Education Management Information System (EMIS),printed,printed,programme,Education Management Information System (EMIS),Transfer to the ministry's Education Management Information System unit.,dpi.mis,whole,Object line named for the education management information system; the ministry's objectives include equipping EMIS with hardware and software.,domestic-state,domestic-revenue,false,,USD,full US dollars as printed; the book states US$ and prints no scale factor,,200000,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"National Budget FY2026 (approved book; Act approved 22 December 2025), chapter 301, Section 2 table by department and object of expenditure, department 30118 Planning, Research & Development, object 255250, column FY 2026 Budget (PDF p. 334, printed p. 291)",2026-02-08-lbr-national-budget-fy2026-companion,2026-09-24,,"The book opens with the FY2026 budget Act (House enrolled bill 25), approved on 22 December 2025; its figures are the enacted appropriation. Cross-foot: the six subsidy objects of department 30118 sum to the printed class 875,000 and its three classes to 974,000. No FY2026 stage beyond appropriation is held; the enacted supplementary is not held and in-year reports are not outturns. The EMIS unit holds no budget line of its own, so the transfer counts here. The chapter tables are headed GoL and the book prints no donor line inside any chapter, so the line is Government of Liberia money, recorded as domestic revenue; the book does not split revenue from borrowing. The publisher's file (bb27a693...) matches OSINT's artefact md5."
lbr-2026-404-023874,LBR,national,,FY2026,2026-01-01,2026-12-31,gregorian,original,,404,404 - Ministry of Post and Telecommunication,404,Ministry of Post and Telecommunication,023874,National Postal Address System,,,,printed,printed,project,National Postal Address System,Public investment project to build a geo-referenced national address system; the ministry's narrative calls it the National Digital Postal Address System.,dpi.registry,partial,"PSIP project title and the ministry's narrative, which names a contractor for a digital postal address system; physical house and street marking in the same project is not separated.",domestic-state,domestic-revenue,false,,USD,full US dollars as printed; the book states US$ and prints no scale factor,,1100000,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"National Budget FY2026 (approved book; Act approved 22 December 2025), chapter 404, Summary of PSIP (Non-financial Assets) by Funding Source, Government of Liberia Funded Projects, project 023874, column FY2026 Budget (PDF p. 444, printed p. 401)",2026-02-08-lbr-national-budget-fy2026-companion,2026-09-24,,"The book opens with the FY2026 budget Act (House enrolled bill 25), approved on 22 December 2025; its figures are the enacted appropriation. Cross-foot: the ministry's three PSIP projects sum to the printed total 1,200,000. No FY2026 stage beyond appropriation is held; the enacted supplementary is not held and in-year reports are not outturns. The chapter tables are headed GoL and the book prints no donor line inside any chapter, so the line is Government of Liberia money, recorded as domestic revenue; the book does not split revenue from borrowing. The publisher's file (bb27a693...) matches OSINT's artefact md5."
lbr-2026-404-40401-263720,LBR,national,,FY2026,2026-01-01,2026-12-31,gregorian,original,,404,404 - Ministry of Post and Telecommunication,404,Ministry of Post and Telecommunication,40401,Postal Services,,,263720 Transfer to Security & Data Protection Act,printed,printed,programme,Transfer to Security & Data Protection Act,"New transfer for putting the security and data protection law into effect, booked in the post and telecommunication ministry.",gov.protect,whole,Object line named as a transfer for a security and data protection law; the whole line serves implementing that law.,domestic-state,domestic-revenue,false,,USD,full US dollars as printed; the book states US$ and prints no scale factor,,400000,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"National Budget FY2026 (approved book; Act approved 22 December 2025), chapter 404, Section 2 table by department and object of expenditure, department 40401 Postal Services, object 263720, column FY 2026 Budget (PDF p. 446, printed p. 403)",2026-02-08-lbr-national-budget-fy2026-companion,2026-09-24,,"The book opens with the FY2026 budget Act (House enrolled bill 25), approved on 22 December 2025; its figures are the enacted appropriation. Cross-foot: contributions 21,750 + this transfer 400,000 = the printed grants class 421,750, and the department's classes sum to 458,750. The line is new in FY2026 (nil in the FY2024 actual and FY2025 columns) and sits in the Postal Services department, not the ministry's communications department. The receiving body is not a budget entity, so the transfer counts here. No FY2026 stage beyond appropriation is held; the enacted supplementary is not held and in-year reports are not outturns. The chapter tables are headed GoL and the book prints no donor line inside any chapter, so the line is Government of Liberia money, recorded as domestic revenue; the book does not split revenue from borrowing. The publisher's file (bb27a693...) matches OSINT's artefact md5."
