deal_id,place,state_level,spending_tier_name,fiscal_year_label,fy_start,fy_end,fy_calendar,budget_version,supplementary_basis,admin_head_code,admin_head,spending_entity_code,spending_entity,programme_code,programme,sub_programme_code,sub_programme,econ_class,admin_head_basis,programme_basis,programme_level,line_name,purpose,primary_subject,scope_confidence,scope_basis,finance_origin,funding_source,is_transfer,transfer_to,currency,amount_scale,proposed,appropriated,revised,released,actual,audited,baseline_stage,current_stage,exec_vs_voted,exec_vs_revised,source_tier,doc_type,doc_locator,source_slug,extracted,origin_record,notes
lso-2024-304-02-11,LSO,national,,2024/2025,2024-04-01,2025-03-31,gregorian,original,,304,304 - Finance and Development Planning,11,IFMIS,02,Public Accounts Management,11,IFMIS,,printed,printed,line,IFMIS,The finance ministry's unit that runs and supports the Integrated Financial Management Information System.,dpi.mis,whole,"The sub-cost-centre is named IFMIS and sits under Public Accounts Management; its largest items are upkeep of public assets and software licences, and the 2026/27 draft estimates give it the activity of keeping the IFMIS stable and secure.",domestic-state,unstated,false,,LSL,full maloti as printed ('Amount In Maloti'); cells print whole maloti,,,,,22761907,,actual,actual,,,budget-document,budget-estimates,"2026/2027 Budget Estimates Book, Recurrent Expenditure Budget By Ministry and Cost Centre, Head 304, cost centre 02 Public Accounts Management, sub cost centre 11 IFMIS, row Total: SCC, column Actuals 2024/2025 (PDF p. 153)",2026-04-30-lso-budget-estimates-book-2026-27-companion,2026-09-24,,"Baseline is actual, not appropriated: the approved 2024/25 book and the Act are not held, and the draft book prints recurrent money by programme activity, not by cost centre, so no appropriation exists at this grain. The actual is the 2026/27 book's Actuals 2024/2025 column. Cross-foot: the sub-cost-centre's 15 items sum to its printed total in all six columns, the sub-cost-centres to cost centre 02, the cost centres to the head total, and the heads to the book's recurrent grand total (2026/27 24,099,607,650; 2025/26 approved 22,965,829,078, revised 22,002,415,126; 2024/25 actual 19,479,449,201), within the book's rounding of a maloti or two. Funding source unstated: the recurrent tables print no financing split; the Budget Summary books all but 13.1m (2025/26) and 18.0m (2026/27) of recurrent spending to GOL, and the donor-funded remainder is not placed. programme holds the book's cost centre and sub_programme its sub cost centre; the book's seven national programmes cut across both and are not used. The Supplementary Appropriation (2024/2025) Bill adds to this head's recurrent vote, by head only; the actual includes whatever of it this unit spent."
lso-2024-304-04-04,LSO,national,,2024/2025,2024-04-01,2025-03-31,gregorian,original,,304,304 - Finance and Development Planning,04,Bureau of Statistics,04,Economic Policy,04,Bureau of Statistics,,printed,printed,line,Bureau of Statistics,"The Bureau of Statistics, which collects, analyses and publishes official statistics, including censuses and surveys.",data.statistics,whole,"A single-mandate statistics office: the whole sub-cost-centre is the Bureau, and its draft-book activities are data collection, the national statistics development strategy and the economic activity census.",domestic-state,unstated,false,,LSL,full maloti as printed ('Amount In Maloti'); cells print whole maloti,,,,,65828070,,actual,actual,,,budget-document,budget-estimates,"2026/2027 Budget Estimates Book, Recurrent Expenditure Budget By Ministry and Cost Centre, Head 304, cost centre 04 Economic Policy, sub cost centre 04 Bureau of Statistics, row Total: SCC, column Actuals 2024/2025 (PDF p. 157)",2026-04-30-lso-budget-estimates-book-2026-27-companion,2026-09-24,,"Baseline is actual, not appropriated: the approved 2024/25 book and the Act are not held, and the draft book prints recurrent money by programme activity, not by cost centre, so no appropriation exists at this grain. The actual is the 2026/27 book's Actuals 2024/2025 column. Cross-foot: the sub-cost-centre's 27 items sum to its printed total in all six columns, the sub-cost-centres to cost centre 04, the cost centres to the head total, and the heads to the book's recurrent grand total (2026/27 24,099,607,650; 2025/26 approved 22,965,829,078, revised 22,002,415,126; 2024/25 actual 19,479,449,201), within the book's rounding of a maloti or two. Funding source unstated: the recurrent tables print no financing split; the Budget Summary books all but 13.1m (2025/26) and 18.0m (2026/27) of recurrent spending to GOL, and the donor-funded remainder is not placed. programme holds the book's cost centre and sub_programme its sub cost centre; the book's seven national programmes cut across both and are not used. The Supplementary Appropriation (2024/2025) Bill adds to this head's recurrent vote, by head only; the actual includes whatever of it this unit spent. Includes a grant to an extra-budgetary unit whose recipient the book does not name (2026/27 259,083,975; 2025/26 83,500,000; 2024/25 actual 17,097,027)."
lso-2024-308-03-02,LSO,national,,2024/2025,2024-04-01,2025-03-31,gregorian,original,,308,"308 - Local Government, Chieftainship, Home Affairs and Police",02,National Identity and Civil Registry,03,Identity and Registration,02,National Identity and Civil Registry,,printed,printed,line,National Identity and Civil Registry,"Registers births, deaths and other vital events and enrols citizens for and issues national identity cards.",dpi.id,whole,"Single-mandate body: the sub-cost-centre is National Identity and Civil Registry, and its draft-book activities are ID enrolment, vital-event registration, digitising the civil register and updating its ID hardware and software.",domestic-state,unstated,false,,LSL,full maloti as printed ('Amount In Maloti'); cells print whole maloti,,,,,205579256,,actual,actual,,,budget-document,budget-estimates,"2026/2027 Budget Estimates Book, Recurrent Expenditure Budget By Ministry and Cost Centre, Head 308, cost centre 03 Identity and Registration, sub cost centre 02 National Identity and Civil Registry, row Total: SCC, column Actuals 2024/2025 (PDF p. 186)",2026-04-30-lso-budget-estimates-book-2026-27-companion,2026-09-24,,"Baseline is actual, not appropriated: the approved 2024/25 book and the Act are not held, and the draft book prints recurrent money by programme activity, not by cost centre, so no appropriation exists at this grain. The actual is the 2026/27 book's Actuals 2024/2025 column. Cross-foot: the sub-cost-centre's 13 items sum to its printed total in all six columns, the sub-cost-centres to cost centre 03, the cost centres to the head total, and the heads to the book's recurrent grand total (2026/27 24,099,607,650; 2025/26 approved 22,965,829,078, revised 22,002,415,126; 2024/25 actual 19,479,449,201), within the book's rounding of a maloti or two. Funding source unstated: the recurrent tables print no financing split; the Budget Summary books all but 13.1m (2025/26) and 18.0m (2026/27) of recurrent spending to GOL, and the donor-funded remainder is not placed. programme holds the book's cost centre and sub_programme its sub cost centre; the book's seven national programmes cut across both and are not used. The Supplementary Appropriation (2024/2025) Bill adds to this head's recurrent vote, by head only; the actual includes whatever of it this unit spent. Wages of established posts are most of the line (2026/27 189,479,286)."
lso-2024-308-04-04,LSO,national,,2024/2025,2024-04-01,2025-03-31,gregorian,original,,308,"308 - Local Government, Chieftainship, Home Affairs and Police",04,Passports,04,Migration Management,04,Passports,,printed,printed,line,Passports,"Issues Lesotho passports, the machine-readable travel credential.",dpi.id,partial,"Passport issuance is a credential system, but the line also carries the counter service, printing of booklets and upkeep of assets, and the book prints no split.",domestic-state,unstated,false,,LSL,full maloti as printed ('Amount In Maloti'); cells print whole maloti,,,,,79346860,,actual,actual,,,budget-document,budget-estimates,"2026/2027 Budget Estimates Book, Recurrent Expenditure Budget By Ministry and Cost Centre, Head 308, cost centre 04 Migration Management, sub cost centre 04 Passports, row Total: SCC, column Actuals 2024/2025 (PDF p. 188)",2026-04-30-lso-budget-estimates-book-2026-27-companion,2026-09-24,,"Baseline is actual, not appropriated: the approved 2024/25 book and the Act are not held, and the draft book prints recurrent money by programme activity, not by cost centre, so no appropriation exists at this grain. The actual is the 2026/27 book's Actuals 2024/2025 column. Cross-foot: the sub-cost-centre's 14 items sum to its printed total in all six columns, the sub-cost-centres to cost centre 04, the cost centres to the head total, and the heads to the book's recurrent grand total (2026/27 24,099,607,650; 2025/26 approved 22,965,829,078, revised 22,002,415,126; 2024/25 actual 19,479,449,201), within the book's rounding of a maloti or two. Funding source unstated: the recurrent tables print no financing split; the Budget Summary books all but 13.1m (2025/26) and 18.0m (2026/27) of recurrent spending to GOL, and the donor-funded remainder is not placed. programme holds the book's cost centre and sub_programme its sub cost centre; the book's seven national programmes cut across both and are not used. The Supplementary Appropriation (2024/2025) Bill adds to this head's recurrent vote, by head only; the actual includes whatever of it this unit spent."
lso-2024-310-02-03,LSO,national,,2024/2025,2024-04-01,2025-03-31,gregorian,original,,310,"310 - Information, Communications, Technology and Innovation",03,"Information, Communication and Technology",02,Technology Services,03,"Information, Communication and Technology",,printed,printed,line,"Information, Communication and Technology","The digital ministry's ICT department: the government network and connectivity bills, shared software licences and ICT access.",dpi.govtech,whole,"The sub-cost-centre is named Information, Communication and Technology; communications (the government network) and software licences are most of it, and the draft books map it to the ICT Access activity.",domestic-state,unstated,false,,LSL,full maloti as printed ('Amount In Maloti'); cells print whole maloti,,,,,94715431,,actual,actual,,,budget-document,budget-estimates,"2026/2027 Budget Estimates Book, Recurrent Expenditure Budget By Ministry and Cost Centre, Head 310, cost centre 02 Technology Services, sub cost centre 03 Information, Communication and Technology, row Total: SCC, column Actuals 2024/2025 (PDF p. 209)",2026-04-30-lso-budget-estimates-book-2026-27-companion,2026-09-24,,"Baseline is actual, not appropriated: the approved 2024/25 book and the Act are not held, and the draft book prints recurrent money by programme activity, not by cost centre, so no appropriation exists at this grain. The actual is the 2026/27 book's Actuals 2024/2025 column. Cross-foot: the sub-cost-centre's 18 items sum to its printed total in all six columns, the sub-cost-centres to cost centre 02, the cost centres to the head total, and the heads to the book's recurrent grand total (2026/27 24,099,607,650; 2025/26 approved 22,965,829,078, revised 22,002,415,126; 2024/25 actual 19,479,449,201), within the book's rounding of a maloti or two. Funding source unstated: the recurrent tables print no financing split; the Budget Summary books all but 13.1m (2025/26) and 18.0m (2026/27) of recurrent spending to GOL, and the donor-funded remainder is not placed. programme holds the book's cost centre and sub_programme its sub cost centre; the book's seven national programmes cut across both and are not used."
lso-2024-343-02-03,LSO,national,,2024/2025,2024-04-01,2025-03-31,gregorian,original,,343,343 - Public Service,03,Information System and Payroll Management,02,Human Resources Management,03,Information System and Payroll Management,,printed,printed,line,Information System and Payroll Management,"Runs the public service's human-resource and payroll information system, mostly through its software licences.",dpi.mis,whole,"The sub-cost-centre is named Information System and Payroll Management and more than four-fifths of it is software licences; the draft books' activity for it is HRMIS licence renewal, upgrades and maintenance.",domestic-state,unstated,false,,LSL,full maloti as printed ('Amount In Maloti'); cells print whole maloti,,,,,16930746,,actual,actual,,,budget-document,budget-estimates,"2026/2027 Budget Estimates Book, Recurrent Expenditure Budget By Ministry and Cost Centre, Head 343, cost centre 02 Human Resources Management, sub cost centre 03 Information System and Payroll Management, row Total: SCC, column Actuals 2024/2025 (PDF p. 278)",2026-04-30-lso-budget-estimates-book-2026-27-companion,2026-09-24,,"Baseline is actual, not appropriated: the approved 2024/25 book and the Act are not held, and the draft book prints recurrent money by programme activity, not by cost centre, so no appropriation exists at this grain. The actual is the 2026/27 book's Actuals 2024/2025 column. Cross-foot: the sub-cost-centre's 9 items sum to its printed total in all six columns, the sub-cost-centres to cost centre 02, the cost centres to the head total, and the heads to the book's recurrent grand total (2026/27 24,099,607,650; 2025/26 approved 22,965,829,078, revised 22,002,415,126; 2024/25 actual 19,479,449,201), within the book's rounding of a maloti or two. Funding source unstated: the recurrent tables print no financing split; the Budget Summary books all but 13.1m (2025/26) and 18.0m (2026/27) of recurrent spending to GOL, and the donor-funded remainder is not placed. programme holds the book's cost centre and sub_programme its sub cost centre; the book's seven national programmes cut across both and are not used."
lso-2024-301-02-01-431018,LSO,national,,2024/2025,2024-04-01,2025-03-31,gregorian,original,,301,"301 - Agriculture, Food Security and Nutrition",01,Crops Services,02,Agricultural Production Services,01,Crops Services,431018 Software Licenses,printed,printed,line,Crops Services - Software Licenses,Software licences bought by the agriculture ministry's crop services.,dpi.govtech,unclear,"The item is software, but the book does not name the system it licenses, so its purpose cannot be scoped.",domestic-state,unstated,false,,LSL,full maloti as printed ('Amount In Maloti'); cells print whole maloti,,,,,5750000,,actual,actual,,,budget-document,budget-estimates,"2026/2027 Budget Estimates Book, Recurrent Expenditure Budget By Ministry and Cost Centre, Head 301, cost centre 02 Agricultural Production Services, sub cost centre 01 Crops Services, item 431018 Software Licenses, column Actuals 2024/2025 (PDF p. 115)",2026-04-30-lso-budget-estimates-book-2026-27-companion,2026-09-24,,"Baseline is actual, not appropriated: the approved 2024/25 book and the Act are not held, and the draft book prints recurrent money by programme activity, not by cost centre, so no appropriation exists at this grain. The actual is the 2026/27 book's Actuals 2024/2025 column. Held at item grain because the unit around it is not digital; the unit's total is not held, so nothing sums twice. Cross-foot: the unit's items sum to its printed total in every column. Funding source unstated: the recurrent tables print no financing split."
lso-2024-310-0480,LSO,national,,2024/2025,2024-04-01,2025-03-31,gregorian,original,,310,"310 - Information, Communications, Technology and Innovation",03,"Information, Communication and Technology",0480,E-Government,,,,printed,printed,project,E-Government,"The E-Government infrastructure project: base tower stations, rural mobile broadband sites and fibre.",infra.connect,whole,"The 2024/25 Budget Speech describes phase II of the E-Government infrastructure project as base tower stations, 4G sites and an optical fibre link; the project sits in the ICT department.",domestic-state,domestic-revenue,false,,LSL,full maloti as printed ('Amount In Maloti'); cells print whole maloti,17000000,,,,15902619,,proposed,actual,,,budget-document,budget-estimates,"Draft Budget Book 2024/2025, Capital Projects Budget 2024/25, head 310 GOL CAPX, row 0480, column Proposed Budget 2024/25 (PDF p. 68); 2026/2027 Budget Estimates Book, Capital Project Budget, Head 310, cost centre 02 Technology Services, sub cost centre 03 Information, Communication and Technology, project 0480, row GOL-Government of Lesotho, column headed Actuals 2025/2026, which is the 2024/25 outturn (PDF p. 309)",2024-02-21-lso-draft-budget-book-2024-25-companion,2026-09-24,,"Baseline is proposed, not appropriated: the approved 2024/25 book and the Act are not held; the Appropriation (2024/2025) Bill schedules capital by head only, and its head totals equal the draft's. Cross-foot: the rows of the draft's 310 GOL CAPX block (57,999,999) sum to its printed total, and the head total equals the Bill's Schedule B. Actual: the 2026/27 book heads this column Actuals 2025/2026 on its capital pages, but its total equals the Budget Summary's GOL capital Actuals 2024/2025 (2,254,315,558), and the 2025/26 spending printed in the 2026/27 draft estimates and the Q4 2025/26 bulletin is different, so it is the 2024/25 outturn. Actual is 93.5% of the proposed figure; not an execution rate, since the base is the draft. Funding source: the project's GOL row; its donor rows are recorded only as a finding, because the draft is the proposed stage."
lso-2024-305-2202,LSO,national,,2024/2025,2024-04-01,2025-03-31,gregorian,original,,305,"305 - Trade, Industry and Business Development",02,One Stop Business Facilitation,2202,New and Cashless Services for One Stop Business Facilitation Centre (OBFC),,,,printed,printed,project,New and Cashless Services for One Stop Business Facilitation Centre (OBFC),"New and cashless services at the One Stop Business Facilitation Centre, the business registration and licensing counter.",dpi.pay,whole,The project title names cashless and new services at the business registration centre; its whole content is digital service and payment delivery.,domestic-state,domestic-revenue,false,,LSL,full maloti as printed ('Amount In Maloti'); cells print whole maloti,2836640,,,,2763983,,proposed,actual,,,budget-document,budget-estimates,"Draft Budget Book 2024/2025, Capital Projects Budget 2024/25, head 305 GOL CAPX, row 2202, column Proposed Budget 2024/25 (PDF p. 67); 2026/2027 Budget Estimates Book, Capital Project Budget, Head 305, cost centre 02 Business Facilitation and Development, sub cost centre 02 One Stop Business Facilitation, project 2202, row GOL-Government of Lesotho, column headed Actuals 2025/2026, which is the 2024/25 outturn (PDF p. 301)",2024-02-21-lso-draft-budget-book-2024-25-companion,2026-09-24,,"Baseline is proposed, not appropriated: the approved 2024/25 book and the Act are not held; the Appropriation (2024/2025) Bill schedules capital by head only, and its head totals equal the draft's. Cross-foot: the rows of the draft's 305 GOL CAPX block (389,000,000) sum to its printed total, and the head total equals the Bill's Schedule B. Actual: the 2026/27 book heads this column Actuals 2025/2026 on its capital pages, but its total equals the Budget Summary's GOL capital Actuals 2024/2025 (2,254,315,558), and the 2025/26 spending printed in the 2026/27 draft estimates and the Q4 2025/26 bulletin is different, so it is the 2024/25 outturn. Actual is 97.4% of the proposed figure; not an execution rate, since the base is the draft. Funding source: the project's GOL row; its donor rows are recorded only as a finding, because the draft is the proposed stage."
lso-2024-304-0528,LSO,national,,2024/2025,2024-04-01,2025-03-31,gregorian,original,,304,304 - Finance and Development Planning,01,Macroeconomic Policy,0528,Tax Modernisation Programme,,,,printed,printed,project,Tax Modernisation Programme,"The tax modernisation programme, whose planned output is an e-invoicing solution for the revenue authority.",dpi.mis,partial,"The parliamentary committee's 2024/25 report says the programme's unspent balance was for e-invoicing solutions, and also that part of the government contribution went on repaying domestic arrears; the line mixes both and prints no split.",domestic-state,domestic-revenue,false,,LSL,full maloti as printed ('Amount In Maloti'); cells print whole maloti,8000000,,,,764339,,proposed,actual,,,budget-document,budget-estimates,"Draft Budget Book 2024/2025, Capital Projects Budget 2024/25, head 304 GOL CAPX, row 0528, column Proposed Budget 2024/25 (PDF p. 67); 2026/2027 Budget Estimates Book, Capital Project Budget, Head 304, cost centre 04 Economic Policy, sub cost centre 01 Macroeconomic Policy, project 0528, row GOL-Government of Lesotho, column headed Actuals 2025/2026, which is the 2024/25 outturn (PDF p. 299)",2024-02-21-lso-draft-budget-book-2024-25-companion,2026-09-24,,"Baseline is proposed, not appropriated: the approved 2024/25 book and the Act are not held; the Appropriation (2024/2025) Bill schedules capital by head only, and its head totals equal the draft's. Cross-foot: the rows of the draft's 304 GOL CAPX block (107,000,000) sum to its printed total, and the head total equals the Bill's Schedule B. Actual: the 2026/27 book heads this column Actuals 2025/2026 on its capital pages, but its total equals the Budget Summary's GOL capital Actuals 2024/2025 (2,254,315,558), and the 2025/26 spending printed in the 2026/27 draft estimates and the Q4 2025/26 bulletin is different, so it is the 2024/25 outturn. Actual is 9.6% of the proposed figure; not an execution rate, since the base is the draft. Funding source: the project's GOL row; its donor rows are recorded only as a finding, because the draft is the proposed stage."
