deal_id,place,state_level,spending_tier_name,fiscal_year_label,fy_start,fy_end,fy_calendar,budget_version,supplementary_basis,admin_head_code,admin_head,spending_entity_code,spending_entity,programme_code,programme,sub_programme_code,sub_programme,econ_class,admin_head_basis,programme_basis,programme_level,line_name,purpose,primary_subject,scope_confidence,scope_basis,finance_origin,funding_source,is_transfer,transfer_to,currency,amount_scale,proposed,appropriated,revised,released,actual,audited,baseline_stage,current_stage,exec_vs_voted,exec_vs_revised,source_tier,doc_type,doc_locator,source_slug,extracted,origin_record,notes
ner-2024-03-103-10301003,NER,national,,2024,2024-01-01,2024-12-31,gregorian,original,,03,03 - CABINET DU PREMIER MINISTRE,03,CABINET DU PREMIER MINISTRE,10301003,Institut Africain de l'Informatique (IAI),,,,printed,printed,activity,Institut Africain de l'Informatique (IAI),"The Prime Minister's transfer to the African Institute of Informatics, a regional school that trains IT professionals.",capacity.training,whole,The line transfers to a school whose whole teaching mandate is informatics; a single-mandate body.,domestic-state,unstated,false,,XOF,"full CFA francs as printed; Annexe IV is headed en francs CFA and its activity, action, programme and section totals sum to the law's printed 2,681,413,143,850 (budget général 2,355,717,812,818 + amortissement 297,722,831,032 + comptes spéciaux 27,972,500,000)",,60007005,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Ordonnance n° 2024-001 du 4 janvier 2024 (loi de finances 2024), Annexe IV, cahier 2, JO p. 123, section 03, programme 103, action 10301, activité 10301003, column Coût CP",2024-01-04-ner-lf-2024-companion,2026-09-24,,"Financing code 11, one of the codes the law's own arithmetic places on the state side: codes 22 and 42 sum exactly to its printed prêts projets and 33 and 43 to its dons projets, and 11 is in neither. Autorisations d'engagement equal the crédits de paiement. Paragraph 641 transfer to a public body. The IAI's own budget is not held, so the line counts. The publisher's file fetched for this sitting matches the md5 OSINT holds for it."
ner-2024-05-106-10609001,NER,national,,2024,2024-01-01,2024-12-31,gregorian,original,,05,05 - CONSEIL NATIONAL POUR LA SAUVEGARDE DE LA PATRIE (CNSP),05,CONSEIL NATIONAL POUR LA SAUVEGARDE DE LA PATRIE (CNSP),10609001,Metre en eouvre la stratégie 2.0,,,,printed,printed,activity,Metre en eouvre la stratégie 2.0,"A transfer for carrying out the Niger 2.0 digital strategy, under the Presidency's action on Niger's digital development index ranking.",gov.policy,whole,"The activity sits in action 10609, named for improving Niger's digital development ranking; the 2025 law names the receiving structure as the national information society agency (ANSI).",domestic-state,unstated,false,,XOF,"full CFA francs as printed; Annexe IV is headed en francs CFA and its activity, action, programme and section totals sum to the law's printed 2,681,413,143,850 (budget général 2,355,717,812,818 + amortissement 297,722,831,032 + comptes spéciaux 27,972,500,000)",,170617465,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Ordonnance n° 2024-001 du 4 janvier 2024 (loi de finances 2024), Annexe IV, cahier 2, JO p. 178, section 05, programme 106, action 10609, activité 10609001, column Coût CP",2024-01-04-ner-lf-2024-companion,2026-09-24,,"Financing code 11, one of the codes the law's own arithmetic places on the state side: codes 22 and 42 sum exactly to its printed prêts projets and 33 and 43 to its dons projets, and 11 is in neither. Autorisations d'engagement equal the crédits de paiement. Paragraph 643 transfer to another public administration. The same action carries the Smart Villages project's loan and grant lines, recorded as external. The publisher's file fetched for this sitting matches the md5 OSINT holds for it."
ner-2024-05-805-80501009,NER,national,,2024,2024-01-01,2024-12-31,gregorian,original,,05,05 - CONSEIL NATIONAL POUR LA SAUVEGARDE DE LA PATRIE (CNSP),05,CONSEIL NATIONAL POUR LA SAUVEGARDE DE LA PATRIE (CNSP),80501009,Doter la HAPDP en crédits de fonctionnement,,,,printed,printed,activity,Doter la HAPDP en crédits de fonctionnement,"Running costs of the personal data protection authority (HAPDP), paid through the Presidency's allocation.",gov.protect,whole,The HAPDP's statutory mandate is personal data protection; a single-mandate body.,domestic-state,unstated,false,,XOF,"full CFA francs as printed; Annexe IV is headed en francs CFA and its activity, action, programme and section totals sum to the law's printed 2,681,413,143,850 (budget général 2,355,717,812,818 + amortissement 297,722,831,032 + comptes spéciaux 27,972,500,000)",,126868823,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Ordonnance n° 2024-001 du 4 janvier 2024 (loi de finances 2024), Annexe IV, cahier 2, JO p. 189, section 05, programme 805, action 80501, activité 80501009, column Coût CP",2024-01-04-ner-lf-2024-companion,2026-09-24,,"Financing code 11, one of the codes the law's own arithmetic places on the state side: codes 22 and 42 sum exactly to its printed prêts projets and 33 and 43 to its dons projets, and 11 is in neither. Autorisations d'engagement equal the crédits de paiement. Paragraph 643 transfer. The HAPDP's own budget is not held, so the line counts. The publisher's file fetched for this sitting matches the md5 OSINT holds for it."
ner-2024-05-805-80502014,NER,national,,2024,2024-01-01,2024-12-31,gregorian,original,,05,05 - CONSEIL NATIONAL POUR LA SAUVEGARDE DE LA PATRIE (CNSP),05,CONSEIL NATIONAL POUR LA SAUVEGARDE DE LA PATRIE (CNSP),80502014,Reprendre le système de vidéo surveillance de la DT/SC,,,,printed,printed,activity,Reprendre le système de vidéo surveillance de la DT/SC,Rebuilding a video-surveillance system for a Presidency security service.,infra.cybersec,unclear,A surveillance camera system is technology but not clearly a digital-government line; held as unclear.,domestic-state,unstated,false,,XOF,"full CFA francs as printed; Annexe IV is headed en francs CFA and its activity, action, programme and section totals sum to the law's printed 2,681,413,143,850 (budget général 2,355,717,812,818 + amortissement 297,722,831,032 + comptes spéciaux 27,972,500,000)",,90210032,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Ordonnance n° 2024-001 du 4 janvier 2024 (loi de finances 2024), Annexe IV, cahier 2, JO p. 208, section 05, programme 805, action 80502, activité 80502014, column Coût CP",2024-01-04-ner-lf-2024-companion,2026-09-24,,"Financing code 11, one of the codes the law's own arithmetic places on the state side: codes 22 and 42 sum exactly to its printed prêts projets and 33 and 43 to its dons projets, and 11 is in neither. Autorisations d'engagement equal the crédits de paiement. Paragraph 244 technical equipment. The publisher's file fetched for this sitting matches the md5 OSINT holds for it."
ner-2024-06-108-10804002,NER,national,,2024,2024-01-01,2024-12-31,gregorian,original,,06,"06 - MINISTÈRE DE L'ENSEIGNEMENT SUPERIEUR, DE LA RECHERCHE ET DE L'INNOVATION TECHNOLOGIQUE",06,"MINISTÈRE DE L'ENSEIGNEMENT SUPERIEUR, DE LA RECHERCHE ET DE L'INNOVATION TECHNOLOGIQUE",10804002,Création et mise à jour d'une jour d'une base de données pour le suivi des étudiants inscrits dans les EESR,,,,printed,printed,activity,Création et mise à jour d'une jour d'une base de données pour le suivi des étudiants inscrits dans les EESR,Building and updating a database to track students enrolled in higher education institutions.,dpi.mis,whole,The activity's stated purpose is a student-tracking database.,domestic-state,unstated,false,,XOF,"full CFA francs as printed; Annexe IV is headed en francs CFA and its activity, action, programme and section totals sum to the law's printed 2,681,413,143,850 (budget général 2,355,717,812,818 + amortissement 297,722,831,032 + comptes spéciaux 27,972,500,000)",,5580000,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Ordonnance n° 2024-001 du 4 janvier 2024 (loi de finances 2024), Annexe IV, cahier 3, JO p. 222, section 06, programme 108, action 10804, activité 10804002, column Coût CP",2024-01-04-ner-lf-2024-companion,2026-09-24,,"Financing code 11, one of the codes the law's own arithmetic places on the state side: codes 22 and 42 sum exactly to its printed prêts projets and 33 and 43 to its dons projets, and 11 is in neither. Autorisations d'engagement equal the crédits de paiement. The publisher's file fetched for this sitting matches the md5 OSINT holds for it."
ner-2024-06-108-10805009,NER,national,,2024,2024-01-01,2024-12-31,gregorian,original,,06,"06 - MINISTÈRE DE L'ENSEIGNEMENT SUPERIEUR, DE LA RECHERCHE ET DE L'INNOVATION TECHNOLOGIQUE",06,"MINISTÈRE DE L'ENSEIGNEMENT SUPERIEUR, DE LA RECHERCHE ET DE L'INNOVATION TECHNOLOGIQUE",10805009,Transfert à l'Université virtuelle du Niger,,,,printed,printed,activity,Transfert à l'Université virtuelle du Niger,"The state's transfer to the Virtual University of Niger, which delivers higher education online.",capacity.training,partial,"The university's mandate is higher education delivered through digital means; the teaching itself is not a digital activity, so the line is held as partial.",domestic-state,unstated,false,,XOF,"full CFA francs as printed; Annexe IV is headed en francs CFA and its activity, action, programme and section totals sum to the law's printed 2,681,413,143,850 (budget général 2,355,717,812,818 + amortissement 297,722,831,032 + comptes spéciaux 27,972,500,000)",,100000000,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Ordonnance n° 2024-001 du 4 janvier 2024 (loi de finances 2024), Annexe IV, cahier 3, JO p. 227, section 06, programme 108, action 10805, activité 10805009, column Coût CP",2024-01-04-ner-lf-2024-companion,2026-09-24,,"Financing code 11, one of the codes the law's own arithmetic places on the state side: codes 22 and 42 sum exactly to its printed prêts projets and 33 and 43 to its dons projets, and 11 is in neither. Autorisations d'engagement equal the crédits de paiement. Paragraph 641 transfer; the university's own budget is not held. The publisher's file fetched for this sitting matches the md5 OSINT holds for it."
ner-2024-06-110-11001004,NER,national,,2024,2024-01-01,2024-12-31,gregorian,original,,06,"06 - MINISTÈRE DE L'ENSEIGNEMENT SUPERIEUR, DE LA RECHERCHE ET DE L'INNOVATION TECHNOLOGIQUE",06,"MINISTÈRE DE L'ENSEIGNEMENT SUPERIEUR, DE LA RECHERCHE ET DE L'INNOVATION TECHNOLOGIQUE",11001004,Mise en place d'une plateforme des données statistique annuelles,,,,printed,printed,activity,Mise en place d'une plateforme des données statistique annuelles,Setting up a platform for the ministry's annual statistical data.,data.statistics,whole,The activity's stated purpose is a data platform.,domestic-state,unstated,false,,XOF,"full CFA francs as printed; Annexe IV is headed en francs CFA and its activity, action, programme and section totals sum to the law's printed 2,681,413,143,850 (budget général 2,355,717,812,818 + amortissement 297,722,831,032 + comptes spéciaux 27,972,500,000)",,9300000,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Ordonnance n° 2024-001 du 4 janvier 2024 (loi de finances 2024), Annexe IV, cahier 3, JO p. 240, section 06, programme 110, action 11001, activité 11001004, column Coût CP",2024-01-04-ner-lf-2024-companion,2026-09-24,,"Financing code 11, one of the codes the law's own arithmetic places on the state side: codes 22 and 42 sum exactly to its printed prêts projets and 33 and 43 to its dons projets, and 11 is in neither. Autorisations d'engagement equal the crédits de paiement. The publisher's file fetched for this sitting matches the md5 OSINT holds for it."
ner-2024-08-111-11103002,NER,national,,2024,2024-01-01,2024-12-31,gregorian,original,,08,"08 - MINISTÈRE DE LA COMMUNICATION, DES POSTES ET DE L'ECONOMIE NUMERIQUE",08,"MINISTÈRE DE LA COMMUNICATION, DES POSTES ET DE L'ECONOMIE NUMERIQUE",11103002,Gestion des systèmes d’informations du ministère,,,,printed,printed,activity,Gestion des systèmes d’informations du ministère,Managing the digital ministry's own information systems.,dpi.govtech,whole,The activity's stated purpose is information-system management; it prints a software-design line and an equipment line.,domestic-state,unstated,false,,XOF,"full CFA francs as printed; Annexe IV is headed en francs CFA and its activity, action, programme and section totals sum to the law's printed 2,681,413,143,850 (budget général 2,355,717,812,818 + amortissement 297,722,831,032 + comptes spéciaux 27,972,500,000)",,7482214,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Ordonnance n° 2024-001 du 4 janvier 2024 (loi de finances 2024), Annexe IV, cahier 3, JO p. 270, section 08, programme 111, action 11103, activité 11103002, column Coût CP",2024-01-04-ner-lf-2024-companion,2026-09-24,,"Financing code 11, one of the codes the law's own arithmetic places on the state side: codes 22 and 42 sum exactly to its printed prêts projets and 33 and 43 to its dons projets, and 11 is in neither. Autorisations d'engagement equal the crédits de paiement. Paragraphs 213 (3,000,000) and 242 (4,482,214). The publisher's file fetched for this sitting matches the md5 OSINT holds for it."
ner-2024-08-111-11107001,NER,national,,2024,2024-01-01,2024-12-31,gregorian,original,,08,"08 - MINISTÈRE DE LA COMMUNICATION, DES POSTES ET DE L'ECONOMIE NUMERIQUE",08,"MINISTÈRE DE LA COMMUNICATION, DES POSTES ET DE L'ECONOMIE NUMERIQUE",11107001,Création de l'Autorité Nationale de Certification Electronique,,,,printed,printed,activity,Création de l'Autorité Nationale de Certification Electronique,Preparatory work towards a national electronic certification authority.,gov.standards,whole,The activity's stated purpose is creating the electronic-signature certification authority.,domestic-state,unstated,false,,XOF,"full CFA francs as printed; Annexe IV is headed en francs CFA and its activity, action, programme and section totals sum to the law's printed 2,681,413,143,850 (budget général 2,355,717,812,818 + amortissement 297,722,831,032 + comptes spéciaux 27,972,500,000)",,2000000,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Ordonnance n° 2024-001 du 4 janvier 2024 (loi de finances 2024), Annexe IV, cahier 3, JO p. 276, section 08, programme 111, action 11107, activité 11107001, column Coût CP",2024-01-04-ner-lf-2024-companion,2026-09-24,,"Financing code 11, one of the codes the law's own arithmetic places on the state side: codes 22 and 42 sum exactly to its printed prêts projets and 33 and 43 to its dons projets, and 11 is in neither. Autorisations d'engagement equal the crédits de paiement. The publisher's file fetched for this sitting matches the md5 OSINT holds for it."
ner-2024-08-113-11301001,NER,national,,2024,2024-01-01,2024-12-31,gregorian,original,,08,"08 - MINISTÈRE DE LA COMMUNICATION, DES POSTES ET DE L'ECONOMIE NUMERIQUE",08,"MINISTÈRE DE LA COMMUNICATION, DES POSTES ET DE L'ECONOMIE NUMERIQUE",11301001,Appui au fonctionnement de l''ESCEP,,,,printed,printed,activity,Appui au fonctionnement de l''ESCEP,"Operating support to ESCEP, the school for electronic communications and postal services.",capacity.training,partial,"The school trains for both electronic communications and postal services, so its support is partial. The law files it under the action for the national fibre backbone and data centre.",domestic-state,unstated,false,,XOF,"full CFA francs as printed; Annexe IV is headed en francs CFA and its activity, action, programme and section totals sum to the law's printed 2,681,413,143,850 (budget général 2,355,717,812,818 + amortissement 297,722,831,032 + comptes spéciaux 27,972,500,000)",,34311585,,,,,appropriated,appropriated,,,budget-document,appropriation-act,"Ordonnance n° 2024-001 du 4 janvier 2024 (loi de finances 2024), Annexe IV, cahier 3, JO p. 277, section 08, programme 113, action 11301, activité 11301001, column Coût CP",2024-01-04-ner-lf-2024-companion,2026-09-24,,"Financing code 11, one of the codes the law's own arithmetic places on the state side: codes 22 and 42 sum exactly to its printed prêts projets and 33 and 43 to its dons projets, and 11 is in neither. Autorisations d'engagement equal the crédits de paiement. Paragraph 632 subsidy. The publisher's file fetched for this sitting matches the md5 OSINT holds for it."
