deal_id,place,state_level,spending_tier_name,fiscal_year_label,fy_start,fy_end,fy_calendar,budget_version,supplementary_basis,admin_head_code,admin_head,spending_entity_code,spending_entity,programme_code,programme,sub_programme_code,sub_programme,econ_class,admin_head_basis,programme_basis,programme_level,line_name,purpose,primary_subject,scope_confidence,scope_basis,finance_origin,funding_source,is_transfer,transfer_to,currency,amount_scale,proposed,appropriated,revised,released,actual,audited,baseline_stage,current_stage,exec_vs_voted,exec_vs_revised,source_tier,doc_type,doc_locator,source_slug,extracted,origin_record,notes
sle-2024-135-1350101-03000000,SLE,national,,FY2024,2024-01-01,2024-12-31,gregorian,original,,135,"135 - Ministry of Communication, Technology and Innovation",13501,General Administrative and Operating Cost,1350101,"Communication, Technology and Innovation",03000000,Personnel Emoluments,Personnel Emoluments,printed,printed,programme,"Communication, Technology and Innovation - Personnel Emoluments",Staff costs of the digital ministry's policy and operations programme.,dpi.govtech,whole,"Single-mandate body: the Ministry of Communication, Technology and Innovation holds the state's ICT, digital-government and innovation portfolio; broadcasting and information sit in a separate ministry (head 133), so the ministry's own lines are held whole.",domestic-state,domestic-revenue,false,,SLE,units (New Leones); the volume prints Scale amount: 1,,10015000,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Financial Year 2024 Expenditure Estimates (detailed, Budget Version 2024-0001), Head 135, programme 1350101, Personnel Emoluments, activity 03000000 (sub-total), PDF p. 148",2023-12-01-sle-fy2024-detailed-budget-estimates-companion,2026-09-24,,"Appropriated: the Appropriation Act 2024 votes salaries as one national sum, NLe6,508,700,000, which equals the estimates' personnel total; the body-level split is the estimates'. Cross-foot: the programme's personnel emoluments lines sum to the printed sub-total (10,015,000), its sections to the programme total (22,515,000), and the head's programme totals to the printed head total (30,633,700). Document md5 af4477985a7e2418c26836be41e2313b matches lookups/artefact-md5-index.csv."
sle-2024-135-1350201-04000000,SLE,national,,FY2024,2024-01-01,2024-12-31,gregorian,original,,135,"135 - Ministry of Communication, Technology and Innovation",13502,Directorate of Science Technology and Innovation,1350201,General Admin and Support Services,04000000,Personnel Emoluments,Personnel Emoluments,printed,printed,programme,General Admin and Support Services - Personnel Emoluments,"Staff costs of the Directorate of Science, Technology and Innovation.",dpi.govtech,whole,"Single-mandate programme: the Directorate of Science, Technology and Innovation is the ministry's digital-government delivery unit, and the programme carries nothing else.",domestic-state,domestic-revenue,false,,SLE,units (New Leones); the volume prints Scale amount: 1,,4158000,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Financial Year 2024 Expenditure Estimates (detailed, Budget Version 2024-0001), Head 135, programme 1350201, Personnel Emoluments, activity 04000000 (sub-total), PDF p. 150",2023-12-01-sle-fy2024-detailed-budget-estimates-companion,2026-09-24,,"Appropriated: the Appropriation Act 2024 votes salaries as one national sum, NLe6,508,700,000, which equals the estimates' personnel total; the body-level split is the estimates'. Cross-foot: the programme's personnel emoluments lines sum to the printed sub-total (4,158,000), its sections to the programme total (8,118,700), and the head's programme totals to the printed head total (30,633,700). Document md5 af4477985a7e2418c26836be41e2313b matches lookups/artefact-md5-index.csv."
sle-2024-145-1450101-04000000,SLE,national,,FY2024,2024-01-01,2024-12-31,gregorian,original,,145,145 - Right To Access Information,14501,Right To Access Information,1450101,General Administration And Support Services,04000000,Personnel Emoluments,Personnel Emoluments,printed,printed,programme,General Administration And Support Services - Personnel Emoluments,Staff costs of the access-to-information commission.,data.open,whole,"Single-mandate body: the Right to Access Information Commission administers the access-to-information law and nothing else, as Ghana's RTI Commission is held.",domestic-state,domestic-revenue,false,,SLE,"units (New Leones); the volume prints Scale amount: 1; actual as printed in NLe thousand, stored x1,000",,4598000,,,3822000,,appropriated,actual,83.1,,budget-document,budget-estimates,"Financial Year 2024 Expenditure Estimates (detailed, Budget Version 2024-0001), Head 145, programme 1450101, Personnel Emoluments, activity 04000000 (sub-total), PDF p. 171; actual: Annual Public Accounts 2024 (General Purpose Financial Statements of the Consolidated Fund, unaudited, companion 2025-03-25-sle-annual-public-accounts-2024-companion), Appendix 3, head 145, PDF p. 66 (NLe thousand)",2023-12-01-sle-fy2024-detailed-budget-estimates-companion,2026-09-24,,"Appropriated: the Appropriation Act 2024 votes salaries as one national sum, NLe6,508,700,000, which equals the estimates' personnel total; the body-level split is the estimates'. Actual: the 2024 accounts' unaudited outturn, rounded to the thousand; their budget column equals the enacted figure. Cross-foot: the programme's personnel emoluments lines sum to the printed sub-total (4,598,000), its sections to the programme total (6,732,470), and the head's programme totals to the printed head total (8,627,100). Document md5 af4477985a7e2418c26836be41e2313b matches lookups/artefact-md5-index.csv."
sle-2024-214-2140101-04000000,SLE,national,,FY2024,2024-01-01,2024-12-31,gregorian,original,,214,214 - National Cyber Security Coordination Centre,21401,General Administration and Support Services,2140101,General Administration and Support Services,04000000,Personnel Emoluments,Personnel Emoluments,printed,printed,programme,General Administration and Support Services - Personnel Emoluments,Staff costs of the national cybersecurity coordination centre.,infra.cybersec,whole,Single-mandate body: the National Cyber Security Coordination Centre's whole mandate is national cybersecurity coordination.,domestic-state,domestic-revenue,false,,SLE,"units (New Leones); the volume prints Scale amount: 1; actual as printed in NLe thousand, stored x1,000",,5979000,,,4647000,,appropriated,actual,77.7,,budget-document,budget-estimates,"Financial Year 2024 Expenditure Estimates (detailed, Budget Version 2024-0001), Head 214, programme 2140101, Personnel Emoluments, activity 04000000 (sub-total), PDF p. 219; actual: Annual Public Accounts 2024 (General Purpose Financial Statements of the Consolidated Fund, unaudited, companion 2025-03-25-sle-annual-public-accounts-2024-companion), Appendix 3, head 214, PDF p. 67 (NLe thousand)",2023-12-01-sle-fy2024-detailed-budget-estimates-companion,2026-09-24,,"Appropriated: the Appropriation Act 2024 votes salaries as one national sum, NLe6,508,700,000, which equals the estimates' personnel total; the body-level split is the estimates'. Actual: the 2024 accounts' unaudited outturn, rounded to the thousand; their budget column equals the enacted figure. Cross-foot: the programme's personnel emoluments lines sum to the printed sub-total (5,979,000), its sections to the programme total (9,610,600), and the head's programme totals to the printed head total (9,610,600). Document md5 af4477985a7e2418c26836be41e2313b matches lookups/artefact-md5-index.csv."
sle-2024-203-2030101-04000000,SLE,national,,FY2024,2024-01-01,2024-12-31,gregorian,original,,203,203 - National Civil Registration Authority,20301,General Administrative And Support Services,2030101,General Administrative And Support Services,04000000,Personnel Emoluments,Personnel Emoluments,printed,printed,programme,General Administrative And Support Services - Personnel Emoluments,Staff costs of the civil registration and national identity authority.,dpi.id,partial,"The National Civil Registration Authority runs civil registration and the national identity register; registration counters, certificates and field operations sit in the same lines as the register's systems and the document prints no split, so the body's lines are held at partial, as civil-registration programmes are elsewhere.",domestic-state,domestic-revenue,false,,SLE,"units (New Leones); the volume prints Scale amount: 1; actual as printed in NLe thousand, stored x1,000",,55979000,,,45987000,,appropriated,actual,82.2,,budget-document,budget-estimates,"Financial Year 2024 Expenditure Estimates (detailed, Budget Version 2024-0001), Head 203, programme 2030101, Personnel Emoluments, activity 04000000 (sub-total), PDF p. 185; actual: Annual Public Accounts 2024 (General Purpose Financial Statements of the Consolidated Fund, unaudited, companion 2025-03-25-sle-annual-public-accounts-2024-companion), Appendix 3, head 203, PDF p. 66 (NLe thousand)",2023-12-01-sle-fy2024-detailed-budget-estimates-companion,2026-09-24,,"Appropriated: the Appropriation Act 2024 votes salaries as one national sum, NLe6,508,700,000, which equals the estimates' personnel total; the body-level split is the estimates'. Actual: the 2024 accounts' unaudited outturn, rounded to the thousand; their budget column equals the enacted figure. Cross-foot: the programme's personnel emoluments lines sum to the printed sub-total (55,979,000), its sections to the programme total (80,563,500), and the head's programme totals to the printed head total (80,563,500). Document md5 af4477985a7e2418c26836be41e2313b matches lookups/artefact-md5-index.csv."
sle-2024-105-1050101-0402010812,SLE,national,,FY2024,2024-01-01,2024-12-31,gregorian,original,,105,105 - Ministry of Public Administration and Political Affairs,10501,Office Of The Permanent Secretary,1050101,"Governance, Transparency and Accountability",101-0402010812,Facilitate and coordinate the digitalization in the Public Service,Other Recurrent Expenses,printed,printed,programme,"Governance, Transparency and Accountability - Facilitate and coordinate the digitalization in the Public Service",Coordination of digitalisation across the public service.,dpi.govtech,whole,The line names public-service digitalisation and nothing else.,domestic-state,domestic-revenue,false,,SLE,units (New Leones); the volume prints Scale amount: 1,,600000,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Financial Year 2024 Expenditure Estimates (detailed, Budget Version 2024-0001), Head 105, programme 1050101, Other Recurrent Expenses, account 101-0402010812, PDF p. 2",2023-12-01-sle-fy2024-detailed-budget-estimates-companion,2026-09-24,,"Appropriated: the Appropriation Act 2024 (Act No. 2 of 2024, passed 19 December 2023, Gazette No. 3 of 11 January 2024) votes this body's other charges at NLe7,347,600 (divisions 01 and 02), the estimates' figure, read off the scanned schedule. Cross-foot: the programme's other recurrent expenses lines sum to the printed sub-total (4,284,300), its sections to the programme total (6,434,300), and the head's programme totals to the printed head total (11,053,600). Document md5 af4477985a7e2418c26836be41e2313b matches lookups/artefact-md5-index.csv."
sle-2024-110-1100401-0403020401,SLE,national,,FY2024,2024-01-01,2024-12-31,gregorian,original,,110,110 - Office Of The President,11004,Public Sector Reform Unit,1100401,General Administration And Support Services,101-0403020401,Strengthening Psru'S Ict Infrastruction For E-Service,Other Recurrent Expenses,printed,printed,programme,General Administration And Support Services - Strengthening Psru'S Ict Infrastruction For E-Service,ICT infrastructure for the reform unit's electronic services.,dpi.govtech,partial,"The line names ICT infrastructure for e-services at the Public Sector Reform Unit; part of it may be office equipment, which the document does not separate.",domestic-state,domestic-revenue,false,,SLE,units (New Leones); the volume prints Scale amount: 1,,200000,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Financial Year 2024 Expenditure Estimates (detailed, Budget Version 2024-0001), Head 110, programme 1100401, Other Recurrent Expenses, account 101-0403020401, PDF p. 30",2023-12-01-sle-fy2024-detailed-budget-estimates-companion,2026-09-24,,"Appropriated: the Appropriation Act 2024 (Act No. 2 of 2024, passed 19 December 2023, Gazette No. 3 of 11 January 2024) votes this body's other charges at NLe3,244,800 (division 11, Public Sector Reform Unit), the estimates' figure, read off the scanned schedule. Cross-foot: the programme's other recurrent expenses lines sum to the printed sub-total (200,000, 3,044,800), its sections to the programme total (16,627,800), and the head's programme totals to the printed head total (420,178,300). Document md5 af4477985a7e2418c26836be41e2313b matches lookups/artefact-md5-index.csv."
sle-2024-110-1100501-0403010203,SLE,national,,FY2024,2024-01-01,2024-12-31,gregorian,original,,110,110 - Office Of The President,11005,Office Of The Ombudsman,1100501,General Administration And Support Services,101-0403010203,Website Update,Other Recurrent Expenses,printed,printed,programme,General Administration And Support Services - Website Update,Updating the Ombudsman's website.,dpi.govtech,whole,The line names a website update.,domestic-state,domestic-revenue,false,,SLE,units (New Leones); the volume prints Scale amount: 1,,400000,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Financial Year 2024 Expenditure Estimates (detailed, Budget Version 2024-0001), Head 110, programme 1100501, Other Recurrent Expenses, account 101-0403010203, PDF p. 31",2023-12-01-sle-fy2024-detailed-budget-estimates-companion,2026-09-24,,"Appropriated: the Appropriation Act 2024 (Act No. 2 of 2024, passed 19 December 2023, Gazette No. 3 of 11 January 2024) votes this body's other charges at NLe3,029,100 (division 05, Ombudsman), the estimates' figure, read off the scanned schedule. Cross-foot: the programme's other recurrent expenses lines sum to the printed sub-total (2,729,100, 300,000), its sections to the programme total (11,097,100), and the head's programme totals to the printed head total (420,178,300). Document md5 af4477985a7e2418c26836be41e2313b matches lookups/artefact-md5-index.csv."
sle-2024-110-1101001-0408020207,SLE,national,,FY2024,2024-01-01,2024-12-31,gregorian,original,,110,110 - Office Of The President,11010,Sierra Leone Insurance Commission,1101001,General Administration And Support Services,101-0408020207,Automation of Motor Insurance Database,Other Recurrent Expenses,printed,printed,programme,General Administration And Support Services - Automation of Motor Insurance Database,Automating the Insurance Commission's motor insurance database.,dpi.registry,whole,The line names the automation of a register database.,domestic-state,domestic-revenue,false,,SLE,units (New Leones); the volume prints Scale amount: 1,,300000,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Financial Year 2024 Expenditure Estimates (detailed, Budget Version 2024-0001), Head 110, programme 1101001, Other Recurrent Expenses, account 101-0408020207, PDF p. 35",2023-12-01-sle-fy2024-detailed-budget-estimates-companion,2026-09-24,,"Appropriated: the Appropriation Act 2024 (Act No. 2 of 2024, passed 19 December 2023, Gazette No. 3 of 11 January 2024) votes this body's other charges at NLe2,263,300 (division 08, Insurance Commission), the estimates' figure, read off the scanned schedule. Cross-foot: the programme's other recurrent expenses lines sum to the printed sub-total (2,263,300), its sections to the programme total (30,889,300), and the head's programme totals to the printed head total (420,178,300). Document md5 af4477985a7e2418c26836be41e2313b matches lookups/artefact-md5-index.csv."
sle-2024-117-1170101-0409020324,SLE,national,,FY2024,2024-01-01,2024-12-31,gregorian,original,,117,117 - Cabinet Secretariat,11701,Office of The Secretary to The Cabinet,1170101,General Administration And Support Services,101-0409020324,E-Carbinet Platform,Other Recurrent Expenses,printed,printed,programme,General Administration And Support Services - E-Carbinet Platform,The electronic cabinet platform.,dpi.govtech,whole,The line names an e-cabinet platform.,domestic-state,domestic-revenue,false,,SLE,units (New Leones); the volume prints Scale amount: 1,,486200,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Financial Year 2024 Expenditure Estimates (detailed, Budget Version 2024-0001), Head 117, programme 1170101, Other Recurrent Expenses, account 101-0409020324, PDF p. 50",2023-12-01-sle-fy2024-detailed-budget-estimates-companion,2026-09-24,,"Appropriated: the Appropriation Act 2024 (Act No. 2 of 2024, passed 19 December 2023, Gazette No. 3 of 11 January 2024) votes this body's other charges at NLe6,400,000, the estimates' figure, read off the scanned schedule. Cross-foot: the programme's other recurrent expenses lines sum to the printed sub-total (2,420,200), its sections to the programme total (13,655,200), and the head's programme totals to the printed head total (17,635,000). Document md5 af4477985a7e2418c26836be41e2313b matches lookups/artefact-md5-index.csv."
