fy,fiscal_year_label,basis,line_name,code,primary_subject,scope_confidence,funding_source,currency,amount_scale,proposed,appropriated,revised,doc_locator,source_slug,extracted,notes
2024,2024,line,"Somali Capacity Advancement, Livelihoods & Entrepreneurship, Through Digital Uplift (SCALED - UP) Project",70214,dpi.pay,partial,external-grant,USD,full US dollars as printed; the schedule headings name US$ and carry no scale factor,,19100000,22099116,"Appropriation Act for 2024 Budget, annex 5.7 *Summary of Special Projects Appropriations for 2024 Budget*, PDF p. 74, sub-head 010500, project 70214, column 2024 Budget; funder: annex 5.2 revenue, PDF p. 14, code 132116; revised: AFS FY2024 Appendix 2 (project utilization), PDF p. 92",2024-01-01-som-appropriation-act-2024-companion,2026-09-25,"World Bank grant (revenue code 132116, grants from international organisations). Partial: the project joins access to digital financial and government services with 9,000,000 of subsidies to private enterprises. Audited actual 20,022,018. Econ items foot to the project."
2024,2024,line,Eastern Africa Regional Digital Integration Project (EA-RDIP),70241,infra.connect,whole,external-grant,USD,full US dollars as printed; the schedule headings name US$ and carry no scale factor,,9500000,5049955,"Appropriation Act for 2024 Budget, annex 5.7 *Summary of Special Projects Appropriations for 2024 Budget*, PDF pp. 86-87, sub-head 030700, project 70241, column 2024 Budget; funder: annex 5.2 revenue, PDF p. 14, code 132130; revised: AFS FY2024 Appendix 2 (project utilization), PDF p. 99",2024-01-01-som-appropriation-act-2024-companion,2026-09-25,"World Bank grant (revenue code 132130). Audited actual 813,325. Econ items foot to the project in the 2024 column."
2024,2024,line,Somali Integrated Statistics and Economic Capacity Building Project,70222,data.statistics,whole,external-grant,USD,full US dollars as printed; the schedule headings name US$ and carry no scale factor,,8759721,8759721,"Appropriation Act for 2024 Budget, annex 5.7 *Summary of Special Projects Appropriations for 2024 Budget*, PDF p. 80, sub-head 010601, project 70222, column 2024 Budget; funder: annex 5.2 revenue, PDF p. 14, code 132118; revised: AFS FY2024 Appendix 2 (project utilization), PDF p. 95",2024-01-01-som-appropriation-act-2024-companion,2026-09-25,"World Bank grant (revenue code 132118). Held whole because it sits in the statistics office's own sub-head; its title also names economic capacity. Audited actual 7,994,978."
2024,2024,line,Statistics Development Support Project for Somalia,70236,data.statistics,whole,external-grant,USD,full US dollars as printed; the schedule headings name US$ and carry no scale factor,,2445143,2445143,"Appropriation Act for 2024 Budget, annex 5.7 *Summary of Special Projects Appropriations for 2024 Budget*, PDF pp. 80-81, sub-head 010601, project 70236, column 2024 Budget; funder: annex 5.2 revenue, PDF p. 14, code 132156; revised: AFS FY2024 Appendix 2 (project utilization), PDF p. 96",2024-01-01-som-appropriation-act-2024-companion,2026-09-25,"African Development Bank grant (revenue code 132156). Audited actual 1,632,327."
2025,2025,line,Mashruuca SCALED-UP,70214,dpi.pay,partial,external-grant,USD,full US dollars as printed; the schedule headings name US$ and carry no scale factor,,36283400,31254364,"Xeerka Qoondaha Miisaaniyadda 2025-ka, annex 5.7 *Faah-Faahinta Miisaaniyadda Mashaariicda*, PDF p. 72, sub-head 010500, project 70214, column 2025 Kutalagal; funder: annex 5.2 revenue, PDF p. 14, code 132116; revised: AFS FY2025 Appendix 3 (project utilization), PDF p. 123",2025-01-18-som-xeerka-qoondaha-miisaaniyadda-2025-companion,2026-09-25,"World Bank grant (revenue code 132116, 38,109,400, of which the other 1,826,000 is the Data Protection Authority row below). Partial: the project joins digital financial and government services with 8,000,000 of subsidies to enterprises. Audited actual 26,546,002."
2025,2025,line,Data Protection Authority (project budget),030702,gov.protect,whole,external-grant,USD,full US dollars as printed; the schedule headings name US$ and carry no scale factor,,1826000,1826000,"Xeerka Qoondaha Miisaaniyadda 2025-ka, annex 5.7 *Faah-Faahinta Miisaaniyadda Mashaariicda*, PDF p. 87, sub-head 030702, column 2025 Kutalagal; funder: AFS FY2025 Appendix 3 (project utilization), PDF p. 134, printed under project 70214 SCALED-UP",2025-01-18-som-xeerka-qoondaha-miisaaniyadda-2025-companion,2026-09-25,"Financed by the SCALED-UP World Bank grant: the audited statements print the line under project 70214, and the grant's revenue line exceeds the project by exactly this sum. Audited actual 0."
2025,2025,line,Mashruuca Is dhexgalka dhijitaalka ah (EA-RDIP),70241,infra.connect,whole,external-grant,USD,full US dollars as printed; the schedule headings name US$ and carry no scale factor,,11786120,11786120,"Xeerka Qoondaha Miisaaniyadda 2025-ka, annex 5.7 *Faah-Faahinta Miisaaniyadda Mashaariicda*, PDF pp. 86-87, sub-head 030700, project 70241, column 2025 Kutalagal; funder: annex 5.2 revenue, PDF p. 14, code 132130; revised: AFS FY2025 Appendix 3 (project utilization), PDF p. 134",2025-01-18-som-xeerka-qoondaha-miisaaniyadda-2025-companion,2026-09-25,"World Bank grant (revenue code 132130). Audited actual 3,124,468."
2025,2025,line,Somali Integrated Statistics and Economic Capacity Building Project,70222,data.statistics,whole,external-grant,USD,full US dollars as printed; the schedule headings name US$ and carry no scale factor,,3929319,6770063,"Xeerka Qoondaha Miisaaniyadda 2025-ka, annex 5.7 *Faah-Faahinta Miisaaniyadda Mashaariicda*, PDF pp. 78-79, sub-head 010601, project 70222, column 2025 Kutalagal; funder: annex 5.2 revenue, PDF p. 14, code 132118; revised: AFS FY2025 Appendix 3 (project utilization), PDF p. 128",2025-01-18-som-xeerka-qoondaha-miisaaniyadda-2025-companion,2026-09-25,"World Bank grant (revenue code 132118). In the statistics office's own sub-head. Audited actual 6,368,632."
2025,2025,line,Mashruuca Hormarinta Tirakoobka Soomaaliya,70236,data.statistics,whole,external-grant,USD,full US dollars as printed; the schedule headings name US$ and carry no scale factor,,619564,1060018,"Xeerka Qoondaha Miisaaniyadda 2025-ka, annex 5.7 *Faah-Faahinta Miisaaniyadda Mashaariicda*, PDF p. 79, sub-head 010601, project 70236, column 2025 Kutalagal; funder: annex 5.2 revenue, PDF p. 14, code 132156; revised: AFS FY2025 Appendix 3 (project utilization), PDF p. 128",2025-01-18-som-xeerka-qoondaha-miisaaniyadda-2025-companion,2026-09-25,"African Development Bank grant (revenue code 132156, Statistics Development Support Project). Audited actual 967,838."
2026,2026,line,Mashruuca SCALED-UP,70214,dpi.pay,partial,external-grant,USD,full US dollars as printed; the schedule headings name US$ and carry no scale factor,8000000,8000000,,"Sharciga Miisaaniyadda Sanadka 2026, annex 5.7 *Faah-Faahinta Miisaaniyadda Mashaariicda*, PDF pp. 126-127, sub-head 010500, project 70214, column 2026 Kutalagal; funder: annex 5.2 revenue, PDF p. 31, code 132116; proposed: bill annex 5.7, PDF pp. 105-106",2026-04-29-som-sharciga-miisaaniyadda-2026-companion,2026-09-25,World Bank grant (revenue code 132116). No subsidy line in 2026. Bill and Act agree.
