deal_id,place,state_level,spending_tier_name,fiscal_year_label,fy_start,fy_end,fy_calendar,budget_version,supplementary_basis,admin_head_code,admin_head,spending_entity_code,spending_entity,programme_code,programme,sub_programme_code,sub_programme,econ_class,admin_head_basis,programme_basis,programme_level,line_name,purpose,primary_subject,scope_confidence,scope_basis,finance_origin,funding_source,is_transfer,transfer_to,currency,amount_scale,proposed,appropriated,revised,released,actual,audited,baseline_stage,current_stage,exec_vs_voted,exec_vs_revised,source_tier,doc_type,doc_locator,source_slug,extracted,origin_record,notes
swz-2024-43-16,SWZ,national,,2024/25,2024-04-01,2025-03-31,gregorian,original,,43,"Head 43: Ministry of Information, Communication & Technology",16,COMPUTER SERVICES DEPARTMENT,16,COMPUTER SERVICES DEPARTMENT,,,,printed,printed,activity,COMPUTER SERVICES DEPARTMENT,"The government's central IT service department, which runs information technology for ministries and departments.",dpi.govtech,whole,Single-purpose department: the head's programme description gives Computer Services the task of providing IT services to all ministries and departments.,domestic-state,unstated,false,,SZL,"full emalangeni as printed (recurrent detail, Part II)",2298531,2298531,,,,,proposed,appropriated,,,budget-document,budget-estimates,"Estimates 1 April 2024 to 31 March 2027, Part II recurrent estimates, Head 43 Ministry of Information, Communication & Technology, Activity 16-COMPUTER SERVICES DEPARTMENT, TOTAL row, column 2024/25 Estimate, PDF p. 158",2024-02-23-swz-estimates-2024-25-2026-27-companion,2026-09-24,,"Baseline is proposed: the book is stamped 1st DRAFT and the Appropriation Bill 2024 (2024-02-22-swz-appropriation-bill-2024-companion) prints Head 43 recurrent at 279,832,740, the book's head total; the Act is not held. Appropriated rests on head-level evidence only: the Ministry of Finance's 2024/25 annual performance report (2025-04-01-swz-ministry-of-finance-annual-performance-report-2024-25-companion), Tables 1 and 3, carries Head 43's recurrent budget in execution at 279,833 thousand, equal to the Bill. Cross-foot: the activity's items sum to its printed total; CTA vehicle charges 157,567; personnel 2,140,964. Funding source unstated: recurrent estimates are charged to the Consolidated Fund and print no source split. The department prints only vehicle charges and personnel in 2024/25; it has no activity in the 2025/26 or 2026/27 books. Volume md5 0b7735898fce9f640f4905adeef92a0a matches OSINT's artefact index."
swz-2024-43-12,SWZ,national,,2024/25,2024-04-01,2025-03-31,gregorian,original,,43,"Head 43: Ministry of Information, Communication & Technology",12,DEPARTMENT OF COMMUNICATION,12,DEPARTMENT OF COMMUNICATION,,,,printed,printed,activity,DEPARTMENT OF COMMUNICATION,"The ICT ministry department that advises on national communications policy, licensing and regulatory frameworks.",gov.policy,partial,"The head names this department as the source of communications policy, licensing regimes and regulatory frameworks, and its objective is ICT policy and regulation; broadcasting and postal policy sit in the same line and are not separable.",domestic-state,unstated,false,,SZL,"full emalangeni as printed (recurrent detail, Part II)",12753764,12753764,,,,,proposed,appropriated,,,budget-document,budget-estimates,"Estimates 1 April 2024 to 31 March 2027, Part II recurrent estimates, Head 43 Ministry of Information, Communication & Technology, Activity 12-DEPARTMENT OF COMMUNICATION, TOTAL row, column 2024/25 Estimate, PDF p. 156",2024-02-23-swz-estimates-2024-25-2026-27-companion,2026-09-24,,"Baseline is proposed: the book is stamped 1st DRAFT and the Appropriation Bill 2024 (2024-02-22-swz-appropriation-bill-2024-companion) prints Head 43 recurrent at 279,832,740, the book's head total; the Act is not held. Appropriated rests on head-level evidence only: the Ministry of Finance's 2024/25 annual performance report (2025-04-01-swz-ministry-of-finance-annual-performance-report-2024-25-companion), Tables 1 and 3, carries Head 43's recurrent budget in execution at 279,833 thousand, equal to the Bill. Cross-foot: the activity's items sum to its printed total; personnel 3,268,699; travel and communication 215,169; professional and special services 9,267,706; consumables 2,190. Funding source unstated: recurrent estimates are charged to the Consolidated Fund and print no source split. Volume md5 0b7735898fce9f640f4905adeef92a0a matches OSINT's artefact index."
swz-2024-43-18,SWZ,national,,2024/25,2024-04-01,2025-03-31,gregorian,original,,43,"Head 43: Ministry of Information, Communication & Technology",18,DEPARTMENT OF RESEARCH & TECHNOLOGY DEVELOPMENT,18,DEPARTMENT OF RESEARCH & TECHNOLOGY DEVELOPMENT,,,,printed,printed,activity,DEPARTMENT OF RESEARCH & TECHNOLOGY DEVELOPMENT,"The science, technology and innovation department, including the state grant to the Royal Science and Technology Park.",tech.innovate,partial,"Activity name and its grant detail: most of the line is the subvention to the Royal Science and Technology Park, which runs the ICT park and innovation programmes alongside a biotechnology park; the digital part is not printed separately.",domestic-state,unstated,false,,SZL,"full emalangeni as printed (recurrent detail, Part II)",118845053,118845053,,,,,proposed,appropriated,,,budget-document,budget-estimates,"Estimates 1 April 2024 to 31 March 2027, Part II recurrent estimates, Head 43 Ministry of Information, Communication & Technology, Activity 18-DEPARTMENT OF RESEARCH & TECHNOLOGY DEVELOPMENT, TOTAL row, column 2024/25 Estimate, PDF p. 159",2024-02-23-swz-estimates-2024-25-2026-27-companion,2026-09-24,,"Baseline is proposed: the book is stamped 1st DRAFT and the Appropriation Bill 2024 (2024-02-22-swz-appropriation-bill-2024-companion) prints Head 43 recurrent at 279,832,740, the book's head total; the Act is not held. Appropriated rests on head-level evidence only: the Ministry of Finance's 2024/25 annual performance report (2025-04-01-swz-ministry-of-finance-annual-performance-report-2024-25-companion), Tables 1 and 3, carries Head 43's recurrent budget in execution at 279,833 thousand, equal to the Bill. Cross-foot: the activity's items sum to its printed total within 1 (printed rounding); CTA vehicle charges 279,760; personnel 1,804,309; travel and communication 517,766; professional and special services 14,083,529; consumables 31,576; internal grants 102,128,112. Funding source unstated: recurrent estimates are charged to the Consolidated Fund and print no source split. Of which the Royal Science and Technology Park subvention (grant detail item 10151) is 102,128,112; the park's own budget is not held, so the grant counts here. Volume md5 0b7735898fce9f640f4905adeef92a0a matches OSINT's artefact index."
swz-2024-23-31,SWZ,national,,2024/25,2024-04-01,2025-03-31,gregorian,original,,23,Head 23: Ministry of Economic Planning & Development,31,STATISTICS,31,STATISTICS,,,,printed,printed,activity,STATISTICS,The Central Statistical Office's recurrent budget: staff and running costs of official statistics production.,data.statistics,whole,"Single-mandate unit: the head's programme description gives Statistics the sole task of supplying statistical data for policy and monitoring, held whole as other sittings hold national statistics offices.",domestic-state,unstated,false,,SZL,"full emalangeni as printed (recurrent detail, Part II)",12953290,,,,,,proposed,proposed,,,budget-document,budget-estimates,"Estimates 1 April 2024 to 31 March 2027, Part II recurrent estimates, Head 23 Ministry of Economic Planning & Development, Activity 31-STATISTICS, TOTAL row, column 2024/25 Estimate, PDF p. 91",2024-02-23-swz-estimates-2024-25-2026-27-companion,2026-09-24,,"Proposed only: the book is stamped 1st DRAFT, the Appropriation Bill 2024 (2024-02-22-swz-appropriation-bill-2024-companion) prints Head 23 recurrent at 268,040,849, and the Act is not held. The Ministry of Finance's 2024/25 annual performance report (2025-04-01-swz-ministry-of-finance-annual-performance-report-2024-25-companion) carries Head 23's recurrent budget in execution at 267,627 thousand, 413,849 below the Bill, so this line's enacted figure is not known. Cross-foot: the activity's items sum to its printed total; CTA vehicle charges 555,587; personnel 11,826,834; travel and communication 122,170; professional and special services 448,699. Funding source unstated: recurrent estimates are charged to the Consolidated Fund and print no source split. Volume md5 0b7735898fce9f640f4905adeef92a0a matches OSINT's artefact index."
swz-2024-50-34,SWZ,national,,2024/25,2024-04-01,2025-03-31,gregorian,original,,50,Head 50: Ministry of Home Affairs,34,DEPARTMENT OF CIVIL REGISTRATION,34,DEPARTMENT OF CIVIL REGISTRATION,,,,printed,printed,activity,DEPARTMENT OF CIVIL REGISTRATION,"The civil registration department, which registers births, deaths and marriages and issues national identity documents.",dpi.id,partial,"The head's programme description gives this department birth, death and marriage certificates and the national identification documents; identity and civil-registration systems run alongside counter services that the line does not split.",domestic-state,unstated,false,,SZL,"full emalangeni as printed (recurrent detail, Part II)",31966703,31966703,,,,,proposed,appropriated,,,budget-document,budget-estimates,"Estimates 1 April 2024 to 31 March 2027, Part II recurrent estimates, Head 50 Ministry of Home Affairs, Activity 34-DEPARTMENT OF CIVIL REGISTRATION, TOTAL row, column 2024/25 Estimate, PDF p. 190",2024-02-23-swz-estimates-2024-25-2026-27-companion,2026-09-24,,"Baseline is proposed: the book is stamped 1st DRAFT and the Appropriation Bill 2024 (2024-02-22-swz-appropriation-bill-2024-companion) prints Head 50 recurrent at 187,100,224, the book's head total; the Act is not held. Appropriated rests on head-level evidence only: the Ministry of Finance's 2024/25 annual performance report (2025-04-01-swz-ministry-of-finance-annual-performance-report-2024-25-companion), Tables 1 and 3, carries Head 50's recurrent budget in execution at 187,100 thousand, equal to the Bill. Cross-foot: the activity's items sum to its printed total; CTA vehicle charges 210,370; personnel 12,179,618; travel and communication 240,355; professional and special services 10,887,363; consumables 8,448,997. Funding source unstated: recurrent estimates are charged to the Consolidated Fund and print no source split. Volume md5 0b7735898fce9f640f4905adeef92a0a matches OSINT's artefact index."
swz-2024-06-S354,SWZ,national,,2024/25,2024-04-01,2025-03-31,gregorian,original,,06,Head 06: Deputy Prime Minister's Office,12,Social Welfare,S354,Social Registry Development,,,,printed,printed,project,Social Registry Development,Builds a single registry of social-protection beneficiaries.,dpi.registry,whole,Project title and budget note: the money establishes the social-protection single registry and its information system.,domestic-state,domestic-revenue,false,,SZL,"E'000 as printed (capital estimates, Part IV); stored normalised to units (x1,000)",5000000,5000000,,5000000,,,proposed,released,,,budget-document,budget-estimates,"Estimates 1 April 2024 to 31 March 2027, Part IV capital estimates, Head 06, Activity 12 Social Welfare, project S354, source 99 row, column Estimates for 2024/25 Total, PDF p. 220",2024-02-23-swz-estimates-2024-25-2026-27-companion,2026-09-24,,"Baseline is proposed: the book is stamped 1st DRAFT and the Appropriation Bill 2024 (2024-02-22-swz-appropriation-bill-2024-companion) prints the head's capital total as the book does; the Act is not held. Appropriated rests on head-level evidence: the Ministry of Finance's 2024/25 annual performance report (2025-04-01-swz-ministry-of-finance-annual-performance-report-2024-25-companion), Table 4, carries Head 06's government-financed capital budget at 5,000 thousand, the book's figure, and every head's (total 3,406,008 thousand). Released: the same Table 4 prints 5,000 thousand released to Head 06 through Q4, and this project is the head's only government-financed line, so the release is the line's (100% of budget). Source code 99, government local funds; the project's source rows sum to its printed project total. Volume md5 0b7735898fce9f640f4905adeef92a0a matches OSINT's artefact index."
swz-2024-23-G575,SWZ,national,,2024/25,2024-04-01,2025-03-31,gregorian,original,,23,Head 23: Ministry of Economic Planning & Development,31,Statistics,G575,The Eswatini Agriculture Survey,,,,printed,printed,project,The Eswatini Agriculture Survey,The Central Statistical Office agriculture survey.,data.statistics,partial,"A statistics-production line; the budget note lists data collection with personnel, equipment, transport and communications, analysis and reporting, so the data-processing part is inside a fieldwork total and is not printed separately.",domestic-state,domestic-revenue,false,,SZL,"E'000 as printed (capital estimates, Part IV); stored normalised to units (x1,000)",14200000,14200000,,,,,proposed,appropriated,,,budget-document,budget-estimates,"Estimates 1 April 2024 to 31 March 2027, Part IV capital estimates, Head 23, Activity 31 Statistics, project G575, source 99 row, column Estimates for 2024/25 Total, PDF p. 233",2024-02-23-swz-estimates-2024-25-2026-27-companion,2026-09-24,,"Baseline is proposed: the book is stamped 1st DRAFT and the Appropriation Bill 2024 (2024-02-22-swz-appropriation-bill-2024-companion) prints the head's capital total as the book does; the Act is not held. Appropriated rests on head-level evidence: the Ministry of Finance's 2024/25 annual performance report (2025-04-01-swz-ministry-of-finance-annual-performance-report-2024-25-companion), Table 4, carries Head 23's government-financed capital budget at 1,122,301 thousand, the book's figure, and every head's (total 3,406,008 thousand). Source code 99, government local funds; the project's source rows sum to its printed project total. Volume md5 0b7735898fce9f640f4905adeef92a0a matches OSINT's artefact index."
swz-2024-23-G526,SWZ,national,,2024/25,2024-04-01,2025-03-31,gregorian,original,,23,Head 23: Ministry of Economic Planning & Development,31,Statistics,G526,Economic Statistics Survey,,,,printed,printed,project,Economic Statistics Survey,"Economic statistics production: price indices, tourism statistics and GDP estimates.",data.statistics,partial,"A statistics-production line whose note names the price indices, tourism statistics and GDP estimates it produces; the data-processing share is not printed separately.",domestic-state,domestic-revenue,false,,SZL,"E'000 as printed (capital estimates, Part IV); stored normalised to units (x1,000)",1200000,1200000,,,,,proposed,appropriated,,,budget-document,budget-estimates,"Estimates 1 April 2024 to 31 March 2027, Part IV capital estimates, Head 23, Activity 31 Statistics, project G526, source 99 row, column Estimates for 2024/25 Total, PDF p. 233",2024-02-23-swz-estimates-2024-25-2026-27-companion,2026-09-24,,"Baseline is proposed: the book is stamped 1st DRAFT and the Appropriation Bill 2024 (2024-02-22-swz-appropriation-bill-2024-companion) prints the head's capital total as the book does; the Act is not held. Appropriated rests on head-level evidence: the Ministry of Finance's 2024/25 annual performance report (2025-04-01-swz-ministry-of-finance-annual-performance-report-2024-25-companion), Table 4, carries Head 23's government-financed capital budget at 1,122,301 thousand, the book's figure, and every head's (total 3,406,008 thousand). Source code 99, government local funds; the project's source rows sum to its printed project total. Volume md5 0b7735898fce9f640f4905adeef92a0a matches OSINT's artefact index."
swz-2024-23-G601,SWZ,national,,2024/25,2024-04-01,2025-03-31,gregorian,original,,23,Head 23: Ministry of Economic Planning & Development,31,Statistics,G601,Eswatini Household Income and Expenditure Surveys,,,,printed,printed,project,Eswatini Household Income and Expenditure Surveys,The household income and expenditure survey.,data.statistics,partial,"A statistics-production line; the note lists fieldwork, analysis and reporting in one figure.",domestic-state,domestic-revenue,false,,SZL,"E'000 as printed (capital estimates, Part IV); stored normalised to units (x1,000)",12489000,12489000,,,,,proposed,appropriated,,,budget-document,budget-estimates,"Estimates 1 April 2024 to 31 March 2027, Part IV capital estimates, Head 23, Activity 31 Statistics, project G601, source 99 row, column Estimates for 2024/25 Total, PDF p. 234",2024-02-23-swz-estimates-2024-25-2026-27-companion,2026-09-24,,"Baseline is proposed: the book is stamped 1st DRAFT and the Appropriation Bill 2024 (2024-02-22-swz-appropriation-bill-2024-companion) prints the head's capital total as the book does; the Act is not held. Appropriated rests on head-level evidence: the Ministry of Finance's 2024/25 annual performance report (2025-04-01-swz-ministry-of-finance-annual-performance-report-2024-25-companion), Table 4, carries Head 23's government-financed capital budget at 1,122,301 thousand, the book's figure, and every head's (total 3,406,008 thousand). Source code 99, government local funds; the project's source rows sum to its printed project total. Volume md5 0b7735898fce9f640f4905adeef92a0a matches OSINT's artefact index."
swz-2024-23-G576,SWZ,national,,2024/25,2024-04-01,2025-03-31,gregorian,original,,23,Head 23: Ministry of Economic Planning & Development,31,Statistics,G576,Intercensal Survey,,,,printed,printed,project,Intercensal Survey,The intercensal population survey.,data.statistics,partial,"A statistics-production line; the note lists fieldwork, analysis and report production in one figure.",domestic-state,domestic-revenue,false,,SZL,"E'000 as printed (capital estimates, Part IV); stored normalised to units (x1,000)",8000000,8000000,,,,,proposed,appropriated,,,budget-document,budget-estimates,"Estimates 1 April 2024 to 31 March 2027, Part IV capital estimates, Head 23, Activity 31 Statistics, project G576, source 99 row, column Estimates for 2024/25 Total, PDF p. 234",2024-02-23-swz-estimates-2024-25-2026-27-companion,2026-09-24,,"Baseline is proposed: the book is stamped 1st DRAFT and the Appropriation Bill 2024 (2024-02-22-swz-appropriation-bill-2024-companion) prints the head's capital total as the book does; the Act is not held. Appropriated rests on head-level evidence: the Ministry of Finance's 2024/25 annual performance report (2025-04-01-swz-ministry-of-finance-annual-performance-report-2024-25-companion), Table 4, carries Head 23's government-financed capital budget at 1,122,301 thousand, the book's figure, and every head's (total 3,406,008 thousand). Source code 99, government local funds; the project's source rows sum to its printed project total. Volume md5 0b7735898fce9f640f4905adeef92a0a matches OSINT's artefact index."
