fy,fiscal_year_label,basis,line_name,code,primary_subject,scope_confidence,funding_source,currency,amount_scale,appropriated,revised,doc_locator,source_slug,extracted,notes
2024,Exercice 2024,line,Projet WURI TOGO - idenfication nationale biométrique,1179000697000,dpi.id,whole,external-loan,XOF,thousands of CFA francs as printed; stored normalised to units,1812000000,11123826000,"Budget de l'Etat, exercice 2024 - Dépenses (SIGFiP print of the enacted budget), section 870, programme 100, chapitre 1179000697000, source-of-finance code 3160, PDF p. 1144; revised: Loi de finances rectificative 2024 - Dépenses (SIGFiP print), PDF p. 1142",2024-07-11-tgo-budget-depenses-2024-companion,2026-09-24,Source-of-finance code 3160 is a loan code; the volume's 3xxx lines sum exactly to the finance law's project loans. The code names no lender.
2024,Exercice 2024,line,Projet WURI TOGO - idenfication nationale biométrique,1179000697000,dpi.id,whole,external-grant,XOF,thousands of CFA francs as printed; stored normalised to units,1668295000,2457214000,"Budget de l'Etat, exercice 2024 - Dépenses (SIGFiP print of the enacted budget), section 870, programme 100, chapitre 1179000697000, source-of-finance code 4160, PDF p. 1144; revised: Loi de finances rectificative 2024 - Dépenses (SIGFiP print), PDF p. 1142",2024-07-11-tgo-budget-depenses-2024-companion,2026-09-24,Source-of-finance code 4160 is a grant code; the volume's 4xxx lines sum exactly to the finance law's project grants. The code names no lender.
2024,Exercice 2024,line,Projet d'accélération numérique au Togo (PANT),1179001504000,infra.connect,whole,external-loan,XOF,thousands of CFA francs as printed; stored normalised to units,0,500000000,"Budget de l'Etat, exercice 2024 - Dépenses (SIGFiP print of the enacted budget), section 870, programme 100, chapitre 1179001504000, source-of-finance code 3160, not printed; revised: Loi de finances rectificative 2024 - Dépenses (SIGFiP print), PDF p. 1143",2024-07-11-tgo-budget-depenses-2024-companion,2026-09-24,Source-of-finance code 3160 is a loan code; the volume's 3xxx lines sum exactly to the finance law's project loans. The code names no lender. Not in the enacted volume; appropriated is 0 and the line enters at the revision.
2024,Exercice 2024,line,Projet d'harmonisation et d'amélioration des statistiques en Afrique de l'ouest (PHASAO),1179000071001,data.statistics,whole,external-loan,XOF,thousands of CFA francs as printed; stored normalised to units,1000000000,1000000000,"Budget de l'Etat, exercice 2024 - Dépenses (SIGFiP print of the enacted budget), section 220, programme 010, chapitre 1179000071001, source-of-finance code 3160, PDF p. 131; revised: Loi de finances rectificative 2024 - Dépenses (SIGFiP print), PDF p. 132",2024-07-11-tgo-budget-depenses-2024-companion,2026-09-24,Source-of-finance code 3160 is a loan code; the volume's 3xxx lines sum exactly to the finance law's project loans. The code names no lender.
2024,Exercice 2024,line,Projet d'harmonisation et d'amélioration des statistiques en Afrique de l'ouest (PHASAO),1179000071001,data.statistics,whole,external-grant,XOF,thousands of CFA francs as printed; stored normalised to units,0,1073937000,"Budget de l'Etat, exercice 2024 - Dépenses (SIGFiP print of the enacted budget), section 220, programme 010, chapitre 1179000071001, source-of-finance code 4160, PDF p. 131; revised: Loi de finances rectificative 2024 - Dépenses (SIGFiP print), PDF p. 132",2024-07-11-tgo-budget-depenses-2024-companion,2026-09-24,Source-of-finance code 4160 is a grant code; the volume's 4xxx lines sum exactly to the finance law's project grants. The code names no lender. Not in the enacted volume; appropriated is 0 and the line enters at the revision.
2025,Exercice 2025,line,PRODIGIT,1171081484000,dpi.govtech,whole,external-grant,XOF,thousands of CFA francs as printed; stored normalised to units,2423500000,778858000,"Budget de l'Etat, exercice 2025 - Dépenses (SIGFiP print of the enacted budget), section 870, programme 100, chapitre 1171081484000, source-of-finance code 4181, PDF p. 1168; revised: Loi de finances rectificative 2025 - Dépenses (SIGFiP print), PDF p. 1201",2025-01-15-tgo-budget-depenses-2025-companion,2026-09-24,Source-of-finance code 4181 (grant series). The code names no funder.
2025,Exercice 2025,line,Projet WURI TOGO - idenfication nationale biométrique,1179000697000,dpi.id,whole,external-loan,XOF,thousands of CFA francs as printed; stored normalised to units,8471920000,6754671000,"Budget de l'Etat, exercice 2025 - Dépenses (SIGFiP print of the enacted budget), section 870, programme 100, chapitre 1179000697000, source-of-finance code 3160, PDF p. 1168; revised: Loi de finances rectificative 2025 - Dépenses (SIGFiP print), PDF p. 1201",2025-01-15-tgo-budget-depenses-2025-companion,2026-09-24,Source-of-finance code 3160 (loan series). The code names no funder.
2025,Exercice 2025,line,Projet d'accélération numérique au Togo (PANT),1179001504000,infra.connect,whole,external-loan,XOF,thousands of CFA francs as printed; stored normalised to units,0,7704932000,"Budget de l'Etat, exercice 2025 - Dépenses (SIGFiP print of the enacted budget), section 870, programme 100, chapitre 1179001504000, source-of-finance code 3160, not printed; revised: Loi de finances rectificative 2025 - Dépenses (SIGFiP print), PDF p. 1202",2025-01-15-tgo-budget-depenses-2025-companion,2026-09-24,Source-of-finance code 3160 (loan series). The code names no funder. Not in the enacted volume; appropriated is 0 and the line enters at the revision.
2025,Exercice 2025,line,Projet d'harmonisation et d'amélioration des statistiques en Afrique de l'ouest (PHASAO),1179000071001,data.statistics,whole,external-loan,XOF,thousands of CFA francs as printed; stored normalised to units,7789822000,7789822000,"Budget de l'Etat, exercice 2025 - Dépenses (SIGFiP print of the enacted budget), section 220, programme 010, chapitre 1179000071001, source-of-finance code 3160, PDF p. 130; revised: Loi de finances rectificative 2025 - Dépenses (SIGFiP print), PDF p. 133",2025-01-15-tgo-budget-depenses-2025-companion,2026-09-24,Source-of-finance code 3160 (loan series). The code names no funder.
2025,Exercice 2025,line,Projet d'harmonisation et d'amélioration des statistiques en Afrique de l'ouest (PHASAO),1179000071001,data.statistics,whole,external-grant,XOF,thousands of CFA francs as printed; stored normalised to units,1073936000,241235000,"Budget de l'Etat, exercice 2025 - Dépenses (SIGFiP print of the enacted budget), section 220, programme 010, chapitre 1179000071001, source-of-finance code 4160, PDF p. 130; revised: Loi de finances rectificative 2025 - Dépenses (SIGFiP print), PDF p. 133",2025-01-15-tgo-budget-depenses-2025-companion,2026-09-24,Source-of-finance code 4160 (grant series). The code names no funder.
2025,Exercice 2025,line,Programme de modernisation et de renforcement de l'administration pour la délivrance des services,1179001265000,dpi.govtech,partial,external-loan,XOF,thousands of CFA francs as printed; stored normalised to units,3000000000,9887583000,"Budget de l'Etat, exercice 2025 - Dépenses (SIGFiP print of the enacted budget), section 710, programme 048, chapitre 1179001265000, source-of-finance code 3160, PDF p. 778; revised: Loi de finances rectificative 2025 - Dépenses (SIGFiP print), PDF p. 799",2025-01-15-tgo-budget-depenses-2025-companion,2026-09-24,Source-of-finance code 3160 (loan series). The code names no funder.
2026,Exercice 2026,line,PRODIGIT,1171081484000,dpi.govtech,whole,external,XOF,thousands of CFA francs as printed; stored normalised to units,5000000000,,"Budget de l'Etat, exercice 2026 - Dépenses du budget général par chapitre (SIGFiP print), PDF p. 67, section 870, chapitre 1171081484000, CP column",2026-01-15-tgo-budget-depenses-2026-par-chapitre-companion,2026-09-24,"Origin inferred: the 2026 chapter volume prints no source of financing. The draft budget programme 2026-2028 (section 870, programme 3) prints externally financed investment whose AE and CP equal exactly the WURI, PANT, ProDigiT and town-hall digitalisation projects, and no other programme of the ministry has external finance. In the 2025 volume the chapter was financed by code(s) 4181. AE 5,000,000 thousand."
