deal_id,place,state_level,spending_tier_name,fiscal_year_label,fy_start,fy_end,fy_calendar,budget_version,supplementary_basis,admin_head_code,admin_head,spending_entity_code,spending_entity,programme_code,programme,sub_programme_code,sub_programme,econ_class,admin_head_basis,programme_basis,programme_level,line_name,purpose,primary_subject,scope_confidence,scope_basis,finance_origin,funding_source,is_transfer,transfer_to,currency,amount_scale,proposed,appropriated,revised,released,actual,audited,baseline_stage,current_stage,exec_vs_voted,exec_vs_revised,source_tier,doc_type,doc_locator,source_slug,extracted,origin_record,notes
tun-2024-16-1-1-A1-fund,TUN,levy-fund,,2024,2024-01-01,2024-12-31,gregorian,original,,16,مهمة تكنولوجيات الإتصال (Communication Technologies),16,Communication Technologies,16.1,التنمية الرقمية (Digital development),16.1.1,التنمية الرقمية,investment (725),printed,printed,programme,النشاط 1: تطوير البنية التحتية للاتصالات والخدمات الشاملة - الحساب الخاص 25 (Telecom infrastructure and universal service - ICT fund),"The ICT fund's investment in telecom and government network infrastructure: white-zone broadband coverage, the integrated administrative network RNIA2, a network operations centre, a public-key infrastructure, local-authority and university networks, a geospatial data infrastructure and a public-sector security-audit programme.",infra.connect,whole,"Every project in the activity's fund table is a network, connectivity, PKI, geodata or security-audit line (activity 1 of the digital development programme).",domestic-state,own-source,false,,TND,dinars as printed (بحساب الدينار),,14800000,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Budget note 2024, mission 16 Communication Technologies, detailed table of special-account spending, account 25, programme 1, operational unit 1, activity 1, PDF p.85-86 (printed 78-79)",2023-10-01-tun-budget-mission-technologies-communication-2024-companion,2026-09-24,,"Figure from the mission budget note tabled with the 2024 bill, payment credits; the enacted finance law (Loi 2023-13) prints programme totals only, and prints this programme at the note's figure, so the line is carried as appropriated. Financed from special treasury account 25, the telecommunications and ICT development fund (FDCTIT), whose receipts are earmarked levies and fees rather than budget appropriations (special-funds report, annex 7, PDF p.140); the law's table 'ب' carries the account at 97,000,000. The Court of Audit's closure report puts 2024 spending from the account at 98,871,150 and collections at 232.4m dinars (annex 8, p.145; p.104), which are account totals and are not attached to this line. Cross-foot: the ten project lines (2,000 + 3,000 + 500 + 1,500 + 4,000 + 1,000 + 1,500 + 900 + 200 + 200 thousand) sum to 14,800,000. Reconciled: the note's P1 state resources 141,668,000 and P9 33,482,000 (PDF p.14/51) equal the finance law's table 'ت' payment credits, whose mission total 175,150,000 they sum to."
tun-2024-16-1-1-A1-gen,TUN,national,,2024,2024-01-01,2024-12-31,gregorian,original,,16,مهمة تكنولوجيات الإتصال (Communication Technologies),16,Communication Technologies,16.1,التنمية الرقمية (Digital development),16.1.1,التنمية الرقمية,wages,printed,printed,programme,النشاط 1: تطوير البنية التحتية للاتصالات والخدمات الشاملة - نفقات التأجير (Telecom infrastructure - wages),"Wages of the directorate-general for communication technologies, the unit that runs the telecom infrastructure activity.",infra.connect,whole,The operational unit's only activity is telecom infrastructure and universal service in the digital development programme.,domestic-state,domestic-revenue,false,,TND,dinars as printed (بحساب الدينار),,900000,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Budget note 2024, mission 16 Communication Technologies, detailed wage table, programme 1, operational unit 1, activity 1, PDF p.93-94 (printed 86-87)",2023-10-01-tun-budget-mission-technologies-communication-2024-companion,2026-09-24,,"Figure from the mission budget note tabled with the 2024 bill, payment credits; the enacted finance law (Loi 2023-13) prints programme totals only, and prints this programme at the note's figure, so the line is carried as appropriated. The programme's general-resource money is wages only (1,980,000 over three units: 900,000 + 510,000 + 570,000), PDF p.14. Reconciled: the note's P1 state resources 141,668,000 and P9 33,482,000 (PDF p.14/51) equal the finance law's table 'ت' payment credits, whose mission total 175,150,000 they sum to."
tun-2024-16-1-1-A2-fund,TUN,levy-fund,,2024,2024-01-01,2024-12-31,gregorian,original,,16,مهمة تكنولوجيات الإتصال (Communication Technologies),16,Communication Technologies,16.1,التنمية الرقمية (Digital development),16.1.1,التنمية الرقمية,investment (725),printed,printed,programme,النشاط 2: تنمية الاقتصاد الرقمي - الحساب الخاص 25 (Digital economy - ICT fund),"Fund-financed digital-economy lines: start-up patent fees, the presidential digital-excellence prize, maintenance of the public e-procurement system and an alternative-tourism platform, plus event costs.",tech.innovate,whole,Activity 2 of the digital development programme; its fund lines are start-up support and digital systems.,domestic-state,own-source,false,,TND,dinars as printed (بحساب الدينار),,1448000,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Budget note 2024, mission 16 Communication Technologies, detailed table of special-account spending, account 25, programme 1, operational unit 2, activity 2, PDF p.87-88 (printed 80-81); project detail PDF p.82 (printed 75)",2023-10-01-tun-budget-mission-technologies-communication-2024-companion,2026-09-24,,"Figure from the mission budget note tabled with the 2024 bill, payment credits; the enacted finance law (Loi 2023-13) prints programme totals only, and prints this programme at the note's figure, so the line is carried as appropriated. Financed from special treasury account 25, the telecommunications and ICT development fund (FDCTIT), whose receipts are earmarked levies and fees rather than budget appropriations (special-funds report, annex 7, PDF p.140); the law's table 'ب' carries the account at 97,000,000. The Court of Audit's closure report puts 2024 spending from the account at 98,871,150 and collections at 232.4m dinars (annex 8, p.145; p.104), which are account totals and are not attached to this line. Cross-foot: 50 + 1,000 + 200 + 100 + 98 thousand = 1,448,000. Reconciled: the note's P1 state resources 141,668,000 and P9 33,482,000 (PDF p.14/51) equal the finance law's table 'ت' payment credits, whose mission total 175,150,000 they sum to."
tun-2024-16-1-1-A2-gen,TUN,national,,2024,2024-01-01,2024-12-31,gregorian,original,,16,مهمة تكنولوجيات الإتصال (Communication Technologies),16,Communication Technologies,16.1,التنمية الرقمية (Digital development),16.1.1,التنمية الرقمية,wages,printed,printed,programme,النشاط 2: تنمية الاقتصاد الرقمي - نفقات التأجير (Digital economy - wages),"Wages of the directorate-general for the digital economy, investment and statistics.",tech.innovate,whole,The operational unit's only activity is digital-economy development.,domestic-state,domestic-revenue,false,,TND,dinars as printed (بحساب الدينار),,510000,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Budget note 2024, mission 16 Communication Technologies, detailed wage table, programme 1, operational unit 2, activity 2, PDF p.94 (printed 87)",2023-10-01-tun-budget-mission-technologies-communication-2024-companion,2026-09-24,,"Figure from the mission budget note tabled with the 2024 bill, payment credits; the enacted finance law (Loi 2023-13) prints programme totals only, and prints this programme at the note's figure, so the line is carried as appropriated. Activity total 1,958,000 = 1,448,000 fund + 510,000 wages (PDF p.33). Reconciled: the note's P1 state resources 141,668,000 and P9 33,482,000 (PDF p.14/51) equal the finance law's table 'ت' payment credits, whose mission total 175,150,000 they sum to."
tun-2024-16-1-1-A3-fund,TUN,levy-fund,,2024,2024-01-01,2024-12-31,gregorian,original,,16,مهمة تكنولوجيات الإتصال (Communication Technologies),16,Communication Technologies,16.1,التنمية الرقمية (Digital development),16.1.1,التنمية الرقمية,investment (725),printed,printed,programme,النشاط 3: رقمنة الإدارة - الحساب الخاص 25 (Digitisation of the administration - ICT fund),"Fund-financed e-government lines: the state's partnership agreement with Microsoft, an ICT-sector development project, sectoral e-signature, a mobile digital identity, a legal-information portal, citizen e-mail and support to the national strategic plan.",dpi.govtech,whole,"Activity 3 of the digital development programme, titled digitisation of the administration; every project line is a government digital system.",domestic-state,own-source,false,,TND,dinars as printed (بحساب الدينار),,13752000,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Budget note 2024, mission 16 Communication Technologies, detailed table of special-account spending, account 25, programme 1, operational unit 3, activity 3, PDF p.89 (printed 82); project detail PDF p.82 (printed 75)",2023-10-01-tun-budget-mission-technologies-communication-2024-companion,2026-09-24,,"Figure from the mission budget note tabled with the 2024 bill, payment credits; the enacted finance law (Loi 2023-13) prints programme totals only, and prints this programme at the note's figure, so the line is carried as appropriated. Financed from special treasury account 25, the telecommunications and ICT development fund (FDCTIT), whose receipts are earmarked levies and fees rather than budget appropriations (special-funds report, annex 7, PDF p.140); the law's table 'ب' carries the account at 97,000,000. The Court of Audit's closure report puts 2024 spending from the account at 98,871,150 and collections at 232.4m dinars (annex 8, p.145; p.104), which are account totals and are not attached to this line. Cross-foot: 3,200 + 9,152 + 100 + 50 + 500 + 700 + 50 thousand = 13,752,000. Reconciled: the note's P1 state resources 141,668,000 and P9 33,482,000 (PDF p.14/51) equal the finance law's table 'ت' payment credits, whose mission total 175,150,000 they sum to."
tun-2024-16-1-1-A3-gen,TUN,national,,2024,2024-01-01,2024-12-31,gregorian,original,,16,مهمة تكنولوجيات الإتصال (Communication Technologies),16,Communication Technologies,16.1,التنمية الرقمية (Digital development),16.1.1,التنمية الرقمية,wages,printed,printed,programme,النشاط 3: رقمنة الإدارة - نفقات التأجير (Digitisation of the administration - wages),Wages of the directorate-general for information technology.,dpi.govtech,whole,The operational unit's only activity is digitisation of the administration.,domestic-state,domestic-revenue,false,,TND,dinars as printed (بحساب الدينار),,570000,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Budget note 2024, mission 16 Communication Technologies, detailed wage table, programme 1, operational unit 3, activity 3, PDF p.95 (printed 88)",2023-10-01-tun-budget-mission-technologies-communication-2024-companion,2026-09-24,,"Figure from the mission budget note tabled with the 2024 bill, payment credits; the enacted finance law (Loi 2023-13) prints programme totals only, and prints this programme at the note's figure, so the line is carried as appropriated. Activity total 31,322,000 = 17,000,000 external loan (external.csv) + 13,752,000 fund + 570,000 wages (PDF p.33, p.77). Reconciled: the note's P1 state resources 141,668,000 and P9 33,482,000 (PDF p.14/51) equal the finance law's table 'ت' payment credits, whose mission total 175,150,000 they sum to."
tun-2024-16-1-1-A8-ancs,TUN,levy-fund,,2024,2024-01-01,2024-12-31,gregorian,original,,16,مهمة تكنولوجيات الإتصال (Communication Technologies),16,Communication Technologies,16.1,التنمية الرقمية (Digital development),16.1.1,التنمية الرقمية,interventions (823),printed,printed,programme,النشاط 8: منحة لفائدة الوكالة الوطنية للسلامة المعلوماتية (grant to the national cybersecurity agency),Transfer from the ICT fund to a public body of the communication-technologies mission: grant to the national cybersecurity agency.,infra.cybersec,whole,"A grant line to a body whose mandate lies wholly in the digital sector, inside the digital development programme.",domestic-state,own-source,false,,TND,dinars as printed (بحساب الدينار),,7216000,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Budget note 2024, mission 16 Communication Technologies, detailed table of special-account spending, account 25, programme 1, PDF p.87 (printed 80); activity table PDF p.34 (printed 29)",2023-10-01-tun-budget-mission-technologies-communication-2024-companion,2026-09-24,,"Figure from the mission budget note tabled with the 2024 bill, payment credits; the enacted finance law (Loi 2023-13) prints programme totals only, and prints this programme at the note's figure, so the line is carried as appropriated. Financed from special treasury account 25, the telecommunications and ICT development fund (FDCTIT), whose receipts are earmarked levies and fees rather than budget appropriations (special-funds report, annex 7, PDF p.140); the law's table 'ب' carries the account at 97,000,000. The Court of Audit's closure report puts 2024 spending from the account at 98,871,150 and collections at 232.4m dinars (annex 8, p.145; p.104), which are account totals and are not attached to this line. The national cybersecurity agency's budget is not held, so the grant counts here. The four grants plus 45,040,000 to the broadcasting transmission office sum to the programme's 67,000,000 interventions (PDF p.36). Reconciled: the note's P1 state resources 141,668,000 and P9 33,482,000 (PDF p.14/51) equal the finance law's table 'ت' payment credits, whose mission total 175,150,000 they sum to."
tun-2024-16-1-1-A9-ati,TUN,levy-fund,,2024,2024-01-01,2024-12-31,gregorian,original,,16,مهمة تكنولوجيات الإتصال (Communication Technologies),16,Communication Technologies,16.1,التنمية الرقمية (Digital development),16.1.1,التنمية الرقمية,interventions (823),printed,printed,programme,النشاط 9: منحة لفائدة الوكالة الفنية للإتصالات (grant to the technical telecommunications agency),Transfer from the ICT fund to a public body of the communication-technologies mission: grant to the technical telecommunications agency.,infra.cybersec,whole,"A grant line to a body whose mandate lies wholly in the digital sector, inside the digital development programme.",domestic-state,own-source,false,,TND,dinars as printed (بحساب الدينار),,7412000,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Budget note 2024, mission 16 Communication Technologies, detailed table of special-account spending, account 25, programme 1, PDF p.87 (printed 80); activity table PDF p.34 (printed 29)",2023-10-01-tun-budget-mission-technologies-communication-2024-companion,2026-09-24,,"Figure from the mission budget note tabled with the 2024 bill, payment credits; the enacted finance law (Loi 2023-13) prints programme totals only, and prints this programme at the note's figure, so the line is carried as appropriated. Financed from special treasury account 25, the telecommunications and ICT development fund (FDCTIT), whose receipts are earmarked levies and fees rather than budget appropriations (special-funds report, annex 7, PDF p.140); the law's table 'ب' carries the account at 97,000,000. The Court of Audit's closure report puts 2024 spending from the account at 98,871,150 and collections at 232.4m dinars (annex 8, p.145; p.104), which are account totals and are not attached to this line. The agency's own budget is not held, so the grant counts here. The agency supports investigations of ICT crime on telecom networks. The four grants plus 45,040,000 to the broadcasting transmission office sum to the programme's 67,000,000 interventions (PDF p.36). Reconciled: the note's P1 state resources 141,668,000 and P9 33,482,000 (PDF p.14/51) equal the finance law's table 'ت' payment credits, whose mission total 175,150,000 they sum to."
tun-2024-16-1-1-AB-cni,TUN,levy-fund,,2024,2024-01-01,2024-12-31,gregorian,original,,16,مهمة تكنولوجيات الإتصال (Communication Technologies),16,Communication Technologies,16.1,التنمية الرقمية (Digital development),16.1.1,التنمية الرقمية,interventions (823),printed,printed,programme,النشاط B: منحة لفائدة المركز الوطني للإعلامية (grant to the national computing centre),Transfer from the ICT fund to a public body of the communication-technologies mission: grant to the national computing centre.,dpi.govtech,whole,"A grant line to a body whose mandate lies wholly in the digital sector, inside the digital development programme.",domestic-state,own-source,false,,TND,dinars as printed (بحساب الدينار),,1705000,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Budget note 2024, mission 16 Communication Technologies, detailed table of special-account spending, account 25, programme 1, PDF p.89-90 (printed 82-83); activity table PDF p.34 (printed 29)",2023-10-01-tun-budget-mission-technologies-communication-2024-companion,2026-09-24,,"Figure from the mission budget note tabled with the 2024 bill, payment credits; the enacted finance law (Loi 2023-13) prints programme totals only, and prints this programme at the note's figure, so the line is carried as appropriated. Financed from special treasury account 25, the telecommunications and ICT development fund (FDCTIT), whose receipts are earmarked levies and fees rather than budget appropriations (special-funds report, annex 7, PDF p.140); the law's table 'ب' carries the account at 97,000,000. The Court of Audit's closure report puts 2024 spending from the account at 98,871,150 and collections at 232.4m dinars (annex 8, p.145; p.104), which are account totals and are not attached to this line. The centre's own-resource budget (18,963 thousand) is outside the state budget and not held. The four grants plus 45,040,000 to the broadcasting transmission office sum to the programme's 67,000,000 interventions (PDF p.36). Reconciled: the note's P1 state resources 141,668,000 and P9 33,482,000 (PDF p.14/51) equal the finance law's table 'ت' payment credits, whose mission total 175,150,000 they sum to."
tun-2024-16-1-1-AC-pole,TUN,levy-fund,,2024,2024-01-01,2024-12-31,gregorian,original,,16,مهمة تكنولوجيات الإتصال (Communication Technologies),16,Communication Technologies,16.1,التنمية الرقمية (Digital development),16.1.1,التنمية الرقمية,interventions (823),printed,printed,programme,النشاط C: منحة لفائدة تونس للأقطاب التكنولوجية الذكية (grant to the Tunis smart technology poles (El Ghazala ICT park)),Transfer from the ICT fund to a public body of the communication-technologies mission: grant to the Tunis smart technology poles (El Ghazala ICT park).,tech.innovate,whole,"A grant line to a body whose mandate lies wholly in the digital sector, inside the digital development programme.",domestic-state,own-source,false,,TND,dinars as printed (بحساب الدينار),,5627000,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Budget note 2024, mission 16 Communication Technologies, detailed table of special-account spending, account 25, programme 1, PDF p.88-89 (printed 81-82); activity table PDF p.34 (printed 29)",2023-10-01-tun-budget-mission-technologies-communication-2024-companion,2026-09-24,,"Figure from the mission budget note tabled with the 2024 bill, payment credits; the enacted finance law (Loi 2023-13) prints programme totals only, and prints this programme at the note's figure, so the line is carried as appropriated. Financed from special treasury account 25, the telecommunications and ICT development fund (FDCTIT), whose receipts are earmarked levies and fees rather than budget appropriations (special-funds report, annex 7, PDF p.140); the law's table 'ب' carries the account at 97,000,000. The Court of Audit's closure report puts 2024 spending from the account at 98,871,150 and collections at 232.4m dinars (annex 8, p.145; p.104), which are account totals and are not attached to this line. The park's own budget is not held, so the grant counts here. The four grants plus 45,040,000 to the broadcasting transmission office sum to the programme's 67,000,000 interventions (PDF p.36). Reconciled: the note's P1 state resources 141,668,000 and P9 33,482,000 (PDF p.14/51) equal the finance law's table 'ت' payment credits, whose mission total 175,150,000 they sum to."
