deal_id,place,state_level,spending_tier_name,fiscal_year_label,fy_start,fy_end,fy_calendar,budget_version,supplementary_basis,admin_head_code,admin_head,spending_entity_code,spending_entity,programme_code,programme,sub_programme_code,sub_programme,econ_class,admin_head_basis,programme_basis,programme_level,line_name,purpose,primary_subject,scope_confidence,scope_basis,finance_origin,funding_source,is_transfer,transfer_to,currency,amount_scale,proposed,appropriated,revised,released,actual,audited,baseline_stage,current_stage,exec_vs_voted,exec_vs_revised,source_tier,doc_type,doc_locator,source_slug,extracted,origin_record,notes
zmb-2025-39-3415-5001,ZMB,national,,2025,2025-01-01,2025-12-31,gregorian,revised,restated-total,39,39 - Smart Zambia Institute,39,Smart Zambia Institute,3415,Electronic Government,5001,Government Digital Services,,printed,printed,programme,Electronic Government - Government Digital Services,Coordinates e-government systems and e-services and runs the Digital Transformation Centres.,dpi.govtech,whole,"Head 39 is Smart Zambia Institute, the electronic government division whose statutory mandate under the Electronic Government Act No. 41 of 2021 is government ICT infrastructure, systems and e-services, so its whole appropriation is recorded under the single-mandate carve-out, at the sub-programme grain the volume prints.",domestic-state,unstated,false,,ZMW,full kwacha (K) as printed; the Yellow Book tables carry no scale factor; the Financial Report prints kwacha to the ngwee,,14650746,14650746,,12453968.95,,appropriated,actual,85.0,85.0,budget-document,budget-estimates,"Output Based Annual Budget 2025 (Yellow Book, approved edition), Head 39 Smart Zambia Institute, Table 3 *Budget Allocation by Programme and Sub-Programme*, PDF p. 424 (printed p. 424), programme 3415, sub-programme 5001, column 2025 Estimate (approved); revised and actual: Financial Report for the year ended 31 December 2025, Statement C (comparison of budget and actual by sub-programme), PDF p. 82, Head 39, programme 3415, line printed as '001 Government Digital Services', columns Total Authorised and Expenditure",2025-01-16-zmb-obb-2025-approved-budget-companion,2026-09-24,,"Appropriation Act No. 29 of 2024 (assented 20 December 2024) enacts programme 3415 at 147,452,054, the volume's programme total; the Act prints no finer grain. The programme's 3 sub-programmes sum to 147,452,054 against its printed total 147,452,054. Financial Report 2025: approved 14,650,746.00 (equal to the volume), supplementary or savings declared 0.00, total authorised 14,650,746.00, expenditure 12,453,968.95; approved + supplementary = authorised and authorised - expenditure = the printed variance 2,196,777.05. The revised figure is the Report's restated total and equals the original. Funding source unstated: the volume marks donor money with a footnote on the sub-programme it sits in, and this line carries none."
zmb-2025-39-3415-5002,ZMB,national,,2025,2025-01-01,2025-12-31,gregorian,revised,restated-total,39,39 - Smart Zambia Institute,39,Smart Zambia Institute,3415,Electronic Government,5002,ICT GRZ Standards and Regulations,,printed,printed,programme,Electronic Government - ICT GRZ Standards and Regulations,"Sets and audits government ICT standards and coordinates ICT projects, including the SmartCare Plus health records system.",dpi.govtech,whole,"Head 39 is Smart Zambia Institute, the electronic government division whose statutory mandate under the Electronic Government Act No. 41 of 2021 is government ICT infrastructure, systems and e-services, so its whole appropriation is recorded under the single-mandate carve-out, at the sub-programme grain the volume prints.",domestic-state,unstated,false,,ZMW,full kwacha (K) as printed; the Yellow Book tables carry no scale factor; the Financial Report prints kwacha to the ngwee,,126016152,288016152,,152314054.06,,appropriated,actual,120.9,52.9,budget-document,budget-estimates,"Output Based Annual Budget 2025 (Yellow Book, approved edition), Head 39 Smart Zambia Institute, Table 3 *Budget Allocation by Programme and Sub-Programme*, PDF p. 424 (printed p. 424), programme 3415, sub-programme 5002, column 2025 Estimate (approved); revised and actual: Financial Report for the year ended 31 December 2025, Statement C (comparison of budget and actual by sub-programme), PDF p. 82, Head 39, programme 3415, line printed as '002 ICT GRZ Standards and Regulations', columns Total Authorised and Expenditure",2025-01-16-zmb-obb-2025-approved-budget-companion,2026-09-24,,"Appropriation Act No. 29 of 2024 (assented 20 December 2024) enacts programme 3415 at 147,452,054, the volume's programme total; the Act prints no finer grain. The programme's 3 sub-programmes sum to 147,452,054 against its printed total 147,452,054. Financial Report 2025: approved 126,016,152.00 (equal to the volume), supplementary or savings declared 162,000,000.00, total authorised 288,016,152.00, expenditure 152,314,054.06; approved + supplementary = authorised and authorised - expenditure = the printed variance 135,702,097.94. The supplementary is Supplementary Appropriation (2025) Act No. 9 of 2025, which adds 162,000,000 to programme 3415; the Financial Report puts all of it on this sub-programme. Funding source unstated: the volume marks donor money with a footnote on the sub-programme it sits in, and this line carries none."
zmb-2025-39-3415-5003,ZMB,national,,2025,2025-01-01,2025-12-31,gregorian,revised,restated-total,39,39 - Smart Zambia Institute,39,Smart Zambia Institute,3415,Electronic Government,5003,ICT Help and Service Desk,,printed,printed,programme,Electronic Government - ICT Help and Service Desk,"The national ICT help desk and call centres supporting ministries, provinces and agencies.",dpi.govtech,whole,"Head 39 is Smart Zambia Institute, the electronic government division whose statutory mandate under the Electronic Government Act No. 41 of 2021 is government ICT infrastructure, systems and e-services, so its whole appropriation is recorded under the single-mandate carve-out, at the sub-programme grain the volume prints.",domestic-state,unstated,false,,ZMW,full kwacha (K) as printed; the Yellow Book tables carry no scale factor; the Financial Report prints kwacha to the ngwee,,6785156,6785156,,5020493,,appropriated,actual,74.0,74.0,budget-document,budget-estimates,"Output Based Annual Budget 2025 (Yellow Book, approved edition), Head 39 Smart Zambia Institute, Table 3 *Budget Allocation by Programme and Sub-Programme*, PDF p. 424 (printed p. 424), programme 3415, sub-programme 5003, column 2025 Estimate (approved); revised and actual: Financial Report for the year ended 31 December 2025, Statement C (comparison of budget and actual by sub-programme), PDF p. 82, Head 39, programme 3415, line printed as '003 ICT Help and Service Desk', columns Total Authorised and Expenditure",2025-01-16-zmb-obb-2025-approved-budget-companion,2026-09-24,,"Appropriation Act No. 29 of 2024 (assented 20 December 2024) enacts programme 3415 at 147,452,054, the volume's programme total; the Act prints no finer grain. The programme's 3 sub-programmes sum to 147,452,054 against its printed total 147,452,054. Financial Report 2025: approved 6,785,156.00 (equal to the volume), supplementary or savings declared 0.00, total authorised 6,785,156.00, expenditure 5,020,493.00; approved + supplementary = authorised and authorised - expenditure = the printed variance 1,764,663.00. The revised figure is the Report's restated total and equals the original. Funding source unstated: the volume marks donor money with a footnote on the sub-programme it sits in, and this line carries none."
zmb-2025-39-3416-6001,ZMB,national,,2025,2025-01-01,2025-12-31,gregorian,revised,restated-total,39,39 - Smart Zambia Institute,39,Smart Zambia Institute,3416,ICT Systems,6001,ICT Infrastructure,,printed,printed,programme,ICT Systems - ICT Infrastructure,"The Government Wide Area Network, unified internet and the data centre for public institutions.",infra.connect,whole,"Head 39 is Smart Zambia Institute, the electronic government division whose statutory mandate under the Electronic Government Act No. 41 of 2021 is government ICT infrastructure, systems and e-services, so its whole appropriation is recorded under the single-mandate carve-out, at the sub-programme grain the volume prints.",domestic-state,unstated,false,,ZMW,full kwacha (K) as printed; the Yellow Book tables carry no scale factor; the Financial Report prints kwacha to the ngwee,,121726026,121726026,,117418049.18,,appropriated,actual,96.5,96.5,budget-document,budget-estimates,"Output Based Annual Budget 2025 (Yellow Book, approved edition), Head 39 Smart Zambia Institute, Table 3 *Budget Allocation by Programme and Sub-Programme*, PDF p. 424 (printed p. 424), programme 3416, sub-programme 6001, column 2025 Estimate (approved); revised and actual: Financial Report for the year ended 31 December 2025, Statement C (comparison of budget and actual by sub-programme), PDF p. 82, Head 39, programme 3416, line printed as '001 ICT Infrastructure', columns Total Authorised and Expenditure",2025-01-16-zmb-obb-2025-approved-budget-companion,2026-09-24,,"Appropriation Act No. 29 of 2024 (assented 20 December 2024) enacts programme 3416 at 259,182,301, the volume's programme total; the Act prints no finer grain. The programme's 4 sub-programmes sum to 259,182,301 against its printed total 259,182,301. Financial Report 2025: approved 121,726,026.00 (equal to the volume), supplementary or savings declared 0.00, total authorised 121,726,026.00, expenditure 117,418,049.18; approved + supplementary = authorised and authorised - expenditure = the printed variance 4,307,976.82. The revised figure is the Report's restated total and equals the original. Funding source unstated: the volume marks donor money with a footnote on the sub-programme it sits in, and this line carries none."
zmb-2025-39-3416-6002,ZMB,national,,2025,2025-01-01,2025-12-31,gregorian,revised,restated-total,39,39 - Smart Zambia Institute,39,Smart Zambia Institute,3416,ICT Systems,6002,ICT Applications,,printed,printed,programme,ICT Systems - ICT Applications,"Develops, integrates and supports government application systems.",dpi.govtech,whole,"Head 39 is Smart Zambia Institute, the electronic government division whose statutory mandate under the Electronic Government Act No. 41 of 2021 is government ICT infrastructure, systems and e-services, so its whole appropriation is recorded under the single-mandate carve-out, at the sub-programme grain the volume prints.",domestic-state,unstated,false,,ZMW,full kwacha (K) as printed; the Yellow Book tables carry no scale factor; the Financial Report prints kwacha to the ngwee,,11985114,11985114,,6873245.90,,appropriated,actual,57.3,57.3,budget-document,budget-estimates,"Output Based Annual Budget 2025 (Yellow Book, approved edition), Head 39 Smart Zambia Institute, Table 3 *Budget Allocation by Programme and Sub-Programme*, PDF p. 424 (printed p. 424), programme 3416, sub-programme 6002, column 2025 Estimate (approved); revised and actual: Financial Report for the year ended 31 December 2025, Statement C (comparison of budget and actual by sub-programme), PDF p. 82, Head 39, programme 3416, line printed as '002 ICT Applications', columns Total Authorised and Expenditure",2025-01-16-zmb-obb-2025-approved-budget-companion,2026-09-24,,"Appropriation Act No. 29 of 2024 (assented 20 December 2024) enacts programme 3416 at 259,182,301, the volume's programme total; the Act prints no finer grain. The programme's 4 sub-programmes sum to 259,182,301 against its printed total 259,182,301. Financial Report 2025: approved 11,985,114.00 (equal to the volume), supplementary or savings declared 0.00, total authorised 11,985,114.00, expenditure 6,873,245.90; approved + supplementary = authorised and authorised - expenditure = the printed variance 5,111,868.10. The revised figure is the Report's restated total and equals the original. Funding source unstated: the volume marks donor money with a footnote on the sub-programme it sits in, and this line carries none."
zmb-2025-39-3416-6003,ZMB,national,,2025,2025-01-01,2025-12-31,gregorian,revised,restated-total,39,39 - Smart Zambia Institute,39,Smart Zambia Institute,3416,ICT Systems,6003,ICT Security,,printed,printed,programme,ICT Systems - ICT Security,"Government ICT security, the CERT and security operations centre, and the Microsoft Enterprise Agreement.",infra.cybersec,whole,"Head 39 is Smart Zambia Institute, the electronic government division whose statutory mandate under the Electronic Government Act No. 41 of 2021 is government ICT infrastructure, systems and e-services, so its whole appropriation is recorded under the single-mandate carve-out, at the sub-programme grain the volume prints.",domestic-state,unstated,false,,ZMW,full kwacha (K) as printed; the Yellow Book tables carry no scale factor; the Financial Report prints kwacha to the ngwee,,115790327,115790327,,114325497.62,,appropriated,actual,98.7,98.7,budget-document,budget-estimates,"Output Based Annual Budget 2025 (Yellow Book, approved edition), Head 39 Smart Zambia Institute, Table 3 *Budget Allocation by Programme and Sub-Programme*, PDF p. 424 (printed p. 424), programme 3416, sub-programme 6003, column 2025 Estimate (approved); revised and actual: Financial Report for the year ended 31 December 2025, Statement C (comparison of budget and actual by sub-programme), PDF p. 82, Head 39, programme 3416, line printed as '003 Security and Quality Assurance', columns Total Authorised and Expenditure",2025-01-16-zmb-obb-2025-approved-budget-companion,2026-09-24,,"Appropriation Act No. 29 of 2024 (assented 20 December 2024) enacts programme 3416 at 259,182,301, the volume's programme total; the Act prints no finer grain. The programme's 4 sub-programmes sum to 259,182,301 against its printed total 259,182,301. Financial Report 2025: approved 115,790,327.00 (equal to the volume), supplementary or savings declared 0.00, total authorised 115,790,327.00, expenditure 114,325,497.62; approved + supplementary = authorised and authorised - expenditure = the printed variance 1,464,829.38. The revised figure is the Report's restated total and equals the original. Funding source unstated: the volume marks donor money with a footnote on the sub-programme it sits in, and this line carries none."
zmb-2025-39-3416-6004,ZMB,national,,2025,2025-01-01,2025-12-31,gregorian,revised,restated-total,39,39 - Smart Zambia Institute,39,Smart Zambia Institute,3416,ICT Systems,6004,Government Equipment Management,,printed,printed,programme,ICT Systems - Government Equipment Management,"Management of the government ICT equipment estate, moved to the Institute from the transport ministry in 2025.",infra.store,whole,"Head 39 is Smart Zambia Institute, the electronic government division whose statutory mandate under the Electronic Government Act No. 41 of 2021 is government ICT infrastructure, systems and e-services, so its whole appropriation is recorded under the single-mandate carve-out, at the sub-programme grain the volume prints.",domestic-state,unstated,false,,ZMW,full kwacha (K) as printed; the Yellow Book tables carry no scale factor; the Financial Report prints kwacha to the ngwee,,9680834,9680834,,5992507.45,,appropriated,actual,61.9,61.9,budget-document,budget-estimates,"Output Based Annual Budget 2025 (Yellow Book, approved edition), Head 39 Smart Zambia Institute, Table 3 *Budget Allocation by Programme and Sub-Programme*, PDF p. 424 (printed p. 424), programme 3416, sub-programme 6004, column 2025 Estimate (approved); revised and actual: Financial Report for the year ended 31 December 2025, Statement C (comparison of budget and actual by sub-programme), PDF p. 82, Head 39, programme 3416, line printed as '004 Infrastructure Management', columns Total Authorised and Expenditure",2025-01-16-zmb-obb-2025-approved-budget-companion,2026-09-24,,"Appropriation Act No. 29 of 2024 (assented 20 December 2024) enacts programme 3416 at 259,182,301, the volume's programme total; the Act prints no finer grain. The programme's 4 sub-programmes sum to 259,182,301 against its printed total 259,182,301. Financial Report 2025: approved 9,680,834.00 (equal to the volume), supplementary or savings declared 0.00, total authorised 9,680,834.00, expenditure 5,992,507.45; approved + supplementary = authorised and authorised - expenditure = the printed variance 3,688,326.55. The revised figure is the Report's restated total and equals the original. Funding source unstated: the volume marks donor money with a footnote on the sub-programme it sits in, and this line carries none."
zmb-2025-39-3499-9001,ZMB,national,,2025,2025-01-01,2025-12-31,gregorian,revised,restated-total,39,39 - Smart Zambia Institute,39,Smart Zambia Institute,3499,Management and Support Services,9001,Executive Office Management,,printed,printed,programme,Management and Support Services - Executive Office Management,Executive office of the Institute.,dpi.govtech,whole,"Head 39 is Smart Zambia Institute, the electronic government division whose statutory mandate under the Electronic Government Act No. 41 of 2021 is government ICT infrastructure, systems and e-services, so its whole appropriation is recorded under the single-mandate carve-out, at the sub-programme grain the volume prints.",domestic-state,unstated,false,,ZMW,full kwacha (K) as printed; the Yellow Book tables carry no scale factor; the Financial Report prints kwacha to the ngwee,,4602779,4602779,,2940348.07,,appropriated,actual,63.9,63.9,budget-document,budget-estimates,"Output Based Annual Budget 2025 (Yellow Book, approved edition), Head 39 Smart Zambia Institute, Table 3 *Budget Allocation by Programme and Sub-Programme*, PDF p. 424 (printed p. 424), programme 3499, sub-programme 9001, column 2025 Estimate (approved); revised and actual: Financial Report for the year ended 31 December 2025, Statement C (comparison of budget and actual by sub-programme), PDF p. 82, Head 39, programme 3499, line printed as '001 Human Resource Management', columns Total Authorised and Expenditure",2025-01-16-zmb-obb-2025-approved-budget-companion,2026-09-24,,"Appropriation Act No. 29 of 2024 (assented 20 December 2024) enacts programme 3499 at 45,482,441, the volume's programme total; the Act prints no finer grain. The programme's 6 sub-programmes sum to 45,482,441 against its printed total 45,482,441. Financial Report 2025: approved 4,602,779.00 (equal to the volume), supplementary or savings declared 0.00, total authorised 4,602,779.00, expenditure 2,940,348.07; approved + supplementary = authorised and authorised - expenditure = the printed variance 1,662,430.93. The revised figure is the Report's restated total and equals the original. Funding source unstated: the volume marks donor money with a footnote on the sub-programme it sits in, and this line carries none."
zmb-2025-39-3499-9002,ZMB,national,,2025,2025-01-01,2025-12-31,gregorian,revised,restated-total,39,39 - Smart Zambia Institute,39,Smart Zambia Institute,3499,Management and Support Services,9002,Human Resources Management and Administration,,printed,printed,programme,Management and Support Services - Human Resources Management and Administration,Staff and administration of the Institute.,dpi.govtech,whole,"Head 39 is Smart Zambia Institute, the electronic government division whose statutory mandate under the Electronic Government Act No. 41 of 2021 is government ICT infrastructure, systems and e-services, so its whole appropriation is recorded under the single-mandate carve-out, at the sub-programme grain the volume prints.",domestic-state,unstated,false,,ZMW,full kwacha (K) as printed; the Yellow Book tables carry no scale factor; the Financial Report prints kwacha to the ngwee,,32877181,32877181,,20278054.44,,appropriated,actual,61.7,61.7,budget-document,budget-estimates,"Output Based Annual Budget 2025 (Yellow Book, approved edition), Head 39 Smart Zambia Institute, Table 3 *Budget Allocation by Programme and Sub-Programme*, PDF p. 424 (printed p. 424), programme 3499, sub-programme 9002, column 2025 Estimate (approved); revised and actual: Financial Report for the year ended 31 December 2025, Statement C (comparison of budget and actual by sub-programme), PDF p. 82, Head 39, programme 3499, line printed as '002 Human Reource Management and Administrat', columns Total Authorised and Expenditure",2025-01-16-zmb-obb-2025-approved-budget-companion,2026-09-24,,"Appropriation Act No. 29 of 2024 (assented 20 December 2024) enacts programme 3499 at 45,482,441, the volume's programme total; the Act prints no finer grain. The programme's 6 sub-programmes sum to 45,482,441 against its printed total 45,482,441. Financial Report 2025: approved 32,877,181.00 (equal to the volume), supplementary or savings declared 0.00, total authorised 32,877,181.00, expenditure 20,278,054.44; approved + supplementary = authorised and authorised - expenditure = the printed variance 12,599,126.56. The revised figure is the Report's restated total and equals the original. Funding source unstated: the volume marks donor money with a footnote on the sub-programme it sits in, and this line carries none."
zmb-2025-39-3499-9003,ZMB,national,,2025,2025-01-01,2025-12-31,gregorian,revised,restated-total,39,39 - Smart Zambia Institute,39,Smart Zambia Institute,3499,Management and Support Services,9003,Financial Management - Accounting,,printed,printed,programme,Management and Support Services - Financial Management - Accounting,Accounting for the Institute.,dpi.govtech,whole,"Head 39 is Smart Zambia Institute, the electronic government division whose statutory mandate under the Electronic Government Act No. 41 of 2021 is government ICT infrastructure, systems and e-services, so its whole appropriation is recorded under the single-mandate carve-out, at the sub-programme grain the volume prints.",domestic-state,unstated,false,,ZMW,full kwacha (K) as printed; the Yellow Book tables carry no scale factor; the Financial Report prints kwacha to the ngwee,,2267762,2267762,,1817852.15,,appropriated,actual,80.2,80.2,budget-document,budget-estimates,"Output Based Annual Budget 2025 (Yellow Book, approved edition), Head 39 Smart Zambia Institute, Table 3 *Budget Allocation by Programme and Sub-Programme*, PDF p. 424 (printed p. 424), programme 3499, sub-programme 9003, column 2025 Estimate (approved); revised and actual: Financial Report for the year ended 31 December 2025, Statement C (comparison of budget and actual by sub-programme), PDF p. 82, Head 39, programme 3499, line printed as '003 Financial Management - Accounting', columns Total Authorised and Expenditure",2025-01-16-zmb-obb-2025-approved-budget-companion,2026-09-24,,"Appropriation Act No. 29 of 2024 (assented 20 December 2024) enacts programme 3499 at 45,482,441, the volume's programme total; the Act prints no finer grain. The programme's 6 sub-programmes sum to 45,482,441 against its printed total 45,482,441. Financial Report 2025: approved 2,267,762.00 (equal to the volume), supplementary or savings declared 0.00, total authorised 2,267,762.00, expenditure 1,817,852.15; approved + supplementary = authorised and authorised - expenditure = the printed variance 449,909.85. The revised figure is the Report's restated total and equals the original. Funding source unstated: the volume marks donor money with a footnote on the sub-programme it sits in, and this line carries none."
