unit,state,date,links,held_checked,claims_repaired,note
AGO,done,2026-09-15,462,458,155,"supported 279, coarsened 120, relinked 25, dropped 10, gateway 24, not held 4"
BDI,done,2026-09-15,386,379,115,"supported 264, coarsened 97, relinked 10, dropped 8, gateway 7, not held 0"
BEN,done,2026-09-15,359,359,120,"supported 191, coarsened 101, relinked 9, dropped 10, gateway 48, not held 0"
BFA,done,2026-09-15,347,347,108,"supported 220, coarsened 82, relinked 18, dropped 8, gateway 19, not held 0"
BWA,done,2026-09-15,312,312,138,"supported 174, coarsened 115, relinked 17, dropped 6, gateway 0, not held 0"
CAF,done,2026-09-15,295,249,90,"supported 159, coarsened 62, relinked 17, dropped 11, gateway 46, not held 0"
CIV,done,2026-09-15,422,422,133,"supported 289, coarsened 96, relinked 25, dropped 12, gateway 0, not held 0"
CMR,done,2026-09-15,409,409,110,"supported 248, coarsened 81, relinked 15, dropped 14, gateway 51, not held 0"
COD,done,2026-09-15,341,317,130,"supported 187, coarsened 110, relinked 13, dropped 7, gateway 24, not held 0"
COG,done,2026-09-15,319,319,120,"supported 161, coarsened 104, relinked 13, dropped 3, gateway 38, not held 0"
COM,done,2026-09-15,308,308,95,"supported 213, coarsened 82, relinked 5, dropped 8, gateway 0, not held 0"
CPV,done,2026-09-15,370,326,104,"supported 222, coarsened 96, relinked 4, dropped 4, gateway 44, not held 0"
DJI,done,2026-09-15,416,416,170,"supported 246, coarsened 129, relinked 9, dropped 32, gateway 0, not held 0"
DZA,done,2026-09-15,347,328,106,"supported 222, coarsened 90, relinked 12, dropped 4, gateway 19, not held 0"
EGY,done,2026-09-15,355,334,129,"supported 205, coarsened 110, relinked 12, dropped 7, gateway 21, not held 0"
ERI,done,2026-09-15,301,301,134,"supported 167, coarsened 81, relinked 16, dropped 37, gateway 0, not held 0"
ETH,done,2026-09-15,342,342,120,"supported 196, coarsened 96, relinked 10, dropped 14, gateway 26, not held 0"
GAB,done,2026-09-15,349,349,108,"supported 188, coarsened 90, relinked 16, dropped 2, gateway 53, not held 0"
GHA,done,2026-09-15,432,384,120,"supported 264, coarsened 104, relinked 9, dropped 7, gateway 48, not held 0"
GIN,done,2026-09-15,267,267,102,"supported 165, coarsened 77, relinked 18, dropped 7, gateway 0, not held 0"
GMB,done,2026-09-15,360,360,124,"supported 236, coarsened 106, relinked 12, dropped 6, gateway 0, not held 0"
GNB,done,2026-09-15,368,350,147,"supported 221, coarsened 116, relinked 14, dropped 17, gateway 0, not held 0"
GNQ,done,2026-09-15,,,,read against source bodies during the 2026-09-15 build (stage 4 backfill)
KEN,done,2026-09-15,447,407,116,"supported 291, coarsened 84, relinked 12, dropped 20, gateway 40, not held 0"
LBR,done,2026-09-15,,,,read against source bodies during the 2026-09-15 build (stage 4 backfill)
LBY,done,2026-09-15,,,,read against source bodies during the 2026-09-15 build (stage 4 backfill)
LSO,done,2026-09-15,,,,read against source bodies during the 2026-09-15 build (stage 4 backfill)
MAR,done,2026-09-15,,,,read against source bodies during the 2026-09-15 build (stage 4 backfill)
MDG,done,2026-09-15,,,,read against source bodies during the 2026-09-15 build (stage 4 backfill)
MLI,done,2026-09-15,250,250,64,"supported 186, coarsened 55, relinked 3, dropped 6, gateway 0, not held 0"
MOZ,done,2026-09-15,357,357,88,"supported 244, coarsened 66, relinked 15, dropped 7, gateway 25, not held 0"
MRT,done,2026-09-15,270,270,47,"supported 223, coarsened 42, relinked 5, dropped 0, gateway 0, not held 0"
MUS,done,2026-09-15,318,259,73,"supported 186, coarsened 65, relinked 8, dropped 0, gateway 34, not held 25"
MWI,done,2026-09-16,386,386,45,"supported 314, coarsened 25, relinked 19, dropped 1, gateway 27, not held 0"
NAM,done,2026-09-16,314,275,44,"supported 231, coarsened 25, relinked 18, dropped 1, gateway 39, not held 0"
NER,done,2026-09-16,264,149,25,"supported 209, coarsened 19, relinked 4, dropped 2, gateway 30, not held 0"
NGA,done,2026-09-16,422,408,39,"supported 369, coarsened 22, relinked 9, dropped 8, gateway 14, not held 0"
RWA,done,2026-09-16,381,326,42,"supported 298, coarsened 31, relinked 6, dropped 5, gateway 41, not held 0"
SDN,done,2026-09-16,259,233,22,"supported 211, coarsened 21, relinked 0, dropped 1, gateway 0, not held 26"
SEN,done,2026-09-16,406,378,36,"supported 342, coarsened 30, relinked 6, dropped 0, gateway 28, not held 0"
SLE,done,2026-09-16,331,305,30,"supported 275, coarsened 27, relinked 3, dropped 0, gateway 26, not held 0"
SOM,owed,,,,,
SSD,owed,,,,,
STP,owed,,,,,
SWZ,owed,,,,,
SYC,owed,,,,,
TCD,owed,,,,,
TGO,owed,,,,,
TUN,owed,,,,,
TZA,owed,,,,,
UGA,owed,,,,,
ZAF,owed,,,,,
ZMB,owed,,,,,
ZWE,owed,,,,,
