iso,started,minutes,verdict,probed,staged_rows,nil,skipped_prior_nil,files_baseline,files_progress,queue_cell,cost_usd,turns,session_id,problems
GMB,2026-09-03T04:45:12,58.8,ok,73,72,1,0,56,66,03/09/2026,69.15,73,e07823a7-41a0-4d9e-9b91-aedbbb0c1f4e,
LBR,2026-09-03T05:44:00,48.8,PROBLEM,77,77,0,0,57,100,03/09/2026,120.65,109,f8fec391-ebf2-4be5-9594-8318f80caa10,lint-staged-queue: 2 finding(s)
DZA,2026-09-03T10:09:05,46.4,PROBLEM,62,61,1,0,48,76,,41.49,74,963f2d33-6dcb-4664-927d-6a95fc52704d,'Filler Searched' still blank — the queue will offer DZA again; lint-staged-queue: 1 finding(s)
EGY,2026-09-03T10:55:33,41.7,PROBLEM,52,51,1,0,46,67,,68.03,79,3bbedaa3-ba27-4539-b247-e954ccd58f49,'Filler Searched' still blank — the queue will offer EGY again; lint-staged-queue: 6 finding(s)
LBY,2026-09-03T11:37:16,80.7,PROBLEM,57,57,0,0,55,70,,137.19,87,2409814d-2272-46d2-96b7-49707c536643,'Filler Searched' still blank — the queue will offer LBY again
MAR,2026-09-03T13:01:26,46.6,PROBLEM,42,41,1,0,38,65,,29.25,74,7b1dcabd-ffc1-434b-8da2-b6b626ac339a,'Filler Searched' still blank — the queue will offer MAR again
TUN,2026-09-03T13:48:03,24.2,rate-limited,,,,,12,19,,25.00,36,0c4ca44f-26d6-4dca-ba67-832e9de464a9,claude exited 1; 'Filler Searched' still blank — the queue will offer TUN again; no run CSV written; TUN's batch not committed in the share: ?? new-queue/TUN/
TUN,2026-09-03T14:42:00,4.3,PROBLEM,,,,,12,19,,0.00,1,98ffd4cd-6e96-43eb-b59a-614fc265d3bf,claude exited 1; 'Filler Searched' still blank — the queue will offer TUN again; no run CSV written; TUN's batch not committed in the share: ?? new-queue/TUN/; Corpus tree left uncommitted:  M logs/progress-report-log.csv
CIV,2026-09-03T14:46:44,3.8,PROBLEM,,,,,0,0,,0.00,1,8e76842f-a6ea-432b-a78c-f159f049ed67,claude exited 1; 'Filler Searched' still blank — the queue will offer CIV again; no run CSV written; Corpus tree left uncommitted:  M logs/progress-report-log.csv
CPV,2026-09-03T14:50:29,3.5,PROBLEM,,,,,0,0,,0.00,1,cd73695d-7316-4be1-b6a9-277fc3676471,claude exited 1; 'Filler Searched' still blank — the queue will offer CPV again; no run CSV written; Corpus tree left uncommitted:  M logs/progress-report-log.csv
