indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.policy--digital-transformation-strategy,,,,,,,,,"Public-sector reform strategy validated in August is not a national digital strategy; no DTS drafting on record",0,
gov.policy--broadband-strategy,,,,,,,,,"5G licensing and coverage obligations only; no national broadband plan on record",0,
gov.policy--open-data-policy,2,GHA-data.open-national-open-data-instrument,,,,,,,"Open data initiative active; draft data sharing policy still being finalised, not adopted",0,
gov.legislate--cybersecurity-legislation,3,GHA-infra.cybersec-cybersecurity-act-2020,,,,,,,"Act in force and authority now issuing penalties; no implementing regulations held",0,
gov.legislate--legislation-covering-digital-id,3,GHA-dpi.id-national-identity-register-amendment-regulat,,,,,,,"Regulations in force; grievance and oversight provisions not on record in practice",0,
gov.legislate--digital-payments-legislation,2,GHA-gov.legislate-digital-banking-framework,,,,,,,"Digital banking framework awaiting consultation; VASP Act is not a payment-systems law",0,
gov.legislate--ai-legislation-regulations,2,GHA-gov.legislate-emerging-technologies-bill|GHA-gov.legislate-information-technology-agency-bill,,,,,,,"Bills in drafting; oversight body still unconstituted",0,
gov.legislate--statistics-legislation,3,GHA-gov.legislate-statistical-service-act,,,,,,,"Act 1003 in force; Charter principles not shown in the truncated text held",0,
gov.legislate--access-to-information-legislation,3,GHA-gov.legislate-rti-act,,,,,,,"Act in force and commission fining bodies; procedures and proactive-disclosure duties not on record",0,
gov.protect--data-protection-authority,3,GHA-gov.protect-data-protection-commission,,,,,,,"Commission operating; still no fine or enforcement decision published",0,
gov.regional--regional-policy-collaboration,3,GHA-gov.regional-afigf-2026-host,,,,,,,"Confirmed host of the Africa IGF, November 2026; no regional guideline domesticated on record",0,
gov.regional--regional-legal-harmonisation,,,,,,,,,"Bilateral fintech MoU and an IFF tracker pilot; no REC instrument domesticated on record",0,
gov.regional--shared-regional-infrastructure,,,,,,,,,"Cross-border ID pilot and frequency coordination only; no shared ICT asset in these rows",0,
gov.regional--cross-border-data-transfers,,,,,,,,,"Refused US agreement and a regulator data-exchange proposal; no transfer rule on record",0,
gov.discourse--non-governmental-contribution-to-national-policy,2,GHA-gov.discourse-open-government-action-plan-5,,,,,,,"OGP plan co-created; no standing consultation requirement or published responses held",0,
gov.discourse--open-discussion-of-government-policy,,,,,,,,,"Only a bribery-survey row; nothing on shutdowns, blocking or free discussion held",0,
infra.connect--national-fibre-backbone,3,GHA-infra.connect-annual-fibre-cuts,,,,,,,"Backbone in service with heavy cut rates; no regional reach or open-access terms on record",0,
infra.connect--internet-exchange-points,3,GHA-infra.connect-internet-exchanges,,,,,,,"Accra exchange past 200 Gbps; traffic at one date only, and exchanges barely overlap",0,
infra.capacity--robustness-of-government-hardware-and-software,2,GHA-dpi.govtech-ghana-gov-services-portal,,,,,,,"Portal redesign unlaunched; tax payment processing failing since 2026-08-14",0,
infra.cybersec--national-cybersecurity-readiness,2,GHA-infra.cybersec-national-computer-emergency-response-team|GHA-infra.cybersec-joint-cyber-security-committee,,,,,,,"No adopted strategy in these rows; CII designation still only announced",0,
dpi.exchange--use-of-digital-id-in-other-systems,3,GHA-dpi.id-ghana-card-photocopy-ban-and-verification-se,,,,,,,"Verification mandated across sectors in transition; no usage figure published",0,
dpi.exchange--interoperability-of-health-systems,2,GHA-dpi.mis-health-information-system-strategic-plan,,,,,,,"Strategic plan expired; PHEOC roadmap records no connection made",0,
dpi.exchange--interoperability-of-social-protection-systems,2,GHA-dpi.mis-social-protection-information-system,,,,,,,"Terms of reference issued; a procurement, nothing built",0,
dpi.id--national-maintenance-of-id-and-credentials-systems,3,GHA-dpi.id-national-identification-system-ppp-contract|GHA-dpi.id-identity-authority-maintenance-mandate,,,,,,,"Authority operates under a PPP; no exit, portability or escrow terms on record",0,
dpi.id--digital-id-from-birth,2,GHA-dpi.id-card-number-at-birth,,,,,,,"Registration application tested at health facilities; no issuance in service on record",0,
dpi.id--interoperability-of-birth-registration-and-digital-id,2,GHA-dpi.id-card-number-at-birth,,,,,,,"Linkage tested jointly by the three agencies; no exchange in service",0,
dpi.pay--governance-role-of-central-bank,3,GHA-dpi.pay-electronic-money-issuer-licence-revocation|GHA-dpi.pay-payment-product-authorisations,,,,,,,"Licensing and enforcement on record; switch oversight and dispute function not in these rows",0,
dpi.pay--revenue-collection,3,GHA-dpi.govtech-electronic-vat-invoicing|GHA-dpi.govtech-integrated-tax-administration-system,,,,,,,"Electronic invoicing and ITAS pilot; no electronic share of revenue published",0,
dpi.pay--b2b-and-b2g-functionality,,,,,,,,,"Only a central-bank SME financing-gap figure; no e-procurement or B2B payment row here",0,
dpi.pay--p2p-p2g-and-p2b-functionality,3,GHA-dpi.pay-mobile-money-transaction-value|GHA-dpi.exchange-mobile-money-interoperability,,,,,,,"Interoperability live at 1.3% of value; merchant and government acceptance not on record",0,
dpi.pay--cross-border-functionality,3,GHA-dpi.pay-pan-african-payment-system-participation,,,,,,,"PAPSS participants listed; no corridor volumes or costs published",0,
dpi.pay--consumer-protection,2,GHA-dpi.pay-register-of-licensed-digital-credit-provider,,,,,,,"Blacklists of unlicensed apps only; licensed register still unpublished",0,
dpi.registry--address-register,3,GHA-dpi.registry-digital-address-system,,,,,,,"Live national system; no coverage figure or register linkage published",0,
dpi.registry--electoral-register,3,GHA-dpi.registry-voters-register,,,,,,,"Biometric register in service; reform programme announced, none delivered",0,
