indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.policy--digital-transformation-strategy,3,GIN-gov.policy-simandou,,,,,,,"Simandou 2040 digital pillar launched with a 20%-of-GDP target; no costed plan or progress report on record",0,
gov.policy--ict-strategy,,,,,,,,,"Only the ministry's existence is on record; no ICT sector policy drafted or adopted in the rows",0,
gov.policy--broadband-strategy,,,,,,,,,"Rows show an FTTH licensing dispute only; no broadband plan drafted or adopted on record",0,
gov.policy--data-storage-cloud-strategy,2,GIN-infra.store-gn,,,,,,,"National Tier III data centre opened; no government hosting or cloud policy on record",0,
gov.policy--data-interoperability-framework-roadmap,2,GIN-gov.policy-guinee-digitale-2023-2027,,,,,,,"Interoperability guide and framework programmed as strategy initiatives; no instrument of its own adopted",0,
gov.policy--ai-strategy,2,GIN-tech.ai-strategy,,,,,,,"AI roadmap 2026-2035 validated but not published; text not reachable",0,
gov.policy--data-localisation-policies,,,,,,,,,"Sovereign-cloud study restituted and data strategy in drafting; no localisation rule proposed or drafted on record",0,
gov.policy--data-governance-policy,2,GIN-gov.policy-datagov,,,,,,,"National data governance strategy in drafting since June 2026; no adoption date",0,
gov.policy--open-data-policy,3,GIN-data.open-none,,,,,,,"Access-to-information law imposes proactive publication and free reuse; no portal or custodian on record",0,
gov.legislate--data-protection-legislation,3,GIN-gov.protect-dpl,,,,,,,"Loi L/2016/037/AN enacted; the authority it provides for was never constituted",0,
gov.legislate--cybersecurity-legislation,3,GIN-infra.cybersec-law|GIN-gov.legislate-decret-audit-securite-2026,,,,,,,"Law in force with a 2026 audit decree as reported; no institution constituted under it or prosecutions on record",0,
gov.legislate--legislation-covering-digital-id,3,GIN-dpi.registry-etat-civil-loi-2023-0020|GIN-gov.legislate-decrets-npi-rnpp-2025,,,,,,,"Civil-status law and NPI/RNPP decrees in force; grievance and oversight provisions not on record",0,
gov.legislate--digital-payments-legislation,3,GIN-gov.legislate-bcrg-payments-framework,,,,,,,"Payment systems governed by central-bank instructions; payments statute only at terms-of-reference stage",0,
gov.legislate--legislation-enabling-data-interoperability,3,GIN-gov.legislate-decret-ande-2023-interoperabilite,,,,,,,"Decree D/2023/0232 charges the agency with inter-administration exchange; no obligations or implementing acts on record",0,
gov.legislate--ai-legislation-regulations,3,GIN-tech.ai-hac-ai-media-ban,,,,,,,"Broadcasting regulator's prohibition on AI-generated content is the only sectoral rule; no enabling AI framework",0,
gov.legislate--e-commerce-legislation,3,GIN-gov.legislate-transactions-electroniques|GIN-gov.legislate-decret-2021-092,,,,,,,"E-transactions law and decrees in force on the agency's summary; no accredited trust-service providers on record",0,
gov.legislate--statistics-legislation,3,GIN-gov.legislate-loi-statistique-2014,,,,,,,"2014 law states objectivity and confidentiality with a statistics council; professional independence not written in",0,
gov.legislate--access-to-information-legislation,3,GIN-data.open-none,,,,,,,"Loi L/2020/0027/AN in force with proactive disclosure; no oversight mechanism or request decisions on record",0,
gov.protect--data-protection-authority,2,GIN-gov.protect-apdp-not-constituted,,,,,,,"Provided for in the 2016 law; bill stalled at the transition council; no members appointed",0,
gov.protect--national-data-protection-readiness,3,GIN-gov.protect-dpl,,,,,,,"Law in force; authority not constituted",0,
gov.regional--regional-policy-collaboration,3,GIN-gov.regional-car|GIN-gov.regional-tas,,,,,,,"Chairs the African Council of Regulators and hosted Transform Africa 2025; no domestic implementation reported",0,
gov.regional--regional-legal-harmonisation,,,,,,,,,"Malabo ratified by decree 2017; no REC instrument domesticated or referenced in a draft in these rows",0,
gov.regional--shared-regional-infrastructure,3,GIN-infra.connect-pamelap,,,,,,,"Guinea-Sierra Leone backbone link in service; roaming protocol signed but not implemented",0,
gov.regional--cross-border-data-transfers,,,,,,,,,"Only a border identification system is mapped; transfer provisions of the 2016 law not in these rows",0,
gov.standards--national-interoperability-standards,3,GIN-gov.standards-ande-referentials,,,,,,,"Agency's interoperability referential published as a working, non-binding standard",0,
gov.standards--national-quality-standards,2,GIN-gov.standards-ignm,,,,,,,"Standards body constituted by decree; no ICT or data standards or quality policy on record",0,
gov.standards--adoption-of-international-standards,,,,,,,,,"GovStack workshop only; no ISO membership or adopted standards on record",0,
gov.discourse--open-discussion-of-government-policy,2,GIN-infra.connect-block,,,,,,,"Unacknowledged blocking of Facebook, YouTube and TikTok from 28 July 2026",0,
finance.budget--sustainable-domestic-financing-of-digital-transformation,4,GIN-gov.legislate-rcn|GIN-gov.legislate-fsn,,,,,,,"Levy and sovereignty fund created by decree May 2026; no capitalisation or disbursement yet",0,
infra.connect--national-fibre-backbone,3,GIN-infra.connect-backbone,,,,,,,"Backbone in service on ministry figures; regional reach and open-access terms not on record",0,
