indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.policy--digital-transformation-strategy,3,GNB-gov.policy-entd-gw,,,,,,,"ENTD.GW gazetted by Decree 10/2025 to 2030; no costed plan or M&E report on record",0,
gov.policy--ict-strategy,3,GNB-gov.policy-entd-gw,,,,,,,"national digital strategy adopted covers the sector; no separate ICT policy or sector targets on record",0,
gov.policy--broadband-strategy,2,GNB-gov.policy-universal-access-fund-plan,,,,,,,"USAF 2026-2031 broadband plan delivered to the regulator; no adoption on record",0,
gov.policy--data-storage-cloud-strategy,2,GNB-finance.budget-digital-line|GNB-infra.cybersec-feasibility-study,,,,,,,"data centre budgeted and national cloud scoped; no hosting policy on record",0,
gov.policy--data-interoperability-framework-roadmap,3,GNB-dpi.exchange-wardip-interoperability-study,,,,,,,"interoperability regulation approved by Decree 27/2025; no custodian or standards catalogue on record",0,
gov.policy--ai-strategy,1,GNB-tech.ai-ai-discourse,,,,,,,"no AI strategy located on search; discourse only",0,
gov.policy--data-localisation-policies,,,,,,,,,"no localisation rule in the rows; draft data governance decree content not shown",0,
gov.policy--data-governance-policy,2,GNB-gov.protect-data-governance-protection-policy,,,,,,,"draft decree approved by Council of Ministers; no gazettal on record",0,
gov.policy--open-data-policy,2,GNB-data.statistics-egdds-nsdp,,,,,,,"e-GDDS summary data page publishes with no open data policy behind it",0,
gov.legislate--data-protection-legislation,,,,,,,,,"Malabo ratified May 2026 and a data governance policy decree drafted; no data protection bill on record",0,
gov.legislate--cybersecurity-legislation,,,,,,,,,"cybercrime conventions ratified May 2026; no domestic cybercrime bill or law in these rows",0,
gov.legislate--legislation-covering-digital-id,,,,,,,,,"ID cards issued through production centres; no ID law or bill on record",0,
gov.legislate--digital-payments-legislation,3,GNB-dpi.pay-payment-institution-licensing,,,,,,,"UMOA licensing evident from the central bank register; no interoperability or consumer rules on record",0,
gov.legislate--legislation-enabling-data-interoperability,2,GNB-dpi.exchange-interoperability-regulation,,,,,,,"regulation approved July 2025 per listed source; gazettal and in-force date not held",0,
gov.legislate--ai-legislation-regulations,1,GNB-tech.ai-ai-discourse,,,,,,,"no statute or regulator guidance on AI located on search",0,
gov.legislate--e-commerce-legislation,2,GNB-gov.legislate-electronic-transactions-bill,,,,,,,"bill in ARN public consultation May 2026; not enacted",0,
gov.legislate--statistics-legislation,3,GNB-data.statistics-statistics-framework-law,,,,,,,"Lei 6/2007 in force; Charter principles not shown in the rows",0,
gov.legislate--access-to-information-legislation,2,GNB-gov.legislate-access-to-information-bill,,,,,,,"draft validated October 2024; no tabling or passage on record",0,
gov.protect--data-protection-authority,,,,,,,,,"agency committed to in January 2025; not provided for in law or constituted on record",0,
gov.protect--national-data-protection-readiness,,,,,,,,,"policy decree drafted and agency planned; no data protection bill on record",0,
gov.regional--regional-policy-collaboration,3,GNB-gov.regional-auda-nepad-island-economies,,,,,,,"ministerial communique adopted July 2026 under AUDA-NEPAD programme; no domestic implementation reported",0,
gov.regional--regional-legal-harmonisation,,,,,,,,,"only a draft UEMOA land directive; nothing in the cyberlaw set on record",0,
gov.regional--shared-regional-infrastructure,,,,,,,,,"ECOWAS ID card pilot only; no shared regional ICT infrastructure in these rows",0,
gov.regional--cross-border-data-transfers,,,,,,,,,"INTERPOL police information participation only; no personal data transfer rule on record",0,
gov.standards--national-interoperability-standards,2,GNB-dpi.exchange-egif-gw,,,,,,,"eGIF-GW v2.0 specified under WARDIP; no publication as government standard on record",0,
gov.standards--national-quality-standards,,,,,,,,,"quality and metrology institute announced only; no standards body on record",0,
gov.standards--adoption-of-international-standards,,,,,,,,,"Common Alerting Protocol adopted; ISO membership not on record",0,
gov.discourse--non-governmental-contribution-to-national-policy,,,,,,,,,"row shows platform blocking only; no consultation record in these rows",0,
gov.discourse--open-discussion-of-government-policy,2,GNB-gov.legislate-digital-integrity-law,,,,,,,"false-information law passed May 2026 and invoked July 2026",0,
finance.budget--sustainable-domestic-financing-of-digital-transformation,3,GNB-finance.budget-digital-line,,,,,,,"named digital line in the 2026 budget; no dedicated fund or recurrence on record",0,
infra.connect--national-fibre-backbone,2,GNB-infra.connect-wardip-gb-backbone,,,,,,,"2877 km backbone designed and in procurement; not built",0,
infra.connect--internet-exchange-points,,,,,,,,,"backbone tender only; no IXP evidence in the rows",0,
infra.connect--satellite-broadband-licensing-and-availability,3,GNB-infra.connect-starlink-service,,,,,,,"Starlink live on a provisional authorisation to one licensee",0,
infra.store--off-site-backup-capacity,,,,,,,,,"feasibility study only; no backup or recovery site on record",0,
infra.capacity--robustness-of-government-hardware-and-software,2,GNB-finance.budget-digital-line,,,,,,,"financial and enterprise systems budgeted for 2026; no inventory on record",0,
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,2,GNB-capacity.literacy-civil-service|GNB-capacity.training-policymaker-training,,,,,,,"training exercises run and planned; no in-house system teams on record",0,
infra.cybersec--national-cybersecurity-readiness,2,GNB-infra.cybersec-national-cybersecurity-strategy|GNB-infra.cybersec-cybersecurity-data-protection-agency,,,,,,,"strategy decree approved in draft and agency announced; neither operating",0,
dpi.exchange--national-data-exchange-system,2,GNB-dpi.exchange-wardip-interoperability-study|GNB-dpi.exchange-egif-gw,,,,,,,"platform specified and provided for by decree; not in service",0,
dpi.exchange--use-of-digital-id-in-other-systems,,,,,,,,,"ID production network only; no other system using the ID on record",0,
dpi.exchange--interoperability-of-health-systems,,,,,,,,,"supply tracking and DHIS2 tools; no exchange between health systems on record",0,
dpi.exchange--interoperability-of-education-systems,,,,,,,,,"education database and inspection dashboard; no link between systems on record",0,
dpi.exchange--interoperability-of-social-protection-systems,,,,,,,,,"civil-service payroll platform only; no social protection exchange on record",0,
dpi.id--robustness-of-system,3,GNB-dpi.id-semlex-biometric-id-production,,,,,,,"biometric cards issued at 18 centres; deduplication and assurance not stated",0,
dpi.id--national-maintenance-of-id-and-credentials-systems,,,,,,,,,"centres opened with Semlex; no statement on national operation or supplier dependence",0,
dpi.id--authentication,,,,,,,,,"no authentication or PKI service in the rows",0,
dpi.id--digital-id-from-birth,,,,,,,,,"digital birth registration piloting; no unique identifier at birth on record",0,
dpi.id--interoperability-of-birth-registration-and-digital-id,,,,,,,,,"digital civil registration only; no link to the ID system on record",0,
dpi.id--use-by-other-systems,,,,,,,,,"tax number issued via Kontaktu; no register keyed on the national ID on record",0,
dpi.pay--governance-role-of-central-bank,3,GNB-dpi.pay-payment-institution-licensing,,,,,,,"BCEAO licenses providers; no switch or consumer function in these rows",0,
dpi.pay--g2p-functionality,3,GNB-dpi.pay-blockchain-wage-bill,,,,,,,"salaries and pensions disbursed via the ledger platform since 2024; no transfer programme on record",0,
dpi.pay--revenue-collection,3,GNB-dpi.pay-kontaktu|GNB-dpi.registry-nif-kontaktu,,,,,,,"Kontaktu e-payment for simplified taxes and import VAT; no electronic share published",0,
dpi.pay--b2b-and-b2g-functionality,,,,,,,,,"tax and customs platforms only; no e-procurement or business payment service on record",0,
dpi.pay--p2p-p2g-and-p2b-functionality,2,GNB-dpi.pay-payment-institution-licensing,,,,,,,"one e-money issuer licensed; service in operation not shown in this row",0,
dpi.pay--cross-border-functionality,3,GNB-dpi.pay-pi-spi-participants|GNB-dpi.pay-payment-institution-licensing,,,,,,,"five institutions on BCEAO regional PI-SPI; no corridor volumes or costs published",0,
dpi.pay--consumer-protection,,,,,,,,,"licence register only; no conduct or consumer rules on record",0,
dpi.registry--population-register,,,,,,,,,"census and a digital registry office; no population register on record",0,
dpi.registry--civil-register,2,GNB-dpi.registry-sirec|GNB-dpi.registry-undp-building-national-id,,,,,,,"SIREC rolling out and paper books being digitised; birth registration 46 per cent",0,
dpi.registry--address-register,,,,,,,,,"no addressing evidence in the rows",0,
dpi.registry--business-register,2,GNB-dpi.registry-business-register,,,,,,,"one-stop centre registers companies; online registration not on record",0,
dpi.registry--social-protection-register,,,,,,,,,"payroll platform only; no social registry on record",0,
dpi.registry--tax-register,2,GNB-dpi.registry-nif-kontaktu,,,,,,,"tax numbers issued via a computerised platform; integrity not assessed",0,
dpi.registry--land-register,,,,,,,,,"regional draft directive only; no domestic cadastre on record",0,
dpi.mis--health,3,GNB-tech.ai-health-climate-tools,,,,,,,"national health information platform referenced by DHIS2 grant; completeness and integration not on record",0,
dpi.mis--education,2,GNB-dpi.exchange-education-database|GNB-dpi.mis-education-monitoring,,,,,,,"database being built; last statistical yearbook 2014/15",0,
dpi.mis--social-protection,3,GNB-dpi.pay-blockchain-wage-bill,,,,,,,"civil-service pensions run on the platform; no other programme on record",0,
dpi.mis--justice,,,,,,,,,"police criminal information system and staff training only; no court system on record",0,
dpi.mis--tax,2,GNB-dpi.pay-kontaktu|GNB-dpi.registry-nif-kontaktu,,,,,,,"e-payment for simplified regime and import VAT only; filing coverage for core taxes not shown",0,
dpi.mis--customs,3,GNB-dpi.exchange-asycudaworld,,,,,,,"ASYCUDAWorld live at port airport and three border offices; no single window on record",0,
dpi.mis--land,,,,,,,,,"regional draft directive only; no land information system on record",0,
dpi.govtech--e-government-services,2,GNB-digital.localgov-integrated-services,,,,,,,"one-stop digital transport counters; no transactional online services on record",0,
digital.localgov--ict-infrastructure-for-local-government,,,,,,,,,"deconcentrated state counters only; no local administration equipment on record",0,
digital.localgov--digitalisation-of-local-government-records,,,,,,,,,"no local government records system in the rows",0,
digital.rural--digitalisation-of-rural-health-clinics,,,,,,,,,"central warehouse tracking only; no rural facility evidence",0,
digital.rural--digitalisation-of-rural-primary-schools,,,,,,,,,"inspection dashboard only; no school connectivity or devices on record",0,
digital.rural--digitalisation-of-rural-registry-offices,2,GNB-digital.rural-registry-offices|GNB-dpi.id-birth-registration-at-enrolment,,,,,,,"first digital office and mobile caravans under pilot",0,
digital.rural--digitalisation-of-rural-police-stations,2,GNB-dpi.govtech-siic,,,,,,,"central criminal information system with no provincial post named",0,
tech.ai--use-of-ai-in-government-administration,,,,,,,,,"forum attendance only; no AI system or statement of absence on record",0,
tech.ai--use-of-ai-in-sectoral-management-information-systems,,,,,,,,,"health-climate analytics planned; no AI tool on record",0,
tech.ai--development-of-national-regional-ai-systems,,,,,,,,,"no model dataset or compute evidence in the rows",0,
tech.ai--control-of-ai-abuse,2,GNB-tech.ai-ai-discourse,,,,,,,"forum on AI ethics and disinformation; no rule or authority on AI",0,
tech.innovate--technology-hubs,3,GNB-tech.innovate-incubators,,,,,,,"incubators with cohorts on record; one city only and no park",0,
tech.innovate--tech-startup-ecosystem,2,GNB-tech.innovate-incubators,,,,,,,"entrepreneurship fund selected first cohort; no startup law or strategy",0,
capacity.research--think-tanks-and-academic-departments-contributing-to-dt-policy,,,,,,,,,"research produced outside national institutions; network proposed only",0,
include.access--citizen-feedback-portals,2,GNB-include.access-u-report,,,,,,,"U-Report launched and civic app piloted; no cases on record",0,
include.access--citizen-participation-in-policy,,,,,,,,,"no public consultation in these rows",0,
include.access--inclusion-of-persons-with-disabilities,,,,,,,,,"equipment delivered to federation; no accessibility law or policy on record",0,
include.access--inclusion-of-refugees-and-idps,,,,,,,,,"UNHCR counts 32 refugees; no registration or exclusion statement",0,
data.statistics--national-strategy-for-development-of-statistics,,,,,,,,,"statistics law and census only; no NSDS evidence",0,
data.statistics--censuses-and-surveys,3,GNB-data.statistics-rgph4-census,,,,,,,"RGPH4 preliminary results released July 2026; full tabulations pending",0,
data.statistics--statistics-from-administrative-data,2,GNB-data.statistics-registry-statistics,,,,,,,"civil registry staff trained in data skills; no admin-based product on record",0,
data.open--use-of-open-data,2,GNB-data.statistics-egdds-nsdp,,,,,,,"macroeconomic data published; no open licence stated",0,
data.satellite--agricultural-use-of-satellite-data,2,GNB-data.satellite-agriculture,,,,,,,"satellite monitoring by FAO and WFP; no national service on record",0,
data.satellite--meteorological-use-of-satellite-data,,,,,,,,,"CAP alerts and station siting; satellite data use not on record",0,
