indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.policy--broadband-strategy,,,,,,,,,"Backbone projects and financing held; no national broadband plan and no cited absence on record",0,
gov.policy--data-governance-policy,,,,,,,,,"Identification agency and civil-status reforms only; no data governance policy and no cited absence on record",0,
gov.policy--open-data-policy,2,NER-data.open-pnin,,,,,,,"Sectoral nutrition portal publishing with no open data policy behind it",0,
gov.legislate--legislation-covering-digital-id,3,NER-gov.legislate-etatcivil|NER-dpi.registry-rnn,,,,,,,"Ordonnance and agency decrees adopted; enrolment rights, grievance and oversight applied in practice not on record",0,
gov.legislate--legislation-enabling-data-interoperability,3,NER-dpi.exchange-registers-interoperability-decree,,,,,,,"Decree provides register interoperability; no sharing obligations, assurance levels, custodian or conformance on record",0,
gov.regional--regional-policy-collaboration,3,NER-gov.regional-aes-dpa-roadmap,,,,,,,"AES data-protection roadmap signed; no regional guidelines implemented domestically in more than one area",0,
gov.regional--shared-regional-infrastructure,2,NER-gov.regional-algeria,,,,,,,"Algeria projects reaffirmed August 2026; no shared asset in service in this indicator's rows",0,
gov.regional--cross-border-data-transfers,,,,,,,,,"Data protection law in force but no transfer provisions stated in the rows; HAPDP abolished",0,
gov.standards--national-interoperability-standards,,,,,,,,,"Registers designed to interoperate; no interoperability standards or cited absence on record",0,
gov.standards--national-quality-standards,,,,,,,,,"Only regulator QoS enforcement held; no standards body or quality policy on record",0,
gov.discourse--open-discussion-of-government-policy,2,NER-gov.legislate-cybercrimelaw,,,,,,,"Journalists charged under cybercrime law 2025-10-30 within the 12 months; access-to-information charter in force",0,
finance.budget--sustainable-domestic-financing-of-digital-transformation,,,,,,,,,"Rectified 2026 finance law report itemises no digital line; national counterpart to DTS backbone held elsewhere so no cited absence",0,
infra.connect--national-fibre-backbone,3,NER-infra.connect-eximbankbackbone|NER-infra.connect-dts,,,,,,,"Backbone in service across several regions; every-region reach and open-access terms not on record",0,
dpi.exchange--use-of-digital-id-in-other-systems,,,,,,,,,"Population register forthcoming; no system using the ID for enrolment or verification on record",0,
dpi.exchange--interoperability-of-health-systems,2,NER-dpi.exchange-openfn,,,,,,,"Interoperability layer in production on implementer's account; adoption of the e-health master plan not on record",0,
dpi.id--national-maintenance-of-id-and-credentials-systems,2,NER-tech.industry-alitissal,,,,,,,"Cards and passports produced by a Libyan supplier with a local partner; national operation a stated goal",0,
dpi.id--digital-id-from-birth,,,,,,,,,"Birth registration rates and a birth-certificate pilot held; no identifier assigned at birth on record in these rows",0,
dpi.id--use-by-other-systems,2,NER-dpi.exchange-registers-interoperability-decree,,,,,,,"Decree provides register interoperability; no public register keyed on the national ID on record",0,
dpi.pay--b2b-and-b2g-functionality,3,NER-dpi.pay-esisic|NER-dpi.pay-cut,,,,,,,"Electronic tax payment and Treasury link to regional settlement in service; no e-procurement on record",0,
dpi.pay--cross-border-functionality,2,NER-dpi.pay-airtel-money-international-transfer,,,,,,,"Licensed operator's corridors in service on its own account; no cross-border regulatory framework on record",0,
dpi.pay--consumer-protection,2,NER-dpi.pay-usury,,,,,,,"Usury ceiling and transfer licensing only; conduct rules in two dimensions not on record",0,
dpi.registry--population-register,2,NER-dpi.registry-rnp,,,,,,,"Register provided for in law; not yet accepting enrolments",0,
dpi.registry--civil-register,2,NER-dpi.registry-communecomputerisation|NER-dpi.registry-rnec,,,,,,,"68% of communes computerised on UNICEF's own account; not in service nationally",0,
dpi.registry--tax-register,,,,,,,,,"NIF attributed but no computerised register or database described in the rows",0,
tech.innovate--technology-hubs,3,NER-tech.innovate-cipmen,,,,,,,"One principal incubator with outputs; Diffa hub only planned; no park with tenants",0,
include.access--citizen-participation-in-policy,,,,,,,,,"Consultative bodies and local-governance code held; no consultation on a digital instrument on record",0,
include.access--inclusion-of-persons-with-disabilities,2,NER-include.access-disabilitylaw,,,,,,,"General disability law in force; no accessible-format or digital accessibility provision on record",0,
data.satellite--agricultural-use-of-satellite-data,2,NER-data.satellite-eo,,,,,,,"Mapping institute's undated page: Sentinel imagery for land-use and forest monitoring; no agricultural service on record",0,
