indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.policy--digital-transformation-strategy,2,TGO-gov.policy-togo-digital-2025-2030-national,,,,,,,"Togo Digital 2025 expired; 2025-2030 successor in preparation with no adoption on record",0,
gov.policy--ict-strategy,,,,,,,,,"only the regulator's row is mapped; no ICT sector policy on record; Togo Digital 2025 sits on the data-governance row",0,
gov.policy--broadband-strategy,,,,,,,,,"frequency allocation plan only; no broadband plan on record",0,
gov.policy--data-storage-cloud-strategy,2,TGO-infra.store-sovereign-private-cloud-at-the,,,,,,,"sovereign cloud at the national data centre agreed by protocol; no hosting policy adopted",0,
gov.policy--data-interoperability-framework-roadmap,,,,,,,,,"draft framework rests on sources after the as-at; listed source is the social-registry access order only",0,
gov.policy--ai-strategy,,,,,,,,,"July 2026 report cites a strategy with no adopting act; minister said in 2024 one was needed; neither places a rung",0,
gov.policy--data-localisation-policies,2,TGO-gov.protect-data-localisation-requirement,,,,,,,"authority states storage in Togo as an objective; no rule drafted or in force",0,
gov.policy--data-governance-policy,,,,,,,,,"Togo Digital 2025 is a digital strategy and IGN a mapping body; no national data policy on record",0,
gov.policy--open-data-policy,2,TGO-data.open-open-government-data-portal-or,,,,,,,"portal publishing since December 2024 with no open-data policy, charter or licence",0,
gov.legislate--data-protection-legislation,3,TGO-gov.protect-loi-n-2019-014-on,,,,,,,"law in force; the compliance act on this row is dated after the as-at",0,
gov.legislate--cybersecurity-legislation,3,TGO-gov.legislate-cybersecurity-and-cybercrime-statute-and,,,,,,,"2018 law in force as amended 2022; regulations and prosecutions not on this row",0,
gov.legislate--legislation-covering-digital-id,3,TGO-gov.legislate-biometric-identification-law,,,,,,,"law constitutes the authority; text not held so enrolment, grievance and oversight provisions unverified",0,
gov.legislate--digital-payments-legislation,,,,,,,,,"anti-money-laundering law only; no payment-systems or e-money instrument on this indicator's rows",0,
gov.legislate--legislation-enabling-data-interoperability,3,TGO-dpi.exchange-guichet-unique-formalites-commerce-international|TGO-dpi.exchange-arrete-007-on-social-registry-data,,,,,,,"sharing permitted by decree and order; no general obligation, standards or custodian on record",0,
gov.legislate--ai-legislation-regulations,,,,,,,,,"no AI rule, guidance or gap analysis on record; data-protection decree powers are general",0,
gov.legislate--e-commerce-legislation,,,,,,,,,"mobile billing rules only; no electronic-transactions law on record",0,
gov.legislate--statistics-legislation,3,TGO-gov.legislate-loi-n-2011-014-on-national-statistics,,,,,,,"act in force; text not held so Charter principles unverified",0,
gov.legislate--access-to-information-legislation,3,TGO-gov.legislate-access-to-information-statute,,,,,,,"law and decree in force with Mediateur oversight; no requests or decisions on record",0,
gov.protect--data-protection-authority,3,TGO-gov.protect-instance-de-protection-des-donnees,,,,,,,"authority operating (correspondents certified, forums held); no enforcement decision on record",0,
gov.protect--national-data-protection-readiness,3,TGO-gov.protect-decree-fixing-the-data-protection|TGO-gov.protect-online-declaration-of-video-surveillance,,,,,,,"law in force and authority operating; no impact-assessment, breach-notification or code-of-conduct practice on record",0,
gov.regional--regional-policy-collaboration,3,TGO-tech.ai-pan-african-african-language-artificial,,,,,,,"founding government of a continental AI coalition; no regional guidelines carried in domestic instruments",0,
gov.regional--regional-legal-harmonisation,,,,,,,,,"consumer-directive workshop only; no draft or domesticated REC instrument on record",0,
gov.regional--shared-regional-infrastructure,3,TGO-infra.connect-ecowas-free-roaming-arrangement-with,,,,,,,"ECOWAS free roaming in force with Senegal and Benin; no traffic or usage reported",0,
gov.standards--national-interoperability-standards,,,,,,,,,"sectoral health-insurance standards work only; no national standards catalogue on record",0,
gov.standards--national-quality-standards,,,,,,,,,"product conformity-assessment decree adopted; no standards body or ICT quality standard on record",0,
gov.discourse--non-governmental-contribution-to-national-policy,2,TGO-gov.discourse-togo-internet-governance-forum,,,,,,,"annual national IGF with state bodies and civil society; no required consultation or traceable input on record",0,
finance.budget--sustainable-domestic-financing-of-digital-transformation,,,,,,,,,"only external partner commitments mapped; no domestic budget line read or on record",0,
infra.connect--national-fibre-backbone,3,TGO-infra.connect-national-fibre-backbone-and-terrestrial,,,,,,,"backbone in service on government figures dated 2023; regional reach and open-access terms not on record",0,
infra.connect--internet-exchange-points,3,TGO-infra.connect-internet-exchange-point,,,,,,,"one exchange, nine members and 18 Gbps self-reported to PeeringDB",0,
infra.connect--satellite-broadband-licensing-and-availability,2,TGO-digital.rural-spectrum-royalties-for-satellite-and,,,,,,,"satellite spectrum fees adopted with text unpublished; no licence granted on record",0,
