indicator_id,url,title,publisher,published,brief,staged_file,slice
gov.policy--ict-strategy,https://www.numerique.gouv.bj/publications/actualites/seminaire-strategique-pour-l-elaboration-de-la-strategie-numerique-2031,Séminaire stratégique pour l'élaboration de la stratégie numérique 2031,Portail du Numérique - Bénin (Ministère du Numérique et de la Digitalisation),2026-02-10,baseline,baseline/2026-02-10-numerique-gouv-bj-seminaire-strategie-numerique-2031.md,gov-policy+legislate
gov.policy--ict-strategy,https://www.numerique.gouv.bj/publications/actualites/transformation-numerique-au-benin-une-vision-strategique-couronnee-de-succes,Transformation numérique au Bénin : Une vision stratégique couronnée de succès,Portail du Numérique - Bénin (Ministère du Numérique et de la Digitalisation),2026-01-19,progress,progress/2026-01-19-numerique-gouv-bj-gtmi-2025.md,gov-policy+legislate
gov.policy--broadband-strategy,https://sgg.gouv.bj/doc/decret-2015-378/download,"Décret n° 2015-378 du 03 juillet 2015 portant transmission à l'Assemblée Nationale pour autorisation de ratification, de l'Accord de prêt signé par échange de courrier, le 07 avril 2015 entre la République du Bénin et EXIMBANK de Chine dans le cadre du financement du Projet de Développement des Infrastructures des Télécommunications et des Technologies de l'Information et de la Communication Large Bande Nationale (PDI2T)",Secrétariat général du Gouvernement du Bénin,2015-07-03,baseline,baseline/2015-07-03-sgg-decret-2015-378-pdi2t.md,gov-policy+legislate
gov.policy--broadband-strategy,https://arcep.bj/larcep-publie-son-rapport-dactivites-2025/,L'ARCEP publie son rapport d'activités 2025,ARCEP Bénin,2026-05-01,progress,progress/2026-05-01-arcep-rapport-2025-annonce.md,gov-policy+legislate
gov.policy--broadband-strategy,https://numerique.gouv.bj/publications/actualites/sommet-regional-sur-la-transformation-digitale-en-afrique-de-l-ouest-et-du-centre-declaration-de-cotonou,Sommet régional sur la transformation digitale en Afrique de l'Ouest et du Centre - Déclaration de Cotonou,"Portail du Numérique - Bénin, publiant la déclaration commune des ministres du numérique d'Afrique de l'Ouest et du Centre",2025-11-18,progress,progress/2025-11-18-numerique-gouv-bj-declaration-cotonou.md,gov-policy+legislate
gov.policy--data-storage-cloud-strategy,https://sgg.gouv.bj/doc/decret-2021-550/download,Décret n° 2021-550 du 27 octobre 2021 portant approbation des règles de Politique de Sécurité des Systèmes d'Information de l'État en République du Bénin,Secrétariat général du Gouvernement du Bénin,2021-10-27,baseline,baseline/2021-10-27-sgg-decret-2021-550-pssie.md,gov-policy+legislate
gov.policy--data-storage-cloud-strategy,https://www.worldbank.org/en/news/press-release/2026/03/11/world-bank-group-provides-137-million-help-accelerate-digital-integration-job-creation-in-benin-liberia-and-sierra-leone,"World Bank Group Provides $137 Million to Help Accelerate Digital Integration and Job Creation in Benin, Liberia and Sierra Leone",The World Bank Group,2026-03-10,progress,progress/2026-03-10-worldbank-wardip2-press-release.md,gov-policy+legislate
gov.policy--data-governance-policy,https://sgg.gouv.bj/doc/decret-2021-550/download,Décret n° 2021-550 du 27 octobre 2021 portant approbation des règles de Politique de Sécurité des Systèmes d'Information de l'État en République du Bénin,Secrétariat général du Gouvernement du Bénin,2021-10-27,baseline,baseline/2021-10-27-sgg-decret-2021-550-pssie.md,gov-policy+legislate
gov.policy--data-governance-policy,https://numerique.gouv.bj/publications/actualites/sommet-regional-sur-la-transformation-digitale-en-afrique-de-l-ouest-et-du-centre-declaration-de-cotonou,Sommet régional sur la transformation digitale en Afrique de l'Ouest et du Centre - Déclaration de Cotonou,"Portail du Numérique - Bénin, publiant la déclaration commune des ministres du numérique d'Afrique de l'Ouest et du Centre",2025-11-18,progress,progress/2025-11-18-numerique-gouv-bj-declaration-cotonou.md,gov-policy+legislate
gov.policy--open-data-policy,https://opendatatoolkit.worldbank.org/content/dam/sites/data/odk/documents/odra-benin.pdf,État de Préparation de la République du Bénin en vue d'une initiative d'ouverture des données publiques,"Gouvernement de la République du Bénin (étude Banque mondiale, méthodologie ODRA)",2022-12-23,baseline,baseline/2022-12-23-worldbank-odra-benin.md,gov-policy+legislate
gov.policy--open-data-policy,https://www.gouv.bj/article/3542/resultats-enquete-budget-ouvert-2025-benin-distingue-devient-modele-reference-afrique-subsaharienne-dans-monde/,"Résultats de l'Enquête sur le Budget Ouvert (OBS), 2025 : Le Bénin se distingue et devient un modèle de référence en Afrique Subsaharienne et dans le monde",Gouvernement de la République du Bénin,2026-06-18,progress,progress/2026-06-18-gouv-bj-open-budget-survey-2025.md,gov-policy+legislate
