indicator_id,file,brief
gov.policy--ict-strategy,baseline/2019-09-01-rdc-plan-national-numerique-horizon-2025.md,baseline
gov.policy--ict-strategy,progress/2026-08-05-rdc-psen-snia-validation-mediacongo.md,progress
gov.policy--ict-strategy,progress/2026-06-16-rdc-ticef-adoption-education-numerique.md,progress
gov.policy--data-localisation-policies,baseline/2022-03-02-decret-22-07-fichier-general-population.md,baseline
gov.policy--data-localisation-policies,progress/2026-03-17-rdc-arrete-004-2026-autorisation-activites-numeriques.md,progress
gov.policy--data-localisation-policies,baseline/2025-11-13-rdc-sngd-strategie-nationale-gouvernance-donnees-eca.md,progress
gov.policy--data-governance-policy,baseline/2025-11-13-rdc-sngd-strategie-nationale-gouvernance-donnees-eca.md,baseline
gov.policy--data-governance-policy,progress/2026-05-13-rdc-arptc-procedures-autorisation-declaration-traitement-donnees.md,progress
gov.policy--data-governance-policy,progress/2026-03-16-rdc-reseau-national-dpo-lancement.md,progress
gov.legislate--cybersecurity-legislation,baseline/2023-03-13-rdc-ordonnance-loi-23-010-code-numerique.md,baseline
gov.legislate--cybersecurity-legislation,progress/2026-05-16-rdc-ancy-ordonnance-26-033-journal-officiel.md,progress
gov.legislate--cybersecurity-legislation,progress/2026-03-17-rdc-arrete-004-2026-autorisation-activites-numeriques.md,progress
gov.legislate--digital-payments-legislation,baseline/2018-07-09-rdc-loi-18-019-systemes-paiement.md,baseline
gov.legislate--digital-payments-legislation,progress/2026-03-17-rdc-arrete-004-2026-autorisation-activites-numeriques.md,progress
gov.legislate--digital-payments-legislation,progress/2025-10-31-rdc-bcc-instruction-60-grille-tarifaire.md,progress
gov.legislate--legislation-enabling-data-interoperability,baseline/2023-03-13-rdc-ordonnance-loi-23-010-code-numerique.md,baseline
gov.legislate--legislation-enabling-data-interoperability,progress/2026-01-09-rdc-guce-dgda-transmission-electronique-obligatoire.md,progress
gov.legislate--legislation-enabling-data-interoperability,progress/2026-06-13-acp-rdc-pass-lancement-president-tshisekedi.md,progress
gov.legislate--ai-legislation-regulations,progress/2026-08-05-rdc-unesco-snia-psen-validation.md,progress
gov.legislate--ai-legislation-regulations,progress/2025-10-22-rdc-arrete-cmsnia-commission-mixte-ia.md,progress
gov.legislate--e-commerce-legislation,baseline/2023-03-13-rdc-ordonnance-loi-23-010-code-numerique.md,baseline
gov.legislate--e-commerce-legislation,progress/2026-03-17-rdc-arrete-004-2026-autorisation-activites-numeriques.md,progress
gov.legislate--e-commerce-legislation,progress/2026-01-09-rdc-guce-dgda-transmission-electronique-obligatoire.md,progress
gov.standards--national-interoperability-standards,progress/2026-06-13-acp-rdc-pass-lancement-president-tshisekedi.md,progress
gov.standards--national-interoperability-standards,progress/2026-06-16-rdc-homologation-sih-anicns-congoquotidien.md,progress
infra.connect--international-internet-bandwidth,baseline/2023-12-01-itu-drc-digital-development-dashboard.md,baseline
infra.connect--international-internet-bandwidth,progress/2026-02-09-paratus-goma-mombasa-fibre-route.md,progress
infra.connect--international-internet-bandwidth,progress/2025-12-19-airtel-drc-2africa-cable-activation.md,progress
infra.store--off-site-backup-capacity,baseline/2025-07-24-sgptntic-visite-data-center-gouvernement.md,baseline
infra.store--off-site-backup-capacity,progress/2026-06-16-anicns-ami-data-center-national-sante.md,progress
infra.store--off-site-backup-capacity,progress/2026-06-16-rdc-homologation-sih-anicns-congoquotidien.md,progress
infra.energy--sufficient-energy-and-water-for-data-centres,baseline/2025-03-30-are-rapport-annuel-2024.md,baseline
infra.energy--sufficient-energy-and-water-for-data-centres,progress/2025-10-19-moneyweb-congo-inga-hydro-ai-data-centers.md,progress
infra.energy--sufficient-energy-and-water-for-data-centres,progress/2025-10-16-mitrelli-hydro-link-angola-drc-power-line.md,progress
infra.energy--grid-reliability,baseline/2024-07-01-are-rapport-annuel-2023.md,baseline
infra.energy--grid-reliability,progress/2025-11-25-ivanhoe-mines-inga-ii-turbine-5-rampup.md,progress
infra.energy--grid-reliability,progress/2026-05-05-snel-fourniture-electricite-kikwit.md,progress
infra.energy--rural-electrification,baseline/2025-04-01-anser-rapport-annuel-2024.md,baseline
infra.energy--rural-electrification,progress/2026-02-02-anser-22-centrales-phase-exploitation.md,progress
infra.energy--rural-electrification,progress/2025-10-06-anser-mwinda-fund-operationnel.md,progress
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,baseline/2025-07-18-worldbank-ptn-rdc-mission-appui-aide-memoire.md,baseline
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,progress/2026-02-17-primature-acceleration-transformation-numerique-banque-mondiale.md,progress
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,progress/2025-11-13-uneca-national-data-governance-strategy-handover.md,progress
dpi.exchange--use-of-digital-id-in-other-systems,baseline/2026-06-13-presidence-lancement-rdc-pass.md,baseline
dpi.exchange--use-of-digital-id-in-other-systems,progress/2026-08-13-radiookapi-economie-numerique-equity-bcdc-partenariat.md,progress
dpi.exchange--use-of-digital-id-in-other-systems,progress/2026-03-17-rdc-arrete-004-2026-autorisation-activites-numeriques.md,progress
dpi.exchange--interoperability-of-health-systems,baseline/2026-03-27-who-afro-regional-health-data-hub-progress-report.md,baseline
dpi.exchange--interoperability-of-health-systems,progress/2026-06-10-icap-hiv-insight-dashboard-drc.md,progress
dpi.exchange--interoperability-of-health-systems,progress/2026-06-02-dhis2-africa-cdc-ebola-outbreak-response-toolkit.md,progress
dpi.exchange--interoperability-of-education-systems,baseline/2026-05-12-au-iped-emis-self-assessment-drc.md,baseline
dpi.exchange--interoperability-of-education-systems,progress/2026-04-06-wearetech-drc-digital-pact-education.md,progress
dpi.exchange--interoperability-of-education-systems,progress/2026-08-04-corus-eduser-pilote-kasai-donnees-education.md,progress
dpi.exchange--interoperability-of-social-protection-systems,baseline/2025-06-01-worldbank-global-insights-social-registries.md,baseline
dpi.exchange--interoperability-of-social-protection-systems,baseline/2026-06-13-presidence-lancement-rdc-pass.md,progress
dpi.id--authentication,baseline/2026-06-13-rdc-pass-plateforme-identite-numerique-nationale.md,baseline
dpi.id--authentication,progress/2026-04-14-snip-appel-manifestations-interet-strategie-integree.md,progress
dpi.id--authentication,progress/2026-07-19-acp-onip-parametres-techniques-accra.md,progress
dpi.id--interoperability-of-birth-registration-and-digital-id,baseline/2022-03-02-decret-22-07-fichier-general-population.md,baseline
