indicator_id,url,title,publisher,published,brief,why_not
gov.policy--ict-strategy,journalofficiel.dj/texte-juridique/loi-n019-...,Loi n019 promulgation,Journal Officiel,2025-09-18,2,"Not fetched - publication event already staged as baseline for other gov.policy indicators"
gov.policy--broadband-strategy,interieur.gouv.dj/le-ministre-de-linterieur-recoit...,Digital Foundations financing acceleration,Ministry of Interior,2026-03-25,2,"Not fetched by this indicator - already selected under data-storage-cloud-strategy; cap filled by two broadband-specific items"
gov.policy--data-storage-cloud-strategy,presidence.dj/conseil-des-ministres/2025-12-30,ANSIE 2026 budget (data-centre backup/colocation),Presidence,2025-12-30,2,"DUP-EXACT: raw/2025/2025-12-30-djibouti-conseil-des-ministres-30-decembre-2025.md"
gov.policy--data-interoperability-framework-roadmap,presidence.dj/conseil-des-ministres/2025-12-30,ANSIE 2026 budget (X-Road funding),Presidence,2025-12-30,2,"DUP-EXACT: raw/2025/2025-12-30-djibouti-conseil-des-ministres-30-decembre-2025.md"
gov.policy--data-interoperability-framework-roadmap,journalofficiel.dj/texte-juridique/loi-n019-...,Digital Code publication,Journal Officiel,2025-09-18,2,"Not fetched - duplicates baseline event"
gov.policy--data-localisation-policies,journalofficiel.dj/texte-juridique/loi-n019-...,Digital Code publication,Journal Officiel,2025-09-18,2,"Not fetched - this indicator's own baseline event, not a distinct progress movement"
gov.policy--data-localisation-policies,journalofficiel.dj/.../loi-n195-...,ANC creation law,Journal Officiel,2026-01-08,2,"DUP-EXACT: raw/2025/2025-12-15 Loi n 195-AN-25 portant creation de l'Autorite Nationale de Cybersecurite (Djibouti, JO).md"
gov.policy--data-governance-policy,journalofficiel.dj/texte-juridique/loi-n019-...,Digital Code publication,Journal Officiel,2025-09-18,2,"Not fetched - baseline's own event"
gov.policy--data-governance-policy,journalofficiel.dj/.../loi-n195-...,ANC creation law,Journal Officiel,2026-01-08,2,"DUP-EXACT: raw/2025/2025-12-15 Loi n 195-AN-25...md"
gov.policy--open-data-policy,journalofficiel.dj/texte-juridique/loi-n019-...,Digital Code publication Title 2,Journal Officiel,2025-09-18,2,"Not fetched - baseline's own event"
finance.mou--strategic-relationships,lanation.dj/mdeni-visa-signature...,MDENI-Visa Smart Wallet MoU,La Nation,2025-09-21,2,"DUP-EXACT: raw/2025/2025-09-21-mdeni-visa-smart-wallet-mou-lanation.md"
finance.mou--strategic-relationships,fanamc.com/.../horizon-fiber...,Horizon Fiber tripartite agreement,Fana Media,2026-02-04,2,"Not fetched - signatory is Djibouti Telecom (state enterprise), not MDENI/ADN; weaker fit, cap already filled"
gov.discourse--open-discussion-of-government-policy,ecofinagency.com/.../cybersecurity-authority,Cybersecurity Authority bill parliamentary committee,Ecofin Agency,2025-11-10,2,"DUP-EXACT: raw/2025/2025-11-12 Djibouti advances bill to create National Cybersecurity Authority.md"
gov.discourse--open-discussion-of-government-policy,unesco.org/fr/articles/djibouti-sengage...,AI strategy consultation,UNESCO,2026-01-30,2,"Not fetched separately - already reused for non-governmental-contribution; chose a distinct discourse angle instead"
gov.legislate--access-to-information-legislation,bti-project.org/en/reports/country-report/DJI,BTI 2026 Djibouti Country Report,Bertelsmann Stiftung,2026,1,"fetched; broader governance/political-transformation index, weaker direct fit than State Media Monitor's dedicated press-law/ATI framing"
dpi.exchange--use-of-digital-id-in-other-systems,lanation.dj/mdeni-visa-...,Smart Wallet MOU,La Nation,2025-09-21,2,"already-seen (DUP-EXACT, raw/2025-09-21-mdeni-visa-smart-wallet-mou-lanation.md)"
dpi.exchange--use-of-digital-id-in-other-systems,documents1.worldbank.org/.../099020224094541999,Digital Customs Administration,World Bank,,1,"Not fetched - corroborating mention only, cap filled"
dpi.exchange--interoperability-of-health-systems,wearetech.africa/.../mobile-id...,Mobile ID launch (2nd outlet),We Are Tech Africa,2026-02-10,2,"already-seen (DUP-EXACT, raw/2026-02-10-mobile-id-launch-wearetech.md)"
dpi.exchange--interoperability-of-health-systems,sante.gouv.dj/article/61,DHIS2 first evaluation,Min. Sante,2020-11-12,1,"Not fetched - superseded by WHO 2025 letter, cap filled"
dpi.exchange--interoperability-of-health-systems,igad.int/meeting-on-igad-djibouti-data-sharing...,Data sharing meeting,IGAD,2023-09-07,1,"Not fetched - superseded, cap filled"
dpi.exchange--interoperability-of-health-systems,ansie.dj/Pages/detailPage/35,ANSIE presentation,ANSIE,,1,"Not fetched - institutional, cap filled"
dpi.exchange--interoperability-of-health-systems,cdn.who.int/.../who_score_dji_en.pdf,WHO SCORE assessment,WHO,,1,"Not fetched - secondary corroboration, cap filled"
dpi.exchange--interoperability-of-health-systems,presidence.dj/.../09-fevrier-2026...,Presidential Mobile ID speech,Presidence,2026-02-09,2,"Not fetched - same event as selected Ministry announcement"
dpi.exchange--interoperability-of-health-systems,yoctobe.com/automation/case-study-...,Multi-site healthcare deployment,Yoctobe (vendor),2025-11-14,2,"Not fetched - unverifiable vendor case study, unnamed client, cap filled"
dpi.exchange--interoperability-of-education-systems,giga.global/impact/ai-as-a-tool-for-connectivity/,AI connectivity foundations,Giga (UNICEF/ITU),2026-04-27,2,"Not fetched - infrastructure-planning data not student-record exchange, cap filled"
dpi.exchange--interoperability-of-education-systems,ega.ee/interoperability-djibouti/,Interoperability Djibouti,e-Governance Academy,,1,"Not fetched - general resource, cap filled"
dpi.exchange--interoperability-of-social-protection-systems,journalofficiel.dj/.../loi-n100-an-15...,Loi 100/AN/15 (ANSIE creation),Journal officiel,2015-07-11,1,"Not fetched - institutional anchor only, WB review preferred"
dpi.id--registration-of-entire-population,interieur.gouv.dj/direction-de-la-population-et-de-la-famille/,DPF page,Min. Interieur,,1,"Not fetched - institutional description, cap filled"
dpi.id--registration-of-entire-population,presidence.dj/.../09-fevrier-2026...,Presidential Mobile ID speech,Presidence,2026-02-09,2,"Not fetched - same event as reused Ministry announcement"
dpi.id--national-maintenance-of-id-and-credentials-systems,lanation.dj/mdeni-visa-...,Smart Wallet MOU,La Nation,2025-09-21,2,"already-seen (DUP-EXACT)"
dpi.id--national-maintenance-of-id-and-credentials-systems,journalofficiel.dj/.../loi-n195-an-25...,Loi 195/AN/25 cybersecurity authority,Journal officiel,2026-01-08,2,"already-seen (DUP-EXACT, raw/2025-12-15 Loi n 195-AN-25...md)"
dpi.id--digital-id-from-birth,numerique.gouv.dj/Articles/detailArticleAvancee/15,Ministry description of RNPP/NNI,Min. Economie Numerique,,1,"Not fetched - corroboration only, cap filled"
dpi.id--digital-id-from-birth,journalofficiel.dj/.../decret-n2022-263...,Decret 2022-263 (RNPP financing),Journal officiel,2022,1,"Not fetched - supplementary, cap filled"
dpi.id--digital-id-from-birth,interieur.gouv.dj/.../delegation-banque-mondiale/,WB delegation meeting,Min. Interieur,2026-03-25,2,"Not fetched separately - reused for registration-of-entire-population instead"
dpi.id--interoperability-of-birth-registration-and-digital-id,journalofficiel.dj/.../loi-n39-an-19...,Loi 39 founding law,Journal officiel,2019-01-21,1,"Not fetched separately - reused elsewhere, ICR preferred as this indicator's baseline"
dpi.id--interoperability-of-birth-registration-and-digital-id,www.lanation.dj/carte-nationale-didentite-biometrique-...,Biometric ID card rollout,La Nation,2026-07-23,2,"already-seen (DUP-EXACT, raw/2026-07-23-lanation-carte-nationale-identite-biometrique.md)"
dpi.id--use-by-other-systems,lanation.dj/mdeni-visa-...,Smart Wallet MOU,La Nation,2025-09-16,2,"already-seen (DUP-EXACT)"
