indicator_id,url,title,publisher,published,brief,why_not
gov.policy--broadband-strategy,https://techafricanews.com/2025/09/10/liberia-reviews-national-ict-policy-to-drive-digital-transformation/,Liberia Reviews National ICT Policy to Drive Digital Transformation,TechAfrica News,2025-09-10,2,A stakeholder consultation with no stated position or outcome; a completed roadmap commitment was preferred for the second progress slot.
gov.policy--data-storage-cloud-strategy,https://www.micat.gov.lr/media/press-releases/government-signs-five-year-agreement-advance-digital-transformation-liberia,Government signs five-year agreement to advance digital transformation in Liberia,"Ministry of Information, Cultural Affairs and Tourism",2024-09-23,1,"Lost the single baseline slot to the WARDIP-SOP2 appraisal, which states an operative hosting rule rather than a contracted intention."
gov.policy--broadband-strategy,https://mopt.gov.lr/wp-content/uploads/2022/06/NATIONAL-ICT-POLICY2025-2030Draft-1-Jan-7-2025.docx.pdf,National Information & Communications Technology (ICT) Policy 2025-2030 — Draft 1,Ministry of Posts and Telecommunications,2025-01-07,1,"Carries the live broadband targets (95% population coverage by 2027, 70% adoption by 2030) but is a draft; the single baseline slot went to the approved 2019-2024 policy. Out of window for brief 2."
gov.policy--broadband-strategy,https://lta.gov.lr/wp-content/uploads/2023/11/Regulations-on-the-Universal-Access-Fund-LTA-REG-0006-.pdf,"Regulations on the Universal Access Fund (Creation, Management and Deployment), 2015",Liberia Telecommunications Authority,2015-09-10,1,"The operative universal-access implementing instrument, but subordinate to the ICT policy that holds the broadband targets; lost the single baseline slot."
gov.policy--broadband-strategy,https://lta.gov.lr/wp-content/uploads/2023/10/LTA-Act-2007.pdf,Telecommunications Act 2007,Republic of Liberia,2007-01-01,1,The statutory foundation for universal access rather than a broadband plan; lost the single baseline slot.
gov.policy--data-interoperability-framework-roadmap,https://documents1.worldbank.org/curated/en/099052924164514688/pdf/BOSIB-0aa50b62-6e1c-4715-bcbb-a6d38f4bdc2e.pdf,Governance Reform and Accountability Transformation (GREAT) Project — Project Appraisal Document (PAD5098),World Bank,2024-05-07,1,"Finances the government service bus and NIR/civil-registry APIs, but lost the single baseline slot to the instrument that mandates the framework itself. Already staged by a sibling slice at baseline/2024-05-07-liberia-worldbank-great-project-appraisal-document.md."
gov.policy--data-interoperability-framework-roadmap,https://www.worldbank.org/en/news/press-release/2026/03/11/world-bank-group-provides-137-million-help-accelerate-digital-integration-job-creation-in-benin-liberia-and-sierra-leone,"World Bank Group Provides $137 Million to Help Accelerate Digital Integration and Job Creation in Benin, Liberia and Sierra Leone",World Bank Group,2026-03-11,2,"The financing announcement of WARDIP-SOP2, whose appraisal document is already staged for this run; excluded by the two-progress cap as the weaker, secondary account."
gov.policy--data-interoperability-framework-roadmap,https://documents1.worldbank.org/curated/en/099040723102029990/pdf/P1694820269f8a044087b1012089ee857d6.pdf,Liberia Digital Government Readiness Assessment / GovTech diagnostic,World Bank Group,2023-01-01,1,A pre-implementation diagnostic recording the absence of a service bus; superseded as a statement of the current position.
gov.policy--data-localisation-policies,https://lta.gov.lr/wp-content/uploads/2026/03/SATELLITE-COMMUNICATIONS-GUIDELINES.clean_.fv_.2.25.26-FINAL-VERSION.pdf,Satellite Communications Guidelines (LTA-GL-002-2026),Liberia Telecommunications Authority,2026-03-01,1,Requires data-routing and cybersecurity compliance plans but imposes no in-country hosting mandate; the document is already held in the LBR ledger as LBR-gov.legislate-satellite-communications-guidelines.
gov.policy--data-localisation-policies,https://cbl.org.lr/sites/default/files/documents/NEPS-IIPS%20Directive%20-%20092325.pdf,Directive on the Routing of Government Revenue Collections and Government-to-Person Payments Through the National Electronic Payment Switch (NEPS/IIPS),Central Bank of Liberia,2025-09-23,2,"Concerns payment routing and settlement, not data storage location; selected instead against gov.legislate--e-commerce-legislation."
gov.policy--open-data-policy,https://www.leiti.org.lr/sites/default/files/documents/FINAL%20LEITI%20APPROVED%20ANNUAL%20PROGRESS%20REPORT%202024.pdf,LEITI Approved Annual Progress Report 2024,Liberia Extractive Industries Transparency Initiative,2024-01-01,1,"Records the LEITI multi-stakeholder group adopting a Government of Liberia/LISGIS open data policy by resolution in December 2021 and its own portal as still under development; lost the single baseline slot to the statute, and is out of window for brief 2."
gov.policy--open-data-policy,https://www.opengovpartnership.org/members/liberia/commitments/lr0036/,"Open Data/Citizen Navigation Portal (LR0036), Liberia Action Plan 2017-2019",Open Government Partnership,2017-01-01,1,"The principal recorded national open-data commitment, assessed as not started; superseded as a statement of the current position by the 2024-2026 action plan review."
gov.policy--open-data-policy,https://microdata.lisgislr.org/index.php/catalog/,LISGIS Data Catalog,Liberia Institute of Statistics and Geo-Information Services,,1,A live portal index rather than a dated document; the specific dataset record was taken instead.
gov.legislate--legislation-covering-digital-id,https://moh.gov.lr/wp-content/uploads/FINISHED-DRAFT-REVISED-PUBLIC-HEALTH-LAW-REPUBLIC-OF-LIBERIA-2019_Validation.pdf,Public Health Law of Liberia as Revised (2019),Republic of Liberia / Ministry of Health,2019-01-01,1,Chapter 35 is the civil registration and vital statistics law rather than digital-identity legislation; lost the single baseline slot to the NIR Act.
gov.legislate--legislation-covering-digital-id,https://lta.gov.lr/regulations/,LTA Regulations (including the Amended SIM Cards/RUIM Regulation),Liberia Telecommunications Authority,,1,An identity-adjacent regulation index with no dated text exposed; not a digital-identity instrument.
gov.legislate--legislation-enabling-data-interoperability,https://www.wto.org/english/thewto_e/acc_e/lbr_e/WTACCLBR15_LEG_18.pdf,"Electronic Transactions Law — Chapter 13, Title 14, Liberian Code of Laws Revised",Republic of Liberia (text in the WTO Liberia accession collection),2002-06-19,1,Gives electronic records legal effect but its application to government is conditional on regulations; lost the single baseline slot to Executive Order 147 and was selected instead against gov.legislate--e-commerce-legislation.
gov.legislate--legislation-enabling-data-interoperability,https://revenue.lra.gov.lr/wp-content/uploads/2022/06/revenueauthorityact.pdf,An Act to Establish the Liberia Revenue Authority,Republic of Liberia / Liberia Revenue Authority,2013-09-19,1,"Section 33 imposes confidentiality on tax information; a sectoral basis for administrative exchange, not a general interoperability mandate."
gov.legislate--ai-legislation-regulations,https://mopt.gov.lr/wp-content/uploads/2022/06/NATIONAL-ICT-POLICY2025-2030Draft-1-Jan-7-2025.docx.pdf,National Information & Communications Technology (ICT) Policy 2025-2030 — Draft 1,Ministry of Posts and Telecommunications,2025-01-07,1,"Treats AI as an emerging technology to adopt; it enacts no AI duty, regulator or risk classification, so staging it as an AI instrument would misdescribe it. Baseline left nil."
gov.legislate--ai-legislation-regulations,https://www.undp.org/liberia/blog/undp-ai-sprint-liberia-takes-giant-leap-ai-government,UNDP AI Sprint: Liberia Takes a Giant Leap in AI for Government,United Nations Development Programme,2025-11-25,2,"The same training programme as the 21 November press release; two reports of one event, so the primary release was kept."
gov.legislate--ai-legislation-regulations,https://cipesa.org/2025/11/republic-of-liberia-capacity-building-workshop-on-data-governance/,Liberia Hosts National Data Policy Consultation with African Union Support,CIPESA,2025-11-07,2,"A data-governance consultation, not an AI instrument or AI-specific movement."
gov.legislate--e-commerce-legislation,https://dtri.uneca.org/v1/uploads/country-profile/lbr-country-profile-en.pdf,Liberia — Digital Trade Regulatory Integration Country Profile,"UN Economic Commission for Africa, African Trade Policy Centre",,1,"The clearest assessment that Liberia lacks a comprehensive e-commerce law, but undated and secondary; lost the single baseline slot to the statute itself."
gov.legislate--e-commerce-legislation,https://www.cbl.org.lr/media/features-articles/liberia-advances-toward-cashless-future-launch-inclusive-instant-payment,Liberia Advances Toward Cashless Future with Launch of Inclusive Instant Payment System (IIPS),Central Bank of Liberia,2025-12-08,2,A payment-infrastructure launch rather than a legislative or regulatory movement; the binding directive was preferred.
gov.legislate--e-commerce-legislation,https://www.cbl.org.lr/sites/default/files/documents/MobileMoneyRegulations.pdf,"Mobile Money Regulations, 2014",Central Bank of Liberia,2014-05-27,1,"Already held in the LBR ledger as LBR-gov.legislate-mobile-money-regs; a payments regulation, not an e-commerce statute."
gov.legislate--statistics-legislation,https://lisgis.gov.lr/nsds/NSDS_III_2026_2030_Document_Final_021726_Vf_1_DJG.pdf,"National Strategy for Development of Statistics — Series III, 2026-2030",LISGIS,2026-06-18,2,"A strategy under the 2004 Act, not legislation, so out of scope for this indicator; the URL also returns 404 to a direct client. Worth a data.statistics selection in another pass."
gov.legislate--statistics-legislation,https://www.thenewdawnliberia.com/more-hardship-looms/,More hardship looms,The New Dawn Liberia,2025-12-10,2,"The same reapportionment process as the June 2026 summons, reported earlier and under a headline about a different subject; one item per distinct event."
gov.legislate--statistics-legislation,https://unstats.un.org/unsd/dnss/print.aspx?docID=612,Country Profile of Liberia — National Statistics and Geo-Information System,UN Statistics Division,,1,"Multilateral corroboration of the 2004 Act's approval and mandate, undated; lost the single baseline slot to the statute itself."
gov.policy--data-storage-cloud-strategy,https://documents1.worldbank.org/curated/en/099030425121018701/pdf/P177478-5d798d59-c618-4dbb-9adc-588865ff4649.pdf,Governance Reform and Accountability Transformation (GREAT) Project — E-Waste Management Plan,Ministry of Finance and Development Planning / World Bank,2025-03-04,1,Carries National Data Center extension and shared-hosting detail inside a safeguards annex; lost the single baseline slot to the appraisal document that states the hosting rule.
gov.policy--data-interoperability-framework-roadmap,https://emansion.gov.lr/sites/default/files/documents/Executive%20Order%20147%20%20-%20Mandatory%20Enrollment%20of%20all%20Citizens%20and%20the%20use%20of%20NBIC_0.pdf,Executive Order No. 147 — Mandatory Enrollment of All Citizens and Foreign Residents and the Use of the National Biometric Identification Card,"The President, Republic of Liberia",2025-04-01,1,An identity-verification mandate rather than a general interoperability framework; selected instead as the baseline for gov.legislate--legislation-enabling-data-interoperability.
