indicator_id,url,title,publisher,published,brief,why_not
gov.policy--broadband-strategy,https://www.broadbandcommission.org/Documents/ITU_BroadbandPlans_2019.pdf,"ITU/UNESCO Broadband strategies, policies and plans 2019",ITU / Broadband Commission,2019,1,"Records Libya as No for a national broadband policy or plan, which is the finding, but it is seven years stale and cannot show the position since; below the single-baseline cap. Not fetched"
gov.policy--broadband-strategy,https://www.itu.int/en/ITU-D/Regional-Presence/ArabStates/Documents/events/2015/RDF/Presentations/session2/FTTHMENA-ITU_AmmanMarch15-V.2.pdf,The NBN Policies in MENA region for a sustainable Broadband Development,ITU,2015,1,"A 2015 conference presentation, corroborating the same absence eleven years ago. Superseded as evidence by the 2019 record and by the 2025 Agenda. Not fetched"
gov.policy--broadband-strategy,https://lana.gov.ly/post.php?lang=ar&id=277037,"National Strategy for the Communications and Informatics Sector 2023-2027, signing ceremony",Libyan News Agency,2023-05-02,1,"The strategy the base already holds as LBY-gov.policy-telecomstrategy; this is news of its signing, not the text, and the indicator asks for a broadband strategy rather than the sector strategy. Not fetched"
gov.policy--broadband-strategy,https://lana.gov.ly/post.php?id=340043&lang=ar,Libyan National Frequency Plan LNFP 2025,Libyan News Agency,2025-08-26,1,"A spectrum allocation plan, not a broadband strategy; treating it as one would be a false positive. Also published before the window opens. Not fetched"
gov.policy--broadband-strategy,https://www.thefastmode.com/technology-solutions/46512-comarch-hatif-libya-makman-launch-bss-proof-of-concept-to-boost-fibre-broadband-services,"Comarch, Hatif Libya and Makman Launch BSS Proof of Concept to Boost Fibre Broadband Services",The Fast Mode,2025-12-22,2,"Vendor trade press reporting a supplier proof of concept; an operator IT project, not a movement in national broadband policy, and the primary account is the vendor press release. Not fetched"
gov.policy--data-interoperability-framework-roadmap,https://www.unescwa.org/sites/default/files/event/materials/05-%20Technical%20cooperation%20activities%20for%202023-2024%202400462E.pdf,Technical cooperation activities for 2023-2024,UN ESCWA,2024,1,"Corroborates that the Libyan interoperability framework was under adoption, but as one line in a regional activity report; the LyGIF roadmap says the same thing with the detail. Below the cap. Not fetched"
gov.policy--data-interoperability-framework-roadmap,https://www.gia.gov.ly/wp-content/uploads/2023/03/Libya-Digital-Transformation-Strategy-2023.pdf,مقترح استراتيجية التحول الرقمي الحكومي في دولة ليبيا,الهيئة العامة للمعلومات / ESCWA,2022-12,1,"A 2022 proposal that models a data exchange layer on X-Road; superseded for this indicator by the December 2025 roadmap, which is dedicated to interoperability. Not fetched"
gov.policy--data-interoperability-framework-roadmap,https://www.gia.gov.ly/wp-content/uploads/2023/02/National-policy-for-government-data-governance-1.1-2022.pdf,السياسة الوطنية لحوكمة البيانات الحكومية - الإصدار 1.1,الهيئة العامة للمعلومات,2022-12,1,"Governs the data lifecycle and sharing, not an interoperability architecture; the National Guide staged for gov.standards is its operative companion. Not fetched"
gov.policy--data-interoperability-framework-roadmap,https://www.gia.gov.ly/interoperability/,الربط الإلكتروني,الهيئة العامة للمعلومات,2023-02-07,1,A service description page naming Presidential Council decisions 130 and 1690 of 2018 as its basis; the decision itself was staged instead for gov.legislate--legislation-enabling-data-interoperability. Not fetched
gov.policy--data-interoperability-framework-roadmap,https://www.gia.gov.ly/national-distributor-of-data-and-control/,تبادل وانسياب البيانات,الهيئة العامة للمعلومات,2023-01-30,1,Describes the exchange function and its participants but publishes no specification; below the cap. Not fetched
gov.policy--data-interoperability-framework-roadmap,https://www.gia.gov.ly/en/2025/04/24/prime-minister-of-the-government-of-national-unity-approves-the-national-strategy-for-government-digital-transformation/,Prime Minister approves the National Strategy for Government Digital Transformation,General Information Authority,2025-04-24,1,"Approval of the broader digital transformation strategy, published before the window opens and not evidence about the interoperability framework. Not fetched"
gov.policy--data-localisation-policies,https://cbl.gov.ly/publication/%D9%85%D9%86%D8%B4%D9%88%D8%B1-18-2025/,منشور 18/2025,مصرف ليبيا المركزي,2025,1,"Fetched. The issuing host page for the circular carries only the title, year and subject line and no operative text; dropped as headline-only-stub and the operative text taken from the legal repository instead"
gov.policy--data-localisation-policies,https://cbl.gov.ly/micifaf/2026/08/%D8%A7%D9%84%D8%B6%D9%88%D8%A7%D8%A8%D8%B7-%D9%88%D8%A7%D9%84%D8%AA%D8%B9%D9%84%D9%8A%D9%85%D8%A7%D8%AA-%D9%85%D9%86%D8%B4%D9%88%D8%B1-%D8%B1%D9%82%D9%85-18-%D9%84%D8%B3%D9%86%D8%A9-2025-...-ID-167321.pdf,الضوابط والتعليمات - منشور رقم 18 لسنة 2025 (PDF),مصرف ليبيا المركزي,2025-07-01,1,"Fetched. Exa returned CRAWL_UNKNOWN_ERROR; curl returned HTTP 200, 1.4 MB, 26 pages, but the text layer decodes to unusable glyphs under pdftotext. A sibling slice reached a usable OCR of the same file and staged it, so this URL is covered in the batch"
gov.policy--data-localisation-policies,https://cbl.gov.ly/en/wp-content/uploads/2022/08/%D9%84%D8%A7%D9%8A%D9%94%D8%AD%D8%A9-%D8%AE%D8%AF%D9%85%D8%A7%D8%AA-%D8%A7%D9%84%D8%A7%D9%95%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A.pdf,لائحة خدمات الدفع الإلكتروني,مصرف ليبيا المركزي / مجلس المدفوعات الوطني,2020-03,1,"Article 10(1) requires payment processing infrastructure to sit inside Libya - a real localisation rule, but narrower than circular 18/2025 and older; second under the single-baseline cap. Not fetched"
gov.policy--data-localisation-policies,https://opendata.gia.gov.ly/media/policies/%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%B3%D8%A9%20%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A%D8%A9%20%D9%84%D8%AD%D9%88%D9%83%D9%85%D8%A9%20%D8%A7%D9%84%D8%A8%D9%8A%D8%A7%D9%86%D8%A7%D8%AA.pdf,السياسة الوطنية لحوكمة البيانات الحكومية,الهيئة العامة للمعلومات,2022-12,1,Asserts government ownership of government data and secure storage but imposes no domestic hosting requirement and no cross-border ban; not a localisation instrument. Not fetched
gov.policy--data-localisation-policies,https://security-legislation.ly/latest-laws/law-no-22-of-2010-on-communications/,Law No. 22 of 2010 on communications,DCAF security-legislation.ly,2010-01-28,1,Articles 15 and 16 impose confidentiality on subscriber data but contain no hosting or transfer rule; citing it as a localisation instrument would be wrong. Not fetched
