indicator_id,subject,briefs_run,candidates_returned,fetched,staged_baseline,staged_progress,not_selected,dropped,drop_codes,outcome,subject_rows_at_probe
gov.policy--ict-strategy,"Strategies, plans and policies",2,7,4,1,2,1,0,,staged,1
gov.policy--broadband-strategy,"Strategies, plans and policies",2,8,3,1,2,0,0,,staged,1
gov.policy--data-storage-cloud-strategy,"Strategies, plans and policies",2,6,4,1,2,1,0,,staged,1
gov.policy--data-interoperability-framework-roadmap,"Strategies, plans and policies",2,8,5,1,2,2,1,already-seen,staged,1
gov.policy--ai-strategy,"Strategies, plans and policies",2,5,3,1,2,0,0,,staged,1
gov.policy--data-localisation-policies,"Strategies, plans and policies",2,10,2,1,0,1,0,,staged,1
gov.policy--data-governance-policy,"Strategies, plans and policies",2,11,1,1,2,0,0,,staged,1
gov.policy--open-data-policy,"Strategies, plans and policies",2,8,2,1,2,0,0,,staged,1
gov.legislate--cybersecurity-legislation,Legislation and regulation,2,8,3,1,2,0,0,,staged,3
gov.legislate--digital-payments-legislation,Legislation and regulation,2,9,3,1,2,0,0,,staged,3
gov.legislate--legislation-enabling-data-interoperability,Legislation and regulation,2,6,0,1,2,0,0,,staged,3
gov.legislate--ai-legislation-regulations,Legislation and regulation,2,9,3,1,2,0,0,,staged,3
gov.legislate--e-commerce-legislation,Legislation and regulation,2,11,3,1,2,0,0,,staged,3
gov.legislate--statistics-legislation,Legislation and regulation,2,10,3,1,2,0,0,,staged,3
gov.legislate--access-to-information-legislation,Legislation and regulation,2,8,3,1,2,0,0,,staged,3
gov.protect--national-data-protection-readiness,Data protection,2,13,4,1,2,1,0,,staged,3
gov.regional--cross-border-data-transfers,Regional collaboration,2,11,1,1,0,0,0,,staged,2
gov.standards--national-interoperability-standards,Standards,2,8,3,1,2,0,0,,staged,2
gov.standards--adoption-of-international-standards,Standards,2,11,3,1,2,0,1,already-seen,staged,2
gov.discourse--open-discussion-of-government-policy,Public debate and participation in policymaking,2,10,3,1,2,0,0,,staged,1
finance.budget--sustainable-domestic-financing-of-digital-transformation,Domestic budget appropriations and expenditure,2,9,3,1,2,0,0,,staged,1
finance.mou--strategic-relationships,MoUs and other agreements,2,9,2,1,1,0,2,already-seen inadmissible-origin,staged,0
finance.new--mobilisation-of-non-state-finance,New investments,2,7,2,1,1,0,0,,staged,1
infra.connect--mobile-penetration,infra.connect,2,7,3,1,2,0,1,already-seen,staged,7
infra.connect--internet-usage,infra.connect,2,7,3,1,2,1,0,,staged,7
infra.connect--mobile-affordability,infra.connect,2,10,3,1,2,0,0,,staged,7
