indicator_id,subject,briefs_run,candidates_returned,fetched,staged_baseline,staged_progress,not_selected,dropped,drop_codes,outcome,subject_rows_at_probe
gov.policy--ict-strategy,gov.policy,2,8,4,1,2,1,0,,staged,7
gov.policy--broadband-strategy,gov.policy,2,8,3,1,2,1,0,,staged,7
gov.policy--data-storage-cloud-strategy,gov.policy,2,8,2,1,2,1,0,,staged,7
gov.policy--data-interoperability-framework-roadmap,gov.policy,2,10,4,1,2,1,1,fetch-blocked,staged,7
gov.policy--data-localisation-policies,gov.policy,2,7,1,1,2,1,0,,staged,7
gov.policy--open-data-policy,gov.policy,2,8,3,1,2,0,0,,staged,7
gov.legislate--digital-payments-legislation,gov.legislate,2,10,2,0,1,0,3,already-seen|headline-only-stub,staged,5
gov.legislate--legislation-enabling-data-interoperability,gov.legislate,2,9,3,1,2,0,0,,staged,5
gov.legislate--access-to-information-legislation,gov.legislate,2,8,4,1,1,2,0,,staged,5
gov.legislate--statistics-legislation,gov.legislate,2,9,4,1,0,3,0,,staged,5
gov.standards--adoption-of-international-standards,gov.standards,2,7,3,1,0,2,0,,staged,2
gov.discourse--non-governmental-contribution-to-national-policy,gov.discourse,2,8,4,1,2,1,0,,staged,1
gov.discourse--open-discussion-of-government-policy,gov.discourse,2,8,3,1,2,0,0,,staged,1
infra.connect--mobile-affordability,infra.connect,2,8,2,1,1,0,0,,staged,11
infra.connect--national-fibre-backbone,infra.connect,2,8,3,1,2,0,0,,staged,11
infra.connect--internet-exchange-points,infra.connect,2,8,6,1,2,3,0,,staged,11
infra.store--off-site-backup-capacity,infra.store,2,7,3,1,2,0,0,,staged,5
infra.energy--sufficient-energy-and-water-for-data-centres,infra.energy,2,8,2,1,1,0,0,,staged,1
infra.energy--grid-reliability,infra.energy,2,8,3,1,2,0,0,,staged,1
infra.energy--rural-electrification,infra.energy,2,8,3,1,2,0,0,,staged,1
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,infra.capacity,2,8,3,1,2,0,0,,staged,1
dpi.exchange--use-of-digital-id-in-other-systems,dpi.exchange,2,14,4,1,1,2,0,,staged,6
dpi.exchange--interoperability-of-education-systems,dpi.exchange,2,13,2,1,1,9,2,already-seen,staged,6
dpi.id--registration-of-entire-population,dpi.id,2,12,3,1,2,7,2,already-seen,staged,6
dpi.id--national-maintenance-of-id-and-credentials-systems,dpi.id,2,13,2,1,1,10,1,already-seen,staged,6
dpi.id--authentication,dpi.id,2,10,2,1,1,9,1,headline-only-stub,staged,6
dpi.id--use-by-other-systems,dpi.id,2,11,3,1,2,7,1,already-seen,staged,6
dpi.pay--governance-role-of-central-bank,dpi.pay,2,15,3,0,2,7,4,already-seen|headline-only-stub,staged,3
dpi.pay--g2p-functionality,dpi.pay,2,11,3,1,2,6,2,already-seen,staged,3
dpi.pay--b2b-and-b2g-functionality,dpi.pay,2,16,4,1,1,11,2,already-seen,staged,3
dpi.pay--p2p-p2g-and-p2b-functionality,dpi.pay,2,14,3,1,2,9,1,already-seen,staged,3
dpi.pay--cross-border-functionality,dpi.pay,2,17,4,1,2,10,2,already-seen,staged,3
dpi.pay--consumer-protection,dpi.pay,2,16,5,1,2,12,1,fetch-blocked,staged,3
dpi.registry--electoral-register,dpi.registry,2,9,8,1,2,2,3,headline-only-stub,staged,9
dpi.registry--tax-register,dpi.registry,2,9,2,1,0,1,0,,staged,9
dpi.registry--land-register,dpi.registry,2,9,4,1,2,1,0,,staged,9
dpi.mis--education,dpi.mis,2,9,2,1,1,1,1,already-seen,staged,3
dpi.mis--social-protection,dpi.mis,2,9,4,1,2,1,1,already-seen,staged,3
dpi.mis--tax,dpi.mis,2,9,3,1,2,0,0,,staged,3
dpi.mis--customs,dpi.mis,2,9,3,1,2,0,0,,staged,3
dpi.mis--land,dpi.mis,2,9,4,1,2,1,0,,staged,3
digital.localgov--ict-infrastructure-for-local-government,digital.localgov,2,9,3,1,2,0,0,,staged,1
digital.localgov--digitalisation-of-local-government-records,digital.localgov,2,9,3,1,2,0,0,,staged,1
digital.rural--digitalisation-of-rural-health-clinics,digital.rural,2,11,3,1,2,8,0,,staged,1
digital.rural--digitalisation-of-rural-registry-offices,digital.rural,2,11,4,1,2,7,1,already-seen,staged,1
digital.rural--digitalisation-of-rural-police-stations,digital.rural,2,9,3,1,2,6,0,,staged,1
tech.ai--use-of-ai-in-government-administration,tech.ai,2,8,3,1,0,5,2,already-seen,staged,5
tech.ai--use-of-ai-in-sectoral-management-information-systems,tech.ai,2,10,3,1,2,7,0,,staged,5
tech.ai--control-of-ai-abuse,tech.ai,2,8,3,1,1,2,4,already-seen|fetch-blocked,staged,5
tech.industry--national-capacity-in-dt-related-production,tech.industry,2,7,3,1,2,4,0,,staged,1
tech.innovate--technology-hubs,tech.innovate,2,13,4,1,2,10,1,fetch-blocked,staged,2
capacity.literacy--digital-literacy-civil-service,capacity.literacy,2,10,4,1,2,7,0,,staged,3
include.access--citizen-feedback-portals,include.access,2,13,4,1,2,0,1,headline-only-stub,staged,2
include.access--citizen-participation-in-policy,include.access,2,13,3,1,2,1,0,,staged,2
include.access--gender-equity,include.access,2,9,4,1,2,1,0,,staged,2
