indicator_id,subject,briefs_run,candidates_returned,fetched,staged_baseline,staged_progress,not_selected,dropped,drop_codes,outcome,subject_rows_at_probe
gov.policy--ict-strategy,gov.policy,2,8,2,1,1,0,0,,staged,1
gov.policy--broadband-strategy,gov.policy,2,8,3,1,2,0,0,,staged,1
gov.policy--data-interoperability-framework-roadmap,gov.policy,2,8,2,1,1,0,0,,staged,1
gov.policy--data-localisation-policies,gov.policy,2,7,3,1,2,0,0,,staged,1
gov.policy--data-governance-policy,gov.policy,2,7,3,1,2,0,0,,staged,1
gov.policy--open-data-policy,gov.policy,2,6,1,1,0,1,0,,staged,1
gov.legislate--legislation-covering-digital-id,gov.legislate,2,7,4,1,2,0,0,,staged,1
gov.legislate--digital-payments-legislation,gov.legislate,2,8,3,1,2,0,0,,staged,1
gov.legislate--legislation-enabling-data-interoperability,gov.legislate,2,9,2,0,2,0,0,,staged,1
gov.legislate--ai-legislation-regulations,gov.legislate,2,7,2,1,1,0,0,,staged,1
gov.legislate--statistics-legislation,gov.legislate,2,6,2,1,1,0,0,,staged,1
gov.legislate--access-to-information-legislation,gov.legislate,2,7,4,1,2,1,0,,staged,1
gov.regional--regional-legal-harmonisation,Regional legal harmonisation,2,12,3,1,2,0,0,,staged,2
gov.regional--shared-regional-infrastructure,Shared regional infrastructure,2,10,3,1,2,0,0,,staged,2
gov.regional--cross-border-data-transfers,Cross-border data transfers,2,8,3,1,1,1,0,,staged,2
gov.standards--national-interoperability-standards,National interoperability standards,2,6,3,1,2,0,0,,staged,1
gov.standards--national-quality-standards,National quality standards,2,6,3,1,0,2,0,,staged,1
gov.standards--adoption-of-international-standards,Adoption of international standards,2,8,4,1,2,0,0,,staged,1
gov.discourse--non-governmental-contribution-to-national-policy,Non-governmental contribution to national policy,2,7,3,1,2,0,0,,staged,2
finance.budget--sustainable-domestic-financing-of-digital-transformation,Sustainable domestic financing of digital transformation,2,7,4,1,1,2,0,,staged,1
finance.mou--strategic-relationships,Strategic relationships,2,7,3,1,2,0,0,,staged,0
finance.new--mobilisation-of-non-state-finance,Mobilisation of non-state finance,2,8,3,1,2,0,0,,staged,2
infra.connect--mobile-penetration,Mobile penetration,2,7,4,1,1,5,0,,staged,3
infra.connect--mobile-affordability,Mobile affordability,2,9,3,1,2,6,0,,staged,3
infra.connect--national-fibre-backbone,National fibre backbone,2,10,3,1,2,7,0,,staged,3
infra.connect--internet-exchange-points,Internet Exchange Points,2,5,2,1,0,4,0,,staged,3
infra.store--local-data-centre-capacity-national-providers,Local data centre capacity (national providers),2,12,3,1,2,8,1,already-seen,staged,3
infra.store--off-site-backup-capacity,Off-site backup capacity,2,8,2,1,0,6,1,inadmissible-origin,staged,0
infra.energy--sufficient-energy-and-water-for-data-centres,Sufficient energy and water for data centres,2,10,3,1,1,6,2,inadmissible-origin,staged,0
infra.energy--grid-reliability,Grid reliability,2,9,3,1,2,6,0,,staged,0
infra.energy--rural-electrification,Rural electrification,2,10,3,1,2,7,0,,staged,0
infra.capacity--robustness-of-government-hardware-and-software,Robustness of government hardware and software,2,9,3,1,2,6,0,,staged,1
dpi.exchange--use-of-digital-id-in-other-systems,Use of digital id in other systems,2,3,3,1,2,0,0,,staged,2
dpi.exchange--interoperability-of-health-systems,Interoperability of health systems,2,4,3,1,2,0,1,already-seen,staged,2
dpi.exchange--interoperability-of-education-systems,Interoperability of education systems,2,4,4,1,2,1,0,,staged,2
dpi.exchange--interoperability-of-social-protection-systems,Interoperability of social protection systems,2,4,4,1,2,1,0,,staged,2
dpi.id--authentication,Authentication,2,4,4,1,2,1,0,,staged,6
dpi.id--digital-id-from-birth,Digital id from birth,2,5,3,1,2,0,2,already-seen;url-dead,staged,6
