indicator_id,file,brief,rank,why
gov.policy--ict-strategy,2016-05-01-national-ict-policy-2016.md,baseline,1,the operative national ICT policy instrument; no primary evidence a 2023 draft successor was enacted
gov.policy--ict-strategy,2026-03-18-ict-infrastructure-plan-stakeholder-consultation.md,progress,1,Ministry stakeholder consultation on the new National ICT Infrastructure Development and Construction Plan
gov.policy--ict-strategy,2026-05-01-micit-vipaumbele-nane-2026-27.md,progress,2,"Ministry's budget speech announcing eight FY2026/27 ICT priorities, a distinct event from the infrastructure-plan consultation"
gov.policy--broadband-strategy,2026-06-26-high-speed-internet-strategy-steering-committee-first-meeting.md,baseline,1,strongest dated statement of the Broadband Strategy's current standing via its Steering Committee's first meeting
gov.policy--broadband-strategy,2026-07-11-758-towers-project-wsis-2026-award.md,progress,1,758-towers project (broadband-strategy implementation) wins WSIS Prizes 2026 award
gov.policy--broadband-strategy,2026-03-19-parliamentary-committee-inspects-758-towers-project.md,progress,2,"Parliamentary committee inspection confirming 100% tower completion, a distinct oversight event from the WSIS award"
gov.policy--data-storage-cloud-strategy,2026-02-18-data-center-standards-guidelines-public-institutions.md,baseline,1,"current e-GA technical standard governing public-sector data-centre hosting, made under the e-Government Act"
gov.policy--data-storage-cloud-strategy,2025-08-01-bot-cloud-computing-guidelines-financial-service-providers.md,progress,1,"BoT Cloud Computing Guidelines 2025 raise the sector cloud-governance/localisation baseline; second progress candidate (TCRA Public Data Centres Rules gazette) could not be verbatim-captured, see unselected register"
gov.policy--data-interoperability-framework-roadmap,2016-02-01-e-government-interoperability-framework.md,baseline,1,"founding e-Government Interoperability Framework, still cited as governing framework in later e-GA instruments"
gov.policy--data-interoperability-framework-roadmap,2026-03-12-tanzania-validates-electronic-data-governance-strategy.md,progress,1,national Validation Workshop advances the draft Tanzania Electronic Data Governance Strategy toward formal adoption
gov.policy--data-interoperability-framework-roadmap,2026-03-30-nao-audit-information-systems-fy2024-25.md,progress,2,"National Audit Office audit finds continuing system fragmentation despite the e-Government Act framework, distinct from the validation workshop"
gov.policy--data-localisation-policies,2023-06-13-personal-data-protection-act-2022.md,baseline,1,"founding statute for Tanzania's transborder-data-flow/localisation control regime, Part V ss.31-32"
gov.policy--data-localisation-policies,2026-02-18-data-center-standards-guidelines-public-institutions.md,progress,1,same Data Center Standards document (shared with the gov.policy--data-storage-cloud-strategy baseline) bars hosting on non-Government-owned cloud platforms
gov.policy--data-localisation-policies,2026-01-08-pdpc-minister-final-ultimatum-personal-data-registration.md,progress,2,"Minister's registration enforcement ultimatum, a distinct enforcement event from the Data Center Standards"
gov.policy--open-data-policy,2024-09-01-nbs-dissemination-policy-2024.md,baseline,1,closest current operative open-data instrument; no evidence the 2016-17 draft National Open Data Policy was ever adopted
gov.policy--open-data-policy,2026-08-28-tanzania-integrated-statistical-portal-tisp.md,progress,1,launch of NBS/OCGS's cross-sectoral open statistical-data portal
gov.policy--open-data-policy,2025-01-01-ppra-ocds-publication-policy.md,progress,2,"PPRA's Open Contracting Data Standard publication policy, a distinct sectoral open-data instrument from TISP"
gov.legislate--cybersecurity-legislation,2023-01-01-cybercrimes-act-cap443-re2023.md,baseline,1,"Tanzania's principal cybercrime/cybersecurity statute, Cap.443 R.E.2023"
