row_id,url,title,publisher,published,brief,why_not
XWA-gov.protect-african-data-authorities-seminar,http://www.itmag.sn/focus/avis-trimestriel-n02-2015-de-la-commission-de-protection-des-donnees-personnelles-du-senegal-cdp/,Avis Trimestriel N°02-2015 de la Commission de Protection des Données Personnelles du Sénégal (CDP),ITmag (reproducing CDP),2015-07-13,1,"records a different event (CDP's May 2015 African data-protection forum), not an earlier state of the 2026 seminar; a one-off event has no pre-window position"
XWA-infra.connect-wacs-repair-logistics,https://mybroadband.co.za/news/internet/531329-massive-internet-outage-first-cable-repair-ship-arrives-at-quadruple-cable-break.html,Massive Internet outage — First cable repair ship arrives at quadruple cable break,MyBroadband,2024-04-04,1,cap: secondary account of the same repair arrangement; the regulator update was selected
XWA-dpi.pay-gim-uemoa-switch,https://www.bceao.int/sites/default/files/2025-06/Rapport_2022-2023_sur_les_IMF-Moyens-Services_de_Paiement-VF_compressed.pdf,"Rapport sur les infrastructures de marchés financiers, les moyens et les services de paiement de l'UEMOA au titre de la période 2022-2023",BCEAO,2025-04-01,1,"DUP-EXACT raw/2025/2025-04-01-bceao-rapport-imf-moyens-services-paiement-uemoa-2022-2023.md; the held capture is a 7KB stub with no GIM-UEMOA content, so it does not answer (already-seen); a fuller capture would be the better baseline (150 members, 2023 volumes per the Agent)"
XWA-dpi.pay-gim-uemoa-switch,https://www.gim-uemoa.org/fr/interview-dg,Interview DG | GIM-UEMOA,GIM-UEMOA,,1,fetched; undated page carrying teaser excerpts of the same interview; the dated full-text PDF was staged instead
XWA-dpi.pay-gim-uemoa-switch,https://www.bceao.int/sites/default/files/2023-07/BCEAO%20-%20Rapport%20sur%20les%20IMF%2C%20Moyens%20et%20Services%20de%20Paiement_2020-2021.pdf,"Rapport sur les IMF, Moyens et Services de Paiement 2020-2021",BCEAO,2023-07,1,not fetched; cap filled; older benchmark (148 members at end-2021 per the Agent)
XWA-dpi.pay-licensed-payment-institutions,https://www.bceao.int/fr/communique-presse/liste-des-etablissements-de-paiement-agrees-dans-lumoa-au-15-septembre-2025,Liste des établissements de paiement agréés dans l'UMOA au 15 septembre 2025,BCEAO,2025-09-15,1,"not fetched; dated after the cutoff and states the 15 Sep 2025 position, not an earlier one; its PDF is already held as raw/2025/2025-09-15-bceao-liste-etablissements-paiement-agrees-umoa.md"
XWA-dpi.pay-licensed-payment-institutions,https://www.bceao.int/fr/reglementations/avis-ndeg-006-05-2025-relatif-la-periode-transitoire-de-mise-en-conformite-aux,Avis n°006-05-2025 relatif à la période transitoire de mise en conformité,BCEAO,2025-05-30,1,not fetched; Agent reports it states neither a count nor a list of licensed payment institutions
XWA-dpi.pay-licensed-payment-institutions,https://www.bceao.int/fr/reglementations/avis-ndeg004-03-2025-relatif-la-fin-de-la-periode-transitoire-de-mise-en-conformite,Avis n°004-03-2025 relatif à la fin de la période transitoire de mise en conformité,BCEAO,2025-04-01,1,"not fetched; Agent reports no count or list, regulatory context only"
XWA-dpi.mis-asrii-platform,https://au.int/en/documents/20250825/african-integration-reportmain-report,African Integration Report_main report,African Union,2025-08-25,1,not fetched; AU landing page for the same report already staged by XAF
XWA-dpi.mis-asrii-platform,https://au.int/en/documents/20201212/2020-africa-multidimensional-regional-integration-index-amrii,2020 Africa Multidimensional Regional Integration Index (AMRII),African Union,2020-12-12,1,"not fetched; predecessor index, not ASRII"
