indicator_id,file,brief,rank,why
gov.regional--regional-legal-harmonisation,baseline/2020-03-17-cabo-verde-boletim-oficial-resolucao-153-ix-2020-adesao-convencao-malabo.md,1,1,"Resolucao n.o 153/IX/2020, the national act approving accession to the African Union Malabo Convention and publishing its Portuguese text; the instrument by which Cabo Verde harmonises to the regional framework"
gov.regional--regional-legal-harmonisation,progress/2026-07-19-cedeao-comunicado-final-69a-sessao-conferencia-chefes-de-estado.md,2,1,"ECOWAS Conference, with Cabo Verde's President attending, adopts the Revised Supplementary Act on Personal Data Protection and approves a Regional Cybersecurity Coordination Mechanism; a completed step creating a new harmonisation obligation"
gov.regional--shared-regional-infrastructure,baseline/2021-02-19-cabo-verde-cabo-submarino-ellalink-aterragem-praia-capacidade.md,1,1,"Ministry of Finance record of the EllaLink landing at Praia and of the SHARE Praia-Dakar regional cable and the Amilcar Cabral network; already staged by a sibling slice under the same URL, so selected and not restaged"
gov.regional--shared-regional-infrastructure,progress/2025-10-22-ecowas-segundo-cabo-submarino-validacao-estudo-cabo-verde.md,2,1,"Member State experts including Cabo Verde validate the feasibility study for a second ECOWAS submarine cable; already staged by a sibling slice, so selected and not restaged"
gov.regional--cross-border-data-transfers,baseline/2013-09-17-cabo-verde-lei-41-viii-2013-protecao-dados-pessoais-transferencias.md,1,1,"The operative statute: article 19 conditions transfer abroad on an adequate level of protection and vests the adequacy decision in the CNPD; article 20 sets the derogations and allows authorisation on sufficient guarantees, expressly including adequate contractual clauses"
gov.regional--cross-border-data-transfers,progress/2026-06-02-cabo-verde-cnpd-memorando-cooperacao-macau-protecao-dados.md,2,1,"The CNPD signs a five-year renewable cooperation memorandum with Macau's data protection authority on 1 June 2026, a new formal channel over data moving between the two jurisdictions"
gov.standards--national-interoperability-standards,baseline/2022-11-24-cabo-verde-decreto-lei-47-2022-transformacao-digital-administracao-publica.md,1,1,"The binding instrument: it imposes prior opinion on central-administration ICT acquisition and alignment with the transversal state solutions Autentika and PDEX, and stands in place of a separately promulgated technical interoperability standard, which Cabo Verde does not have"
gov.standards--national-interoperability-standards,progress/2026-05-21-cabo-verde-decreto-lei-36-2026-portal-unico-servicos-digitais.md,2,1,"Decreto-Lei n.o 36/2026 makes interoperability with the Portal Unico mandatory, requires standardised APIs for electronic consultation of state-held data and enacts the only-once principle; already staged by a sibling slice, so selected and not restaged"
gov.standards--national-quality-standards,baseline/2024-03-01-cabo-verde-igqpi-lista-de-normas-cabo-verdianas.md,1,1,"The national standards catalogue itself, published by the national standards body: the whole Cabo Verdean corpus is 25 standards, NCV 001:2015 to NCV 025:2023, agricultural, fisheries, food and tourism, and none is an ICT or data standard"
gov.standards--national-quality-standards,progress/2025-12-31-cabo-verde-lei-69-x-2025-orcamento-do-estado-2026.md,2,1,"The 2026 budget law gives a 130 percent IRPC uplift on accreditation, management-system certification and calibration recognised by IGQPI, lowering the cost of using the national quality infrastructure; already staged by a sibling slice, so selected and not restaged"
gov.standards--national-quality-standards,progress/2026-03-03-cabo-verde-mf-enapor-certificacao-iso-9001-jornadas-portuarias.md,2,2,"State port operator ENAPOR states on the record that it certified to ISO 9001 during 2025, with ISO 27001 still an intention for 2026; a completed certification of a Cabo Verdean public enterprise"
gov.discourse--open-discussion-of-government-policy,baseline/1992-01-01-cabo-verde-constituicao-da-republica.md,1,1,"The supreme instrument, carrying the right of petition, representation, claim and complaint and the right of popular action, and the press-freedom articles guaranteeing independence of public-sector media and their journalists from the Government and the administration"
gov.discourse--open-discussion-of-government-policy,progress/2026-02-27-cabo-verde-forum-ogp-governacao-aberta-iii-plano-de-acao.md,2,1,"The VII meeting of the OGP National Multisector Forum, held 26 February 2026, reformulates the Forum membership to give civil society and academia more weight and opens preparation of the III National Action Plan for Open Government; a completed institutional step"
gov.discourse--open-discussion-of-government-policy,progress/2026-07-02-cabo-verde-programa-de-governo-cabo-verde-para-todos.md,2,2,"The incoming government programme commits to permanent consultation mechanisms with unions, business, civil society and communities, participatory budgeting in every municipality, digital public-consultation platforms and effective implementation of the access-to-information law, naming abstention and polarisation as weakening public debate"
infra.store--local-data-centre-capacity-all-providers,baseline/2015-09-18-cabo-verde-bo-despacho-16-2015-centro-de-dados-do-estado-infraestrutura-critica.md,1,1,"Despacho n.o 16/2015 designating the Centro de Dados do Estado at Achada Grande as critical infrastructure; the national act establishing that the facility exists, is state-held and houses processing and storage equipment. No Cabo Verdean source located publishes a national capacity inventory"
infra.store--local-data-centre-capacity-all-providers,progress/2026-02-17-cpv-nosi-sistema-fotovoltaico-data-center.md,2,1,"NOSi launches the photovoltaic energy system for the state Data Center at the Parque Tecnologico on 16 February 2026, a commissioned expansion of the primary facility supporting infrastructure; already staged by a sibling slice, so selected and not restaged"
infra.energy--grid-reliability,baseline/2025-12-10-cabo-verde-world-bank-reiup-additional-financing-project-paper.md,1,1,"Most recent authoritative statement of the standing position: 97 percent access, 482.6 GWh production in 2023, 77.9 MW peak, ELECTRA total losses of 22.71 percent in 2025, and the unbundling into EPEC, ONSEC and EDEC. Published in-window, so it is both position and movement and is counted once, as the baseline"
infra.energy--grid-reliability,progress/2026-02-12-cabo-verde-sal-central-palmeira-e-armazenamento-em-baterias.md,2,1,"Inauguration on 11 February 2026 of the EUR 30 million Palmeira power station extension doubling Sal thermal capacity and of a EUR 6 million battery storage system raising island renewable storage sevenfold, both stated as improving stability and quality of supply"
infra.energy--grid-reliability,progress/2026-01-09-cabo-verde-boa-vista-modernizacao-rede-eletrica-scada.md,2,2,"First phase complete on Boa Vista: transformer and sectioning posts adapted for remote monitoring and control from the national dispatch centre in Praia, ahead of the island joining the national SCADA-based dispatch system"
infra.energy--rural-electrification,baseline/2023-01-01-cabo-verde-ine-percentagem-populacao-acesso-electricidade.md,1,1,"The national statistics office own published series and the most recent authoritative publication of it: 79.7 percent of the population in 2010 rising to 94.3 percent in 2023. The published indicator carries no urban and rural split, which is itself the finding"
infra.energy--rural-electrification,progress/2026-01-12-cabo-verde-banco-mundial-reiup-acesso-universal-electricidade.md,2,1,"World Bank approval of USD 13.30 million IDA concessional finance for REIUP, funding 1,800 further household connections and last-mile electrification against a stated 98 percent coverage rate"
infra.energy--rural-electrification,progress/2025-10-29-cabo-verde-discurso-pm-sustentabilidade-energetica-electrificacao-rural.md,2,2,"The Prime Minister quantifies the rural programme to parliament: 400 thousand contos already invested in rural electrification and 300 thousand contos in execution on network extensions, mini-grids and solar kits, with access at 86 percent in 2015 and 98 percent in 2024 against a 100 percent target for 2026"
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,baseline/2014-02-25-cabo-verde-decreto-lei-13-2014-cria-nosi-epe.md,1,1,"The founding instrument: Decreto-Lei n.o 13/2014 converts NOSi from a 2003 project structure into a public business entity with its own Statute, mandated to develop, integrate, secure and operate state information systems and the state private network and to export integrated e-governance services"
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,progress/2026-03-17-cabo-verde-decreto-3-2026-acordo-bad-e-pfmrp-fase-ii.md,2,1,"Decree approving the financing agreement signed 31 December 2025 with the African Development Bank, up to EUR 17,710,000, for phase II of the e-governance and public financial management reform programme; a completed legal step enlarging the financing base for state digital systems capability"
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,progress/2025-10-30-cabo-verde-nosi-lancamento-soc-e-csirt-rtpe.md,2,2,"NOSi launches the Cybersecurity Operations Centre and the Digital Security Incident Response Team for the state private network, new standing in-country capability to run and defend government systems, delivered with World Bank financing and an external implementation partner"
