indicator_id,subject,briefs_run,candidates_returned,fetched,staged_baseline,staged_progress,not_selected,dropped,drop_codes,outcome,subject_rows_at_probe
gov.regional--regional-legal-harmonisation,gov.regional,2,16,3,1,1,1,0,,staged,3
gov.regional--shared-regional-infrastructure,gov.regional,2,12,1,1,1,0,2,fetch-blocked|already-seen,staged,3
gov.regional--cross-border-data-transfers,gov.regional,2,8,2,1,1,0,0,,staged,3
gov.standards--national-interoperability-standards,gov.standards,2,11,1,1,1,0,2,already-seen|already-seen,staged,3
gov.standards--national-quality-standards,gov.standards,2,16,4,1,2,1,1,fetch-blocked,staged,3
gov.discourse--open-discussion-of-government-policy,gov.discourse,2,15,4,1,2,0,2,fetch-blocked|already-seen,staged,1
infra.store--local-data-centre-capacity-all-providers,infra.store,2,12,2,1,1,0,4,already-seen|already-seen|headline-only-stub|fetch-blocked,staged,4
infra.store--off-site-backup-capacity,infra.store,2,12,2,0,0,0,4,already-seen|already-seen|fetch-blocked|fetch-blocked,nil,4
infra.energy--grid-reliability,infra.energy,2,11,3,1,2,0,0,,staged,3
infra.energy--rural-electrification,infra.energy,2,11,3,1,2,0,0,,staged,3
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,infra.capacity,2,19,4,1,2,0,2,already-seen|headline-only-stub,staged,2
