indicator_id,url,title,publisher,published,brief,why_not
gov.policy--ict-strategy,https://primature.sn/publications/actualites/lancement-des-projets-structurants-du-new-deal-technologique-0,Lancement des projets structurants du New Deal Technologique,Primature - Gouvernement du Senegal,2026-03-24,2,"Same event and same underlying text as a capture the base already holds (2026-03-24-lesoleil-sonko-projets-structurants); page states 'Source : Le Soleil'"
gov.policy--broadband-strategy,https://www.presidence.sn/fr/assets/new-deal/Doc_NDT.pdf,New Deal Technologique - Horizon 2034,Presidence de la Republique du Senegal,2025-02-24,1,"Carries the universal-connectivity programme PR-P_02 but is the general ICT strategy; staged as the baseline for gov.policy--ict-strategy and a broadband-specific instrument was preferred here"
gov.policy--data-storage-cloud-strategy,https://www.presidence.sn/fr/assets/new-deal/Doc_NDT.pdf,New Deal Technologique - Horizon 2034,Presidence de la Republique du Senegal,2025-02-24,1,"Carries the cloud souverain orientation and the 100% sensitive-data-hosted-in-Senegal 2034 target but is the general ICT strategy; staged as the baseline for gov.policy--ict-strategy"
gov.policy--data-interoperability-framework-roadmap,https://aps.sn/le-new-deal-technologique-a-pose-les-bases-dune-infrastructure-numerique-robuste-et-souveraine-apres-un-an-dexistence-selon-alioune-sall/,Le New Deal technologique a pose les bases d'une infrastructure numerique robuste et souveraine apres un an d'existence selon Alioune Sall,Agence de Presse Senegalaise,2026-03-16,2,"Same deployment story as the ministry's own 26 March post, which is more precise on MVP 1.0, the framework and the draft decree"
gov.policy--data-localisation-policies,https://www.vie-publique.sn/documents/14070/projet-loi-25-2026-assemblee-nationale-du-senegal-protection-infrastructures-information-critiques-securite-numerique,Projet de loi n 25/2026 - Protection des Infrastructures d'Information critiques et securite numerique,Assemblee nationale du Senegal,2026-08-20,2,"The bill carrying the national-storage obligation is already evidenced in the SEN ledger from six captures including 2026-07-02-senegal-projet-loi-25-2026-infrastructures-information-critiques"
gov.legislate--access-to-information-legislation,https://www.archives.sn/api/fichiers/e37fee2b-7841-437a-ae96-b7f969b6a9ac,LOI n 2025-15 relative a l'acces a l'information (PDF scanne),Archives publiques du Senegal,2025-09-24,1,"Official standalone PDF of the law but a poor OCR scan whose extraction stops mid-article 2; the JO 7851 typeset text was captured complete instead"
gov.legislate--access-to-information-legislation,https://www.rti-rating.org/wp-content/uploads/2025/10/loi-2025-15-accees-a-l-information.readable.pdf,Loi n 2025-15 relative a l'Acces a l'Information (readable),Centre for Law and Democracy - RTI Rating,2025-09-04,1,"Complete readable text but a third-party rehost; the Journal Officiel primary was available and preferred"
gov.legislate--access-to-information-legislation,https://www.vie-publique.sn/documents/1942/loi-2025-15-accees-a-l-information,LOI n 2025-15 relative a l'acces a l'information,Vie-Publique.sn,2025-09-24,1,"Catalogue stub - the page carries one sentence and no law text"
gov.legislate--legislation-enabling-data-interoperability,https://www.cdp.sn/legislation/textes-legislatifs,Textes legislatifs,Commission de Protection des Donnees Personnelles,,1,"Loi 2008-12 governs personal-data transmission and interconnection but is the data protection instrument, not interoperability-enabling legislation; index page rather than the text"
gov.legislate--statistics-legislation,https://www.archives.sn/api/fichiers/9cdbbd0e-0d02-4c9e-a38c-c8dfeaf516ea,Decret n 2011-663 ordonnant la presentation a l'Assemblee nationale du projet de loi modifiant la loi n 2004-21,Archives publiques du Senegal,2011-06-01,1,"The archives.sn entry for loi 2012-03 yields only the 2011 transmittal decree; the annexed bill text is not in the scan"
gov.legislate--statistics-legislation,https://visa.ansd.sn/,Visa - Statistique,Agence nationale de la Statistique et de la Demographie,,1,"ANSD's operative visa statistique portal, states the regime was instituted by loi 2012-03 modifying loi 2004-21, but covers only one instrument of the statistics law"
gov.legislate--statistics-legislation,https://fr.linkedin.com/posts/agence-nationale-de-la-statistique-et-de-la-d%C3%A9mographie-ansd_ansd-data-mepc-activity-7443429667140919296-y3Ho,Revision de la SNDS-IV : vers un systeme statistique plus performant,Agence nationale de la Statistique et de la Demographie,2026-03-27,2,"Strategy revision workshop, not a change to statistics legislation; counting it as progress would misreport the indicator"
