indicator_id,file,brief,rank,why
dpi.exchange--use-of-digital-id-in-other-systems,baseline/2016-09-29-decret-2016-1536-carte-identite-biometrique-cedeao-nin.md,1,1,"The implementing decree itself: defines the 17-digit NIN, prints it on the card, and Art.2 makes the biometric CNI serve as the voter card - the primary instrument of the identity credential being consumed by another state system"
dpi.exchange--use-of-digital-id-in-other-systems,progress/2026-06-28-ndarinfo-e-senegal-guichet-unique-authentification-nin.md,2,1,"In-window: the e-Senegal single-window portal (live 2026-03-24) authenticates users on the NIN from the biometric CNI - a distinct, completed step putting the national ID to work as the login key of a multi-service government portal"
dpi.exchange--interoperability-of-education-systems,baseline/2026-09-03-simen-guide-green-ien-identifiant-education-nationale.md,1,1,The ministry system documentation itself: states nationwide deployment of the IEN unique national education identifier and describes SIMEN as an interconnected suite - the standing state of education-system data exchange
dpi.exchange--interoperability-of-education-systems,progress/2025-10-03-aps-lancement-planet-3-gestion-ecoles-etablissements.md,2,2,"In-window completed step: PLANET 3 launched 2025-10-03 and declared the national norm, replacing a fragmented system with per-actor interfaces and real-time data"
dpi.id--registration-of-entire-population,baseline/2024-07-01-ansd-icf-eds-continue-2023-tableaux.md,1,1,"Most recent authoritative publication of the national birth-registration series: ANSD/ICF EDS-Continue 2023 Tableau 2.10 gives 81.4% of under-fives registered at the civil registry, and the SDG table repeats it as indicator 16.9.1"
dpi.id--registration-of-entire-population,progress/2026-07-15-aps-59-pourcent-enfants-acte-etat-civil-convention-anec-anpectp.md,2,1,"In-window: a newly published 2025 coverage measurement (110,148 of 186,744 children, 58.98%) reported at the signature of an ANEC-ANPECTP convention on audiences foraines and enrolment campaigns"
dpi.id--registration-of-entire-population,progress/2025-11-05-aps-anec-nekkal-seul-outil-reconnu-20-millions-actes.md,2,2,"Distinct in-window event: ANEC states 20m acts loaded into the national civil register and NEKKAL deployed in 400 centres, and rules NEKKAL the only government-recognised tool, calling on mayors to abandon unauthorised software"
dpi.id--national-maintenance-of-id-and-credentials-systems,baseline/2018-01-01-daf-interieur-direction-automatisation-des-fichiers-mandat.md,1,2,"The institution itself: the Interior Ministry states the DAF mandate under decret 77-1007, its single national processing centre, its own study and development of every ministry file application, its procurement competence, and the full list of credentials it produces"
dpi.id--national-maintenance-of-id-and-credentials-systems,progress/2026-04-27-aps-nekkal-atteint-objectifs-capitalisation-connectivite.md,2,3,"In-window completed step with the agency naming its own maintenance deficits: NEKKAL closed after 42 months having consolidated the national biometric identity file, with connectivity and staff training named as unresolved"
dpi.id--authentication,baseline/2022-01-01-senum-adie-securite-igc-certificats-electroniques.md,1,3,"The service itself: the state digital operator states it runs an IGC/PKI under loi 2008-08 and decret 2008-720, lists the certificate lifecycle it operates and names authentification des personnes and des donnees among its services"
dpi.id--authentication,progress/2026-06-28-ndarinfo-e-senegal-guichet-unique-authentification-nin.md,2,1,"In-window: the first citizen-facing government authentication in production, the e-Senegal portal keyed on the NIN of the biometric CNI. One file, two selections - also the baseline-brief progress item for dpi.exchange--use-of-digital-id-in-other-systems"
dpi.id--use-by-other-systems,baseline/2019-04-01-ue-nekkal-etude-faisabilite-fichier-central-national-biometrique.md,1,1,"The most technically specific account of the identity file actually being consumed: it analyses the existing biometric files, the interconnections between them and the NIN problem, and documents CMU beneficiary authentication against the DAF card and the passport service gateway to the DAF CNI database"
dpi.id--use-by-other-systems,progress/2025-10-01-pressafrik-artp-resiliation-numeros-non-identifies-appui-daf.md,2,1,"In-window enforced consumption: the final phase of the ARTP national SIM identification campaign, run with DAF technical support, with unidentified lines suspended in March and terminated from 29 September 2025"
