indicator_id,subject,briefs_run,candidates_returned,fetched,staged_baseline,staged_progress,not_selected,dropped,drop_codes,outcome,subject_rows_at_probe
include.access--citizen-feedback-portals,include.access,2,13,4,1,2,0,1,headline-only-stub,staged,2
include.access--citizen-participation-in-policy,include.access,2,13,3,1,2,1,0,,staged,2
include.access--gender-equity,include.access,2,9,4,1,2,1,0,,staged,2
include.access--inclusion-of-refugees-and-idps,include.access,2,14,5,1,1,1,2,fetch-blocked|off-topic,staged,2
data.statistics--national-strategy-for-development-of-statistics,data.statistics,2,12,3,1,1,1,1,already-seen,staged,1
data.statistics--statistics-from-administrative-data,data.statistics,2,15,4,1,2,1,0,,staged,1
data.open--use-of-open-data,data.open,2,14,5,1,1,3,0,,staged,1
data.satellite--agricultural-use-of-satellite-data,data.satellite,2,15,3,1,2,2,0,,staged,1
data.satellite--meteorological-use-of-satellite-data,data.satellite,2,14,3,1,2,2,0,,staged,1
geopol.eu--eu-mous-engagements-and-commitments,geopol.eu,2,10,3,1,1,3,0,,staged,0
geopol.gulf--gulf-mous-engagements-and-commitments,geopol.gulf,2,6,3,1,1,1,0,,staged,1
geopol.india--india-mous-engagements-and-commitments,geopol.india,2,7,3,1,0,1,1,headline-only-stub,staged,1
