indicator_id,file,brief,rank,why
capacity.research--think-tanks-and-academic-departments-contributing-to-dt-policy,baseline/2023-02-01-sierra-leone-slren-factsheet.md,1,1,"The charter document of the one national body federating Sierra Leone's accredited tertiary institutions on research and education networking, with founding dates, legal mandate under the Universities Act 2005 and a stated objective of national research focus groups"
capacity.research--think-tanks-and-academic-departments-contributing-to-dt-policy,progress/2026-08-04-sierra-leone-mthe-nstic-research-funding-governance-workshop.md,2,1,"MTHE and the National Science, Technology and Innovation Council begin NSTIC's first strategic plan and research-grants governance, with digital transformation named among the national priorities funded research must answer"
capacity.research--think-tanks-and-academic-departments-contributing-to-dt-policy,progress/2026-02-05-sierra-leone-mocti-tieac-inaugural-meeting.md,2,2,Carried file adopted for this indicator: the inaugural meeting of a standing MoCTI advisory council seating academia alongside the private sector and mandated to co-create national technology strategies
capacity.training--dt-related-training-in-secondary-education,baseline/2022-06-01-sierra-leone-mbsse-national-senior-secondary-curriculum-framework.md,1,1,"The national curriculum instrument itself, placing Computer Science and ICT among core Sciences and Technologies subjects and Computer Literacy among everyday subjects, with Robotics also listed"
capacity.training--dt-related-training-in-secondary-education,progress/2026-07-03-sierra-leone-mocti-unicef-first-school-tech-club-annie-walsh.md,2,1,"A completed launch of what the Ministry calls the country's first school tech club, explicitly a pilot for national rollout, with 25 STEM kits and three laptops supplied"
capacity.training--dt-related-training-in-secondary-education,progress/2026-01-10-sierra-leone-kelvin-doe-foundation-robotics-tournament-prince-of-wales.md,2,2,"A distinct dated event of hands-on digital learning in a secondary school, with students programming robot cars and the Ministry donating five laptops"
data.statistics--censuses-and-surveys,baseline/2022-09-01-sierra-leone-stats-sl-2021-mid-term-population-housing-census-final-results.md,1,1,"The most recent authoritative publication of the census series from the national statistical office, carrying the final 2021 results and the census methodology"
data.statistics--censuses-and-surveys,progress/2025-12-01-sierra-leone-launch-2026-population-housing-census-power-of-data.md,2,1,Official launch of the 2026 Population and Housing Census with pilot enumeration commencing the same night in four districts ahead of the December 2026 main count
data.statistics--censuses-and-surveys,progress/2026-08-04-sierra-leone-launch-2026-demographic-and-health-survey.md,2,2,"A distinct event: the official launch of the 2026 Demographic and Health Survey, the first national health assessment since 2019, with interviewer training commencing"
data.statistics--national-strategy-for-development-of-statistics,baseline/2023-11-01-sierra-leone-extended-second-national-strategy-development-of-statistics.md,1,1,"The operative NSDS generation itself, which states why NSDS II was extended and how NSDS III is to be synchronised with the next MTNDP"
data.statistics--national-strategy-for-development-of-statistics,progress/2025-12-01-sierra-leone-power-of-data-country-framework-2026-2030.md,2,1,"The published national data framework itself, with five pillars, a costed 2026-2030 action plan and a commitment to a revised Statistics Act"
data.statistics--national-strategy-for-development-of-statistics,progress/2025-11-19-sierra-leone-power-of-data-country-implementation-framework-validated.md,2,2,"The distinct earlier step: MoPED, Stats SL and partners validating the final draft and settling its 2026-2030 span and costed roadmap before launch"
data.statistics--statistics-from-administrative-data,baseline/2022-06-01-sierra-leone-mbsse-2021-annual-school-census-final-report.md,1,1,"A published official statistical report compiled from administrative school returns through EMIS and covering all schools in the country, rather than from a household survey"
data.statistics--statistics-from-administrative-data,progress/2026-01-20-sierra-leone-moh-launches-health-information-hub.md,2,1,"Carried file adopted for this indicator: the launch of a hub consolidating DHIS2 routine reporting with facility, human-resource, supply-chain and referral records into real-time dashboards"
data.statistics--statistics-from-administrative-data,progress/2025-12-01-sierra-leone-power-of-data-country-framework-2026-2030.md,2,2,"The same file as the NSDS selection, taken here for its distinct commitment to modernizing administrative data and strengthening CRVS and to interoperability pilots linking DHIS2, EMIS and IFMIS"
data.open--use-of-open-data,baseline/2017-01-18-sierra-leone-raic-open-data-programme.md,1,1,"The coordinating body's own account of the national open data programme: the Open Data Council of sixty members, its three committees, and the portal it says it manages"
data.open--use-of-open-data,progress/2026-04-15-sierra-leone-stats-sl-annual-agricultural-survey-2024-public-use-microdata.md,2,1,"A dated public-use microdata release by the national statistical office, the newest national agricultural PUF, with its access conditions and disclosure controls stated"
data.open--use-of-open-data,progress/2026-05-01-sierra-leone-stats-sl-women-empowerment-nutrition-survey-2024-microdata-v2.md,2,2,"A distinct release event: the second version of the WEN 2024 public-use files, re-processed to propagate anonymized household and enumeration-area identifiers so the two datasets can be linked"
data.satellite--meteorological-use-of-satellite-data,baseline/2026-06-01-sierra-leone-soff-country-hydromet-diagnostics-peer-review.md,1,1,The dated authoritative statement of the current position: an independent peer review finding SLMet's use of satellite imagery limited to operator and EUMETSAT websites and satellite data processing not yet adequately met
data.satellite--meteorological-use-of-satellite-data,progress/2026-06-10-sierra-leone-gcf-sap033-climate-information-systems-faa-effective.md,2,1,"The USD 21.1 million climate information systems project moving into implementation inside the window, the financing behind the meteorological data capability the baseline finds wanting"
