indicator_id,subject,briefs_run,candidates_returned,fetched,staged_baseline,staged_progress,not_selected,dropped,drop_codes,outcome,subject_rows_at_probe
gov.policy--ai-strategy,gov.policy,2,5,3,1,2,0,0,,staged,4
gov.policy--broadband-strategy,gov.policy,2,8,4,1,2,1,0,,staged,4
gov.policy--data-interoperability-framework-roadmap,gov.policy,2,8,3,1,2,0,0,,staged,4
gov.policy--data-localisation-policies,gov.policy,2,7,2,1,1,0,0,,staged,4
gov.policy--data-storage-cloud-strategy,gov.policy,2,11,1,1,0,0,0,,staged,4
gov.policy--open-data-policy,gov.policy,2,7,2,1,1,0,0,,staged,4
gov.legislate--access-to-information-legislation,gov.legislate,2,6,2,1,0,1,0,,staged,4
gov.legislate--ai-legislation-regulations,gov.legislate,2,5,0,1,0,0,0,,staged,4
gov.legislate--cybersecurity-legislation,gov.legislate,2,6,3,1,1,1,0,,staged,4
gov.legislate--digital-payments-legislation,gov.legislate,2,7,0,1,0,0,0,,staged,4
gov.legislate--e-commerce-legislation,gov.legislate,2,7,1,1,1,1,0,,staged,4
gov.legislate--statistics-legislation,gov.legislate,2,6,1,1,0,0,0,,staged,4
