iso3,iso2,country,profile_name,url,year,verified
AGO,ao,Angola,Angola,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-ao.pdf,2024,2026-08-15
BDI,bi,Burundi,Burundi,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-bi.pdf,2024,2026-08-15
BEN,bj,Benin,Benin,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-bj.pdf,2024,2026-08-15
BFA,bf,Burkina Faso,Burkina Faso,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-bf.pdf,2024,2026-08-15
BWA,bw,Botswana,Botswana,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-bw.pdf,2024,2026-08-15
CAF,cf,Central African Republic,Central African Republic,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-cf.pdf,2024,2026-08-15
CIV,ci,Cote d'Ivoire,C\364te d\221Ivoire,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-ci.pdf,2024,2026-08-15
CMR,cm,Cameroon,Cameroon,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-cm.pdf,2024,2026-08-15
COD,cd,DR Congo,DR Congo,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-cd.pdf,2024,2026-08-15
COG,cg,Congo,Congo Republic,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-cg.pdf,2024,2026-08-15
COM,km,Comoros,Comoros,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-km.pdf,2024,2026-08-15
CPV,cv,Cape Verde,Cabo Verde,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-cv.pdf,2024,2026-08-15
DJI,dj,Djibouti,Djibouti,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-dj.pdf,2024,2026-08-15
DZA,dz,Algeria,Algeria,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-dz.pdf,2024,2026-08-15
EGY,eg,Egypt,Egypt,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-eg.pdf,2024,2026-08-15
ERI,er,Eritrea,Eritrea,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-er.pdf,2024,2026-08-15
ETH,et,Ethiopia,Ethiopia,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-et.pdf,2024,2026-08-15
GAB,ga,Gabon,Gabon,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-ga.pdf,2024,2026-08-15
GHA,gh,Ghana,Ghana,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-gh.pdf,2024,2026-08-15
GIN,gn,Guinea,Guinea,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-gn.pdf,2024,2026-08-15
GMB,gm,Gambia,Gambia,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-gm.pdf,2024,2026-08-15
GNB,gw,Guinea-Bissau,Guinea-Bissau,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-gw.pdf,2024,2026-08-15
GNQ,gq,Equatorial Guinea,Equatorial Guinea,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-gq.pdf,2024,2026-08-15
KEN,ke,Kenya,Kenya,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-ke.pdf,2024,2026-08-15
LBR,lr,Liberia,Liberia,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-lr.pdf,2024,2026-08-15
LBY,ly,Libya,Libya,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-ly.pdf,2024,2026-08-15
LSO,ls,Lesotho,Lesotho,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-ls.pdf,2024,2026-08-15
MAR,ma,Morocco,Morocco,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-ma.pdf,2024,2026-08-15
MDG,mg,Madagascar,Madagascar,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-mg.pdf,2024,2026-08-15
MLI,ml,Mali,Mali,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-ml.pdf,2024,2026-08-15
MOZ,mz,Mozambique,Mozambique,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-mz.pdf,2024,2026-08-15
MRT,mr,Mauritania,Mauritania,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-mr.pdf,2024,2026-08-15
MUS,mu,Mauritius,Mauritius,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-mu.pdf,2024,2026-08-15
MWI,mw,Malawi,Malawi,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-mw.pdf,2024,2026-08-15
NAM,na,Namibia,Namibia,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-na.pdf,2024,2026-08-15
NER,ne,Niger,Niger,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-ne.pdf,2024,2026-08-15
NGA,ng,Nigeria,Nigeria,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-ng.pdf,2024,2026-08-15
RWA,rw,Rwanda,Rwanda,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-rw.pdf,2024,2026-08-15
SDN,sd,Sudan,Sudan,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-sd.pdf,2024,2026-08-15
SEN,sn,Senegal,Senegal,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-sn.pdf,2024,2026-08-15
SLE,sl,Sierra Leone,Sierra Leone,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-sl.pdf,2024,2026-08-15
SOM,so,Somalia,Somalia,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-so.pdf,2024,2026-08-15
SSD,ss,South Sudan,South Sudan,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-ss.pdf,2024,2026-08-15
STP,st,Sao Tome and Principe,S\343o Tom\351 and Pr\355ncipe,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-st.pdf,2024,2026-08-15
SWZ,sz,Eswatini,Eswatini,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-sz.pdf,2024,2026-08-15
SYC,sc,Seychelles,Seychelles,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-sc.pdf,2024,2026-08-15
TCD,td,Chad,Chad,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-td.pdf,2024,2026-08-15
TGO,tg,Togo,Togo,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-tg.pdf,2024,2026-08-15
TUN,tn,Tunisia,Tunisia,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-tn.pdf,2024,2026-08-15
TZA,tz,Tanzania,Tanzania,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-tz.pdf,2024,2026-08-15
UGA,ug,Uganda,Uganda,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-ug.pdf,2024,2026-08-15
ZAF,za,South Africa,South Africa,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-za.pdf,2024,2026-08-15
ZMB,zm,Zambia,Zambia,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-zm.pdf,2024,2026-08-15
ZWE,zw,Zimbabwe,Zimbabwe,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-zw.pdf,2024,2026-08-15
