fy,admin_head_code,admin_head,spending_entity_code,spending_entity,programme_code,programme,sub_programme_code,sub_programme,econ_class,admin_head_basis,programme_basis,programme_level,proposed,appropriated,revised,released,actual,audited,exec_vs_voted,exec_vs_revised,baseline_stage,current_stage,scope_confidence,is_transfer,currency,source_tier,doc_type,doc_locator,source_slug,origin_record,record,programme_line
NDP 12,,,,,,,,,,,,,4130000000,,,,,,,,proposed,proposed,partial,false,BWP,reporting,,,,,2025-10-31-bwa-ndp12-burs-modernisation-proposed,bwa-ndp12-burs-modernisation-proposed
NDP 12,,,,,,,,,,,,,486000000,,,,,,,,proposed,proposed,whole,false,BWP,reporting,,,,,2025-10-31-bwa-ndp12-finance-ministry-ict-development-proposed,bwa-ndp12-finance-ministry-ict-development-proposed
2024/25,0200,Ministry for State President,0203,Directorate of Public Service Management,00442,ICT Software Licenses,,,00400,printed,printed,account,,10827950,10827950,,0,,0.0,0.0,appropriated,actual,whole,false,BWP,budget-document,budget-estimates,"Estimates of Expenditure from the Consolidated and Development Funds 2024/25, recurrent estimates, Organisation 0200, Department 0203 'Directorate of Public Service Management', parent account 00400, account 00442 'ICT Software Licenses', column Estimate 2024-25 (PDF p. 25)",2024-02-05-bwa-estimates-of-expenditure-consolidated-development-funds-2024-25-companion,,budgets/BWA/2024.csv#bwa-2024-0200-0203-00442,Directorate of Public Service Management - ICT Software Licenses
2024/25,0200,Ministry for State President,0202,Office of the President,11015,MSP Computerisation,,,development,printed,printed,project,,156890000,156890000,,,,,,appropriated,revised,whole,false,BWP,budget-document,budget-estimates,"Estimates of Expenditure from the Consolidated and Development Funds 2024/25, Estimated Development Expenditure by Project, Organisation 0200, Department 0202 'Office of the President', project 11015 'MSP Computerisation', column Estimated Expenditure 2024-25 (PDF p. 515)",2024-02-05-bwa-estimates-of-expenditure-consolidated-development-funds-2024-25-companion,,budgets/BWA/2024.csv#bwa-2024-0200-11015,MSP Computerisation
2024/25,0300,Ministry of Finance,0301,Headquarters (MoF),02115,Statistics Botswana,,,01700,printed,printed,account,,116549760,110722270,,110722270,,95.0,100.0,appropriated,actual,whole,false,BWP,budget-document,budget-estimates,"Estimates of Expenditure from the Consolidated and Development Funds 2024/25, recurrent estimates, Organisation 0300, Department 0301 'Headquarters (MoF)', parent account 01700, account 02115 'Statistics Botswana', column Estimate 2024-25 (PDF p. 60)",2024-02-05-bwa-estimates-of-expenditure-consolidated-development-funds-2024-25-companion,,budgets/BWA/2024.csv#bwa-2024-0300-0301-02115,Headquarters (MoF) - Statistics Botswana
2024/25,0300,Ministry of Finance,0301,Headquarters (MoF),11061,MoF Computerisation,,,development,printed,printed,project,,48739941,35181175,,,,,,appropriated,revised,whole,false,BWP,budget-document,budget-estimates,"Estimates of Expenditure from the Consolidated and Development Funds 2024/25, Estimated Development Expenditure by Project, Organisation 0300, Department 0301 'Headquarters (MoF)', project 11061 'MoF Computerisation', column Estimated Expenditure 2024-25 (PDF p. 516)",2024-02-05-bwa-estimates-of-expenditure-consolidated-development-funds-2024-25-companion,,budgets/BWA/2024.csv#bwa-2024-0300-11061,MoF Computerisation
2024/25,0300,Ministry of Finance,0301,Headquarters (MoF),11062,Statistical Surveys and Studies,,,development,printed,printed,project,,115654651,109254651,,,,,,appropriated,revised,whole,false,BWP,budget-document,budget-estimates,"Estimates of Expenditure from the Consolidated and Development Funds 2024/25, Estimated Development Expenditure by Project, Organisation 0300, Department 0301 'Headquarters (MoF)', project 11062 'Statistical Surveys and Studies', column Estimated Expenditure 2024-25 (PDF p. 516)",2024-02-05-bwa-estimates-of-expenditure-consolidated-development-funds-2024-25-companion,,budgets/BWA/2024.csv#bwa-2024-0300-11062,Statistical Surveys and Studies
2024/25,0400,Ministry of Labour and Home Affairs,0402,Department of Immigration & Citizenship,00670,Passenger Information,,,00500,printed,printed,account,,,0,,2758699,,,,revised,actual,unclear,false,BWP,budget-document,budget-estimates,"Estimates of Expenditure from the Consolidated and Development Fund 2025/2026, recurrent estimates, Organisation 0400, Department 0402 'Department of Immigration & Citizenship', parent account 00500, account 00670 'Passenger Information', column Authorised Expenditure 2024-25 (PDF p. 88)",2025-02-01-bwa-estimates-of-expenditure-consolidated-development-fund-2025-26-companion,,budgets/BWA/2024.csv#bwa-2024-0400-0402-00670,Department of Immigration & Citizenship - Passenger Information
2024/25,0400,Ministry of Labour and Home Affairs,0402,Department of Immigration & Citizenship,00725,Computer Systems Maintenance,,,00700,printed,printed,account,,77229360,77229360,,56590356,,73.3,73.3,appropriated,actual,partial,false,BWP,budget-document,budget-estimates,"Estimates of Expenditure from the Consolidated and Development Funds 2024/25, recurrent estimates, Organisation 0400, Department 0402 'Department of Immigration & Citizenship', parent account 00700, account 00725 'Computer Systems Maintenance', column Estimate 2024-25 (PDF p. 78)",2024-02-05-bwa-estimates-of-expenditure-consolidated-development-funds-2024-25-companion,,budgets/BWA/2024.csv#bwa-2024-0400-0402-00725,Department of Immigration & Citizenship - Computer Systems Maintenance
2024/25,0400,Ministry of Labour and Home Affairs,0411,Department of Civil and National Registration,0411,Department of Civil and National Registration,,,,printed,printed,body,,107058580,106848580,,113566820,,106.1,106.3,appropriated,actual,partial,false,BWP,budget-document,budget-estimates,"Estimates of Expenditure from the Consolidated and Development Funds 2024/25, recurrent estimates, Organisation 0400, Department 0411 'Department of Civil and National Registration', row Department Total, column Estimate 2024-25 (PDF p. 82)",2024-02-05-bwa-estimates-of-expenditure-consolidated-development-funds-2024-25-companion,,budgets/BWA/2024.csv#bwa-2024-0400-0411,Department of Civil and National Registration
2024/25,0400,Ministry of Labour and Home Affairs,0401,Headquarters (MLHA),11081,Computerisation,,,development,printed,printed,project,,56500000,22494000,,,,,,appropriated,revised,whole,false,BWP,budget-document,budget-estimates,"Estimates of Expenditure from the Consolidated and Development Funds 2024/25, Estimated Development Expenditure by Project, Organisation 0400, Department 0401 'Headquarters (MLHA)', project 11081 'Computerisation', column Estimated Expenditure 2024-25 (PDF p. 517)",2024-02-05-bwa-estimates-of-expenditure-consolidated-development-funds-2024-25-companion,,budgets/BWA/2024.csv#bwa-2024-0400-11081,Computerisation
2024/25,0500,Ministry of Agriculture,0501,Headquarters (MoA),11116,MoA Computerisation,,,development,printed,printed,project,,3150000,1150000,,,,,,appropriated,revised,whole,false,BWP,budget-document,budget-estimates,"Estimates of Expenditure from the Consolidated and Development Funds 2024/25, Estimated Development Expenditure by Project, Organisation 0500, Department 0501 'Headquarters (MoA)', project 11116 'MoA Computerisation', column Estimated Expenditure 2024-25 (PDF p. 518)",2024-02-05-bwa-estimates-of-expenditure-consolidated-development-funds-2024-25-companion,,budgets/BWA/2024.csv#bwa-2024-0500-0501-11116,MoA Computerisation (Headquarters (MoA))
2024/25,0500,Ministry of Agriculture,0510,Department of Veterinary Services,00738,Livestock Identification & Trace Back System (LITS),,,00700,printed,printed,account,,3500000,3500000,,2893571,,82.7,82.7,appropriated,actual,whole,false,BWP,budget-document,budget-estimates,"Estimates of Expenditure from the Consolidated and Development Funds 2024/25, recurrent estimates, Organisation 0500, Department 0510 'Department of Veterinary Services', parent account 00700, account 00738 'Livestock Identification & Trace Back System (LITS)', column Estimate 2024-25 (PDF p. 109)",2024-02-05-bwa-estimates-of-expenditure-consolidated-development-funds-2024-25-companion,,budgets/BWA/2024.csv#bwa-2024-0500-0510-00738,Department of Veterinary Services - Livestock Identification & Trace Back System (LITS)
2024/25,0500,Ministry of Agriculture,0510,Animal Health,11116,MoA Computerisation,,,development,printed,printed,project,,30000000,30000000,,,,,,appropriated,revised,whole,false,BWP,budget-document,budget-estimates,"Estimates of Expenditure from the Consolidated and Development Funds 2024/25, Estimated Development Expenditure by Project, Organisation 0500, Department 0510 'Animal Health', project 11116 'MoA Computerisation', column Estimated Expenditure 2024-25 (PDF p. 518)",2024-02-05-bwa-estimates-of-expenditure-consolidated-development-funds-2024-25-companion,,budgets/BWA/2024.csv#bwa-2024-0500-0510-11116,MoA Computerisation (Animal Health)
2024/25,0600,Ministry of Education and Skills Development,0601,Headquarters (MESD),11161,MESD Computerisation,,,development,printed,printed,project,,120510000,70510000,,,,,,appropriated,revised,whole,false,BWP,budget-document,budget-estimates,"Estimates of Expenditure from the Consolidated and Development Funds 2024/25, Estimated Development Expenditure by Project, Organisation 0600, Department 0601 'Headquarters (MESD)', project 11161 'MESD Computerisation', column Estimated Expenditure 2024-25 (PDF p. 520)",2024-02-05-bwa-estimates-of-expenditure-consolidated-development-funds-2024-25-companion,,budgets/BWA/2024.csv#bwa-2024-0600-11161,MESD Computerisation
2024/25,0700,Ministry of Trade and Industry,0701,Headquarters (MTI),11212,MTI Computerisation,,,development,printed,printed,project,,8000000,8120320,,,,,,appropriated,revised,whole,false,BWP,budget-document,budget-estimates,"Estimates of Expenditure from the Consolidated and Development Funds 2024/25, Estimated Development Expenditure by Project, Organisation 0700, Department 0701 'Headquarters (MTI)', project 11212 'MTI Computerisation', column Estimated Expenditure 2024-25 (PDF p. 521)",2024-02-05-bwa-estimates-of-expenditure-consolidated-development-funds-2024-25-companion,,budgets/BWA/2024.csv#bwa-2024-0700-11212,MTI Computerisation
2024/25,1100,Ministry of Health,1101,Headquarters (MoH),00428,Computer System Support,,,00400,printed,printed,account,,20200000,20200000,,14634957,,72.5,72.5,appropriated,actual,partial,false,BWP,budget-document,budget-estimates,"Estimates of Expenditure from the Consolidated and Development Funds 2024/25, recurrent estimates, Organisation 1100, Department 1101 'Headquarters (MoH)', parent account 00400, account 00428 'Computer System Support', column Estimate 2024-25 (PDF p. 204)",2024-02-05-bwa-estimates-of-expenditure-consolidated-development-funds-2024-25-companion,,budgets/BWA/2024.csv#bwa-2024-1100-1101-00428,Headquarters (MoH) - Computer System Support
2024/25,1100,Ministry of Health,1116,Botswana Public Health Institute (BPHI),00428,Computer System Support,,,00400,printed,printed,account,,1688000,1688000,,89138,,5.3,5.3,appropriated,actual,partial,false,BWP,budget-document,budget-estimates,"Estimates of Expenditure from the Consolidated and Development Funds 2024/25, recurrent estimates, Organisation 1100, Department 1116 'Botswana Public Health Institute (BPHI)', parent account 00400, account 00428 'Computer System Support', column Estimate 2024-25 (PDF p. 217)",2024-02-05-bwa-estimates-of-expenditure-consolidated-development-funds-2024-25-companion,,budgets/BWA/2024.csv#bwa-2024-1100-1116-00428,Botswana Public Health Institute (BPHI) - Computer System Support
2024/25,1100,Ministry of Health,1116,Botswana Public Health Institute (BPHI),01342,Health Information Systems,,,01300,printed,printed,account,,3202320,3202320,,2233038,,69.7,69.7,appropriated,actual,whole,false,BWP,budget-document,budget-estimates,"Estimates of Expenditure from the Consolidated and Development Funds 2024/25, recurrent estimates, Organisation 1100, Department 1116 'Botswana Public Health Institute (BPHI)', parent account 01300, account 01342 'Health Information Systems', column Estimate 2024-25 (PDF p. 218)",2024-02-05-bwa-estimates-of-expenditure-consolidated-development-funds-2024-25-companion,,budgets/BWA/2024.csv#bwa-2024-1100-1116-01342,Botswana Public Health Institute (BPHI) - Health Information Systems
2024/25,1100,Ministry of Health,1117,Department of Public Health,00428,Computer System Support,,,00400,printed,printed,account,,53310,53310,,,,,,appropriated,revised,partial,false,BWP,budget-document,budget-estimates,"Estimates of Expenditure from the Consolidated and Development Funds 2024/25, recurrent estimates, Organisation 1100, Department 1117 'Department of Public Health', parent account 00400, account 00428 'Computer System Support', column Estimate 2024-25 (PDF p. 219)",2024-02-05-bwa-estimates-of-expenditure-consolidated-development-funds-2024-25-companion,,budgets/BWA/2024.csv#bwa-2024-1100-1117-00428,Department of Public Health - Computer System Support
2024/25,1100,Ministry of Health,1101,Headquarters (MoH),11335,MoH Computerisation,,,development,printed,printed,project,,33240000,16335935,,,,,,appropriated,revised,whole,false,BWP,budget-document,budget-estimates,"Estimates of Expenditure from the Consolidated and Development Funds 2024/25, Estimated Development Expenditure by Project, Organisation 1100, Department 1101 'Headquarters (MoH)', project 11335 'MoH Computerisation', column Estimated Expenditure 2024-25 (PDF p. 524)",2024-02-05-bwa-estimates-of-expenditure-consolidated-development-funds-2024-25-companion,,budgets/BWA/2024.csv#bwa-2024-1100-11335,MoH Computerisation
2024/25,1200,Administration of Justice,1201,Administration of Justice,11382,AoJ Computerisation,,,development,printed,printed,project,,4908495,2849897,,,,,,appropriated,revised,whole,false,BWP,budget-document,budget-estimates,"Estimates of Expenditure from the Consolidated and Development Funds 2024/25, Estimated Development Expenditure by Project, Organisation 1200, Department 1201 'Administration of Justice', project 11382 'AoJ Computerisation', column Estimated Expenditure 2024-25 (PDF p. 525)",2024-02-05-bwa-estimates-of-expenditure-consolidated-development-funds-2024-25-companion,,budgets/BWA/2024.csv#bwa-2024-1200-11382,AoJ Computerisation
2024/25,1200,Administration of Justice,1201,Administration of Justice,00428,Computer System Support,,,00400,printed,printed,account,,7000000,7000000,,4220556,,60.3,60.3,appropriated,actual,partial,false,BWP,budget-document,budget-estimates,"Estimates of Expenditure from the Consolidated and Development Funds 2024/25, recurrent estimates, Organisation 1200, Department 1201 'Administration of Justice', parent account 00400, account 00428 'Computer System Support', column Estimate 2024-25 (PDF p. 237)",2024-02-05-bwa-estimates-of-expenditure-consolidated-development-funds-2024-25-companion,,budgets/BWA/2024.csv#bwa-2024-1200-1201-00428,Administration of Justice - Computer System Support
2024/25,1400,Office of the Auditor General,1401,Office of the Auditor General,00428,Computer System Support,,,00400,printed,printed,account,,1360200,1360200,,1100010,,80.9,80.9,appropriated,actual,partial,false,BWP,budget-document,budget-estimates,"Estimates of Expenditure from the Consolidated and Development Funds 2024/25, recurrent estimates, Organisation 1400, Department 1401 'Office of the Auditor General', parent account 00400, account 00428 'Computer System Support', column Estimate 2024-25 (PDF p. 245)",2024-02-05-bwa-estimates-of-expenditure-consolidated-development-funds-2024-25-companion,,budgets/BWA/2024.csv#bwa-2024-1400-1401-00428,Office of the Auditor General - Computer System Support
2024/25,2000,Ministry of Environment and Tourism,2001,Headquarters (MET),11503,MET Computerisation,,,development,printed,printed,project,,315000,500000,,,,,,appropriated,revised,whole,false,BWP,budget-document,budget-estimates,"Estimates of Expenditure from the Consolidated and Development Funds 2024/25, Estimated Development Expenditure by Project, Organisation 2000, Department 2001 'Headquarters (MET)', project 11503 'MET Computerisation', column Estimated Expenditure 2024-25 (PDF p. 531)",2024-02-05-bwa-estimates-of-expenditure-consolidated-development-funds-2024-25-companion,,budgets/BWA/2024.csv#bwa-2024-2000-2001-11503,MET Computerisation (Headquarters (MET))
2024/25,2000,Ministry of Environment and Tourism,2004,Department of Meteorological Services,02014,Satellite Data Distribution System,,,01700,printed,printed,account,,1600,1600,,0,,0.0,0.0,appropriated,actual,whole,false,BWP,budget-document,budget-estimates,"Estimates of Expenditure from the Consolidated and Development Funds 2024/25, recurrent estimates, Organisation 2000, Department 2004 'Department of Meteorological Services', parent account 01700, account 02014 'Satellite Data Distribution System', column Estimate 2024-25 (PDF p. 336)",2024-02-05-bwa-estimates-of-expenditure-consolidated-development-funds-2024-25-companion,,budgets/BWA/2024.csv#bwa-2024-2000-2004-02014,Department of Meteorological Services - Satellite Data Distribution System
2024/25,2000,Ministry of Environment and Tourism,2004,Meteorological Services,11503,MET Computerisation,,,development,printed,printed,project,,3243000,3953000,,,,,,appropriated,revised,whole,false,BWP,budget-document,budget-estimates,"Estimates of Expenditure from the Consolidated and Development Funds 2024/25, Estimated Development Expenditure by Project, Organisation 2000, Department 2004 'Meteorological Services', project 11503 'MET Computerisation', column Estimated Expenditure 2024-25 (PDF p. 531)",2024-02-05-bwa-estimates-of-expenditure-consolidated-development-funds-2024-25-companion,,budgets/BWA/2024.csv#bwa-2024-2000-2004-11503,MET Computerisation (Meteorological Services)
2024/25,2000,Ministry of Environment and Tourism,2008,National Museum Monuments and Art Gallery,11503,MET Computerisation,,,development,printed,printed,project,,4151700,0,,,,,,appropriated,revised,whole,false,BWP,budget-document,budget-estimates,"Estimates of Expenditure from the Consolidated and Development Funds 2024/25, Estimated Development Expenditure by Project, Organisation 2000, Department 2008 'National Museum Monuments and Art Gallery', project 11503 'MET Computerisation', column Estimated Expenditure 2024-25 (PDF p. 532)",2024-02-05-bwa-estimates-of-expenditure-consolidated-development-funds-2024-25-companion,,budgets/BWA/2024.csv#bwa-2024-2000-2008-11503,MET Computerisation (National Museum Monuments and Art Gallery)
2024/25,2000,Ministry of Environment and Tourism,2009,Department of Environmental Protection,02161,Environmental Information System& Geographical Information System Software,,,01700,printed,printed,account,,140000,140000,,0,,0.0,0.0,appropriated,actual,whole,false,BWP,budget-document,budget-estimates,"Estimates of Expenditure from the Consolidated and Development Funds 2024/25, recurrent estimates, Organisation 2000, Department 2009 'Department of Environmental Protection', parent account 01700, account 02161 'Environmental Information System& Geographical Information System Software', column Estimate 2024-25 (PDF p. 349)",2024-02-05-bwa-estimates-of-expenditure-consolidated-development-funds-2024-25-companion,,budgets/BWA/2024.csv#bwa-2024-2000-2009-02161,Department of Environmental Protection - Environmental Information System& Geographical Information System Software
2024/25,2200,"Ministry of Youth, Gender, Sport and Culture",2201,Headquarters(MYSC),00428,Computer System Support,,,00400,printed,printed,account,,546000,546000,,440014,,80.6,80.6,appropriated,actual,partial,false,BWP,budget-document,budget-estimates,"Estimates of Expenditure from the Consolidated and Development Funds 2024/25, recurrent estimates, Organisation 2200, Department 2201 'Headquarters(MYSC)', parent account 00400, account 00428 'Computer System Support', column Estimate 2024-25 (PDF p. 356)",2024-02-05-bwa-estimates-of-expenditure-consolidated-development-funds-2024-25-companion,,budgets/BWA/2024.csv#bwa-2024-2200-2201-00428,Headquarters(MYSC) - Computer System Support
2024/25,2200,"Ministry of Youth, Gender, Sport and Culture",2201,Headquarters(MYSC),00737,Application System Administration,,,00700,printed,printed,account,,1428300,1428300,,1067040,,74.7,74.7,appropriated,actual,whole,false,BWP,budget-document,budget-estimates,"Estimates of Expenditure from the Consolidated and Development Funds 2024/25, recurrent estimates, Organisation 2200, Department 2201 'Headquarters(MYSC)', parent account 00700, account 00737 'Application System Administration', column Estimate 2024-25 (PDF p. 357)",2024-02-05-bwa-estimates-of-expenditure-consolidated-development-funds-2024-25-companion,,budgets/BWA/2024.csv#bwa-2024-2200-2201-00737,Headquarters(MYSC) - Application System Administration
2024/25,2200,"Ministry of Youth, Gender, Sport and Culture",2206,Department of National Archives and Records Services,00428,Computer System Support,,,00400,printed,printed,account,,1200000,1200000,,2532961,,211.1,211.1,appropriated,actual,partial,false,BWP,budget-document,budget-estimates,"Estimates of Expenditure from the Consolidated and Development Funds 2024/25, recurrent estimates, Organisation 2200, Department 2206 'Department of National Archives and Records Services', parent account 00400, account 00428 'Computer System Support', column Estimate 2024-25 (PDF p. 360)",2024-02-05-bwa-estimates-of-expenditure-consolidated-development-funds-2024-25-companion,,budgets/BWA/2024.csv#bwa-2024-2200-2206-00428,Department of National Archives and Records Services - Computer System Support
2024/25,2300,Ministry of Transport and Public Works,2301,Headquarters (MTPW),11584,Information and Communications Technology,,,development,printed,printed,project,,3657150,19055750,,,,,,appropriated,revised,whole,false,BWP,budget-document,budget-estimates,"Estimates of Expenditure from the Consolidated and Development Funds 2024/25, Estimated Development Expenditure by Project, Organisation 2300, Department 2301 'Headquarters (MTPW)', project 11584 'Information and Communications Technology', column Estimated Expenditure 2024-25 (PDF p. 535)",2024-02-05-bwa-estimates-of-expenditure-consolidated-development-funds-2024-25-companion,,budgets/BWA/2024.csv#bwa-2024-2300-11584,Information and Communications Technology
2024/25,2400,Ministry of Communications Knowledge and Technology,2407,Research Science and Technology,11637,Research and Development,,,development,printed,printed,project,,983694000,279735000,,,,,,appropriated,revised,unclear,false,BWP,budget-document,budget-estimates,"Estimates of Expenditure from the Consolidated and Development Funds 2024/25, Estimated Development Expenditure by Project, Organisation 2400, Department 2407 'Research Science and Technology', project 11637 'Research and Development', column Estimated Expenditure 2024-25 (PDF p. 536)",2024-02-05-bwa-estimates-of-expenditure-consolidated-development-funds-2024-25-companion,,budgets/BWA/2024.csv#bwa-2024-2400-11637,Research and Development
2024/25,2400,"Ministry of Communications, Knowledge and Technology",2401,Headquarters (MCKT),00428,Computer System Support,,,00400,printed,printed,account,,100000,100000,,0,,0.0,0.0,appropriated,actual,partial,false,BWP,budget-document,budget-estimates,"Estimates of Expenditure from the Consolidated and Development Funds 2024/25, recurrent estimates, Organisation 2400, Department 2401 'Headquarters (MCKT)', parent account 00400, account 00428 'Computer System Support', column Estimate 2024-25 (PDF p. 395)",2024-02-05-bwa-estimates-of-expenditure-consolidated-development-funds-2024-25-companion,,budgets/BWA/2024.csv#bwa-2024-2400-2401-00428,Headquarters (MCKT) - Computer System Support
2024/25,2400,"Ministry of Communications, Knowledge and Technology",2401,Headquarters (MCKT),01787,Commonwealth Telecommunications Organisation,,,01700,printed,printed,account,,500000,500000,,0,,0.0,0.0,appropriated,actual,whole,false,BWP,budget-document,budget-estimates,"Estimates of Expenditure from the Consolidated and Development Funds 2024/25, recurrent estimates, Organisation 2400, Department 2401 'Headquarters (MCKT)', parent account 01700, account 01787 'Commonwealth Telecommunications Organisation', column Estimate 2024-25 (PDF p. 397)",2024-02-05-bwa-estimates-of-expenditure-consolidated-development-funds-2024-25-companion,,budgets/BWA/2024.csv#bwa-2024-2400-2401-01787,Headquarters (MCKT) - Commonwealth Telecommunications Organisation
2024/25,2400,"Ministry of Communications, Knowledge and Technology",2401,Headquarters (MCKT),01849,International Telecommunications Union,,,01700,printed,printed,account,,3012500,3012500,,1020408,,33.9,33.9,appropriated,actual,whole,false,BWP,budget-document,budget-estimates,"Estimates of Expenditure from the Consolidated and Development Funds 2024/25, recurrent estimates, Organisation 2400, Department 2401 'Headquarters (MCKT)', parent account 01700, account 01849 'International Telecommunications Union', column Estimate 2024-25 (PDF p. 397)",2024-02-05-bwa-estimates-of-expenditure-consolidated-development-funds-2024-25-companion,,budgets/BWA/2024.csv#bwa-2024-2400-2401-01849,Headquarters (MCKT) - International Telecommunications Union
2024/25,2400,"Ministry of Communications, Knowledge and Technology",2401,Headquarters (MCKT),02114,Botswana Innovation Hub,,,01700,printed,printed,account,,37000000,35150000,,35150000,,95.0,100.0,appropriated,actual,partial,false,BWP,budget-document,budget-estimates,"Estimates of Expenditure from the Consolidated and Development Funds 2024/25, recurrent estimates, Organisation 2400, Department 2401 'Headquarters (MCKT)', parent account 01700, account 02114 'Botswana Innovation Hub', column Estimate 2024-25 (PDF p. 397)",2024-02-05-bwa-estimates-of-expenditure-consolidated-development-funds-2024-25-companion,,budgets/BWA/2024.csv#bwa-2024-2400-2401-02114,Headquarters (MCKT) - Botswana Innovation Hub
2024/25,2400,"Ministry of Communications, Knowledge and Technology",2401,Headquarters (MCKT),02119,"Botswana Institute of Technology,Research and Innovation (BITRI)",,,01700,printed,printed,account,,75559700,71781710,,97383327,,128.9,135.7,appropriated,actual,partial,false,BWP,budget-document,budget-estimates,"Estimates of Expenditure from the Consolidated and Development Funds 2024/25, recurrent estimates, Organisation 2400, Department 2401 'Headquarters (MCKT)', parent account 01700, account 02119 'Botswana Institute of Technology,Research and Innovation (BITRI)', column Estimate 2024-25 (PDF p. 397)",2024-02-05-bwa-estimates-of-expenditure-consolidated-development-funds-2024-25-companion,,budgets/BWA/2024.csv#bwa-2024-2400-2401-02119,"Headquarters (MCKT) - Botswana Institute of Technology,Research and Innovation (BITRI)"
