fy,admin_head_code,admin_head,spending_entity_code,spending_entity,programme_code,programme,sub_programme_code,sub_programme,econ_class,admin_head_basis,programme_basis,programme_level,proposed,appropriated,revised,released,actual,audited,exec_vs_voted,exec_vs_revised,baseline_stage,current_stage,scope_confidence,is_transfer,currency,source_tier,doc_type,doc_locator,source_slug,origin_record,record,programme_line
2024/25,not printed,الجهاز المركزي للتعبئة العامة والإحصاء (Central Agency for Public Mobilization and Statistics (CAPMAS)),,الجهاز المركزي للتعبئة العامة والإحصاء,,الجهاز المركزي للتعبئة العامة والإحصاء,,,"الباب الأول - الأجور وتعويضات العاملين (Chapter 1, wages and employee compensation)",printed,printed,body,,254616000,,,,,,,appropriated,appropriated,whole,false,EGP,budget-document,budget-estimates,"Approved State General Budget 2024/2025, Part One (administrative apparatus budget), uses by chapter (الاستخدامات), PDF p. 696, row الجهاز المركزي للتعبئة العامة والإحصاء, column الباب الأول 2024/2025",2024-09-22-egy-budget-2024-25-part-1-administrative-apparatus-companion,,budgets/EGY/2024.csv#egy-2024-capmas-ch1,الجهاز المركزي للتعبئة العامة والإحصاء - الباب الأول
2024/25,not printed,الجهاز المركزي للتعبئة العامة والإحصاء (Central Agency for Public Mobilization and Statistics (CAPMAS)),,الجهاز المركزي للتعبئة العامة والإحصاء,,الجهاز المركزي للتعبئة العامة والإحصاء,,,"الباب الثاني - شراء السلع والخدمات (Chapter 2, purchase of goods and services)",printed,printed,body,,25097000,,,,,,,appropriated,appropriated,whole,false,EGP,budget-document,budget-estimates,"Approved State General Budget 2024/2025, Part One (administrative apparatus budget), uses by chapter (الاستخدامات), PDF p. 696, row الجهاز المركزي للتعبئة العامة والإحصاء, column الباب الثاني 2024/2025",2024-09-22-egy-budget-2024-25-part-1-administrative-apparatus-companion,,budgets/EGY/2024.csv#egy-2024-capmas-ch2,الجهاز المركزي للتعبئة العامة والإحصاء - الباب الثاني
2024/25,not printed,الجهاز المركزي للتعبئة العامة والإحصاء (Central Agency for Public Mobilization and Statistics (CAPMAS)),,الجهاز المركزي للتعبئة العامة والإحصاء,,الجهاز المركزي للتعبئة العامة والإحصاء,,,"الباب الرابع - الدعم والمنح والمزايا الاجتماعية (Chapter 4, subsidies, grants and social benefits)",printed,printed,body,,847000,,,,,,,appropriated,appropriated,whole,false,EGP,budget-document,budget-estimates,"Approved State General Budget 2024/2025, Part One (administrative apparatus budget), uses by chapter (الاستخدامات), PDF p. 697, row الجهاز المركزي للتعبئة العامة والإحصاء, column الباب الرابع 2024/2025",2024-09-22-egy-budget-2024-25-part-1-administrative-apparatus-companion,,budgets/EGY/2024.csv#egy-2024-capmas-ch4,الجهاز المركزي للتعبئة العامة والإحصاء - الباب الرابع
2024/25,not printed,الجهاز المركزي للتعبئة العامة والإحصاء (Central Agency for Public Mobilization and Statistics (CAPMAS)),,الجهاز المركزي للتعبئة العامة والإحصاء,,الجهاز المركزي للتعبئة العامة والإحصاء,,,"الباب الخامس - المصروفات الأخرى (Chapter 5, other expenditure)",printed,printed,body,,170000,,,,,,,appropriated,appropriated,whole,false,EGP,budget-document,budget-estimates,"Approved State General Budget 2024/2025, Part One (administrative apparatus budget), uses by chapter (الاستخدامات), PDF p. 697, row الجهاز المركزي للتعبئة العامة والإحصاء, column الباب الخامس 2024/2025",2024-09-22-egy-budget-2024-25-part-1-administrative-apparatus-companion,,budgets/EGY/2024.csv#egy-2024-capmas-ch5,الجهاز المركزي للتعبئة العامة والإحصاء - الباب الخامس
2024/25,not printed,الجهاز المركزي للتعبئة العامة والإحصاء (Central Agency for Public Mobilization and Statistics (CAPMAS)),,الجهاز المركزي للتعبئة العامة والإحصاء,,الجهاز المركزي للتعبئة العامة والإحصاء,,,"الباب السادس - شراء الأصول غير المالية - الاستثمارات (Chapter 6, purchase of non-financial assets, investment)",printed,printed,body,,260000000,,,,,,,appropriated,appropriated,whole,false,EGP,budget-document,budget-estimates,"Approved State General Budget 2024/2025, Part One (administrative apparatus budget), uses by chapter (الاستخدامات), PDF p. 698, row الجهاز المركزي للتعبئة العامة والإحصاء, column الباب السادس 2024/2025",2024-09-22-egy-budget-2024-25-part-1-administrative-apparatus-companion,,budgets/EGY/2024.csv#egy-2024-capmas-ch6,الجهاز المركزي للتعبئة العامة والإحصاء - الباب السادس
2024/25,not printed,صندوق تطوير نظام الاحوال المدنية (Civil Status System Development Fund),,صندوق تطوير نظام الاحوال المدنية,,صندوق تطوير نظام الاحوال المدنية,,,"الباب الأول - الأجور وتعويضات العاملين (Chapter 1, wages and employee compensation)",printed,printed,body,,150748000,,,,,,,appropriated,appropriated,partial,false,EGP,budget-document,budget-estimates,"Approved State General Budget 2024/2025, Part Three (service authorities budget), uses by chapter (الاستخدامات), PDF p. 312, row صندوق تطوير نظام الاحوال المدنية, column الباب الأول 2024/2025",2024-09-22-egy-budget-2024-25-part-3-service-authorities-companion,,budgets/EGY/2024.csv#egy-2024-csf-ch1,صندوق تطوير نظام الاحوال المدنية - الباب الأول
2024/25,not printed,صندوق تطوير نظام الاحوال المدنية (Civil Status System Development Fund),,صندوق تطوير نظام الاحوال المدنية,,صندوق تطوير نظام الاحوال المدنية,,,"الباب الثاني - شراء السلع والخدمات (Chapter 2, purchase of goods and services)",printed,printed,body,,449285000,,,,,,,appropriated,appropriated,partial,false,EGP,budget-document,budget-estimates,"Approved State General Budget 2024/2025, Part Three (service authorities budget), uses by chapter (الاستخدامات), PDF p. 312, row صندوق تطوير نظام الاحوال المدنية, column الباب الثاني 2024/2025",2024-09-22-egy-budget-2024-25-part-3-service-authorities-companion,,budgets/EGY/2024.csv#egy-2024-csf-ch2,صندوق تطوير نظام الاحوال المدنية - الباب الثاني
2024/25,not printed,صندوق تطوير نظام الاحوال المدنية (Civil Status System Development Fund),,صندوق تطوير نظام الاحوال المدنية,,صندوق تطوير نظام الاحوال المدنية,,,"الباب الرابع - الدعم والمنح والمزايا الاجتماعية (Chapter 4, subsidies, grants and social benefits)",printed,printed,body,,90030000,,,,,,,appropriated,appropriated,partial,false,EGP,budget-document,budget-estimates,"Approved State General Budget 2024/2025, Part Three (service authorities budget), uses by chapter (الاستخدامات), PDF p. 313, row صندوق تطوير نظام الاحوال المدنية, column الباب الرابع 2024/2025",2024-09-22-egy-budget-2024-25-part-3-service-authorities-companion,,budgets/EGY/2024.csv#egy-2024-csf-ch4,صندوق تطوير نظام الاحوال المدنية - الباب الرابع
2024/25,not printed,صندوق تطوير نظام الاحوال المدنية (Civil Status System Development Fund),,صندوق تطوير نظام الاحوال المدنية,,صندوق تطوير نظام الاحوال المدنية,,,"الباب الخامس - المصروفات الأخرى (Chapter 5, other expenditure)",printed,printed,body,,423153000,,,,,,,appropriated,appropriated,partial,false,EGP,budget-document,budget-estimates,"Approved State General Budget 2024/2025, Part Three (service authorities budget), uses by chapter (الاستخدامات), PDF p. 313, row صندوق تطوير نظام الاحوال المدنية, column الباب الخامس 2024/2025",2024-09-22-egy-budget-2024-25-part-3-service-authorities-companion,,budgets/EGY/2024.csv#egy-2024-csf-ch5,صندوق تطوير نظام الاحوال المدنية - الباب الخامس
2024/25,not printed,صندوق تطوير نظام الاحوال المدنية (Civil Status System Development Fund),,صندوق تطوير نظام الاحوال المدنية,,صندوق تطوير نظام الاحوال المدنية,,,"الباب السادس - شراء الأصول غير المالية - الاستثمارات (Chapter 6, purchase of non-financial assets, investment)",printed,printed,body,,321000000,,,,,,,appropriated,appropriated,partial,false,EGP,budget-document,budget-estimates,"Approved State General Budget 2024/2025, Part Three (service authorities budget), uses by chapter (الاستخدامات), PDF p. 314, row صندوق تطوير نظام الاحوال المدنية, column الباب السادس 2024/2025",2024-09-22-egy-budget-2024-25-part-3-service-authorities-companion,,budgets/EGY/2024.csv#egy-2024-csf-ch6,صندوق تطوير نظام الاحوال المدنية - الباب السادس
