fy,admin_head_code,admin_head,spending_entity_code,spending_entity,programme_code,programme,sub_programme_code,sub_programme,econ_class,admin_head_basis,programme_basis,programme_level,proposed,appropriated,revised,released,actual,audited,exec_vs_voted,exec_vs_revised,baseline_stage,current_stage,scope_confidence,is_transfer,currency,source_tier,doc_type,doc_locator,source_slug,origin_record,record,programme_line
FY2024,107,107 CIVIL SERVICE AGENCY,107,Civil Service Agency,0400,Human Resource Mangt Information System,,,,printed,printed,programme,,170164,,,162449,,95.5,,appropriated,actual,whole,false,USD,budget-document,appropriation-act,"National Budget FY2024 (approved book; Act approved 8 May 2024), chapter 107, Section 2 table by department and object of expenditure, department 0400 Human Resource Mangt Information System, column FY2024 Budget (PDF p. 65, printed p. 25)",2024-06-29-lbr-national-budget-fy2024-companion,,budgets/LBR/2024.csv#lbr-2024-107-0400,Human Resource Mangt Information System
FY2024,108,108 GENERAL SERVICES AGENCY,108,General Services Agency,0300,Management Information Systems,,,,printed,printed,programme,,7651,,,7651,,100.0,,appropriated,actual,whole,false,USD,budget-document,appropriation-act,"National Budget FY2024 (approved book; Act approved 8 May 2024), chapter 108, Section 2 table by department and object of expenditure, department 0300 Management Information Systems, column FY2024 Budget (PDF p. 70, printed p. 30)",2024-06-29-lbr-national-budget-fy2024-companion,,budgets/LBR/2024.csv#lbr-2024-108-0300,Management Information Systems
FY2024,130,130 MINISTRY OF FINANCE AND DEVELOPMENT PLANNING,130,Ministry of Finance and Development Planning,0300,Budget and Development Planning,,,263465 Transfer to IFMIS Budget Module Rollout,printed,printed,programme,,175000,,,175000,,100.0,,appropriated,actual,whole,false,USD,budget-document,appropriation-act,"National Budget FY2024 (approved book; Act approved 8 May 2024), chapter 130, Section 2 table by department and object of expenditure, department 0300 Budget and Development Planning, object 263465, column FY2024 Budget (PDF p. 110, printed p. 71)",2024-06-29-lbr-national-budget-fy2024-companion,,budgets/LBR/2024.csv#lbr-2024-130-0300-263465,Transfer to IFMIS Budget Module Rollout
FY2024,130,130 MINISTRY OF FINANCE AND DEVELOPMENT PLANNING,130,Ministry of Finance and Development Planning,0500,Comptroller and Accountant General (CAG),,,221621 IFMIS License Fees,printed,printed,programme,,144000,,,134674,,93.5,,appropriated,actual,whole,false,USD,budget-document,appropriation-act,"National Budget FY2024 (approved book; Act approved 8 May 2024), chapter 130, Section 2 table by department and object of expenditure, department 0500 Comptroller and Accountant General (CAG), object 221621, column FY2024 Budget (PDF p. 113, printed p. 74)",2024-06-29-lbr-national-budget-fy2024-companion,,budgets/LBR/2024.csv#lbr-2024-130-0500-221621,IFMIS License Fees
FY2024,130,130 MINISTRY OF FINANCE AND DEVELOPMENT PLANNING,130,Ministry of Finance and Development Planning,0500,Comptroller and Accountant General (CAG),,,263651 Transfer to IFMIS,printed,printed,programme,,405600,,,409702,,101.0,,appropriated,actual,whole,false,USD,budget-document,appropriation-act,"National Budget FY2024 (approved book; Act approved 8 May 2024), chapter 130, Section 2 table by department and object of expenditure, department 0500 Comptroller and Accountant General (CAG), object 263651, column FY2024 Budget (PDF p. 114, printed p. 75)",2024-06-29-lbr-national-budget-fy2024-companion,,budgets/LBR/2024.csv#lbr-2024-130-0500-263651,Transfer to IFMIS
FY2024,140,140 LIBERIA REVENUE AUTHORITY(LRA),140,Liberia Revenue Authority,0830,Digitizing Revenue Transaction Systems Across Government (DRTS),,,,printed,printed,project,,2760000,,,421401,,15.3,,appropriated,actual,whole,false,USD,budget-document,appropriation-act,"National Budget FY2024 (approved book; Act approved 8 May 2024), chapter 140, Summary of PSIP (Non-financial Assets) by Funding Source, Government of Liberia Funded Projects, project 0830, column FY2024 Budget (PDF p. 115, printed p. 76)",2024-06-29-lbr-national-budget-fy2024-companion,,budgets/LBR/2024.csv#lbr-2024-140-0830,Digitizing Revenue Transaction Systems Across Government (DRTS)
FY2024,142,142 NATIONAL IDENTIFICATION REGISTRY,142,National Identification Registry,0100,Administration and Management,,,,printed,printed,programme,,849154,,,747141,,88.0,,appropriated,actual,whole,false,USD,budget-document,appropriation-act,"National Budget FY2024 (approved book; Act approved 8 May 2024), chapter 142, Section 2 table by department and economic classification, department 0100 Administration and Management, column FY2024 Budget (PDF p. 143, printed p. 106)",2024-06-29-lbr-national-budget-fy2024-companion,,budgets/LBR/2024.csv#lbr-2024-142-0100,National Identification Registry
FY2024,301,301 MINISTRY OF EDUCATION,301,Ministry of Education,0993,Youth capacity building in ICT,,,,printed,printed,project,,1750000,,,1749680,,100.0,,appropriated,actual,whole,false,USD,budget-document,appropriation-act,"National Budget FY2024 (approved book; Act approved 8 May 2024), chapter 301, Summary of PSIP (Non-financial Assets) by Funding Source, Government of Liberia Funded Projects, project 0993, column FY2024 Budget (PDF p. 313, printed p. 279)",2024-06-29-lbr-national-budget-fy2024-companion,,budgets/LBR/2024.csv#lbr-2024-301-0993,Youth capacity building in ICT
FY2024,301,301 MINISTRY OF EDUCATION,301,Ministry of Education,1801,"Planning, Research & Development",,,255250 Transfer to EMIS (Education Management Information System),printed,printed,programme,,15000,,,15000,,100.0,,appropriated,actual,whole,false,USD,budget-document,appropriation-act,"National Budget FY2024 (approved book; Act approved 8 May 2024), chapter 301, Section 2 table by department and object of expenditure, department 1801 Planning, Research & Development, object 255250, column FY2024 Budget (PDF p. 332, printed p. 298)",2024-06-29-lbr-national-budget-fy2024-companion,,budgets/LBR/2024.csv#lbr-2024-301-1801-255250,Transfer to EMIS (Education Management Information System)
FY2024,310,310 MINISTRY OF HEALTH,310,Ministry of Health,0500,Health and Vital Statistics,,,,printed,printed,programme,,1949472,,,607472,,31.2,,appropriated,actual,partial,false,USD,budget-document,appropriation-act,"National Budget FY2024 (approved book; Act approved 8 May 2024), chapter 310, Section 2 table by department and object of expenditure, department 0500 Health and Vital Statistics, column FY2024 Budget (PDF p. 248, printed p. 212)",2024-06-29-lbr-national-budget-fy2024-companion,,budgets/LBR/2024.csv#lbr-2024-310-0500,Health and Vital Statistics
