fy,admin_head_code,admin_head,spending_entity_code,spending_entity,programme_code,programme,sub_programme_code,sub_programme,econ_class,admin_head_basis,programme_basis,programme_level,proposed,appropriated,revised,released,actual,audited,exec_vs_voted,exec_vs_revised,baseline_stage,current_stage,scope_confidence,is_transfer,currency,source_tier,doc_type,doc_locator,source_slug,origin_record,record,programme_line
FY2024,105,105 - Ministry of Public Administration and Political Affairs,10501,Office Of The Permanent Secretary,1050101,"Governance, Transparency and Accountability",101-0402010812,Facilitate and coordinate the digitalization in the Public Service,Other Recurrent Expenses,printed,printed,programme,,600000,,,,,,,appropriated,appropriated,whole,false,SLE,budget-document,budget-estimates,"Financial Year 2024 Expenditure Estimates (detailed, Budget Version 2024-0001), Head 105, programme 1050101, Other Recurrent Expenses, account 101-0402010812, PDF p. 2",2023-12-01-sle-fy2024-detailed-budget-estimates-companion,,budgets/SLE/2024.csv#sle-2024-105-1050101-0402010812,"Governance, Transparency and Accountability - Facilitate and coordinate the digitalization in the Public Service"
FY2024,110,110 - Office Of The President,11004,Public Sector Reform Unit,1100401,General Administration And Support Services,101-0403020401,Strengthening Psru'S Ict Infrastruction For E-Service,Other Recurrent Expenses,printed,printed,programme,,200000,,,,,,,appropriated,appropriated,partial,false,SLE,budget-document,budget-estimates,"Financial Year 2024 Expenditure Estimates (detailed, Budget Version 2024-0001), Head 110, programme 1100401, Other Recurrent Expenses, account 101-0403020401, PDF p. 30",2023-12-01-sle-fy2024-detailed-budget-estimates-companion,,budgets/SLE/2024.csv#sle-2024-110-1100401-0403020401,General Administration And Support Services - Strengthening Psru'S Ict Infrastruction For E-Service
FY2024,110,110 - Office Of The President,11005,Office Of The Ombudsman,1100501,General Administration And Support Services,101-0403010203,Website Update,Other Recurrent Expenses,printed,printed,programme,,400000,,,,,,,appropriated,appropriated,whole,false,SLE,budget-document,budget-estimates,"Financial Year 2024 Expenditure Estimates (detailed, Budget Version 2024-0001), Head 110, programme 1100501, Other Recurrent Expenses, account 101-0403010203, PDF p. 31",2023-12-01-sle-fy2024-detailed-budget-estimates-companion,,budgets/SLE/2024.csv#sle-2024-110-1100501-0403010203,General Administration And Support Services - Website Update
FY2024,110,110 - Office Of The President,11010,Sierra Leone Insurance Commission,1101001,General Administration And Support Services,101-0408020207,Automation of Motor Insurance Database,Other Recurrent Expenses,printed,printed,programme,,300000,,,,,,,appropriated,appropriated,whole,false,SLE,budget-document,budget-estimates,"Financial Year 2024 Expenditure Estimates (detailed, Budget Version 2024-0001), Head 110, programme 1101001, Other Recurrent Expenses, account 101-0408020207, PDF p. 35",2023-12-01-sle-fy2024-detailed-budget-estimates-companion,,budgets/SLE/2024.csv#sle-2024-110-1101001-0408020207,General Administration And Support Services - Automation of Motor Insurance Database
FY2024,117,117 - Cabinet Secretariat,11701,Office of The Secretary to The Cabinet,1170101,General Administration And Support Services,101-0409020324,E-Carbinet Platform,Other Recurrent Expenses,printed,printed,programme,,486200,,,,,,,appropriated,appropriated,whole,false,SLE,budget-document,budget-estimates,"Financial Year 2024 Expenditure Estimates (detailed, Budget Version 2024-0001), Head 117, programme 1170101, Other Recurrent Expenses, account 101-0409020324, PDF p. 50",2023-12-01-sle-fy2024-detailed-budget-estimates-companion,,budgets/SLE/2024.csv#sle-2024-117-1170101-0409020324,General Administration And Support Services - E-Carbinet Platform
FY2024,118,118 - The Judiciary,11801,Office Of The Chief Justice,1180102,"General Administration, Court Operations and Support Services",101-0404020417,"Court Mgt. Activities, Develop and Install Case Mgt. Systems",Other Recurrent Expenses,printed,printed,programme,,3000000,,,,,,,appropriated,appropriated,partial,false,SLE,budget-document,budget-estimates,"Financial Year 2024 Expenditure Estimates (detailed, Budget Version 2024-0001), Head 118, programme 1180102, Other Recurrent Expenses, account 101-0404020417, PDF p. 54",2023-12-01-sle-fy2024-detailed-budget-estimates-companion,,budgets/SLE/2024.csv#sle-2024-118-1180102-0404020417,"General Administration, Court Operations and Support Services - Court Mgt. Activities, Develop and Install Case Mgt. Systems"
FY2024,124,124 - Office Of The Attorney General And Ministry Of Justice,12405,Administrator And Registrar General,1240501,Administrative And Support Services,101-0404040202,Online Registration Of Businesses And Marriages,Other Recurrent Expenses,printed,printed,programme,,369969,,,,,,,appropriated,appropriated,whole,false,SLE,budget-document,budget-estimates,"Financial Year 2024 Expenditure Estimates (detailed, Budget Version 2024-0001), Head 124, programme 1240501, Other Recurrent Expenses, account 101-0404040202, PDF p. 71",2023-12-01-sle-fy2024-detailed-budget-estimates-companion,,budgets/SLE/2024.csv#sle-2024-124-1240501-0404040202,Administrative And Support Services - Online Registration Of Businesses And Marriages
FY2024,124,124 - Office Of The Attorney General And Ministry Of Justice,12405,Administrator And Registrar General,1240501,Administrative And Support Services,101-0404040213,Development of Record Management System,Capital Transfers,printed,printed,programme,,3000000,,,,,,,appropriated,appropriated,whole,false,SLE,budget-document,budget-estimates,"Financial Year 2024 Expenditure Estimates (detailed, Budget Version 2024-0001), Head 124, programme 1240501, Capital Transfers, account 101-0404040213, PDF p. 72",2023-12-01-sle-fy2024-detailed-budget-estimates-companion,,budgets/SLE/2024.csv#sle-2024-124-1240501-0404040213,Administrative And Support Services - Development of Record Management System
FY2024,127,127 - Ministry Of Planning And Economic Development,12701,Office Of The Development Secretary,1270101,General Administration And Support Services,101-0806010936,Development Of Web-Based Project Mapping And Information Sysytem For The Public Investment Programme (Pip) And Ngo Activities,Capital Transfers,printed,printed,programme,,1000000,,,,,,,appropriated,appropriated,whole,false,SLE,budget-document,budget-estimates,"Financial Year 2024 Expenditure Estimates (detailed, Budget Version 2024-0001), Head 127, programme 1270101, Capital Transfers, account 101-0806010936, PDF p. 77",2023-12-01-sle-fy2024-detailed-budget-estimates-companion,,budgets/SLE/2024.csv#sle-2024-127-1270101-0806010936,General Administration And Support Services - Development Of Web-Based Project Mapping And Information Sysytem For The Public Investment Programme (Pip) And Ngo Activities
FY2024,127,127 - Ministry Of Planning And Economic Development,12701,Office Of The Development Secretary,1270101,General Administration And Support Services,101-0806010956,Development of Public Investment Management Information System(PIMIS),Capital Transfers,printed,printed,programme,,1500000,,,,,,,appropriated,appropriated,whole,false,SLE,budget-document,budget-estimates,"Financial Year 2024 Expenditure Estimates (detailed, Budget Version 2024-0001), Head 127, programme 1270101, Capital Transfers, account 101-0806010956, PDF p. 77",2023-12-01-sle-fy2024-detailed-budget-estimates-companion,,budgets/SLE/2024.csv#sle-2024-127-1270101-0806010956,General Administration And Support Services - Development of Public Investment Management Information System(PIMIS)
FY2024,127,127 - Ministry Of Planning And Economic Development,12708,Directorate Of Ngos Affairs,1270801,Coordination of NGOs Operations,101-0806010927,Updating and Hosting of the NGO Partnership Mapping Tool,Other Recurrent Expenses,printed,printed,programme,,500000,,,,,,,appropriated,appropriated,whole,false,SLE,budget-document,budget-estimates,"Financial Year 2024 Expenditure Estimates (detailed, Budget Version 2024-0001), Head 127, programme 1270801, Other Recurrent Expenses, account 101-0806010927, PDF p. 83",2023-12-01-sle-fy2024-detailed-budget-estimates-companion,,budgets/SLE/2024.csv#sle-2024-127-1270801-0806010927,Coordination of NGOs Operations - Updating and Hosting of the NGO Partnership Mapping Tool
FY2024,127,127 - Ministry Of Planning And Economic Development,12711,Directorate Of Service Delivery And Performance Management,1271101,Coordination of Service Delivery and Performance Management,101-0806010923,Maintaining The Development Assistance Database,Other Recurrent Expenses,printed,printed,programme,,100000,,,,,,,appropriated,appropriated,whole,false,SLE,budget-document,budget-estimates,"Financial Year 2024 Expenditure Estimates (detailed, Budget Version 2024-0001), Head 127, programme 1271101, Other Recurrent Expenses, account 101-0806010923, PDF p. 85",2023-12-01-sle-fy2024-detailed-budget-estimates-companion,,budgets/SLE/2024.csv#sle-2024-127-1271101-0806010923,Coordination of Service Delivery and Performance Management - Maintaining The Development Assistance Database
FY2024,129,129 - Ministry Of Finance,12901,Corporate Services Directorate,1290103,Directorate Of Financial Management System And Technology,101-0404010206,Running Cost Of Resource Center And Procurement Of Econometric Software And Equipment,Other Recurrent Expenses,printed,printed,programme,,1000000,,,,,,,appropriated,appropriated,partial,false,SLE,budget-document,budget-estimates,"Financial Year 2024 Expenditure Estimates (detailed, Budget Version 2024-0001), Head 129, programme 1290103, Other Recurrent Expenses, account 101-0404010206, PDF p. 117",2023-12-01-sle-fy2024-detailed-budget-estimates-companion,,budgets/SLE/2024.csv#sle-2024-129-1290103-0404010206,Directorate Of Financial Management System And Technology - Running Cost Of Resource Center And Procurement Of Econometric Software And Equipment
