fy,admin_head_code,admin_head,spending_entity_code,spending_entity,programme_code,programme,sub_programme_code,sub_programme,econ_class,admin_head_basis,programme_basis,programme_level,proposed,appropriated,revised,released,actual,audited,exec_vs_voted,exec_vs_revised,baseline_stage,current_stage,scope_confidence,is_transfer,currency,source_tier,doc_type,doc_locator,source_slug,origin_record,record,programme_line
Exercício 2024,21000,GABINETE DO PRIMEIRO MINISTRO,21105,INSTITUTO DE INOVAÇÃO E CONHECIMENTO,004,Administração Geral dos Organismos,2887,Transferência para Funcionamento do Instituto de Inovação e Conhecimento,33290000 Outros Serviços; 35212100 Transferências Para Cobertura de Despesas com Pe,printed,printed,programme,,5799250,,,,,,,appropriated,appropriated,partial,false,STN,budget-document,budget-estimates,"OGE 2024 vol. 5 Despesas Geral (Resumo de Despesas por U.G.-Função-SF-PG-P/A-FR-AC-Natureza Económica), p. 8, U.G. 21105 INSTITUTO DE INOVAÇÃO E CONHECIMENTO, Actividade, P/A 2887 Transferência para Funcionamento do Instituto de Inovação e Conhecimento, VALOR DOTAÇÃO",2024-02-14-stp-oge-2024-despesas-geral-companion,,budgets/STP/2024.csv#stp-2024-21105-004-2887,INSTITUTO DE INOVAÇÃO E CONHECIMENTO - Transferência para Funcionamento do Instituto de Inovação e Conhecimento
Exercício 2024,25000,"MINISTÉRIO DA JUSTIÇA, ADMINISTRAÇÃO PÚBLICA E DOS DIREITOS HUMANOS",25103,DIRECÇÃO-GERAL DOS REGISTOS E NOTARIADO,004,Administração Geral dos Organismos,2000,Funcionamento e Manutenção da Unidade,33111000 Material de Consumo de Secretaria; 33112000 Combustíveis e Lubrificantes; 33119000 Outros Bens de Consumo Não Duradouros; 33129000 Outros Bens Duradouros; 33222000 Serviços de Manutenção e Conservação; 33225000 Representação de serviço,printed,printed,programme,,75000,,,,,,,appropriated,appropriated,partial,false,STN,budget-document,budget-estimates,"OGE 2024 vol. 5 Despesas Geral (Resumo de Despesas por U.G.-Função-SF-PG-P/A-FR-AC-Natureza Económica), p. 36, U.G. 25103 DIRECÇÃO-GERAL DOS REGISTOS E NOTARIADO, Actividade, P/A 2000 Funcionamento e Manutenção da Unidade, VALOR DOTAÇÃO",2024-02-14-stp-oge-2024-despesas-geral-companion,,budgets/STP/2024.csv#stp-2024-25103-004-2000,DIRECÇÃO-GERAL DOS REGISTOS E NOTARIADO - Funcionamento e Manutenção da Unidade
Exercício 2024,25000,"MINISTÉRIO DA JUSTIÇA, ADMINISTRAÇÃO PÚBLICA E DOS DIREITOS HUMANOS",25103,DIRECÇÃO-GERAL DOS REGISTOS E NOTARIADO,004,Administração Geral dos Organismos,3376,Despesas ao Abrigo das Receitas Consignadas,35390000 Outras Despesas Correntes Diversas,printed,printed,programme,,5214000,,,,,,,appropriated,appropriated,partial,false,STN,budget-document,budget-estimates,"OGE 2024 vol. 5 Despesas Geral (Resumo de Despesas por U.G.-Função-SF-PG-P/A-FR-AC-Natureza Económica), p. 36, U.G. 25103 DIRECÇÃO-GERAL DOS REGISTOS E NOTARIADO, Despesas Consignadas, P/A 3376 Despesas ao Abrigo das Receitas Consignadas, VALOR DOTAÇÃO",2024-02-14-stp-oge-2024-despesas-geral-companion,,budgets/STP/2024.csv#stp-2024-25103-004-3376,DIRECÇÃO-GERAL DOS REGISTOS E NOTARIADO - Despesas ao Abrigo das Receitas Consignadas
Exercício 2024,25000,"MINISTÉRIO DA JUSTIÇA, ADMINISTRAÇÃO PÚBLICA E DOS DIREITOS HUMANOS",25103,DIRECÇÃO-GERAL DOS REGISTOS E NOTARIADO,006,Formação e Capacitação de Quadros Públicos,1053,Capacitação do Pessoal,33214000 Serviços de Ensino e Formação,printed,printed,programme,,50000,,,,,,,appropriated,appropriated,partial,false,STN,budget-document,budget-estimates,"OGE 2024 vol. 5 Despesas Geral (Resumo de Despesas por U.G.-Função-SF-PG-P/A-FR-AC-Natureza Económica), p. 36, U.G. 25103 DIRECÇÃO-GERAL DOS REGISTOS E NOTARIADO, Actividade, P/A 1053 Capacitação do Pessoal, VALOR DOTAÇÃO",2024-02-14-stp-oge-2024-despesas-geral-companion,,budgets/STP/2024.csv#stp-2024-25103-006-1053,DIRECÇÃO-GERAL DOS REGISTOS E NOTARIADO - Capacitação do Pessoal
Exercício 2024,25000,"MINISTÉRIO DA JUSTIÇA, ADMINISTRAÇÃO PÚBLICA E DOS DIREITOS HUMANOS",25104,CENTRO INFORMÁTICO E REPROGRÁFIA,004,Administração Geral dos Organismos,2000,Funcionamento e Manutenção da Unidade,33111000 Material de Consumo de Secretaria; 33112000 Combustíveis e Lubrificantes; 33114000 Material de Consumo Corrente Especializado (Espe; 33119000 Outros Bens de Consumo Não Duradouros; 33222000 Serviços de Manutenção e Conservação,printed,printed,programme,,190000,,,,,,,appropriated,appropriated,partial,false,STN,budget-document,budget-estimates,"OGE 2024 vol. 5 Despesas Geral (Resumo de Despesas por U.G.-Função-SF-PG-P/A-FR-AC-Natureza Económica), p. 36, U.G. 25104 CENTRO INFORMÁTICO E REPROGRÁFIA, Actividade, P/A 2000 Funcionamento e Manutenção da Unidade, VALOR DOTAÇÃO",2024-02-14-stp-oge-2024-despesas-geral-companion,,budgets/STP/2024.csv#stp-2024-25104-004-2000,CENTRO INFORMÁTICO E REPROGRÁFIA - Funcionamento e Manutenção da Unidade
Exercício 2024,25000,"MINISTÉRIO DA JUSTIÇA, ADMINISTRAÇÃO PÚBLICA E DOS DIREITOS HUMANOS",25104,CENTRO INFORMÁTICO E REPROGRÁFIA,004,Administração Geral dos Organismos,3376,Despesas ao Abrigo das Receitas Consignadas,35390000 Outras Despesas Correntes Diversas,printed,printed,programme,,264000,,,,,,,appropriated,appropriated,partial,false,STN,budget-document,budget-estimates,"OGE 2024 vol. 5 Despesas Geral (Resumo de Despesas por U.G.-Função-SF-PG-P/A-FR-AC-Natureza Económica), p. 36, U.G. 25104 CENTRO INFORMÁTICO E REPROGRÁFIA, Despesas Consignadas, P/A 3376 Despesas ao Abrigo das Receitas Consignadas, VALOR DOTAÇÃO",2024-02-14-stp-oge-2024-despesas-geral-companion,,budgets/STP/2024.csv#stp-2024-25104-004-3376,CENTRO INFORMÁTICO E REPROGRÁFIA - Despesas ao Abrigo das Receitas Consignadas
Exercício 2024,25000,"MINISTÉRIO DA JUSTIÇA, ADMINISTRAÇÃO PÚBLICA E DOS DIREITOS HUMANOS",25104,CENTRO INFORMÁTICO E REPROGRÁFIA,006,Formação e Capacitação de Quadros Públicos,1053,Capacitação do Pessoal,33214000 Serviços de Ensino e Formação,printed,printed,programme,,50000,,,,,,,appropriated,appropriated,partial,false,STN,budget-document,budget-estimates,"OGE 2024 vol. 5 Despesas Geral (Resumo de Despesas por U.G.-Função-SF-PG-P/A-FR-AC-Natureza Económica), p. 36, U.G. 25104 CENTRO INFORMÁTICO E REPROGRÁFIA, Actividade, P/A 1053 Capacitação do Pessoal, VALOR DOTAÇÃO",2024-02-14-stp-oge-2024-despesas-geral-companion,,budgets/STP/2024.csv#stp-2024-25104-006-1053,CENTRO INFORMÁTICO E REPROGRÁFIA - Capacitação do Pessoal
Exercício 2024,25000,"MINISTÉRIO DA JUSTIÇA, ADMINISTRAÇÃO PÚBLICA E DOS DIREITOS HUMANOS",25105,CENTRO DE IDENTIFICAÇÃO CIVIL E CRIMINAL,004,Administração Geral dos Organismos,2000,Funcionamento e Manutenção da Unidade,33111000 Material de Consumo de Secretaria; 33112000 Combustíveis e Lubrificantes; 33129000 Outros Bens Duradouros; 33222000 Serviços de Manutenção e Conservação,printed,printed,programme,,40000,,,,,,,appropriated,appropriated,whole,false,STN,budget-document,budget-estimates,"OGE 2024 vol. 5 Despesas Geral (Resumo de Despesas por U.G.-Função-SF-PG-P/A-FR-AC-Natureza Económica), p. 36, U.G. 25105 CENTRO DE IDENTIFICAÇÃO CIVIL E CRIMINAL, Actividade, P/A 2000 Funcionamento e Manutenção da Unidade, VALOR DOTAÇÃO",2024-02-14-stp-oge-2024-despesas-geral-companion,,budgets/STP/2024.csv#stp-2024-25105-004-2000,CENTRO DE IDENTIFICAÇÃO CIVIL E CRIMINAL - Funcionamento e Manutenção da Unidade
Exercício 2024,25000,"MINISTÉRIO DA JUSTIÇA, ADMINISTRAÇÃO PÚBLICA E DOS DIREITOS HUMANOS",25105,CENTRO DE IDENTIFICAÇÃO CIVIL E CRIMINAL,006,Formação e Capacitação de Quadros Públicos,1053,Capacitação do Pessoal,33214000 Serviços de Ensino e Formação,printed,printed,programme,,50000,,,,,,,appropriated,appropriated,whole,false,STN,budget-document,budget-estimates,"OGE 2024 vol. 5 Despesas Geral (Resumo de Despesas por U.G.-Função-SF-PG-P/A-FR-AC-Natureza Económica), p. 36, U.G. 25105 CENTRO DE IDENTIFICAÇÃO CIVIL E CRIMINAL, Actividade, P/A 1053 Capacitação do Pessoal, VALOR DOTAÇÃO",2024-02-14-stp-oge-2024-despesas-geral-companion,,budgets/STP/2024.csv#stp-2024-25105-006-1053,CENTRO DE IDENTIFICAÇÃO CIVIL E CRIMINAL - Capacitação do Pessoal
Exercício 2024,25000,"MINISTÉRIO DA JUSTIÇA, ADMINISTRAÇÃO PÚBLICA E DOS DIREITOS HUMANOS",25110,GUICHET ÚNICO PARA EMPRESAS,004,Administração Geral dos Organismos,2000,Funcionamento e Manutenção da Unidade,33111000 Material de Consumo de Secretaria; 33112000 Combustíveis e Lubrificantes,printed,printed,programme,,25000,,,,,,,appropriated,appropriated,partial,false,STN,budget-document,budget-estimates,"OGE 2024 vol. 5 Despesas Geral (Resumo de Despesas por U.G.-Função-SF-PG-P/A-FR-AC-Natureza Económica), p. 37, U.G. 25110 GUICHET ÚNICO PARA EMPRESAS, Actividade, P/A 2000 Funcionamento e Manutenção da Unidade, VALOR DOTAÇÃO",2024-02-14-stp-oge-2024-despesas-geral-companion,,budgets/STP/2024.csv#stp-2024-25110-004-2000,GUICHET ÚNICO PARA EMPRESAS - Funcionamento e Manutenção da Unidade
