facility_id,facility_name,country,country_name,city,operational_status,year_operational,facility_type,services_offered,govt_data_hosted,operator_name,ownership_type,ownership_structure_type,parent_company,parent_hq_country,ultimate_parent_company,ultimate_parent_hq_country,major_shareholders,government_ownership_pct,foreign_ownership_pct,controlling_entities,control_mechanisms,recent_investments,dfi_involvement,investment_usd,expansion_plans,key_tenants,hyperscaler_relationships,hyperscaler_microsoft,hyperscaler_aws,hyperscaler_google,hyperscaler_presence,cloud_act_exposure,chinese_involvement,chinese_entities,foreign_dependency_score,open_source_stack,data_residency_guarantee,local_dp_compliance,total_floor_space_sqm,rack_capacity,it_capacity_mw,submarine_cable_access,ixp_presence,carrier_neutrality,gpu_ai_capability,server_vendors,cloud_platform,security_certifications,gps_coordinates,control_category,control_confidence,control_rationale,comments,source_urls,raw_slugs,last_verified
AGO-001,AngoNAP Luanda,AGO,Angola,Luanda,Operational,,Colocation/carrier-neutral,Colocation; IP Transit; Internet Peering; IXP hosting (AngonIX); Carrier interconnect; Cloud connect (ACloud Connect to AWS/Oracle/GCP/IBM),Unknown,Angola Cables,Government / SOE,Private joint venture of Angolan state-controlled telecom operators,Angola Telecom E.P.,AGO,Angolan Government (via 100% ownership of Angola Telecom),AGO,"Of Angola Cables: Angola Telecom [51%](https://www.submarinenetworks.com/en/systems/brazil-africa/sacs), Unitel [31%](https://www.submarinenetworks.com/en/systems/brazil-africa/sacs), MSTelcom (9%), Movicel (6%), Startel (3%)","At least 91% (Angola Telecom 51% and Unitel 31%, both wholly state-owned; MSTelcom 9%, a Sonangol subsidiary)",,Angolan Government (via 100% ownership of Angola Telecom),Equity,,"None identified for the facility. JBIC lent US$109.7M, co-financed by SMBC with NEXI cover, through Banco de Desenvolvimento de Angola for the SACS cable, not this facility [SubTel Forum](https://subtelforum.com/23japan-s-jbic-smbc-provide-finance-for-angola-brazil-underwater-cable/)",,Unknown,"Angonix members at the site include Angola Telecom, Unitel, Movicel, Mundo Startel, TV Cabo and Banco Nacional de Angola","Google: Angola Cables, the operator, co-owns the Monet cable (Fortaleza–Miami) with Google; cable partnership through the operator, no tenancy here. Microsoft peers at Angonix (AS8075); no tenancy or on-ramp confirmed",No,No,Yes,Yes,Partial (US hyperscaler service on site),None identified,,Moderate,Unknown,Unknown,Unknown,,400,,Dark fibre connection to landing station,IXP hosted on-site,Fully carrier-neutral,No evidence,Unknown,Clouds2Africa (Angola Cables' own cloud platform),Unknown,"-8.9035, -13.2825",African control,high,African ultimate parent (Angola),"Host facility for AngonIX (Angola national IXP). Connected to SACS and WACS cable systems landing at Sangano. Angola Cables is a JV of Angola Telecom (51%); Unitel (31%); MSTelcom (9%); Movicel (6%); Startel (3%). Tier III per Angola Cables catalogue (99.982% availability). GPS approximate from address on Av. Pedro de Castro Van Dunen Loy. AngonIX moving to Raxio AG1 per Oct 2025 announcement.. [DCD](https://www.datacenterdynamics.com/en/news/angola-cables-to-build-second-data-center-in-fortaleza-brazil/), [Wikipedia Angola Telecom](https://en.wikipedia.org/wiki/Angola_Telecom), [Developing Telecoms Unitel](https://developingtelecoms.com/telecom-business/operator-news/14149-unitel-now-owned-by-the-angolan-state.html), [Xalam Analytics](https://xalamanalytics.com/connectivity-and-wholesale/the-fabulous-rise-of-angola-cables/)",https://www.datacentermap.com/angola/luanda/angonap/; https://angolacables.co.ao; https://www.submarinenetworks.com/en/systems/brazil-africa/sacs; https://pages.angolacables.com/wp-content/uploads/2022/11/Catalogue-Commercial-2022.pdf; https://www.datacenterdynamics.com/en/news/angola-cables-to-build-second-data-center-in-fortaleza-brazil/; https://en.wikipedia.org/wiki/Angola_Telecom; https://developingtelecoms.com/telecom-business/operator-news/14149-unitel-now-owned-by-the-angolan-state.html; https://xalamanalytics.com/connectivity-and-wholesale/the-fabulous-rise-of-angola-cables/; https://subtelforum.com/23japan-s-jbic-smbc-provide-finance-for-angola-brazil-underwater-cable/; https://www.nec.com/en/press/201604/global_20160406_02.html,2022-11-01 Angola Cables - Commercial Catalogue 2022,2026-09-21
AGO-002,Paratus Angola DC1,AGO,Angola,Luanda,Operational,2017,Colocation/carrier-neutral,Colocation; Cloud hosting; Virtual servers; Online backup; VPN; Satellite services; Remote Hands,Unknown,Paratus Angola (Internet Technologies Angola S.A.),Private foreign,Private holding company (Mauritius),Paratus Group,MUS,"Paratus Group Holdings LTD (private, no further public ownership details)",MUS,,,Not specified,Paratus Group,Equity: Paratus Group owns and operates the Luanda data centres through Paratus Angola [Paratus](https://paratus.africa/blog/paratus-announces-its-biggest-data-center-project-yet/),None identified for the facility. Group level: EAIF and Ninety One $31m debt facility (Nov 2023) for fibre routes and Paratus's planned Tier IV data centre in Angola [paratus.africa](https://paratus.africa/blog/paratus-group-secures-funding-for-infrastructure-expansion-projects/),None identified for the facility. Group level: EAIF (PIDG) $31m debt (2023) to Paratus Group for fibre routes and its planned Tier IV Angola data centre [paratus.africa](https://paratus.africa/blog/paratus-group-secures-funding-for-infrastructure-expansion-projects/),,Unknown,,None identified,No,No,No,No,No (no US parent or hyperscaler service),None identified,,Moderate,Unknown,Unknown,Unknown,,,2,Dark fibre connection to landing station,IXP connected (not hosted),Fully carrier-neutral,No evidence,Unknown,Unknown,ISO 27001; PCI-DSS; ISO 9001,"-8.8937, -13.2784",African control,medium,"African ultimate parent: Paratus Group Holdings Ltd, incorporated in Mauritius and run from Windhoek","Built 2016; launched 2017. Now 100% occupied (capacity ~1500 servers). Located at Patriota campus Lar-Do-Patriota Luanda. Rebranded from ITA to Paratus Angola July 2022. Connectivity to SAT-3 and WACS on independent fibre paths plus microwave redundancy and satellite teleport on-site. Tier III-by-design. ISO 9001; ISO 27001; PCI-DSS certified per Paratus Group. GPS approximate. Rack count approximated as ~40 racks from server count. The 2 MW is Datacentermap's listing figure and may be total rather than IT power.. [Paratus Investor Page](https://paratus.africa/invest/), [Simply Wall St Ownership](https://simplywall.st/stocks/na/telecom/nmse-pnh/paratus-namibia-holdings-shares/ownership), [Data Centers Blog](https://paratus.africa/blog/paratus-data-centers-unequalled-in-africa/), [EAIF Funding](https://paratus.africa/blog/paratus-group-secures-funding-for-infrastructure-expansion-projects/) Paratus Group Holdings Ltd, incorporated in Mauritius, is the Paratus Group's holding company and holds 53.81% of Paratus Namibia Holdings; Internet Technologies Angola S.A. is a sister company under common shareholders, not a PNH subsidiary (PNH Integrated Report 2025).",https://www.paratus.ao/en/datacenter-ita-paratus/; https://www.datacentermap.com/angola/luanda/ita-luanda/; https://paratus.africa/services/data-center-services/; https://simplywall.st/stocks/na/telecom/nmse-pnh/paratus-namibia-holdings-shares/ownership; https://paratus.africa/invest/; https://www.namibian.com.na/paratus-to-invest-n123m-in-data-centre-2/; https://paratus.africa/blog/paratus-group-secures-funding-for-infrastructure-expansion-projects/; https://paratus.africa/blog/paratus-data-centers-unequalled-in-africa/; https://www.datacenterdynamics.com/en/news/paratus-group-to-build-third-angola-data-center/; https://paratus.africa/docs/Paratus-Annual-Report-2025-online.pdf; https://paratus.africa/blog/paratus-announces-its-biggest-data-center-project-yet/,"2023-06-27 Paratus to build third Angola data center (DC3, Tier IV); 2023-06-26-paratus-angola-tier-iv-data-centre-announcement; 2023-11-09-paratus-group-us31m-eaif-ninety-one-funding",2026-09-21
AGO-003,Paratus Angola DC2,AGO,Angola,Luanda,Operational,2019,Colocation/carrier-neutral,Colocation; Cloud hosting; Virtual servers; Online backup; VPN; Satellite services; Carrier-neutral connectivity; Remote Hands,Unknown,Paratus Angola (Internet Technologies Angola S.A.),Private foreign,Private holding company (Mauritius),Paratus Group,MUS,"Paratus Group Holdings LTD (private, no further public ownership details)",MUS,,,Not specified,Paratus Group,Equity: Paratus Group owns and operates the Luanda data centres through Paratus Angola [Paratus](https://paratus.africa/blog/paratus-announces-its-biggest-data-center-project-yet/),None identified for the facility. Group level: EAIF and Ninety One $31m debt facility (Nov 2023) for fibre routes and Paratus's planned Tier IV data centre in Angola [paratus.africa](https://paratus.africa/blog/paratus-group-secures-funding-for-infrastructure-expansion-projects/),None identified for the facility. Group level: EAIF (PIDG) $31m debt (2023) to Paratus Group for fibre routes and its planned Tier IV Angola data centre [paratus.africa](https://paratus.africa/blog/paratus-group-secures-funding-for-infrastructure-expansion-projects/),,Unknown,,None identified,No,No,No,No,No (no US parent or hyperscaler service),None identified,,Moderate,Unknown,Unknown,Self-declared compliant,,180,,Dark fibre connection to landing station,IXP connected (not hosted),Fully carrier-neutral,No evidence,Unknown,Unknown,ISO 27001; PCI-DSS; ISO 9001,"-8.8937, -13.2784",African control,medium,"African ultimate parent: Paratus Group Holdings Ltd, incorporated in Mauritius and run from Windhoek","Inaugurated 2019. Largest existing Paratus facility in Angola: 2 floors; 3 generators; capacity for 7000+ servers (180 racks per DataCenterMap). Connected to SAT-3; WACS; SACS; satellite. Connected to Angola IXP with 200 Gbits DWDM. ISO 9001; ISO 27001; PCI-DSS certified. Paratus HQ is Namibia (foreign private parent). Same campus as DC1 (29th Street; Epal 30; Patriota). GPS approximate.. [Paratus Investor Page](https://paratus.africa/invest/), [Simply Wall St Ownership](https://simplywall.st/stocks/na/telecom/nmse-pnh/paratus-namibia-holdings-shares/ownership), [Data Centers Blog](https://paratus.africa/blog/paratus-data-centers-unequalled-in-africa/), [EAIF Funding](https://paratus.africa/blog/paratus-group-secures-funding-for-infrastructure-expansion-projects/) Paratus Group Holdings Ltd, incorporated in Mauritius, is the Paratus Group's holding company and holds 53.81% of Paratus Namibia Holdings; Internet Technologies Angola S.A. is a sister company under common shareholders, not a PNH subsidiary (PNH Integrated Report 2025).",https://www.paratus.ao/en/datacenter-ita-paratus/; https://www.datacentermap.com/angola/luanda/; https://www.datacenterdynamics.com/en/news/paratus-secures-31-million-credit-facility-to-build-angolan-data-center/; https://paratus.africa/services/data-center-services/; https://simplywall.st/stocks/na/telecom/nmse-pnh/paratus-namibia-holdings-shares/ownership; https://paratus.africa/invest/; https://www.namibian.com.na/paratus-to-invest-n123m-in-data-centre-2/; https://paratus.africa/blog/paratus-group-secures-funding-for-infrastructure-expansion-projects/; https://paratus.africa/blog/paratus-data-centers-unequalled-in-africa/; https://www.datacenterdynamics.com/en/news/paratus-group-to-build-third-angola-data-center/; https://paratus.africa/docs/Paratus-Annual-Report-2025-online.pdf; https://paratus.africa/blog/paratus-announces-its-biggest-data-center-project-yet/,"2023-06-27 Paratus to build third Angola data center (DC3, Tier IV); 2023-06-26-paratus-angola-tier-iv-data-centre-announcement; 2023-11-09-paratus-group-us31m-eaif-ninety-one-funding",2026-09-21
AGO-004,Paratus Angola DC3 (planned Tier IV),AGO,Angola,Luanda,Unknown,,Colocation/carrier-neutral,Colocation; Carrier-neutral connectivity; Cloud; Enterprise hosting,Unknown,Paratus Angola (Internet Technologies Angola S.A.),Private foreign,Private holding company (Mauritius),Paratus Group,MUS,"Paratus Group Holdings LTD (private, no further public ownership details)",MUS,,,Not specified,Paratus Group,Equity: Paratus Group is building the facility and owns and operates its two other Luanda data centres through Paratus Angola [Paratus](https://paratus.africa/blog/paratus-announces-its-biggest-data-center-project-yet/),"EAIF and Ninety One $31m debt facility (Nov 2023) to Paratus Group, for fibre routes and completion of this data centre [paratus.africa](https://paratus.africa/blog/paratus-group-secures-funding-for-infrastructure-expansion-projects/)","EAIF (PIDG) $31m debt (2023) to Paratus Group, partly for this data centre and partly for fibre routes [paratus.africa](https://paratus.africa/blog/paratus-group-secures-funding-for-infrastructure-expansion-projects/)",,Unknown,,None identified,No,No,No,No,No (no US parent or hyperscaler service),None identified,,Moderate,Unknown,Unknown,Unknown,,2000,10,Dark fibre connection to landing station,Unknown,Fully carrier-neutral,Unknown,Unknown,Unknown,Unknown,,African control,medium,"African ultimate parent: Paratus Group Holdings Ltd, incorporated in Mauritius and run from Windhoek","Announced June 2023. First Tier-IV-by-design facility in Angola. Planned for 30000 sqm plot in Luanda; 10MW IT capacity; 2000+ cabinets. Partly funded by $31M EAIF/Ninety One debt facility (Nov 2023). No confirmed construction start or completion date as of March 2026. Classified Planned (status=3).. [Paratus Investor Page](https://paratus.africa/invest/), [Simply Wall St Ownership](https://simplywall.st/stocks/na/telecom/nmse-pnh/paratus-namibia-holdings-shares/ownership), [Data Centers Blog](https://paratus.africa/blog/paratus-data-centers-unequalled-in-africa/), [EAIF Funding](https://paratus.africa/blog/paratus-group-secures-funding-for-infrastructure-expansion-projects/) Paratus Group Holdings Ltd, incorporated in Mauritius, is the Paratus Group's holding company and holds 53.81% of Paratus Namibia Holdings; Internet Technologies Angola S.A. is a sister company under common shareholders, not a PNH subsidiary (PNH Integrated Report 2025).",https://www.datacenterdynamics.com/en/news/paratus-group-to-build-third-angola-data-center/; https://www.datacenterdynamics.com/en/news/paratus-secures-31-million-credit-facility-to-build-angolan-data-center/; https://paratus.africa/blog/paratus-announces-its-biggest-data-center-project-yet/; https://simplywall.st/stocks/na/telecom/nmse-pnh/paratus-namibia-holdings-shares/ownership; https://paratus.africa/invest/; https://www.namibian.com.na/paratus-to-invest-n123m-in-data-centre-2/; https://paratus.africa/blog/paratus-group-secures-funding-for-infrastructure-expansion-projects/; https://paratus.africa/blog/paratus-data-centers-unequalled-in-africa/; https://furtherafrica.com/2023/11/09/paratus-group-secures-us31m-to-expand-fibre-and-data-investments-across-africa/; https://paratus.africa/docs/Paratus-Annual-Report-2025-online.pdf,"2023-06-27 Paratus to build third Angola data center (DC3, Tier IV); 2023-01-01-pidg-reg-paratus-2023-paratus-fibre-and-data-centre-expansion; 2023-06-26-paratus-angola-tier-iv-data-centre-announcement; 2023-11-09-paratus-group-us31m-eaif-ninety-one-funding",2026-09-21
AGO-005,MSTelcom TCC (Telecom Command Centre),AGO,Angola,Luanda,Operational,,Colocation/carrier-neutral,Colocation; IP Transit; Satellite hub; Telecommunications services; NOC; Oil industry ICT services,Unknown,"MSTelcom (Mercury Serviços de Telecomunicações, S.A.)",Government / SOE,Wholly state-owned (Empresa Pública),Sonangol Group,AGO,Government of Angola,AGO,Angolan State (100%),100%,,Government of Angola,Equity,,None identified,,Unknown,,None identified,No,No,No,No,No (no US parent or hyperscaler service),None identified,,Low,Unknown,Unknown,Unknown,,,,Dark fibre connection to landing station,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"-8.8170, -13.2364",African control,high,African ultimate parent (Angola),"Main MSTelcom datacenter and telecom hub. 5 computer rooms for customer hosting. 24/7 NOC. Redundant power with 3 generators. Diverse fibre and radio links across Luanda metro; national radio link south to Benguela. Main satellite hub. MSTelcom is subsidiary of Sonangol Group (state oil company). Rua Farol da Lagostas 1 Luanda. GPS approximate. Uptime Institute listed. No tier or capacity publicly confirmed.. [Sonangol 2022 Financial Statements](https://www.sonangol.co.ao/wp-content/uploads/2023/06/Consolidated-Financial-Statements-2022-EN.pdf), [Sonangol Wikipedia](https://en.wikipedia.org/wiki/Sonangol_Group), [Africa-Press Data Center Article](https://www.africa-press.net/angola/all-news/sonangol-opens-new-corporate-data-center), [Bloomberg IPO News](https://www.bloomberg.com/news/articles/2026-02-25/angolan-oil-firm-sonangol-presses-ahead-with-ipo-despite-delays)",https://www.datacentermap.com/angola/luanda/mstelcom-tcc/; https://uptimeinstitute.com/uptime-institute-awards/list/datacenter/asa-mstelcom-data-centre/330; https://www.sonangol.co.ao/wp-content/uploads/2023/06/Consolidated-Financial-Statements-2022-EN.pdf; https://en.wikipedia.org/wiki/Sonangol_Group; https://www.africa-press.net/angola/all-news/sonangol-opens-new-corporate-data-center; https://www.bloomberg.com/news/articles/2026-02-25/angolan-oil-firm-sonangol-presses-ahead-with-ipo-despite-delays; https://www.mstelcom.co.ao/a-empresa/,,2026-09-21
AGO-006,MSTelcom ZEE DC,AGO,Angola,Luanda,Operational,2015,Colocation/carrier-neutral,Colocation; Cloud; Carrier-neutral hosting,Unknown,"MSTelcom (Mercury Serviços de Telecomunicações, S.A.)",Government / SOE,Wholly state-owned (Empresa Pública),Sonangol Group,AGO,Government of Angola,AGO,Angolan State (100%),100%,,Government of Angola,Equity,,None identified,,Unknown,,None identified,No,No,No,No,No (no US parent or hyperscaler service),None identified,,Low,Unknown,Unknown,Unknown,,,,Connected via metro fibre,Unknown,Fully carrier-neutral,Unknown,Unknown,Unknown,Unknown,"-8.9300, -13.1800",African control,high,African ultimate parent (Angola),"Second MSTelcom datacenter. Located Viana industrial zone Estrada de Catete Km 27. Designed to Tier III standard; only 20% of available space built out - significant expansion room. Three fibre ways; radio links to other MSTelcom DCs; satellite hub. Carrier neutral. GPS approximate (Viana area).. [Sonangol 2022 Financial Statements](https://www.sonangol.co.ao/wp-content/uploads/2023/06/Consolidated-Financial-Statements-2022-EN.pdf), [Sonangol Wikipedia](https://en.wikipedia.org/wiki/Sonangol_Group), [Africa-Press Data Center Article](https://www.africa-press.net/angola/all-news/sonangol-opens-new-corporate-data-center), [Bloomberg IPO News](https://www.bloomberg.com/news/articles/2026-02-25/angolan-oil-firm-sonangol-presses-ahead-with-ipo-despite-delays)",https://www.datacentermap.com/angola/luanda/mstelcom-zee-dc/; https://www.sonangol.co.ao/wp-content/uploads/2023/06/Consolidated-Financial-Statements-2022-EN.pdf; https://en.wikipedia.org/wiki/Sonangol_Group; https://www.africa-press.net/angola/all-news/sonangol-opens-new-corporate-data-center; https://www.bloomberg.com/news/articles/2026-02-25/angolan-oil-firm-sonangol-presses-ahead-with-ipo-despite-delays; https://www.mstelcom.co.ao/a-empresa/,,2026-09-21
AGO-007,MSTelcom Benfica DC,AGO,Angola,Luanda,Unknown,2016,Colocation/carrier-neutral,Disaster recovery; Colocation; Telecommunications,Unknown,"MSTelcom (Mercury Serviços de Telecomunicações, S.A.)",Government / SOE,Wholly state-owned (Empresa Pública),Sonangol Group,AGO,Government of Angola,AGO,Angolan State (100%),100%,,Government of Angola,Equity,,None identified,,Unknown,,None identified,No,No,No,No,No (no US parent or hyperscaler service),None identified,,Low,Unknown,Unknown,Unknown,880,,1.25,Connected via metro fibre,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"-8.9500, -13.2200",African control,high,African ultimate parent (Angola),"Third MSTelcom datacenter in Luanda; positioned as DR site. 880 sqm open floor space plus 280 sqm warehouse. 1.25 MW IT capacity. Tier III design principles. Three generators connected to 50000L fuel tank. Two fibre paths; radio link to other MSTelcom DCs; satellite link. Located Rua 60 Belas. GPS approximate.. [Sonangol 2022 Financial Statements](https://www.sonangol.co.ao/wp-content/uploads/2023/06/Consolidated-Financial-Statements-2022-EN.pdf), [Sonangol Wikipedia](https://en.wikipedia.org/wiki/Sonangol_Group), [Africa-Press Data Center Article](https://www.africa-press.net/angola/all-news/sonangol-opens-new-corporate-data-center), [Bloomberg IPO News](https://www.bloomberg.com/news/articles/2026-02-25/angolan-oil-firm-sonangol-presses-ahead-with-ipo-despite-delays) MSTelcom's milestones list the Benfica data centre as completed in 2016; no current operator page or PeeringDB record shows it in service (checked 21 September 2026).",https://www.datacentermap.com/angola/luanda/mstelecon-benfica/; https://www.sonangol.co.ao/wp-content/uploads/2023/06/Consolidated-Financial-Statements-2022-EN.pdf; https://en.wikipedia.org/wiki/Sonangol_Group; https://www.africa-press.net/angola/all-news/sonangol-opens-new-corporate-data-center; https://www.bloomberg.com/news/articles/2026-02-25/angolan-oil-firm-sonangol-presses-ahead-with-ipo-despite-delays; https://www.mstelcom.co.ao/a-empresa/,,2026-09-21
AGO-008,Unitel Luanda Sul,AGO,Angola,Luanda,Operational,2005,Enterprise,Colocation; IP Transit; Internet; VPN; Transmission circuits; Business continuity,Unknown,Unitel S.A.,Government / SOE,Fully state-owned enterprise (nationalized 2022),"Angolan State (50% directly, via IGAPE); Sonangol E.P. (50%, through PT Ventures and MSTelcom)",AGO,Angolan Government (100% state-owned),AGO,"Of Unitel S.A.: Angolan State via IGAPE (50%), MS Telcom (25%), PT Ventures (25%); Sonangol E.P. owns PT Ventures outright and MS Telcom through itself and Sonangol Holdings [BFA](https://www.bfa.ao/media/4463/nationalization-of-unitel-by-the-angolan-state.pdf)",Full ownership and control (nationalized Oct 2022),,Angolan Government (100% state-owned),Equity,,"None identified for the facility. Group level: IFC advisory services to Unitel Money, Unitel's mobile-money subsidiary, over 24 months (no financing) [Techpression](https://techpression.com/ifc-unitel-money-partner-to-boost-digital-payments-in-angola/)",,Unknown,,None identified,No,No,No,No,No (no US parent or hyperscaler service),None identified,,Low,Unknown,Unknown,Unknown,,,,Connected via metro fibre,Unknown,Single carrier / captive,Unknown,Unknown,Unknown,Unknown,"-8.9780, -13.2610",African control,high,African ultimate parent (Angola),"Unitel Luanda Sul: 16000 sqm total plot; year operational 2005. N+2 UPS and standby power (APC). N+2 cooling redundancy. 1 network provider at MMR. Partners with Unitel FILDA (AGO-009) for business continuity. Unitel is Angola's largest mobile operator. Located Rua Eng. Pedro de Castro Van-Dunem Loy Luanda. GPS approximate. Unitel was nationalised in October 2022: the state holds 50% directly and Sonangol 50% through PT Ventures and MSTelcom.. [Wikipedia Unitel Angola](https://en.wikipedia.org/wiki/Unitel_(Angola)), [Developing Telecoms Nationalization](https://developingtelecoms.com/telecom-business/operator-news/14149-unitel-now-owned-by-the-angolan-state.html), [Bloomberg Privatization](https://www.bloomberg.com/news/articles/2025-01-23/angola-to-sell-stakes-in-telco-unitel-and-local-banks), [BFA Announcement](https://www.bfa.ao/media/4463/nationalization-of-unitel-by-the-angolan-state.pdf), [Ericsson](https://www.ericsson.com/en/press-releases/1/2025/unitel-and-ericsson-strengthen-angolas-connectivity-with-network-modernization), [Huawei Partnership](https://www.mobileworldlive.com/unitel-and-huawei-further-strengthen-partnership-through-joint-innovations/)",https://www.datacentermap.com/angola/luanda/unitel-luanda-sul/specs/; https://www.ericsson.com/en/press-releases/1/2025/unitel-and-ericsson-strengthen-angolas-connectivity-with-network-modernization; https://en.wikipedia.org/wiki/Unitel_(Angola); https://developingtelecoms.com/telecom-business/operator-news/14149-unitel-now-owned-by-the-angolan-state.html; https://www.bloomberg.com/news/articles/2025-01-23/angola-to-sell-stakes-in-telco-unitel-and-local-banks; https://www.bfa.ao/media/4463/nationalization-of-unitel-by-the-angolan-state.pdf; https://www.mobileworldlive.com/unitel-and-huawei-further-strengthen-partnership-through-joint-innovations/; https://techpression.com/ifc-unitel-money-partner-to-boost-digital-payments-in-angola/,2025-03-06-unitel-ericsson-angola-network-modernization,2026-09-21
AGO-009,Unitel FILDA,AGO,Angola,Luanda,Operational,,Enterprise,Colocation; Business continuity; DR mirroring; IP Transit,Unknown,Unitel S.A.,Government / SOE,Fully state-owned enterprise (nationalized 2022),"Angolan State (50% directly, via IGAPE); Sonangol E.P. (50%, through PT Ventures and MSTelcom)",AGO,Angolan Government (100% state-owned),AGO,"Of Unitel S.A.: Angolan State via IGAPE (50%), MS Telcom (25%), PT Ventures (25%); Sonangol E.P. owns PT Ventures outright and MS Telcom through itself and Sonangol Holdings [BFA](https://www.bfa.ao/media/4463/nationalization-of-unitel-by-the-angolan-state.pdf)",Full ownership and control (nationalized Oct 2022),,Angolan Government (100% state-owned),Equity,,"None identified for the facility. Group level: IFC advisory services to Unitel Money, Unitel's mobile-money subsidiary, over 24 months (no financing) [Techpression](https://techpression.com/ifc-unitel-money-partner-to-boost-digital-payments-in-angola/)",,Unknown,,None identified,No,No,No,No,No (no US parent or hyperscaler service),None identified,,Low,Unknown,Unknown,Unknown,,,2,Connected via metro fibre,Unknown,Limited carriers,Unknown,Unknown,Unknown,Unknown,"-8.8300, -13.2300",African control,high,African ultimate parent (Angola),"Unitel FILDA: 2.0 MW power capacity; 300-ton cooling capacity. Used as mirror/BC site to Unitel Luanda Sul (AGO-008). Multiple carrier connectivity. Located Rua das Flores Luanda. GPS approximate. No tier certification publicly confirmed.. [Wikipedia Unitel Angola](https://en.wikipedia.org/wiki/Unitel_(Angola)), [Developing Telecoms Nationalization](https://developingtelecoms.com/telecom-business/operator-news/14149-unitel-now-owned-by-the-angolan-state.html), [Bloomberg Privatization](https://www.bloomberg.com/news/articles/2025-01-23/angola-to-sell-stakes-in-telco-unitel-and-local-banks), [BFA Announcement](https://www.bfa.ao/media/4463/nationalization-of-unitel-by-the-angolan-state.pdf), [Ericsson](https://www.ericsson.com/en/press-releases/1/2025/unitel-and-ericsson-strengthen-angolas-connectivity-with-network-modernization), [Huawei Partnership](https://www.mobileworldlive.com/unitel-and-huawei-further-strengthen-partnership-through-joint-innovations/)",https://inflect.com/building/rua-das-flores-luanda/unitel-sa/datacenter/filda; https://www.datacentermap.com/angola/luanda/unitel-luanda-sul/specs/; https://en.wikipedia.org/wiki/Unitel_(Angola); https://developingtelecoms.com/telecom-business/operator-news/14149-unitel-now-owned-by-the-angolan-state.html; https://www.bloomberg.com/news/articles/2025-01-23/angola-to-sell-stakes-in-telco-unitel-and-local-banks; https://www.bfa.ao/media/4463/nationalization-of-unitel-by-the-angolan-state.pdf; https://www.ericsson.com/en/press-releases/1/2025/unitel-and-ericsson-strengthen-angolas-connectivity-with-network-modernization; https://www.mobileworldlive.com/unitel-and-huawei-further-strengthen-partnership-through-joint-innovations/; https://techpression.com/ifc-unitel-money-partner-to-boost-digital-payments-in-angola/,2025-03-06-unitel-ericsson-angola-network-modernization,2026-09-21
AGO-010,Multipla Data Center,AGO,Angola,Luanda,Operational,2013,Colocation/carrier-neutral,Colocation; Backup (EMC; NetApp; Cloud); Cloud services; NOC; Corporate rooms; Remote Hands,Unknown,Convexa (formerly Multipla),Unknown,"Private limited company (Lda), privately held",,,Unknown (no public information; privately held),,Not publicly disclosed,None identified,,Unknown (no public information; privately held),Equity,,None identified,,Unknown,,None identified,No,No,No,No,Unknown,None identified,,Insufficient data,Unknown,Unknown,Unknown,,51,,Connected via metro fibre,IXP connected (not hosted),Fully carrier-neutral,Unknown,Unknown,Unknown,Unknown,"-8.9700, -13.1600",,low,Ultimate owner not identified: Multipla (now Convexa) is a privately held Luanda company that discloses no shareholders,"Opened 2013. Angolan private domestic operator. 36 racks colocation + 15 for own infrastructure (51 total). APC by Schneider Electric UPS and cooling. Certified to international standards. Located Estrada Viana KM 19 Luanda. Serves banking; insurance; distribution sectors. GPS approximate (Viana/Tala-Hady). No formal Tier certification publicly confirmed.. [Multipla website](https://multipla.co.ao/), [Convexa website](https://convexa.ao/), [Technology Magazine profile](https://technologymagazine.com/company/multipla-lda), [LinkedIn company page](https://www.linkedin.com/company/convexa-ao), [GUE Angola registry](https://www.gue.gov.ao/)",https://www.datacentermap.com/angola/luanda/multipla/; https://technologymagazine.com/company-reports/multipla-revolutionising-africas-data-centre-industry; https://multipla.co.ao/; https://convexa.ao/; https://technologymagazine.com/company/multipla-lda; https://www.linkedin.com/company/convexa-ao; https://www.gue.gov.ao/,,2026-09-21
