facility_id,url,status,http_code,final_url,wayback_url,cached,checked,raw_slug,supports,note
AGO-001,https://angolacables.co.ao,thin,200,https://angolacables.co.ao/,,,2026-09-21,,unreadable,
AGO-001,https://developingtelecoms.com/telecom-business/operator-news/14149-unitel-now-owned-by-the-angolan-state.html,live,200,,,48d5cb3b6cfcc9c088838379432bf8efd0ba3261.txt,2026-09-21,,government_ownership_pct,staged dataset-data-centres-AGO
AGO-001,https://en.wikipedia.org/wiki/Angola_Telecom,live,200,,,b0e54b9b77a02fe3063294454b796c4818475515.txt,2026-09-21,,ultimate_parent_company; ultimate_parent_hq_country; controlling_entities; government_ownership_pct,"not staged: reference page, cited in place"
AGO-001,https://pages.angolacables.com/wp-content/uploads/2022/11/Catalogue-Commercial-2022.pdf,live,200,,,6776ae95661ad099324271262908fa34066f0ebc.txt,2026-09-21,2022-11-01 Angola Cables - Commercial Catalogue 2022,facility_type; services_offered; ixp_presence; cloud_platform; key_tenants,
AGO-001,https://subtelforum.com/23japan-s-jbic-smbc-provide-finance-for-angola-brazil-underwater-cable/,live,200,,,ccf2a04429db7154bdbd64da094fe45f5c601c92.txt,2026-09-21,,,staged dataset-data-centres-AGO-t9
AGO-001,https://www.datacenterdynamics.com/en/news/angola-cables-to-build-second-data-center-in-fortaleza-brazil/,live,200,,,b07bc5c8cf4ccf40646bb801ed8e4b6f9c3e2ea4.txt,2026-09-21,,operational_status; operator_name; major_shareholders; rack_capacity; hyperscaler_relationships; hyperscaler_google,staged dataset-data-centres-AGO
AGO-001,https://www.datacentermap.com/angola/luanda/angonap/,live,200,,,c0d7bece0ba2b69917ae8b8ee7c739e53c3b2f91.txt,2026-09-21,,city; operator_name; services_offered,"not staged: reference page, cited in place"
AGO-001,https://www.nec.com/en/press/201604/global_20160406_02.html,live,200,,,f52aca0021fdb195b69d567ef1111e5fdeda3c5e.txt,2026-09-21,,,"not staged: no publication date readable, cited in place"
AGO-001,https://www.submarinenetworks.com/en/systems/brazil-africa/sacs,live,200,,,feaba53dfdfeac2e11dad4a828085853c77a3d0e.txt,2026-09-21,,major_shareholders; parent_company; ownership_type,"not staged: no publication date readable, cited in place"
AGO-001,https://xalamanalytics.com/connectivity-and-wholesale/the-fabulous-rise-of-angola-cables/,live,200,,,b175a395a8a17966b4e9d2554c2d28a5b525da33.txt,2026-09-21,,operator_name; hyperscaler_relationships; hyperscaler_google,"not staged: no publication date readable, cited in place"
AGO-002,https://paratus.africa/blog/paratus-data-centers-unequalled-in-africa/,live,200,,,b3ca6b786df7610fe8fc5987bdc099c7cfb5d927.txt,2026-09-21,,operator_name; parent_company; facility_type; carrier_neutrality; security_certifications; controlling_entities,staged dataset-data-centres-AGO
