recipient_country,start_year,end_year,financier,sector,instrument,commitment_usd_m,amount_basis,amount_quality,status,title,description,beneficiary_type,recipient_organisation,original_amount,project_id,iati_activity_id,url,financier_slug,record
GMB,2026,2026,Korea Ministry of Foreign Affairs,Training and skills,Grant,,,stated,Active,Digital Capacity Building for Youth Workers in African Continent(25-27)(2026),"Strengthening the digital capacity of young leaders and relevant stakeholders across the African continent, creating an environment conducive to effective digital youth policies, quality youth services, and youth empowerment.",Public Sector,,"KRW 19,334,584",B260003_2025_143,KR-GOV-010-KR-GOV-051-2026040101955002,https://d-portal.iatistandard.org/ctrack.html#view=act&aid=KR-GOV-010-KR-GOV-051-2026040101955002,korea-ministry-of-foreign-affairs,2026-01-01-iati-kr-gov-010-kr-gov-051-2026040101955002-gmb-digital-youth-capacity
GMB,2026,,Sysroad,Connectivity,PPP,50,commitment,reported,Approved,"SYSROAD — GAMTEL national broadband modernisation PPP, The Gambia, 2026","""The Gambia Telecommunications Company Ltd (GAMTEL) has entered a US$50 million Public-Private Partnership (PPP) with SYSROAD SA HOLDING to upgrade, expand, and modernize the country's national broadband and telecommunications infrastructure."" ""The project will modernize the national internet backbone, increasing capacity from 40Gbps to 800Gbps, a nearly 20-fold expansion."" Signed at the Bakadaji Hotel in Bijilo.",Public Sector,GAMTEL,,,,https://techafricanews.com/2026/01/05/gamtel-and-sysroad-sign-50-million-ppp-to-modernize-the-gambias-broadband-network/,sysroad,2026-01-01-sysroad-gmb-2026-gamtel-broadband-ppp-bw07
GMB,2026,,Ycell,Connectivity,Equity,84,commitment,reported,Approved,"YCELL — GAMCEL network modernisation, 2026","""Under the agreement, YCELL will acquire an 80% equity stake in GAMCEL and bring both financial and technical expertise to modernise the company's network infrastructure and transform its business operations."" ""As part of the agreement, YCELL has committed to invest GMD 6.1 billion in a comprehensive infrastructure and network modernisation programme aimed at delivering world-class telecommunications services across The Gambia."" The programme includes ""nationwide deployment of 4G/LTE and 5G radio access networks, core network upgrades, and the implementation of next-generation OSS/BSS, Customer Relationship Management (CRM), and convergent billing systems,"" a new GAMCEL head office, hybrid power at tower sites, and revenue-assurance/fraud-management systems. The agreement was signed the day before the 2026-07-10 report (signing ~2026-07-09).",Public Sector,GAMCEL,"GMD 6,100,000,000",,,https://thepoint.gm/africa/gambia/headlines/gamtel-ycell-sign-landmark-share-investment-and-network-modernization-agreement,ycell,2026-01-01-ycell-gamcel-2026-gamcel-network-modernization-bw15
GMB,2025,2028,African Development Bank (AfDB),Other GovTech and e-Gov,Grant,1,commitment,rounded,Pipeline,Gambia - Digital Innovation for Government Efficiency and Sector Transformation (DIGEST),"This project, Digital Innovation for Government Efficiency and Sector Transformation (DIGEST), leverages digital solutions to enhance governance, improve aid coordination, and catalyze economic transformation in transition states. Sierra Leone and The Gambia, both grappling with high poverty rates (...",Public Sector,,"XDR 1,000,000",P-GM-GB0-002,46002-P-GM-GB0-002,https://d-portal.iatistandard.org/ctrack.html#view=act&aid=46002-P-GM-GB0-002,african-development-bank,2025-01-01-afdb-gmb-002-gambia---digital-innovation-for-government
GMB,2025,,Ycell,ICT Industry,Equity,93,commitment,reported,Pipeline,"YCell — Gamcel majority-stake privatisation, 2025","""The Minister of Communication and Digital Economy Lamin Jabbi disclosed to lawmakers ... that government is set to sell 80 percent of its shares in Gamcel to a company called YCell for D6.7 billion. ... Y Cell emerged as the most responsive bidder with an investment proposal of D6.7 billion. ... a directive was issued for his Ministry to engage Y Cell for final negotiations with the green light on contract signing to be subject to further cabinet approval."" ""The first direct payment we expect for the 80 percent of the shares may go close to or above D800 million and the remaining D6 billion will be invested into the infrastructure.""",Public Sector,Gamcel,"GMD 6,700,000,000 (~D800m upfront + ~D6bn into infrastructure)",,,https://standard.gm/govt-to-sell-80-percent-shares-at-gamcel-for-d6-billion/,ycell,2025-01-01-ycell-gamcel-2025-gamcel-privatisation-bw06
GMB,2024,2029,World Bank,Other GovTech and e-Gov,Unknown,48,commitment,stated,Active,The Gambia Public Administration Modernization for Citizen Centric Service Delivery,"To enhance domestic resource mobilization and financial reporting, human resource management, and citizen engagement in education. The operation seeks to enhance domestic resource mobilization and financial reporting, human resource management, and citizen engagement in the education sector. It centers around short-to-medium term enhancements that can support improved service delivery in the long-term, including: (a) supporting enhanced domestic resource mobilization which can enable fiscal space to finance service provision; (b) strengthening of public administration capacity which can enable better management of service delivery; and (c) improving “demand-side” actors abilities to oversee and demand better service delivery performance through improved quality, timeliness, and access to government financial reporting, as well as the use of citizen engagement mechanisms in the education sector. An IPF as a TA component will support Program implementation. The component will strengthen government capacity and provide specialized support and high-level technical expertise, including diagnostics, analytical pieces, and advisory work to facilitate the Program's implementation across its three results areas. In addition, it supports monitoring and evaluation (M&amp;E), audit of PforR results, and enhanced development planning capacity of the MoFEA to ensure effective and efficient implementation of the strategic priorities and interventions of the overall Government program, the Results-Focused National Development Plan (RF-NDP) 2023-2027.",Public Sector,The Republic of The Gambia,"USD 47,700,000.00 (commitment); USD 11,943,262.00 (disbursed)",,44000-P176924,https://d-portal.iatistandard.org/ctrack.html#view=act&aid=44000-P176924,world-bank,2024-11-27-44000-p176924-the-gambia-public-administration-moderni
GMB,2024,2025,Gates Foundation,Digital Payments and Fintech,Grant,3,commitment,exact,Closed,The Gambia Digital for Development,To pilot an L1P- aligned payment system for the underserved population of the Gambia.,NGO,Institute for Inclusive Digital Africa,,INV-064577,DAC-1601-INV-064577,https://d-portal.iatistandard.org/ctrack.html#view=act&aid=DAC-1601-INV-064577,gates-foundation,2024-01-01-gates-gmb-001-the-gambia-digital-for-development
GMB,2023,,World Bank,Connectivity,Grant,50,commitment,reported,Approved,"World Bank — WARDIP SOP1, The Gambia, 2023","The Gambia's national allocation under the Digital Transformation for Africa / Western Africa Regional Digital Integration Program (DTfA/WARDIP) Series of Projects 1 (PAD4756, Operation ID P176932, 7 November 2023): ""SDR 38.1 million (US$50.0 million equivalent) to the Republic of The Gambia"" as an IDA grant. The SOP objective is to increase broadband access and usage and advance the West African single digital market. Total operation US$293.00m (US$266.50m IDA) across The Gambia, Guinea, Guinea-Bissau, Mauritania, ECOWAS, the AU and Smart Africa.",Public Sector,Republic of The Gambia,"XDR 38,100,000",P176932,,https://documents1.worldbank.org/curated/en/099110923155592015/pdf/BOSIB00f52bbfa0b60b39402a346c5434ee.pdf,world-bank,2023-01-01-world-bank-gmb-2023-wardip-sop1-gambia-bw01
GMB,2022,2023,World Bank,ICT Industry,Unknown,40,commitment,stated,Closed,"The Gambia Second Fiscal Management, Energy and Telecom Reform Development Policy Financing","The program development objective is to (i) improve debt and public investment management; (ii) improve financial viability and service delivery in the energy and telecom sectors; and (iii) enhance the transparency and governance framework of State-owned Enterprises (SOEs). The development objectives of the Second Fiscal Management, Energy and Telecom Reform Development Policy Financing in Gambia are to: (i) improve debt and public investment management; (ii) improve financial viability and service delivery in the energy and telecom sectors; and (iii) enhance the transparency and governance framework of State-Owned Enterprises (SOEs). It supports the authorities efforts to address critical bottlenecks to sustained inclusive growth and supports three key pillars. Pillar 1, debt and public investment management supports: (i) strengthening fiscal risks and debt management by introducing a framework to manage government loan guarantees and issuing an annual borrowing plan; (ii) strengthening public investment management by improving project selection and appraisal; and (iii) implementing the procurement act to ensure consistent use of competitive bidding and proper oversight of the procurement process. Pillar 2, financial viability and service delivery in the energy and telecom sectors supports strengthening the overall financial position and governance framework of the National Water and Electricity Company through a new tariff compensation mechanism, and the introduction of performance contract and quarterly performance monitoring framework. Pillar 3, transparency and governance framework of SOEs supports: enhancing fiscal transparency, reducing fiscal risks, and improving the corporate government of SOEs through establishing an oversight institution to ensure greater accountability of financial operations.",Public Sector,Republic of the Gambia,"USD 40,000,000.00 (commitment); USD 40,113,687.00 (disbursed)",,44000-P173150,https://d-portal.iatistandard.org/ctrack.html#view=act&aid=44000-P173150,world-bank,2022-05-10-44000-p173150-the-gambia-second-fiscal-management-ener
GMB,2020,2021,World Bank,ICT Industry,Unknown,30,commitment,stated,Closed,"Gambia First Fiscal Management, Energy and Telecom Reform Development Policy Financing","This programmatic Development Policy Financing series aims to support The Gambia's efforts to (i) improve debt and public investment management; (ii) improve financial viability and service delivery in the energy and telecom sectors; and (iii) enhance the transparency and governance framework of SOEs. The First Fiscal Management, Energy, and Telecom Reform Development Policy Financing Program of the Republic of the Gambia has three objectives. They are to improve debt and public investment management; improve the financial performance and quality of service delivery in the energy and telecom sectors; and enhance the transparency and governance framework of state-owned enterprises (SOEs). This development policy financing (DPF) supports a program of three pillars. The pillars focus on debt and public investment management; financial viability and service delivery in the energy and telecom sectors; and transparency and governance framework of SOEs. The pillar one objectives are to enhance fiscal sustainability. The objectives under pillar two are to enhance financial performance and overall governance of NAWEC as well as management of state-owned telecom assets. The overarching objectives under pillar three are to enhance fiscal transparency, financial performance, and corporate governance of SOEs.",Public Sector,Republic of the Gambia,"USD 30,000,000.00 (commitment); USD 30,871,992.00 (disbursed)",,44000-P164545,https://d-portal.iatistandard.org/ctrack.html#view=act&aid=44000-P164545,world-bank,2020-05-14-44000-p164545-gambia-first-fiscal-management-energy-an
