origin,unit,subject_slug,subject,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,2025/26,2026/27,excluded_lines,excluded_usd_m
non-state,US$m,infra.connect,Connectivity,70,32,6,469,115,661,2365,1948,2279,1873,693,684,,
non-state,US$m,dpi.pay,Digital Payments and Fintech,72,3,88,13,82,34,206,1163,180,267,,115,,
non-state,US$m,capacity.training,Training and skills,15,328,,,249,,247,401,28,360,,,,
non-state,US$m,infra.store,Data Storage,,,,,,340,590,60,73,221,100,,,
non-state,US$m,tech.innovate,Innovation ecosystem,,111,39,,,53,222,295,39,10,6,,,
non-state,US$m,tech.ai,AI,,,,,,1,,,3,34,722,,,
non-state,US$m,tech.industry,ICT Industry,25,,16,15,115,125,123,152,41,64,,5,,
non-state,US$m,include.access,Access to services,7,68,30,,,5,114,65,,,300,,,
non-state,US$m,gov.policy,"Strategies, plans and policies",,,,8,65,91,,30,16,79,1,,,
non-state,US$m,infra.cybersec,Cybersecurity,,,,,,2,29,4,,39,,,,
non-state,US$m,dpi.govtech,Other GovTech and e-Gov,14,,,,8,,3,17,,25,5,,,
non-state,US$m,dpi.id,Digital Identity and CRVS,6,,,2,18,,,,10,,24,,,
non-state,US$m,dpi.mis,"Sectoral management information systems (HMIS, EMIS, etc.)",,,,11,,5,10,10,5,3,,,,
non-state,US$m,include.divides,Digital divides,,,,,,,,,38,,3,,,
non-state,US$m,infra.energy,Energy,,,,,,,11,,,,30,,,
non-state,US$m,data.satellite,Use of satellite data,,,9,,7,,,,2,,,,,
non-state,US$m,data.statistics,National statistics,14,,,,,,,,,,,,,
non-state,US$m,capacity.literacy,Literacy,,,,,,,2,11,,,,,,
non-state,US$m,gov.regional,Regional collaboration,,,,,,,,,,,,6,,
non-state,US$m,data.open,Open data,,,,,,,,,,2,,,,
non-state,US$m,geopol.china,China activities,,,,,,2,,,,,,,,
non-state,US$m,gov.protect,Data protection,,,,,,,2,,,,,,,
