origin,unit,subject_slug,subject,2015/16,2017/18,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,2025/26,2026/27,excluded_lines,excluded_usd_m
non-state,US$m,infra.store,Data Storage,,,219,,129,160,1729,846,469,767,,
non-state,US$m,infra.connect,Connectivity,464,,89,243,102,800,27,418,,1300,,
non-state,US$m,dpi.pay,Digital Payments and Fintech,,,,,56,10,32,,4,87,,
non-state,US$m,tech.innovate,Innovation ecosystem,,,,,36,,,,,,,
non-state,US$m,capacity.training,Training and skills,,,,11,,,,7,,0,,
non-state,US$m,tech.ai,AI,,,,,,,,,,6,,
non-state,US$m,tech.industry,ICT Industry,,,,,,,5,,,,,
non-state,US$m,gov.policy,"Strategies, plans and policies",,2,,,,,,,,,,
domestic-state,US$m (IMF annual avg),dpi.id,Digital Identity and CRVS,,,,,,,,75,74,75,,
domestic-state,US$m (IMF annual avg),dpi.govtech,Other GovTech and e-Gov,,,,,,,,57,61,42,,
domestic-state,US$m (IMF annual avg),infra.connect,Connectivity,,,,,,,,105,16,16,,
domestic-state,US$m (IMF annual avg),data.statistics,National statistics,,,,,,,,11,12,3,,
domestic-state,US$m (IMF annual avg),gov.protect,Data protection,,,,,,,,6,8,8,,
domestic-state,US$m (IMF annual avg),gov.policy,"Strategies, plans and policies",,,,,,,,8,9,2,,
domestic-state,US$m (IMF annual avg),dpi.exchange,Data Exchange,,,,,,,,11,,,,
domestic-state,US$m (IMF annual avg),tech.ai,AI,,,,,,,,,,9,,
domestic-state,US$m (IMF annual avg),capacity.training,Training and skills,,,,,,,,4,4,,,
domestic-state,US$m (IMF annual avg),gov.regional,Regional collaboration,,,,,,,,,,4,,
domestic-state,US$m (IMF annual avg),capacity.research,Research institutions,,,,,,,,1,,,,
domestic-state,US$m (IMF annual avg),include.divides,Digital divides,,,,,,,,,,1,,
domestic-state,US$m (IMF annual avg),tech.innovate,Innovation ecosystem,,,,,,,,,,1,,
excluded,,scope,partial- or unclear-scope,,,,,,,,,,,7,266
