indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,assessed_on,reassessed,qualifier,moved_by
gov.policy--digital-transformation-strategy,3,AGO-dpi.govtech-digital-transition-agenda,,,,,,,2026-07-31,0,"Agenda adopted by presidential decree 178/24; no costed plan, budget line or progress report on record",
gov.policy--ict-strategy,3,AGO-gov.policy-ict-white-paper,,,,,,,2026-07-31,0,ICT White Paper 2023-2027 approved by decree; no implementation plan or reporting against it on record,
gov.policy--broadband-strategy,3,AGO-gov.policy-ict-white-paper,,,,,,,2026-07-31,0,"Broadband sits inside the ICT White Paper, no free-standing plan; no funding or progress against targets on record",
gov.policy--data-storage-cloud-strategy,2,AGO-infra.store-public-data-management-and-hosting-policy|AGO-infra.store-national-cloud,,,,,,,2026-07-31,0,Hosting policy only out to consultancy; government cloud in service with mandatory migration stated but no instrument,
gov.policy--data-interoperability-framework-roadmap,2,AGO-dpi.exchange-public-administration-interoperability-platform,,,,,,,2026-07-31,0,Interoperability a flagship project of the agenda; no framework or roadmap instrument adopted on record,
gov.policy--ai-strategy,1,AGO-gov.policy-national-artificial-intelligence-strategy,,,,,,,2026-07-31,0,UNESCO readiness assessment names the absence of a national AI strategy; no drafting body on record,
gov.policy--data-localisation-policies,2,AGO-infra.store-public-data-management-and-hosting-policy|AGO-dpi.registry-private-credit-information-centres,,,,,,,2026-07-31,0,Only sectoral localisation in force (credit data); national hosting policy at consultancy stage; no data classification,
gov.policy--data-governance-policy,,,,,,,,,2026-07-31,0,No national data policy drafted or adopted on record; rows show protection law and agency only,
gov.policy--open-data-policy,2,AGO-data.open-open-data-framework-and-portal|AGO-data.statistics-census-portal-and-statistics-application,,,,,,,2026-07-31,0,Open-data portal committed in a project safeguards plan; census portal publishes data with no policy or licence,
gov.legislate--data-protection-legislation,3,AGO-gov.protect-data-protection-law,,,,,,,2026-07-31,0,"Law in force; the agency and its fines sit on a row mapped to the DPA indicator, not this one (CC)",
gov.legislate--cybersecurity-legislation,2,AGO-gov.legislate-cybersecurity-bill,,,,,,,2026-07-31,0,Bill before the Assembly at the as-at; plenary adoption of 12 August 2026 falls after it,
gov.legislate--legislation-covering-digital-id,2,AGO-dpi.id-civil-and-criminal-identification-bill,,,,,,,2026-07-31,0,Identification bill approved by Council of Ministers April 2026; no parliamentary stage on record,
gov.legislate--digital-payments-legislation,3,AGO-dpi.pay-payment-services-authorisation-regime,,,,,,,2026-07-31,0,Central-bank avisos require non-bank authorisation; no licence register or enforcement act on record,
gov.legislate--legislation-enabling-data-interoperability,3,AGO-gov.legislate-civil-registration-simplification,,,,,,,2026-07-31,0,Lei 6/15 provides for registry data sharing; no exchange-layer obligations or custodian; digital government bill in consultation,
