row_id,place,subject,section,name,what_would_settle_it,probe_at,disposition
BDI-infra.capacity-none,BDI,infra.capacity,Infrastructure,Compute or high-performance computing capacity,"A data-centre, cloud or high-performance computing specification, or a hosting contract for a public system.",2026-08-09,
BDI-digital.localgov-none,BDI,digital.localgov,Digital public infrastructure,Digitisation of communal administration,"A commune-level revenue or service system specification, or the instrument behind the communal-revenue digitalisation budget line.",2026-08-09,
BDI-data.satellite-none,BDI,data.satellite,Digital public infrastructure,Earth-observation or satellite data programme,"A national earth-observation or geospatial-data programme document, or an agency mandate covering satellite data.",2026-08-09,
BDI-gov.standards-none,BDI,gov.standards,Governance and regulation,National technical standards or interoperability framework,"A national interoperability framework, technical standard or e-government architecture document.",2026-08-09,
BDI-data.open-portal,BDI,data.open,Governance and regulation,Open government data portal,"The text of the access-to-information bill, an open-data policy, or a public-sector data portal.",2026-08-09,"probed 2026-08-09, nothing found; absence stands"
BDI-geopol.eu-none,BDI,geopol.eu,Governance and regulation,European Union digital cooperation with Burundi,"Any EU or European Investment Bank digital financing, programme or memorandum covering Burundi.",2026-08-09,
BDI-geopol.china-none,BDI,geopol.china,Artificial intelligence and the technology sector,Chinese digital investment in Burundi,"Any Chinese financing, contract or memorandum covering Burundian digital infrastructure.",2026-08-09,
BDI-geopol.gulf-none,BDI,geopol.gulf,Artificial intelligence and the technology sector,Gulf-state digital investment in Burundi,"Any Gulf-state investment, financing or memorandum covering Burundian digital infrastructure.",2026-08-09,
BDI-capacity.literacy-none,BDI,capacity.literacy,Inclusion and capacity,Digital literacy programme or measurement,"A digital-literacy programme document, or a published measurement of digital literacy.",2026-08-09,
BDI-gov.protect-us-health-data-sharing-agreement,BDI,gov.protect,Governance and regulation,Data-sharing agreement under the United States health-sector memorandum,"The data-sharing agreement itself, a signature date, or a Burundian government statement naming it. The memorandum of 2026-02-09 is held; on the United States government account each such memorandum carries at least one further data-sharing agreement, and those texts are withheld rather than unpublished, in litigation in the United States District Court for the District of Columbia",,not probed on this run; no web access on the nightly pass
BDI-gov.policy-data-localisation,BDI,gov.policy,Governance,Rules restricting cross-border data transfer,"A Burundian instrument imposing or lifting a restriction on cross-border data transfer, data location or local processing.",2024-01-04,
BDI-gov.legislate-ai-instrument,BDI,gov.legislate,Governance,Dedicated artificial-intelligence legislation,"A loi, decret, ordonnance ministerielle or regulator reglement governing artificial intelligence.",2025-11-28,
