indicator_id,progress,summary,developments,row_ids
gov.policy--digital-transformation-strategy,Movement,A [ministerial roadmap of five ambitions and nine programmes was published](2026-07-28-cg-feuille-de-route-numerique-tribune) while the [2030 strategy still awaits a decree](2025-10-16-congo-nears-adoption-digital-strategy-2030-wearetech).,"The [2030 national digital strategy was completed with external support and is under general-secretariat review awaiting adoption by presidential decree](2025-10-16-congo-nears-adoption-digital-strategy-2030-wearetech); no adoption instrument is on file, the base holds nothing on it dated before October 2025, and the predecessor strategy has expired.

2026-07-28 - a roadmap was set out publicly with [five ambitions and nine programmes, delivery placed in an interministerial task force under the Prime Minister rather than the ministry acting alone](2026-07-28-cg-feuille-de-route-numerique-tribune), on a [presidential instruction of May 2026](2026-05-06-cog-compte-rendu-conseil-des-ministres).

The roadmap reaches the base through a signed opinion piece by an adviser rather than an adopted instrument, and a separate nine-point ministerial list of 10 July 2026 is not reconciled with it.",COG-gov.policy-digital-strategy-2030|COG-gov.policy-ministry-digital-roadmap-interministerial
gov.policy--ict-strategy,"No change, a standing instrument the base holds for the first time","[Decret 2019-150 approved the national digital economy strategy, gazetted 4 July 2019](2019-07-04-jo-2019-27-decret-2019-150-strategie-nationale-economie-numerique).","[Decret 2019-150, gazetted on 4 July 2019, approves the national digital economy strategy — the instrument behind Vision Congo Digital 2025](2019-07-04-jo-2019-27-decret-2019-150-strategie-nationale-economie-numerique).

[UNESCO's 2026 assessment of internet development sets the adoption of that strategy and of the legal frameworks against insufficient enforcement of the cybersecurity and data-protection laws, high connectivity costs, persistent rural-urban disparities and limited public participation in internet governance](2026-04-23-unesco-evaluation-developpement-internet-republique-du-congo-roam-x).

No mid-term evaluation of the strategy against its own targets is held.",COG-gov.policy-strategie-economie-numerique-2019
gov.policy--ai-strategy,Movement,Drafting [began in May 2026 with a technical committee on a six-month mandate](2026-05-06-strategie-nationale-ia-langues-nationales-pnud-ldb) and a budget of FCFA 150m to 200m still to be secured.,"2026-05-06 - drafting was [launched with external support and a technical committee seated on a six-month horizon, eleven deliverables, a budget of FCFA 150m to 200m still to be secured, and a national-languages flagship digitising two languages](2026-05-06-strategie-nationale-ia-langues-nationales-pnud-ldb).

[Conferences in January 2026 set priorities to feed it](2026-01-19-congo-pose-jalons-regulation-ia-ldb); no draft text is held. At 2026-08-06 no deliverable is published and nothing confirms the budget was secured, so a strategy with a six-month mandate has three months of it left and nothing on the record to show.",COG-gov.policy-artificial-intelligence-strategy|COG-capacity.research-ai-strategy-technical-committee
gov.policy--data-governance-policy,Movement,A [landscape assessment and national reform priorities are under way](2026-06-12-eca-supports-congo-national-data-governance-strategy-techreviewafrica) after consultations at Brazzaville in June 2026.,"2026-06-02 to 09 - consultations and capacity-building were [held at Brazzaville under a continental data-governance initiative, with a landscape assessment and national reform priorities under way across government, regulators, academia, civil society and the private sector, and no draft, timetable or adoption route published](2026-06-12-eca-supports-congo-national-data-governance-strategy-techreviewafrica).

The only account held is wire copy reading as the sponsoring body's communications, and its own release is not on file. Nothing on this ledger states what data the state holds, who may access it or on what basis, so an assessment is the first step rather than a policy.",COG-gov.policy-data-governance-strategy
gov.legislate--data-protection-legislation,No change,"[Loi n. 29-2019 remains in force, its institutional framework completed by a decree of 31 December 2025](2026-01-22-congo-launches-data-protection-commission-techafricanews).","The law was [promulgated on 10 October 2019 and stood in force at the window's opening with an incomplete institutional framework and no supervisory authority constituted; a decree of 31 December 2025 completed that framework](2026-01-22-congo-launches-data-protection-commission-techafricanews).

The statute itself did not move. Its text is not held, and its number and date reach the base only through a secondary outlet's account of the commission's first session, so what it obliges a controller to do is not checkable from anything on file - including whether registration or notification is required at all.",COG-gov.protect-loi-n-29-2019
gov.legislate--digital-payments-legislation,Movement,"An [order of 22 May 2026 makes all public revenue payable exclusively through one national platform](2026-06-11-cog-arrete-1009-plateforme-fouta-recettes-publiques), with payment outside it void.","The order was [signed on 22 May 2026 and gazetted on 11 June with a 60-day conformity window: all public revenue is payable exclusively through one national platform, defined in the text as a national and sovereign payments switch, payment outside it is void and non-discharging, and administrations must suppress every parallel circuit](2026-06-11-cog-arrete-1009-plateforme-fouta-recettes-publiques).

Derogations are limited to technical unavailability, absence of access to electronic means, or duly established exceptional circumstances. It is the most categorical digital-payments instrument on this ledger, and it obliges the state rather than the market.",COG-gov.legislate-public-revenue-payment-order
gov.legislate--e-commerce-legislation,Movement,"Certified electronic invoicing became [compulsory for every economic agent from 1 July 2026](2026-07-09-cog-decret-2026-101-facturation-electronique-certifiee-sfec), with four implementing orders gazetted.","A voluntary pilot group ran at the window's opening. A decree [signed 31 March 2026 and gazetted 9 July made invoicing mandatory from 1 July for every economic agent except the state, local authorities on public-service missions and diplomatic bodies, with terminals, software and enterprise modules homologated jointly by the tax directorate and the security agency](2026-07-09-cog-decret-2026-101-facturation-electronique-certifiee-sfec), after a [sensitisation campaign in June](2026-06-16-cog-lancement-campagne-sensibilisation-sfec-mfbpp).

Four orders gazetted 16 July set a [four-stage homologation with a 30-day decision deadline, mandatory cryptographic certification, a penetration test under twelve months old, a sworn no-backdoor attestation, ten-year invoice retention and real-time tax-directorate data access, at FCFA 5,000,000 per terminal model and per software version](2026-07-16-cog-arretes-1518-1521-facturation-electronique-certifiee-sfec). No phase-in by firm size and no assisted or offline route is stated.",COG-gov.legislate-certified-electronic-invoicing-decree|COG-gov.legislate-electronic-invoicing-implementing-orders
gov.legislate--statistics-legislation,"No change, a standing statute the base holds for the first time","[Loi 36-2018, gazetted on 18 October 2018, governs official statistics](2018-10-18-jo-2018-42-loi-36-2018-statistique-officielle).","[Loi 36-2018 on official statistics was gazetted on 18 October 2018](2018-10-18-jo-2018-42-loi-36-2018-statistique-officielle), and [the national statistical development strategy for 2022 to 2026 runs under it](2023-01-01-snds-2022-2026-republique-du-congo).

No implementing decree, statistical council record or compliance assessment under the statute is held.",COG-data.statistics-loi-36-2018
gov.protect--data-protection-authority,"Movement, installation is the whole of the movement",The [data protection commission was installed on 22 January 2026](2026-01-22-congo-launches-data-protection-commission-techafricanews) after members were appointed by decree of 31 December 2025.,"A [bill creating the commission was approved in council of ministers in July 2024, with no members appointed and the body not constituted](2024-07-05 Congo - Council of Ministers approves bill creating National Personal Data Protection Commission).

2026-01-22 - [members appointed by decree of 31 December 2025 held the inaugural session and elected a president, vice-president and rapporteur, with powers stated as advising, warning and sanctioning](2026-01-22-congo-launches-data-protection-commission-techafricanews).

Installation is the whole of it: no decision, sanction, registration regime, guidance, budget or annual report is on file in the six months since, and nothing states whether controllers must register or notify, what fees or deadlines apply, or whether any enforcement has occurred.",COG-gov.protect-personal-data-protection-commission
gov.protect--national-data-protection-readiness,Movement,"The data protection commission's members were [appointed by decree gazetted on 29 January 2026](2026-01-29-jo-2026-5-decret-2025-538-nomination-membres-commission-nationale-protection-donnees), seven years after the statute provided for it.","[Decret 2025-538 names the members of the Commission nationale pour la protection des donnees a caractere personnel, drawn from the Presidency, Parliament, Government, the judiciary, the Cour des comptes, the bar, the national human rights commission and non-governmental organisations](2026-01-29-jo-2026-5-decret-2025-538-nomination-membres-commission-nationale-protection-donnees). [Loi 29-2019 had provided for a supervisory authority since 2019](2019-11-07-jo-2019-45-loi-29-2019-protection-donnees-caractere-personnel). [Loi 43-2020 separately authorised ratification of the African Union Convention on Cyber Security and Personal Data Protection, deposited on 23 October 2020](2020-08-27-jo-2020-34-loi-43-2020-ratification-convention-union-africaine-cybersecurite-donnees).

The legal half is settled and the institutional half has only just been constituted: no registration, notification, deliberation, guidance note or enforcement action under the law is held.",COG-gov.protect-registration-notification-enforcement-regime|COG-gov.regional-malabo-ratification
