indicator_id,progress,summary,developments,row_ids,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,assessed_on,reassessed,qualifier
gov.policy--digital-transformation-strategy,Movement,"[Digital Liberia 2025-2029](2026-02-03 Liberia Unveils 5-Year 'Digital Liberia' Strategy to Boost Sovereignty and Innovation) was published in February 2026 on eight priority areas across four pillars, with no costing or delivery schedule.","The pillars include universal connectivity, digital addressing, cybersecurity and data sovereignty, replacing an ICT policy already past its stated period ([strategy](2026-02-03 Liberia Unveils 5-Year 'Digital Liberia' Strategy to Boost Sovereignty and Innovation), [text](2026-02-03 Liberia National Digital Strategy 2025-2029 (Digital Liberia))).

A development bank's country strategy approved the same month still cites the superseded 2019-2024 ICT policy and does not mention the new strategy at all ([country strategy](2026-07-31-liberia-afdb-country-strategy-paper-2026-2031)).",LBR-gov.policy-digital-liberia|LBR-gov.policy-afdb-csp,3,LBR-gov.policy-digital-liberia,,,,,,,2026-08-31,0,"Digital Liberia 2025-2029 published; no costing, delivery schedule or progress report on record"
gov.policy--ict-strategy,Movement,"A [licensing and spectrum reform package](2026-07-17-lta-telecom-reforms-star-cell-revoked-fpa) was announced in July 2026, splitting infrastructure and service licences and promising first satellite rules.","It also carries tower-sharing rules, a device-identity regime and repatriation of the country-code domain; none has been published as an instrument ([reform package](2026-07-17-lta-telecom-reforms-star-cell-revoked-fpa)).

Licensing has otherwise run unchanged under a 2007 statute with no satellite or device rules, so the package would be the first structural change to the market's licensing in nineteen years.",LBR-gov.legislate-lta-reforms|LBR-gov.policy-lta-strategic-plan-2025-2029,3,LBR-gov.policy-lta-strategic-plan-2025-2029,,,,,,,2026-08-31,0,regulator's own 2025-2029 plan in abridged form; no implementation reporting against it on record
gov.policy--broadband-strategy,Movement,No separately titled broadband strategy; the [January 2026 infrastructure roadmap](2026-04-08-liberia-national-infrastructure-conference-2026-report) commits the ministry and the regulator to one in years 2-4.,"The broadband and universal-access targets sat in the [National ICT Policy 2019-2024](2019-10-31-liberia-mopt-national-ict-policy-2019-2024), whose stated period expired in 2024 and which the repository holds no successor to. The [2026-2029 roadmap](2026-04-08-liberia-national-infrastructure-conference-2026-report) adopted after the national infrastructure conference of 19-23 January 2026 places a national broadband expansion plan in years 2-4, which is a commitment to draft rather than a plan.

The repository holds no costing, no coverage target and no delivery schedule for that plan.",LBR-gov.policy-broadband-plan,2,LBR-gov.policy-broadband-plan,,,,,,,2026-08-31,0,no broadband plan; roadmap commits ministry and regulator to prepare one in years 2-4
gov.policy--data-storage-cloud-strategy,Movement,"A [cloud-first policy and a government network](2026-04-08-liberia-national-infrastructure-conference-2026-report) are named in the 2026-2029 infrastructure roadmap, with no instrument or timetable behind them.","The [infrastructure roadmap](2026-04-08-liberia-national-infrastructure-conference-2026-report) adopted in 2026 names a cloud-first policy and a government network among its digital commitments. Nothing published sets out what would be hosted where, under whose standards, or by when.

The repository holds no government cloud policy, no hosting standard and no migration plan; the nearest binding rule is sectoral, the [central bank's requirement](2020-01-08-liberia-cbl-e-payment-services-regulations-2020) that payment systems be hosted locally.",LBR-gov.policy-cloud-first,2,LBR-gov.policy-cloud-first,,,,,,,2026-08-31,0,cloud-first named in infrastructure roadmap; no instrument or timetable
gov.policy--data-interoperability-framework-roadmap,Movement,[Executive Order 163](2026-04-28-liberia-executive-order-163-otdi-national-digitalization) requires a first release of a Government Interoperability Framework within 180 days; none is published.,"[Executive Order 163](2026-04-28-liberia-executive-order-163-otdi-national-digitalization), signed 22 April 2026, creates the Office of Technology, Digitalization and Innovation as the central authority for government-wide technical standards and sets a 180-day deadline for a first release of the framework, alongside an enterprise architecture framework and a digital systems inventory.

The [terms of reference](2026-07-17-liberia-otdi-terms-of-reference-executive-order-163) for the office's chief technology officer, published in July 2026, assign the duty to develop and maintain the framework with its data-exchange standards. Neither the framework nor a draft of it has been published.",LBR-dpi.exchange-interoperability-framework-between-gover,2,LBR-dpi.exchange-interoperability-framework-between-gover,,,,,,,2026-08-31,0,framework mandated by Executive Order 163; nothing published by the as-at
gov.policy--ai-strategy,Movement,"An [artificial intelligence priority was accepted in principle](2026-07-29-fpa-youth-manifesto-ai-boakai) by the President in July 2026, conditioned on agriculture, transport and commerce applications.","No policy, institution, budget line or date is attached, and the proposal came from the President's youth advisory council rather than from the executive ([acceptance](2026-07-29-fpa-youth-manifesto-ai-boakai)).

It is the only statement of national intent on the technology the repository holds, and it originated outside government.",LBR-tech.ai-ai-priority,,,,,,,,,2026-08-31,0,"AI priority accepted in principle only; no drafting, task force or strategy section on record"
gov.policy--data-localisation-policies,No change,"[Section 9(c) of the 2020 payment regulations](2020-01-08-liberia-cbl-e-payment-services-regulations-2020) is the only localisation rule, and it carries an offshore escape clause.","The [regulations](2020-01-08-liberia-cbl-e-payment-services-regulations-2020) gazetted 8 January 2020 state that a licensee's payment system should be hosted locally, and that where it is hosted abroad the licensee must supply requested information promptly and give the central bank unfettered access.

That is a sectoral norm with an escape, not an economy-wide regime. The repository holds no general data-localisation instrument, and the National Data Policy that might carry one was still [in multi-stakeholder drafting](2025-11-14-liberia-national-data-policy-multistakeholder-consultation-au) in November 2025.",LBR-gov.policy-payment-localisation,2,LBR-gov.policy-payment-localisation,,,,,,,2026-08-31,0,sectoral payment-system hosting rule with offshore escape; no category-based regime
gov.policy--data-governance-policy,Movement,A [national data governance policy](2026-03-01-liberia-national-data-governance-policy) issued in March 2026 designates the information commission as data regulator and sets an adequacy-or-consent rule for transfers.,"It prescribes signature and ratification of the continental cyber and data convention, and was developed under ministry leadership with a regional civil-society body and aligned to the continental data policy framework ([policy](2026-03-01-liberia-national-data-governance-policy)).

It designates a regulator under a statute that was unenacted when the policy issued, so the policy named an authority for a law that did not yet exist; the law has since been signed and the authority still has not been constituted.",LBR-gov.policy-data-governance-policy,3,LBR-gov.policy-data-governance-policy,,,,,,,2026-08-31,0,final policy issued March 2026; no implementing instruments on record
gov.policy--open-data-policy,No change,No adopted open-data policy; the statistics office publishes [public-use microdata](2026-02-01-liberia-lisgis-wen-survey-2024-public-use-dataset) under access conditions instead.,"The [anonymised public-use dataset](2026-02-01-liberia-lisgis-wen-survey-2024-public-use-dataset) for the 2024 women's empowerment and nutrition survey was released on the statistics office's own microdata portal under stated access conditions, with the confidentiality basis cited as the [2004 statistics Act](2004-07-01-liberia-national-statistics-and-geo-information-act-2004) rather than an open-data instrument.

That is open-data practice in the absence of a policy. The repository holds no adopted national open data policy and no government open-data licence.",LBR-data.open-open-data-policy,2,LBR-data.open-open-data-policy,,,,,,,2026-08-31,0,statistics office publishes microdata under the statistics Act; no open-data instrument adopted
gov.legislate--data-protection-legislation,Movement,"The [Personal Data Protection and Privacy Act has been in force since its printing on 23 March 2026](2026-03-23-liberia-data-protection-act-printed-act-mopt), five months before its announced signing, with no commissioner yet appointed under it.","It reached a House committee in June 2025 ([committee stage](2025-06-11-house-reviews-privacy-data-protection-bill-observer)). The [printed Act shows approval on 9 March 2026 and effect on publication on 23 March, gives an Independent Information Commissioner 24 months for implementing rules and existing businesses a year's transition](2026-03-23-liberia-data-protection-act-printed-act-mopt); a [ministerial announcement of 19 August presented it as newly signed](2026-08-20-wearetech-liberia-cybercrime-data-protection-laws).

No commissioner appointment, rule or registration regime under it is held, so what a data subject can do with it is still unestablished ([enforcement position](2025-02-27 Liberia struggles to enforce privacy and data protection laws)).

2026-09-14 — the first test of the new law was a government leak: the ministry [confirmed that beneficiary records circulating on social media are authentic and their disclosure unauthorised](2026-09-14-smartnewsliberia-mgcsp-beneficiary-data-leak-investigation), and opened an internal investigation. No regulator action is held.",LBR-gov.protect-dp-bill|LBR-gov.protect-beneficiary-data-leak,3,LBR-gov.protect-dp-bill,,,,,,,2026-08-31,0,Act in force March 2026; no commissioner appointment or implementing rules on record
