indicator_id,progress,summary,developments,row_ids
gov.policy--digital-transformation-strategy,No change,"The [National Digital Transformation Strategy: Agenda 2030](2024-01-01 Lesotho National Digital Transformation Strategy - Agenda 2030) has been in force unamended since 2024, with no review or successor on file.","The strategy was launched in 2024 and stands unamended ([strategy](2024-01-01 Lesotho National Digital Transformation Strategy - Agenda 2030)).

No mid-term review, progress report, costing or delivery schedule under it has been published, so the base holds the instrument and no account of what it has moved.",LSO-gov.policy-dts
gov.policy--ict-strategy,No change,"The [National Digital Policy 2024](2024-01-01 Lesotho National Digital Policy 2024) remains in force and unamended, sitting alongside the transformation strategy issued the same year.","The policy was issued in 2024 and is recorded as in force, unamended ([policy](2024-01-01 Lesotho National Digital Policy 2024)).

Nothing on file records an implementation plan, a regulator instruction issued under it, or any assessment of its effect.",LSO-gov.policy-digitalpolicy
gov.policy--broadband-strategy,Advanced,"A [Broadband Infrastructure Sharing Policy](2026-06-12-three-digital-policies-signed-lestimes) was signed by the communications minister in June 2026, with no implementation instrument on record.","The minister signed the policy on 12 June 2026, one of three digital policies signed together ([signing](2026-06-12-three-digital-policies-signed-lestimes)). The text itself is not held, so its obligations on licensees cannot be stated.

The 2025/26 budget speech had recorded the drafts as validated, and no regulator guidance under the signed policy has been published since ([budget speech](2025-02-19-lesotho-budget-speech-2025-26)).",LSO-gov.policy-broadbandpolicy
gov.policy--data-storage-cloud-strategy,Advanced,A [national data-centre implementation roadmap](2026-08-18-lesotho-national-ai-strategy-data-centre) went into drafting at a six-ministry Maseru workshop in August 2026; no text yet exists.,"The five-day workshop opened on 17 August 2026, organised by the communications ministry with the United Nations in Lesotho and coordinated by the UN Office for Digital and Emerging Technologies ([workshop](2026-08-14-lesotho-odet-ai-data-strategy-workshop)).

The roadmap covers data governance, skills, compute, energy, cooling, financing and implementation choices, and builds on the artificial-intelligence, data-management and broadband policies validated in draft in January 2025 ([roadmap](2026-08-18-lesotho-national-ai-strategy-data-centre)). No publication date, custodian or cost is stated, and its relationship to the separately recorded Kobong data centre is not stated.",LSO-infra.store-datacentreroadmap
gov.policy--ai-strategy,Advanced,A [National AI Policy](2026-06-12-three-digital-policies-signed-lestimes) was signed in June 2026 and a separate [National AI Strategy](2026-08-18-lesotho-national-ai-strategy-data-centre) went into drafting in August; neither text is held.,"The policy was signed by the communications minister on 12 June 2026, covering responsible artificial intelligence in health, education and public administration ([signing](2026-06-12-three-digital-policies-signed-lestimes), [account](2026-06-17-ai-skills-development-programme-publiceye)). Its text is not held, so its scope and commitments cannot be stated.

A distinct National AI Strategy was being drafted at a Maseru workshop that opened on 17 August 2026, intended as the framework for deployment; the deputy prime minister's keynote asked for capability assessment, safeguards, infrastructure, policy and human capacity to be settled before investment is widened ([strategy](2026-08-18-lesotho-national-ai-strategy-data-centre)).",LSO-gov.policy-aipolicy|LSO-gov.policy-national-ai-strategy
gov.policy--data-governance-policy,Advanced,"A [Data Management Policy](2026-06-12-three-digital-policies-signed-lestimes) was signed in June 2026 as a privacy, security and ethical-use framework, and a [data value blueprint](2026-07-16-lesotho-national-data-value-creation-blueprint-workshop) is in drafting.","The minister signed the Data Management Policy on 12 June 2026 ([signing](2026-06-12-three-digital-policies-signed-lestimes)), and its text is not held.

Drafting of a National Data Value Creation Blueprint opened at a first national consultative workshop on 14 and 15 July 2026, with no text yet in existence ([workshop](2026-07-16-lesotho-national-data-value-creation-blueprint-workshop)). The country's membership of the Smart Africa programme behind it rests on a spokesperson's remarks carried by the government news agency.",LSO-gov.policy-datapolicy|LSO-dpi.govtech-blueprint
gov.legislate--data-protection-legislation,No change,"The [Data Protection Act 2011](2026-03-23 Reassessing the role of data protection authorities in Africa) remains in force and unamended, on the most recent account held, dated March 2026.","The Act has been in force since 2011 and was recorded as unamended as at 23 March 2026 ([review](2026-03-23 Reassessing the role of data protection authorities in Africa)).

No amendment, regulation or commencement instrument has been published since, and the base holds no enforcement action, complaint count or guidance issued under it.",LSO-gov.protect-dpa
gov.legislate--cybersecurity-legislation,Advanced,"The Computer Crime and Cybersecurity Bill was split into a [Cybercrime Bill](2026-07-29-lesotho-lescomcsirt-launch-national-cybersecurity-forum) and a [Cybersecurity Bill](2026-07-31-lesotho-national-cybersecurity-itweb), both awaiting National Assembly approval.","Both bills were reported on 29 July 2026 as awaiting National Assembly approval, on no published timetable ([forum](2026-07-29-lesotho-lescomcsirt-launch-national-cybersecurity-forum), [account](2026-07-31-lesotho-national-cybersecurity-itweb)).

The Cybersecurity Bill is intended to build the institutions protecting critical digital infrastructure, which is the statute the interim response team now operating was set up ahead of ([interim body](2026-08-02-government-launches-interim-csirt-to-guard-lesothos-digital-systems)). No text of either bill is held.",LSO-gov.legislate-cybercrimebill|LSO-gov.legislate-cybersecuritybill
gov.legislate--access-to-information-legislation,No change,"A 2021 capacity assessment found [no access-to-information legislation in force](2021-09-01-lesotho-data-use-statistical-capacity-assessment), and nothing since records one being enacted.","The assessment carried out for the Millennium Challenge Corporation and the Lesotho Millennium Development Agency found no access-to-information statute in force in September 2021 ([assessment](2021-09-01-lesotho-data-use-statistical-capacity-assessment)).

No bill, draft or commitment to one has appeared in the base in the five years since, so the absence is a searched one at that date and an unexamined one after it.",LSO-data.open-portal
gov.protect--data-protection-authority,No change,The Data Protection Commission is [provided for by the 2011 Act](2026-03-23 Reassessing the role of data protection authorities in Africa) but no commissioner had been appointed as at March 2026.,"The commission exists in law and not in fact: the 2011 Act provides for it, and the most recent account held records no commissioner appointed as at 23 March 2026 ([review](2026-03-23 Reassessing the role of data protection authorities in Africa)).

Fifteen years after the statute, the base holds no appointment, no budget line, no staff and no supervisory decision from it.",LSO-gov.protect-dpc
