indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,assessed_on,reassessed,qualifier,moved_by
gov.policy--digital-transformation-strategy,3,SLE-gov.policy-innovation-digital-strategy,,,,,,,2026-07-31,0,Strategy 2019-2029 in force; no costed plan or M&E report on record,
gov.policy--ict-strategy,3,SLE-gov.policy-digital-development-policy,,,,,,,2026-07-31,0,Sector policy 2021 in force; no implementation plan or reporting on record,
gov.policy--broadband-strategy,3,SLE-infra.connect-broadband-strategy,,,,,,,2026-07-31,0,Strategy 2023-2028 published by the ministry; no funding source or progress report on record,
gov.policy--data-storage-cloud-strategy,2,SLE-infra.store-national-data-centre,,,,,,,2026-07-31,0,National data centre commissioned with no government hosting or cloud policy on record,
gov.policy--data-interoperability-framework-roadmap,,,,,,,,,2026-07-31,0,Only an X-Road exchange pilot on record; no framework or roadmap drafted or announced,
gov.policy--ai-strategy,2,SLE-tech.ai-ai-strategy,,,,,,,2026-07-31,0,Strategy in drafting with consultations run; not adopted,
gov.policy--data-localisation-policies,,,,,,,,,2026-07-31,0,Only SIM registration rules on record; nothing on where data may be held,
gov.policy--data-governance-policy,3,SLE-gov.policy-data-strategy|SLE-gov.policy-dp-policy,,,,,,,2026-07-31,0,Data strategy issued 2023; no institutional owner or implementing instruments on record,
gov.policy--open-data-policy,2,SLE-data.open-raic-open-data-programme|SLE-data.open-sleiti-open-data-policy,,,,,,,2026-07-31,0,Sectoral EITI policy and a commission programme only; no national open data policy,
gov.legislate--data-protection-legislation,2,SLE-gov.protect-dp-rti-bill,,,,,,,2026-07-31,0,Bill authorised by Cabinet April 2026; not tabled or enacted,
gov.legislate--cybersecurity-legislation,3,SLE-infra.cybersec-cybercrime-act-2021,,,,,,,2026-07-31,0,Act 2021 in force; no regulations or prosecution on record,
gov.legislate--legislation-covering-digital-id,3,SLE-gov.legislate-ncr-act-2016,,,,,,,2026-07-31,0,NCR Act 2016 in force; regulations and rights provisions not on record; successor bill validated,
gov.legislate--digital-payments-legislation,3,SLE-gov.legislate-nps-act-2022,,,,,,,2026-07-31,0,NPS Act 2022 in force; non-bank licensing and interoperability rules not on record,
gov.legislate--legislation-enabling-data-interoperability,,,,,,,,,2026-07-31,0,No data-sharing instrument in force or drafted on record; ETA 2019 and pending bills do not provide for it,
gov.legislate--ai-legislation-regulations,2,SLE-tech.ai-ai-strategy,,,,,,,2026-07-31,0,Readiness diagnostic and consultations on AI only; no rule with legal effect,
gov.legislate--e-commerce-legislation,3,SLE-gov.legislate-eta-2019,,,,,,,2026-07-31,0,ETA 2019 enacted but not operationalised; text itself not held,
gov.legislate--statistics-legislation,3,SLE-gov.legislate-statistics-act-2002,,,,,,,2026-07-31,0,Act 2002 establishes Stats SL; Charter principles not shown in it,
gov.legislate--access-to-information-legislation,3,SLE-gov.legislate-rti-act-2013,,,,,,,2026-07-31,0,RTI Act 2013 in force with commission; no requests or decisions on record,
gov.protect--data-protection-authority,,,,,,,,,2026-07-31,0,No authority in law; RAIC to become one under a bill not yet tabled,
gov.regional--regional-legal-harmonisation,,,,,,,,,2026-07-31,0,Only a bilateral Nigeria framework on record; no REC instrument referenced or domesticated,
gov.regional--shared-regional-infrastructure,3,SLE-gov.regional-ecowas-roaming|SLE-infra.connect-sogeb-leonecom,,,,,,,2026-07-31,0,Roaming and Guinea fibre link in service; no traffic or usage reported,
gov.regional--cross-border-data-transfers,,,,,,,,,2026-07-31,0,No transfer rule in force or drafted on record; bilateral framework is not binding,
gov.standards--national-interoperability-standards,2,SLE-gov.standards-mocti-standards-and-compliance,,,,,,,2026-07-31,0,Ministry names frameworks but publishes none; no adoption date,
gov.standards--national-quality-standards,2,SLE-gov.standards-slsb-standards,,,,,,,2026-07-31,0,Standards bureau active; no ICT or data standards or quality policy on record,
gov.standards--adoption-of-international-standards,,,,,,,,,2026-07-31,0,Standards bureau active but ISO membership and ICT standard adoption not on record,
gov.discourse--non-governmental-contribution-to-national-policy,2,SLE-tech.innovate-tieac,,,,,,,2026-07-31,0,Advisory council constituted 2026; no consultation requirement or traceable input on record,
gov.discourse--open-discussion-of-government-policy,,,,,,,,,2026-07-31,0,Libel repeal only; no record on shutdowns or free discussion in the 12 months,
finance.budget--sustainable-domestic-financing-of-digital-transformation,2,SLE-finance.budget-domestic-budget-appropriations-for-the-d,,,,,,,2026-07-31,0,MoCTI head at proposed stage only; no appropriation act or dedicated fund held,
finance.new--mobilisation-of-non-state-finance,4,,0.2233,per cent of GDP,2026,outputs/non-state-finance/SLE-nonstate.csv@2025-12-01,,,2026-07-31,0,"2 private commitment(s) starting 2024–2026, over GDP 2025 (WDI)",
infra.connect--mobile-penetration,1,,50.3,% of people 10+,2024,ref:itu-sdg-5b1-mobile-ownership-10plus@2026-06-30,,,2026-07-31,0,"on the compiler's modelled estimate (itu-sdg-5b1-mobile-ownership-10plus), no survey since 2019",
infra.connect--internet-usage,1,,25.1,% of population,2024,ref:itu-sdg-17-8-1-internet-use@2026-06-30,,,2026-07-31,0,"on the compiler's modelled estimate (itu-sdg-17-8-1-internet-use), no survey since 2019",
infra.connect--mobile-affordability,1,,6.13,% of monthly GNI per capita,2025,ref:itu-price-basket-5gb-gni@2025-12-10,,,2026-07-31,0,on published tariffs collected by itu-price-basket-5gb-gni,
infra.connect--national-fibre-backbone,3,SLE-infra.connect-fibre-backbone,,,,,,,2026-07-31,0,Fibre in 14 of 16 districts; two districts unserved,
infra.connect--internet-exchange-points,3,SLE-infra.connect-michcom-ix,,,,,,,2026-07-31,0,One IXP with five peers and 60G; national IXP at procurement,
