indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,assessed_on,reassessed,qualifier,moved_by
gov.policy--digital-transformation-strategy,,,,,,,,,2026-08-31,0,Only a full-digitisation decree on record; no national digital strategy adopted or in drafting is held,
gov.policy--ict-strategy,3,SSD-gov.policy-ict-policy-2012,,,,,,,2026-08-31,0,National ICT Policy 2012 in force; no implementation plan or reporting against it on record,
gov.policy--broadband-strategy,,,,,,,,,2026-08-31,0,Only a spectrum and 5G strategy in development is held; no broadband plan in drafting or adopted on record,
gov.policy--data-storage-cloud-strategy,2,SSD-infra.store-cloud-guidelines,,,,,,,2026-08-31,0,Government hosting and cloud guidelines planned under the regional project; none published,
gov.policy--data-interoperability-framework-roadmap,2,SSD-gov.policy-gea,,,,,,,2026-08-31,0,Enterprise architecture consultancy tendered; no adopted interoperability framework,
gov.policy--ai-strategy,,,,,,,,,2026-08-31,0,No national strategy stated but not as a cited absence; only the EAC regional AI declaration on record,
gov.policy--data-localisation-policies,1,SSD-gov.policy-data-localisation,,,,,,,2026-08-31,0,On the regulator's stated position: no localisation rule and none sought,
gov.policy--data-governance-policy,2,SSD-gov.policy-data-governance-strategy,,,,,,,2026-08-31,0,Consultancy to design the strategy tendered June 2026; no policy adopted,
gov.policy--open-data-policy,2,SSD-data.open-open-data,,,,,,,2026-08-31,0,Statistics bureau portal publishing datasets; no open data policy or licence held,
gov.legislate--data-protection-legislation,2,SSD-gov.protect-dp-bill,,,,,,,2026-08-31,0,Policy bill drafted October 2025; no bill before the Assembly and no statute,
gov.legislate--cybersecurity-legislation,3,SSD-gov.legislate-cybercrime-act,,,,,,,2026-08-31,0,Act signed February 2026 with text withheld; no regulations or institution under it on record,
gov.legislate--legislation-covering-digital-id,3,SSD-gov.legislate-nationality-act-2011|SSD-gov.legislate-civil-registry-act-2018|SSD-gov.legislate-id-regulations-2024,,,,,,,2026-08-31,0,Acts and 2024 regulations in force; no data-protection law and implementation extremely limited per World Bank,
gov.legislate--digital-payments-legislation,2,SSD-gov.legislate-national-payment-system-bill,,,,,,,2026-08-31,0,Bill validated at an August 2026 workshop; not yet passed,
gov.legislate--legislation-enabling-data-interoperability,,,,,,,,,2026-08-31,0,Only row is the ICT Authority; no data-sharing instrument drafted or in force on record,
gov.legislate--ai-legislation-regulations,,,,,,,,,2026-08-31,0,Only the cybercrime act mapped; it does not address AI or automated decisions on record,
gov.legislate--e-commerce-legislation,,,,,,,,,2026-08-31,0,Only an unpublished e-commerce strategy on record; no e-transactions law or bill held,
gov.legislate--statistics-legislation,3,SSD-gov.legislate-nbs-act-2024,,,,,,,2026-08-31,0,2024 Act in force on the bureau's own page; text not held so Charter principles unverified,
gov.legislate--access-to-information-legislation,,,,,,,,,2026-08-31,0,Only the Official Gazette row mapped; no access-to-information law on record in this section,
gov.protect--data-protection-authority,2,SSD-gov.protect-nca-data-privacy-mandate,,,,,,,2026-08-31,0,Communications regulator carries the data privacy mandate; no dedicated authority constituted,
gov.protect--national-data-protection-readiness,2,SSD-gov.protect-dp-bill|SSD-gov.protect-nca-data-privacy-mandate,,,,,,,2026-08-31,0,Data Protection Bill drafted and validated; no statute in force,
gov.regional--regional-policy-collaboration,,,,,,,,,2026-08-31,0,ATU collaboration pledge only; neither membership nor any contribution stated,
gov.regional--regional-legal-harmonisation,,,,,,,,,2026-08-31,0,Only a Smart Africa declaration of trust on record; no REC model law referenced or domesticated,
gov.regional--shared-regional-infrastructure,2,SSD-gov.regional-kenya-connectivity-mou,,,,,,,2026-08-31,0,Cross-border connectivity memorandum and satellite study; no shared asset in service on record,
gov.regional--cross-border-data-transfers,,,,,,,,,2026-08-31,0,Only regional payments and IGAD cooperation meetings on record; no transfer rule or draft held,
gov.standards--national-interoperability-standards,,,,,,,,,2026-08-31,0,Only a regulator's e-service integration circular and a planned registry link; no standards catalogue on record,
gov.standards--national-quality-standards,2,SSD-gov.standards-ssnbs,,,,,,,2026-08-31,0,Bureau of Standards active; no ICT or data quality standards or quality policy adopted on record,
gov.standards--adoption-of-international-standards,,,,,,,,,2026-08-31,0,Type-approval regulations and a CAP commitment on record; ISO membership status not held,
gov.discourse--non-governmental-contribution-to-national-policy,2,SSD-gov.discourse-ssigf,,,,,,,2026-08-31,0,National IGF and a civil-society bill validation on record; no published consultation responses,
gov.discourse--open-discussion-of-government-policy,,,,,,,,,2026-08-31,0,Blocking of January 2025 is outside the 12 months; no evidence of free discussion or published policy for stage 3,
finance.budget--sustainable-domestic-financing-of-digital-transformation,4,SSD-finance.budget-usaf,,,,,,,2026-08-31,0,USAF constituted by the 2012 Act; no amount or execution disclosed and no digital budget line,
finance.new--mobilisation-of-non-state-finance,1,,0.01389,per cent of GDP,2026,outputs/non-state-finance/SSD-nonstate.csv@2024-01-01,,,2026-08-31,0,"1 private commitment(s) starting 2024–2026, over GDP 2015 (WDI)",
infra.connect--internet-usage,1,SSD-include.access-penetration,15.7,% of population,2025,2025-07-03-nca-internet-growth-figures-eyeradio,,,2026-08-31,0,On the regulator's own user figure; ITU modelled estimate is 6.7%,
infra.connect--mobile-affordability,1,,24.23,% of monthly GNI per capita,2025,ref:itu-price-basket-5gb-gni@2025-12-10,,,2026-08-31,0,on published tariffs collected by itu-price-basket-5gb-gni,
infra.connect--national-fibre-backbone,2,SSD-infra.connect-bayobab-backbone|SSD-infra.connect-state-backbone,,,,,,,2026-08-31,0,Bayobab build in execution and state programme in development; no backbone in service on record,
infra.connect--internet-exchange-points,2,SSD-infra.connect-ixp,,,,,,,2026-08-31,0,Exchange registered to the regulator with no members or traffic; implementation under way,
