indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,assessed_on,reassessed,qualifier,moved_by
gov.policy--digital-transformation-strategy,2,TUN-gov.policy-digital-vision|TUN-gov.policy-digital-tunisia,,,,,,,2026-07-31,0,"2020-2025 strategy superseded; successor vision set within the development plan, no adopted strategy text on record",
gov.policy--ict-strategy,2,TUN-gov.policy-digital-tunisia|TUN-gov.policy-digital-vision,,,,,,,2026-07-31,0,"sector strategy 2020-2025 expired; successor vision in preparation, not adopted",
gov.policy--broadband-strategy,2,TUN-gov.policy-broadband-strategy,,,,,,,2026-07-31,0,strategy published undated with no dated targets on record; regulator consultations only; stage 3 needs dated targets,
gov.policy--data-storage-cloud-strategy,3,TUN-gov.policy-cloud-first-circular|TUN-gov.standards-cloud-labels,,,,,,,2026-07-31,0,cloud-first circular and label order in force; no labelled provider or migration act on record,
gov.policy--data-interoperability-framework-roadmap,3,TUN-gov.legislate-interoperability-decree-law,,,,,,,2026-07-31,0,decree-law and decree set operator and committees; no standards catalogue or conformance act on record,
gov.policy--ai-strategy,2,TUN-tech.ai-ai-strategy,,,,,,,2026-07-31,0,strategy in outline only; no adopted text on record at the as-at,
gov.policy--data-localisation-policies,3,TUN-gov.policy-credit-data-localisation,,,,,,,2026-07-31,0,sectoral decree-law localising credit data only; no general data classification or supervising decisions on record,
gov.policy--data-governance-policy,2,TUN-data.open-national-data-strategy,,,,,,,2026-07-31,0,national data strategy a final draft under consultation; not adopted,
gov.policy--open-data-policy,3,TUN-data.open-open-data-decree,,,,,,,2026-07-31,0,"decree in force; no portal, licence or publication activity on record",
gov.legislate--data-protection-legislation,3,TUN-gov.protect-law-2004,,,,,,,2026-07-31,0,law in force; no implementing regulations or enforcement act on record,
gov.legislate--cybersecurity-legislation,3,TUN-gov.legislate-cybersecurity-decree-law,,,,,,,2026-07-31,0,decree-law in force; no implementing text or prosecutions on record,
gov.legislate--legislation-covering-digital-id,3,TUN-gov.legislate-biometric-laws,,,,,,,2026-07-31,0,organic laws in force; regulations and application in practice not on record,
gov.legislate--digital-payments-legislation,3,TUN-gov.legislate-banking-and-payments-law|TUN-gov.legislate-payment-system-operator-circular,,,,,,,2026-07-31,0,licensing and TUNPAY mandate on record; no consumer-protection provisions on record,
gov.legislate--legislation-enabling-data-interoperability,,,,,,,,,2026-07-31,0,plan law mapped here enables no sharing; decree-law 2020-31 sits on the interoperability-framework row,
gov.legislate--ai-legislation-regulations,2,TUN-gov.legislate-ai-legal-frameworks,,,,,,,2026-07-31,0,drafting announced by the minister; no draft text or instrument,
gov.legislate--e-commerce-legislation,3,TUN-gov.legislate-e-commerce-law,,,,,,,2026-07-31,0,law in force since 2000; trust-service regulations and accreditation not on record,
gov.legislate--statistics-legislation,3,TUN-gov.legislate-statistics-law,,,,,,,2026-07-31,0,1999 law in force; Charter principles in it not on record; replacement in drafting,
gov.legislate--access-to-information-legislation,3,TUN-gov.legislate-access-to-information-law,,,,,,,2026-07-31,0,law in force; oversight authority inquorate and no decisions on record,
gov.protect--data-protection-authority,3,TUN-gov.protect-inpdp,,,,,,,2026-07-31,0,authority constituted; no enforcement decision on record,
gov.protect--national-data-protection-readiness,,,,,,,,,2026-07-31,0,own rows are a missing health-data legal basis and telecom retention; law 2004-63 sits on the data-protection legislation row,
gov.regional--regional-policy-collaboration,3,TUN-gov.regional-atu,,,,,,,2026-07-31,0,ATU council seat on record; hosting of continental spectrum meetings post-dates the as-at,
gov.regional--regional-legal-harmonisation,,,,,,,,,2026-07-31,0,only a dormant 1989 Maghreb treaty; no domesticated REC instrument and no cited absence,
gov.regional--shared-regional-infrastructure,3,TUN-infra.connect-medusa,,,,,,,2026-07-31,0,one consortium cable landing in service; no second shared asset on record,
gov.regional--cross-border-data-transfers,3,TUN-gov.protect-law-2004,,,,,,,2026-07-31,0,transfer chapter of law 2004-63 in force; no authorisations issued on record,
gov.standards--national-interoperability-standards,,,,,,,,,2026-07-31,0,"no standards catalogue held; decree-law and UXP platform show interoperability exists, so no absence",
gov.standards--national-quality-standards,2,TUN-gov.standards-innorpi,,,,,,,2026-07-31,0,standards body active; no ICT or data quality standard or quality policy on record,
gov.standards--adoption-of-international-standards,2,TUN-gov.standards-innorpi,,,,,,,2026-07-31,0,ISO series transposed; no ICT or data standard adopted and ISO membership class not on record,
gov.discourse--non-governmental-contribution-to-national-policy,2,TUN-gov.discourse-public-consultation-decree,,,,,,,2026-07-31,0,consultation decree in force; no published consultations with responses on record,
gov.discourse--open-discussion-of-government-policy,2,TUN-gov.discourse-decree-law-54,,,,,,,2026-07-31,0,journalist given prison term July 2026; cyber-offences decree-law in force,
finance.new--mobilisation-of-non-state-finance,3,,0.06492,per cent of GDP,2026,outputs/non-state-finance/TUN-nonstate.csv@2026-07-01,,,2026-07-31,0,"1 private commitment(s) starting 2024–2026, over GDP 2025 (WDI)",
infra.connect--mobile-penetration,4,,90.9,% of people 10+,2023,ref:itu-sdg-5b1-mobile-ownership-10plus@2026-06-30,,,2026-07-31,0,survey figure; no primary in the base,
infra.connect--internet-usage,3,,68.3,% of population,2021,ref:itu-sdg-17-8-1-internet-use@2026-06-30,,,2026-07-31,0,survey figure; no primary in the base,
infra.connect--mobile-affordability,4,,1.36,% of monthly GNI per capita,2025,ref:itu-price-basket-5gb-gni@2025-12-10,,,2026-07-31,0,published tariffs; no primary in the base,
infra.connect--national-fibre-backbone,3,TUN-infra.connect-fibre-backbone,,,,,,,2026-07-31,0,operator's own 50000 km figure; no regional reach or open-access terms on record,
infra.connect--international-internet-bandwidth,4,TUN-infra.connect-medusa|TUN-infra.connect-submarine-cable-access,2,routes,2026,2026-06-24-tunisie-cable-medusa-operationnel,,,2026-07-31,0,floor of two: Medusa at Orange's Bizerte station and the incumbent's separate regulated landing station,
infra.connect--satellite-broadband-licensing-and-availability,2,TUN-infra.connect-starlink,,,,,,,2026-07-31,0,Starlink application pending and licence deferred; no satellite broadband licensed,
infra.store--local-data-centre-capacity-all-providers,4,,4,facilities,2026,outputs/datasets/data-centres/data-centres.csv@2025-11-17,,,2026-07-31,0,"4 of 5 multi-tenant facilities in service at Tier III or above, 3 on the operator's own statement",
infra.store--local-data-centre-capacity-national-providers,4,,80,per cent of facilities,2026,outputs/datasets/data-centres/data-centres.csv@2025-11-17,,,2026-07-31,0,4 of 5 multi-tenant facilities of known ownership nationally owned,
infra.store--off-site-backup-capacity,3,TUN-infra.store-national-backup-centre,,,,,,,2026-07-31,0,state recovery site in service on the operator's account; no continuity plan or tested failover,
infra.energy--grid-reliability,4,,0.4015,outages per month,2024,ref:enterprise-surveys-outages@2026-09-24,,,2026-07-31,0,survey figure; no primary in the base,
infra.energy--rural-electrification,5,,100,% of rural population,2024,ref:wdi-elc-accs-rural@2026-07-13,,,2026-07-31,0,survey figure; no primary in the base,
infra.capacity--robustness-of-government-hardware-and-software,2,TUN-dpi.govtech-transformation-portfolio,,,,,,,2026-07-31,0,systems under a digitalisation programme; no inventory or core-system status on record,
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,3,TUN-infra.capacity-cni,,,,,,,2026-07-31,0,national computing centre operates national platforms; no systematic capacity programme on record,
infra.cybersec--national-cybersecurity-readiness,2,TUN-infra.cybersec-ansi,,,,,,,2026-07-31,0,agency and law operating; no national cybersecurity strategy on record,
dpi.exchange--national-data-exchange-system,3,TUN-dpi.exchange-uxp,,,,,,,2026-07-31,0,platform launched 2024 with first exchanges named; no member count or access conditions published,
dpi.exchange--use-of-digital-id-in-other-systems,3,TUN-dpi.id-e-houwiya|TUN-dpi.registry-rne,,,,,,,2026-07-31,0,mobile ID compulsory for two services from July 2026; no usage figure,
dpi.exchange--interoperability-of-health-systems,2,TUN-dpi.id-ins|TUN-dpi.exchange-health-information-systems,,,,,,,2026-07-31,0,identifier-based exchange beyond pilot in one region; no HIE policy or architecture adopted on record,
dpi.exchange--interoperability-of-social-protection-systems,3,TUN-dpi.exchange-social-affairs-data-exchange,,,,,,,2026-07-31,0,sector exchange listed complete by the council; no volumes or scheme coverage,
dpi.id--robustness-of-system,2,TUN-dpi.id-biometric-rollout,,,,,,,2026-07-31,0,biometric card in law but not issued as at May 2025; existing card and mobile ID sit on other rows,
dpi.id--national-maintenance-of-id-and-credentials-systems,,,,,,,,,2026-07-31,0,no row states who operates or maintains the ID platform,
dpi.id--authentication,3,TUN-dpi.id-e-houwiya,,,,,,,2026-07-31,0,mobile ID authentication compulsory for two services; no usage figure on record,
dpi.id--digital-id-from-birth,,,,,,,,,2026-07-31,0,unique citizen identifier created in law; assignment at birth not on record,
dpi.id--interoperability-of-birth-registration-and-digital-id,,,,,,,,,2026-07-31,0,identifier register and birth platform held separately; no linkage or cited absence on record,
dpi.id--use-by-other-systems,2,TUN-dpi.id-ins,,,,,,,2026-07-31,0,health identifier keyed to the national ID rolling out regionally; no national register keyed on it,
