row_id,place,subject,section,kind,name,status,published,milestone,since,movement,position_start,position_end,sources,probe_at,note
XAF-gov.policy-africa-tech-policy-tracker,XAF,gov.policy,Instruments and harmonisation,instrument,Africa Technology Policy Tracker,Implemented,2026-07-30,No launch date published,,Baseline not held,,"A continental register built by the Carnegie Endowment with the African Telecommunications Union, consolidating national digital-economy laws, policies and regulations across infrastructure, platforms, skills and innovation; it indexes adopted documents only, weights nothing and assesses neither implementation nor rights compatibility. The counts reported on 2026-07-30 are 60 documents for Nigeria, 59 for Rwanda and 19 for Zambia",2026-07-30-new-africa-tech-policy-insights-on-nigeria-rwanda-and-zambia,,Neither the launch date nor the number of countries covered is established
XAF-gov.policy-anti-iffs-policy-tracker,XAF,gov.policy,Instruments and harmonisation,instrument,Anti-IFFs Policy Tracker,Implemented,2026-08-06,"Continental roll-out endorsed by Ministerial Declaration, joint 9th STC on Finance and 5th STC on Trade, Abidjan, 20-24 July 2026",,Advanced,"Piloted eighteen months in Cote d'Ivoire, Ghana, Liberia, Namibia, Uganda and Zambia, built by Tax Justice Network Africa with the AU Commission's ETTIM department and the African Tax Administration Forum","Endorsed for continental roll-out as a standing self-assessment instrument scoring anti-IFF policy, legal, institutional and data-sharing frameworks; no roll-out timetable, country list or governance body named",2026-08-06-au-member-states-endorse-continental-roll-out-of-anti-iffs-policy-tracker,,
XAF-gov.policy-auda-island-programme,XAF,gov.policy,Instruments and harmonisation,instrument,AUDA-NEPAD island economies programme,Implemented,2026-07-24,"Launched at Abidjan, 2026-07-24",,Advanced,Did not exist,"A country-owned framework for seven island states built around industrialisation, digitalisation, corridors and AI, in partnership with the Republic of Korea; the ministerial communique adopting it is not published",2026-07-24-auda-nepad-island-economies-programme-launch,,
XAF-gov.protect-au-data-policy-framework,XAF,gov.protect,Instruments and harmonisation,instrument,African Union Data Policy Framework,Implemented,2026-08-11,"Alignment measured at about a third of member states, reported 2026-08-11",,Baseline not held,Baseline not held,"In force as the continental reference framework, with about a third of the 54 member states aligned to it on a 2026-08-11 analysis, and 25 national regulatory sandboxes recorded across 15 countries by late 2024; no compliance mechanism, reporting cycle or enforcement route is stated",2026-08-11-dial-good-ai-needs-good-data-africa,,the alignment figure is an analyst estimate rather than an African Union count
XAF-gov.protect-malabo-convention,XAF,gov.protect,Instruments and harmonisation,instrument,Malabo Convention,Implemented,2026-07-29,"In force since 2023-06-08, on the fifteenth ratification",2023-06-08,No change,"In force, and the continental benchmark against which national data-protection regimes are measured",Unchanged in text; a majority of the Union's 55 members remain outside it twelve years after adoption,2026-02-02-au-malabo-convention-status-list|2026-07-29-equatorial-guinea-signs-malabo-convention-au-commission,,
XAF-gov.protect-malabo-accessions,XAF,gov.protect,Instruments and harmonisation,measure,Signatures and ratifications of the Malabo Convention,,2026-07-29,,,"Advanced, marginal","21 of 55 signed, 20 ratified or acceded and 20 deposited (2026-02-02, the depositary's register)","Equatorial Guinea, where the Convention was adopted and after whose then-capital it is named, signed on 2026-07-28 and has not deposited an instrument of ratification",2026-02-02-au-malabo-convention-status-list|2026-07-29-equatorial-guinea-signs-malabo-convention-au-commission,,The register is dated 2026-02-02; no later register is held
XAF-gov.regional-afcfta-dtp,XAF,gov.regional,Institutions and mandates,instrument,AfCFTA Protocol on Digital Trade,Implemented,2026-08-20,Intellectual-property annexes adopted February 2026; all annexes awaiting national ratification as at August 2026,2024-01-01,"Advanced, unratified","State parties committed to expedite ratification and domestication under eight calls to action; no ratification count is published with them; the calls carry no enforcement mechanism, no ratification deadline and no named financing","Eight annexes to the protocol were approved in February 2025 and the intellectual-property annexes adopted in February 2026, and all of them still await national ratification and incorporation; the July 2026 calls to action to expedite ratification carry no enforcement mechanism, no deadline and no named financing, and no ratification count is published",2026-08-20-media-line-africa-free-trade-deal-hard-part|2026-07-07 African nations recommit to operationalize AfCFTA digital single market framework|2026-05-27 Africa's economic future hinges on breaking down silos. This ADLI cohort advances integration|2026-07-09 Nigeria Takes AfCFTA Council Chair as Digital Forum Charts Roadmap for Implementation|2026-07-06-afcfta-digital-trade-forum-eight-calls-to-action,,
XAF-gov.regional-afcfta-secretariat,XAF,gov.regional,Institutions and mandates,instrument,AfCFTA Secretariat,Implemented,2026-07-09,"18th Council of Ministers, Abuja, 2026-07-09",,Advanced,Council bureau chaired by Egypt; the digital trade protocol adopted but no forum convened on it,"Nigeria in the chair with digital trade among four stated priorities, a second digital trade forum held and a data-exchange system of the Secretariat's own launched",2026-07-09 Nigeria Takes AfCFTA Council Chair as Digital Forum Charts Roadmap for Implementation|2026-07-07 African nations recommit to operationalize AfCFTA digital single market framework,,
XAF-gov.regional-afigf,XAF,gov.regional,Institutions and mandates,instrument,Africa Internet Governance Forum,Implemented,2026-08-23,"15th forum scheduled for Accra, 2-5 November 2026",,Advanced,Baseline not held,"The fifteenth annual forum is scheduled for the Labadi Beach Hotel, Accra, from 2 to 5 November 2026, running a main forum alongside youth, parliamentarian and Day Zero tracks and the African School on Internet Governance; session times, venues and speakers were not published when the schedule was read",2026-08-23-afigf-2026-accra-event-schedule,,"an event schedule rather than an outcome document; no agenda, host-government commitment or funding is stated"
XAF-gov.regional-afsc,XAF,gov.regional,Institutions and mandates,instrument,African Financial Stability Committee,Implemented,2026-08-03,"Continental portal launched by the Central Bank of Egypt, 2026-08-03",,Baseline not held,,"Hosted by the Association of African Central Banks and running a Macroprudential Policy Development and Implementation Working Group and an African Financial Stability Report Working Group; the continental portal carrying its mandate, structure, member central banks, meeting calendar and working groups was built and launched by the Central Bank of Egypt rather than by the association's secretariat, executing a decision of the 47th Assembly of Governors of 2025-11-28",2026-08-03-cbe-aacb-afsc-digital-portal|2026-07-01-african-financial-stability-report-2024-2025,,The portal's URL and a launch date distinct from the Central Bank of Egypt's statement of 2026-08-03 are not held
XAF-gov.regional-african-financial-stability-report,XAF,gov.regional,Institutions and mandates,instrument,African Financial Stability Report,Implemented,2026-08-03,"Inaugural 2024-2025 edition released, July 2026",,Baseline not held,,"Inaugural 2024-2025 edition endorsed for publication by the Association of African Central Banks' 47th Assembly of Governors at Yaounde on 2025-11-28 and released in July 2026, covering 46 countries on data as at December 2024 with analysis through 2025. Its payments chapter, built from 26 central banks' published data, records that about 67 per cent of the continent's payment infrastructures are national systems run by central banks and 56 per cent of established systems handle retail, and finds the landscape fragmented, interoperability still limited and the operationalisation of regional and pan-African systems facing continuing challenges",2026-07-01-african-financial-stability-report-2024-2025|2026-08-03-cbe-aacb-afsc-digital-portal,,Whether the report has been published on the committee's portal is not established
XAF-gov.regional-atu,XAF,gov.regional,Institutions and mandates,instrument,African Telecommunications Union (ATU),Implemented,2026-08-12,Headquarters return to Kinshasa ratified 2026-07-23 at the 7th Plenipotentiary Conference,,Advanced,"Under the mandate set at the sixth session in Algiers in 2022, chaired by Algeria","A secretary general elected for the next four-year term, a 25-state administrative council seated, the chairmanship passed to Nigeria and a ministerial declaration adopted; the union's plenipotentiary conference ratified the return of its headquarters to Kinshasa on 23 July 2026, after the host state paid more than US$1.4m in arrears, with no date stated for the move",2026-08-12-panafricanpress-atu-drc-mpanda-telecom-milestones|2026-07-27-atu-cpl26-abuja-declaration-sg-election-full-record|2026-07-31-atu-summit-abuja-declaration-digital-divide,,Kezias Kazuba Mwale of Zambia takes office on 2027-01-01 for four years
XAF-gov.regional-auc,XAF,gov.regional,Institutions and mandates,instrument,African Union Commission,Implemented,2026-07-16,"Cooperation agreement signed with the ITU, Geneva, 2026-07",,Advanced,"Author of the Continental AI Strategy and the Digital Transformation Strategy, with no continental digital partnership agreement on record in the year before","Two cooperation instruments signed inside six months, with a US technology company and with the ITU, and a coordinated African position taken to the first global AI-governance dialogue","2026-07-16 African Union Commission, ITU sign cooperation agreement|2026-02-20 AUC Signs Partnership With Google|2026-07-09 African Union pushes for unified African voice at Global AI Governance Dialogue",,
XAF-gov.regional-afrinic-governance-and-receivership,XAF,gov.regional,Institutions and mandates,instrument,AFRINIC governance and receivership,"Implemented, board contested and the receiver undischarged",2026-08-27,Police forgery investigation confirmed 2026-08-27,,"Advanced, authority chain unresolved","Under an appeal-court order of 15 October 2024 directing the Official Receiver to complete the board election within two months, in substitution for the six months ordered in September 2023; no reconstituted board at the window's start, six months past that deadline","The regional internet registry named a person to all eight board seats on 12 September 2025 while withholding every candidate vote tally its own election guidelines promised; the purported board and the undischarged receiver announced close collaboration from 13 October 2025 without publishing which office could sign, pay or veto, and no court order, delegation, bank mandate or responsibility matrix has been located behind it; the receiver appointed an audit firm on 13 October 2025 to audit three overdue financial years without an annual meeting, with no published appointment date, executed instrument, statutory route, remuneration decision or independence review; ordinary resolutions on US$3.29m of disputed legal spending, put to the June 2026 annual meeting, were still unresolved on the public record 46 days later, and a January 2022 board resolution undertaking to bear all legal costs of a director in the Cloud Innovation litigation, carried seven votes to none, has never been closed out on the public record with a beneficiary, engagement, cap, invoice, payment or statutory classification; six regional members were named to a bylaws review committee without disclosing which constituents each represents; a member's challenge to the board's ratification of a policy draft remains open with an interim application declined and no reasoned merits decision; the appeal court set aside the registry's 2023 appeal for want of corporate authority without ruling on the receiver's permission or on statutory leave; a governance committee of three elected and two board-appointed voting members was constituted on 17 August 2026 on terms running to the ends of 2027, 2028 and 2029; the board, with the receiver's consent, named Mike Silber chief executive designate on 24 August 2026 for an assumption of office on 1 January 2027; and the Mauritius Police Force's Central CID confirmed on 27 August 2026 that two alleged forgery cases arising from the annulled June 2025 board election remain under investigation, the registry having never stated its reasons for the annulment",2026-08-27-afrinic-police-forgery-election|2026-08-24-afrinic-mike-silber-ceo-designate|2026-08-25-afrinic-resolution-666-legal-costs|2026-08-17-afrinic-constitution-governance-committee|2026-08-13-btw-media-afrinic-appeal-receiver-permission-statutory-leave|2026-08-10-btw-media-afrinic-eight-seat-board-election-evidence-gap|2026-08-10-btw-media-afrinic-board-receiver-dual-control-transition|2026-08-10-btw-media-afrinic-receiver-forvis-mazars-audit-appointment|2026-08-10-btw-media-afrinic-agmm-legal-spend-vote-result-missing|2026-08-11-btw-media-afrinic-bylaw-committee-six-regions-unnamed-members|2026-08-11-btw-media-afrinic-skyconnect-policy-challenge-interim-refusal|2026-08-12-btw-media-caiga-afrinic-governance-critique|2026-08-18-afrinic-members-stakeholders-survey|2026-08-19-smart-africa-afrinic-internet-governance-talks|2024-10-15-mauritius-afrinic-v-cloud-innovation-2024-scj-473-judgment,,"the judgment setting aside the 2023 appeal is now held in full; the account of the registry's filings is one outlet's documentary analysis alongside the registry's own announcements; the forgery investigation is confirmed by a police spokesperson to a single publication, and the two irregularities it arises from were reported by a national ISP association, not adjudicated"
XAF-gov.regional-algiers-declaration,XAF,gov.regional,Institutions and mandates,instrument,Algiers Declaration on African Telecommunications Sovereignty and Integrated Connectivity 2026-2030,Implemented,2026-03-31,"Adopted by ministers at Algiers, 2026-03",,Advanced,Did not exist,"Adopted as a continental position on integrated terrestrial, submarine and satellite infrastructure, local data centres, exchange points and cybersecurity; no work programme or text held",2026-03-30-algiers-declaration-telecom-sovereignty--techreviewafrica,,
XAF-gov.regional-atu-work-programme,XAF,gov.regional,Institutions and mandates,instrument,ATU Strategic Plan 2027-2031,In development,2026-06-04,Comments on the draft due to the Secretary-General by 2026-06-23,,Baseline not held,,"A draft Strategic Plan for 2027-2031 was circulated to member states for comment ahead of CPL-26; the draft is not published, and no adopted plan, budget or final acts of the conference are held",2026-06-04-atu-invitation-cpl-26-related-meetings,,The conference elected a secretary general and seated an administrative council in July 2026; no adopted plan or budget was published with them
XAF-gov.regional-digital-parliaments-project-africa,XAF,gov.regional,Institutions and mandates,instrument,Digital Parliaments Project Africa,Implemented,2026-08-06,"Launched at a capacity-training event, Parliament of Ghana, 2026-08-06",,Advanced,Did not exist,"Launch cohort of the parliaments of Ghana, Botswana and South Africa, the National Assemblies of the Gambia and Senegal, and the Pan-African Parliament, led by the POPVOX-DPP Foundation with the House Democracy Partnership; no amount, duration, funder or work programme stated",2026-08-06-digital-parliaments-project-africa-launched-in-ghana,,
XAF-gov.regional-koafec,XAF,gov.regional,Institutions and mandates,instrument,Korea-Africa Economic Cooperation ministerial framework,Implemented,2026-08-14,"Eighth ministerial conference convened for Seoul, 8-11 September 2026",,Baseline not held,Baseline not held,"Eighth ministerial set for Seoul under the theme of artificial intelligence and digital infrastructure, convened by the continental development bank with new co-financing expected",2026-08-14-afdb-koafec-korea-ai-digital-infrastructure-conference,,"a media advisory issued in advance; what the conference produces is not yet on record, and nothing here states a figure"
XAF-gov.regional-dtp-ratifications,XAF,gov.regional,Institutions and mandates,instrument,Ratifications and domestication of the AfCFTA Protocol on Digital Trade,Not held,,,,,,,,2026-08-05,
XAF-gov.regional-smart-africa,XAF,gov.regional,Institutions and mandates,instrument,Smart Africa Alliance,Implemented,2026-08-13,"Two expressions of interest issued 2026-08-13, closing 31 August",,Advanced,"37 member states, working to the previous strategy","42 member states and a three-year strategy whose flagships are a data exchange, an innovation platform and digital identity; the secretariat issued two calls for expressions of interest on 13 August, one for content-delivery providers across broadband, data governance and cybersecurity and green-digital domains, and one for a consultancy to draft a gender-inclusion strategy for women's participation in ICT policymaking and governance, both closing on 31 August","2026-08-13-smart-africa-data-governance-cybersecurity-domain-providers-reoi|2026-08-13-smart-africa-gender-inclusion-ict-policy-consultancy-reoi|2025-11-13 Transform Africa Summit 2025 opens in Conakry, epicentre of digital cooperation in Africa|2025-11-19 Transform Africa Summit 2025 (Conakry) - Simandou 2040 Pillar 3, TELEMO, SANIA-SADX and the closing wrap",,
