AFR Afrobarometer	11887,266,1,9,178
AFR Afrobarometer AUC African Union Commission	10759,78,1052,451
AFR Afrobarometer UNESCO United Nations Educational	10835,3,130,902,16,466,1,135
AFRO BEAUTY PLASTIC CENTRE LIMITED Data	7167
AFRO Digital Finance Team	2184
AFRO Governance and Restructuring Toolkit	12729
AFRO-ASIAN REINSURANCE BROKERS	7167
AFRO. Collection Responsibility for Data The MOH	11417
AFROAERO VENTURES LTD Data Controller INST-26679384BB6	7167
AFROAERO VENTURES LTD Data Processor INST-26679384BB6	7167
AFROJET AVIATION SOLUTIONS LIMITED Data Controller	7167
AFRONA SECURE LIMITED Data Processor INST-55274017E98	7167
AFROSAI-E	9680,428,3312
Africa. Afrobarometer Dispatch No	7886
Afro Mobile	10518
Afro-Asian Forum for Innovation and Technology	16046
Afro-R&B	9739
Afro-descendants	3076
Afro-feminist	4443,4270
AfroGazette	13407
AfroGazette By Loyd Matare Rural	13447
AfroQuality	10464
AfroXLMR	9622
Afrobarometer	1230,6432,224,1730,63,383,391,532,706,164,337,86,102,121,2295,1348,500
Afrobarometer Dispatch No	7886,4306,86,223,3643
Afrobarometer Dépêche No	16644
Afrobarometer Policy Paper	12192
Afrobarometer Round	7886,3099
Afrobarometer Working Papers	7886
Afrobarometer Working Papers Afrobarometer Working Papers	7886
Afrobarometer Working Papers Appendix Pearson Khi2	7886
Afrobarometer Working Papers Discussion	7886
Afrobarometer Working Papers Econometric	7886
Afrobarometer Working Papers Hutchison	7886
Afrobarometer Working Papers Introduction Institutional	7886
Afrobarometer Working Papers Methodology Data	7886
Afrobarometer Working Papers Model	7886
Afrobarometer Working Papers Recent Afrobarometer	7886
Afrobarometer Working Papers References Adaba	7886
Afrobarometer Working Papers Strauss	7886
Afrobarometer Working Papers Taking	7886
Afrobarometer Working Papers Trust	7886
Afrobarometer Working Papers Wald	7886
Afrobarometer Working Papers Working Paper No	7886
Afrobarometer's Lived Poverty Index	12192,86,223
Afrobarometer-16apr24.pdf	16144
Afrobarometer. Email	12192,86
Afrobarometer. Institut National	16644
Afrobarometer. Ministère	16644
Afrobarometer. Nearly	10759,78,1050,1,1,263,1,1,9,177,1
Afrobarometer. Retrieved	16144
Afrobarometer. Sustainable Environment Nearly	10835,3,130,902,16,466,1,135
Afrobarometer’s National Partners	7886
Afrobaromètre	12099
Afrobeat	9739
Afrobeats	9739
Afrobizz Consults Limited Data Controller INST-9776679AFB4	7167
Afrocentric	4432,2719,5059
Afrocities	7101
Afrofuturism	9739
Afrofuturismo	2281
Afrofuturist	9739
Afrogestion Consulting Group. Cette	14712
Afropop	9739
Afrovision Technologies Limited	2680
Another Afrobarometer	10453
Conclusion Afrobarometer	12501
Funding for Afrobarometer	7886
Government of Sierra Leone and AFROSAI-E	9680
Haratine and Afro-Mauritanian	6719
Ivoire-based Afro Mobile SARL	10518
Jornal de Angola and AFRO Health Observatory. Institutional	10776
L’enquête Afrobarometer Afrobarometer	16644
Next Afrobeats Star	9560
OMS AFRO	15966,229
Official Use Only References Afrobarometer	10985
Previous Afrobarometer	12192
Robert Mattes Afrobarometer	7886
Santé OMS AFRO	16195
Sigla AFRO Escritório Regional da OMS	15966
Systemic Barriers Gendered Consequences An Afro-feminist	4443
UNECA and AFROPAC	9162
Universidad Afroamericana	14304
VoicesAfrica. Afrobarometer Dispatch No	12192,86,223
