A. Approval	7845
A. CONTEXT AT APPRAISAL	15424,87,90,62,68,259
A. CONTEXT AT APPRAISAL Context	11924,3677,62
A. CONTEXT AT APPRAISAL Context Country	15424
A. CONTEXT AT APPRAISAL Country Context	15702
A. Policy Approach and Sequencing Realizing AI	11140
ADE-LEGRE Jocelyne Appraisal	13938
ADM STAFF At Approval At ICR	15424
ADM STAFF Role At Approval	11924,3739,68
AFRICA EAST. Estimated Appraisal Date	761
AFRICA. Estimated Appraisal Date	12137
AFRICAN DEVELOPMENT BANK GROUP PROJECT APPRAISAL	15011
AI Governance Approaches Several	14566
AI Tags Data International Approaches and Co-operation	11000
AIIB Project ID P000462. Approved	607
ANDF Décision du DG Chef du Département Approuve	10876
APP BRAZZAVILLE APPROCHE	16552
APPLICATION OF THE PROPOSED MATHEMATICAL APPROACH	8606
APPR Agreement for Peace and Reconciliation	969
APPRAISAL Context	15511
APPRAISAL Country Context	15731
APPRAISAL REPORT COMORIAN ECONOMIC DIGITALISATION SUPPORT	13731
APPRAISAL REPORT ERITREA ENERGY INTEGRATED PROJECT	14080
APPRECIATED	13440
APPRENTICE CLOUD LTD Data Controller INST-7448654A035	7167
APPRENTICE JOB WORK AFRICA LTD Data	7167
APPRISE REALTORS LIMITED Data Processor INST-710534E2AD3	7167
APPROACH	1009
APPROACH AND METHODOLOGY	236
APPROACH AND METHODOLOGY TO PREPARATION	12253
APPROACH OF THE SERVICE	12693
APPROBATION DE CESSION DE PARTS ACCEPTATION	16413
APPROBATION DE L'OFFRE ET DE L'EXTENSION	15443
APPROCHE GLOBALE DE GESTION DES RISQUES	10906
APPROCHE METHODOLOGIQUE	15936
APPROCHE METHODOLOGIQUE Page	15936
APPROCHE OPÉRATIONNELLE	15738
APPROCHES D’EXECUTION PAR	16037
APPROPORIATE	5352
APPROPRIATE	5352
APPROPRIATE FEES	14740
APPROPRIATE The Federal Republic of Nigeria	4301
APPROPRIATED RECURRENT BUDGET	13093
APPROPRIATION	3123,1,12803
APPROPRIATION ACCOUNTS	13420
APPROPRIATION BILL	13126
APPROPRIATION BILL VOTE	11272
APPROPRIATIONS ON ITS OVERSIGHT VISIT	11289
APPROVAL	11184,1390
APPROVAL Erkin Mamadaliev	10963
APPROVAL OF PROMOTIONS	718
APPROVAL Task Team Leader	3456,9376,279,1442,23,937,1141,21
APPROVALS	12364
APPROVED	1228,3439,229,1527,8543,5,722
APPROVED BY CABINET	13295
APPROVED BY THE BOARD	6539
APPROVED TARIFFS	14754
APPROVED TOWNSHIP	13189
APPROVES ITS REGULATION	12296
APPROVES THE NATIONAL PAYMENT SYSTEM LAW	12847
APPROVISIONNEMENTS	998
APPROVISIONNEMENTS ET DE LA CONSOMMATION	15744
APPROX	11863
APPROXIMATE	5625
ASSOCIATION Public Disclosure Authorized PROJECT APPRAISAL	10964,2367
ATAF Suggested Approach	573,2588
ATAFTAX SUGGESTED APPROACH TO DRAFTING SIGNIFICANT	3161
AUDIT APPROACH	13420
AXIAN Gains Central Bank Approval	5151
AXIAN Has Secured Approval To Establish	13778
Accounting Officer Signature Approved	5533
Achieved Integration Our Approach	13220,1435
Achievements Appraisal Additional Actual Financing Achieved	15663
Achievements Project Results Indicator Appraisal Additional	15663
Actual Approval	7877,7282
Actual Current Year Approved Actual Exec	6422
Additional Regional No Institutions Appraisal	4653
Adjusted Appropriation	11218
Adjusted Appropriation Bill	11289
Adjustment Appropriation Act	11986
Adjustments Appropriation Bill	2902
Aepspidreonvatilal Approval	10157
Africa PDO Components Project Board Approval	15411
Africa. Approved	452
African Approved By Department	1828
African Development Bank Group Approves	11310
Agency PAD Project Appraisal Document PAT	15518
Agile and Collaborative Approach	11940
Agile and Iterative Development Approaches Software	5665
Algeria Approves Law	3877
Algorithm Type Approach	8604
All ToRs Approved	14971
Amount-quality Approx	837,96
Amount-quality Approx. Countries	712
Amount-quality Approx. Crosswalk	836
Amount-quality Approximate	390
Analysis of Consultant Appointments Using Appropriated Funds	11218
Analytical Approach	15164
Analytical Approach and Readiness Staging	15164
Anna Corsi. Approved	12137
Annual Appropriation	11218
Annual Client Appreciation Day	13252
Any Approved Supplier	13606
Appendix A Appendices List of Approved Abbreviations	11129
Application Form for Approval of Binding Corporate Rules	12302
Application for Type Approval	14883
Appraisal	7198,3570,1156,62,560,7,42,367,18,751,1641,121,18,152,773,178
Appraisal Additional Actual Financing Achieved Project	15663
Appraisal Additional Financing Baseline Original	15663
Appraisal Country Background	16614
Appraisal Date	16654
Appraisal Document	1584,3778,6603
Appraisal Document PAD PDO Project Development	11855
Appraisal Document PDO Project Development Objective	15511
Appraisal Document. Does	15190
Appraisal ESRS	1260,9704
