Administração Direta	16022
Africana de Estatística CD Conselho Diretivo CEDEAO	15535
Ajuste Direto	16056
Com Diretrizes	12862
Conselho Diretivo	15433,53,648,65
Conselho Diretivo GCDC Gabinete de Comunicação	15535
Conselho de Diretivo da Autoridade Tributária	16549
Cooperação Financeira Direta	15966
DA RECOLHA DIRETA COERCIVA DE DADOS	11516
DFC Cooperação Financeira Direta DNT	15966
Diretiva	15509
Diretiva Nr	11568
Diretivas	2816
Diretivas C	15504
Diretor	5819,5742,495,3470,667
Diretor Executivo	11555
Diretor Financeiro	11555
Diretor Geral da DGRN	2688
Diretor Geral da Energia	11549
Diretor Geral da OMS	15966
Diretor Geral de Identificação Civil	11566
Diretor Geral de Migração	11566
Diretor Nacional da Polícia Judiciária da Guiné-Bissau	11566
Diretor Nacional da Polícia Judiciária de Cabo Verde	11566
Diretor Nacional da Polícia Judiciária de Portugal	11566
Diretor Nacional da Polícia Judiciária. CHEFIA	16549
Diretor de Finanças	11566
Diretor de Gabinete	15526
Diretor de Informação	11555
Diretor de Pesquisa	11044
Diretor de Serviço	15503
Diretor de TI Dado	11555
Diretor de Tecnologia	11555
Diretor-Geral	16134,415
Diretor-Geral da UNESCO	1265,3,468,14226
Diretor-Geral da Unidade de Informação Financeira	15881
Diretor-geral	2953,6370,791,931
Diretora	11423
Diretora Geral-Adjunta	11423
Diretora Nacional da Polícia Judiciária. CHEFIA	16549
Diretora Nacional de Receitas	16549
Diretora de Comunicação	16193
Diretora-Executiva da FEC	11538
Diretora-Geral	9271,7278
Diretores	11557,4,4211
Diretores de Escolas	11538
Diretores-gerais	8051
Diretoria Nacional da PJ	11540
Diretrizes Claras Sobre Padrões de Segurança	11898
Dumbá Diretor Geral	11560
Estimativas Diretas da Mortalidade Adulta	10777
Estimativas Diretas da Mortalidade Materna	10777
Ex- Diretor-geral da ANG	10114
Guiné-Bissau A Diretora-Executiva da FEC	11538
No. Email Jorge Sanca Diretor Geral	11560
O Diretor	11561,3965,384,319
O Diretor de Mercado	11574
O Diretor-geral	10114
Plano Diretor	15892,167,134
Por Recolha Direta	11516
REGISTRARS E CLIENTES DIRETOS	11531
Solo Plano Diretor da Cidade	11898
